,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
1320,Rolando Mandragora,Fiorentina,5.6,286,261,25,13,0,4,10,1,8,2,2,0,235,0,4
1321,Orel Mangala,Nott'ham Forest,10.1,357,353,2,2,1,1,1,0,0,0,0,0,313,2,3
1322,Braydon Manu,Darmstadt 98,0.9,17,16,1,0,0,0,2,1,0,0,0,0,13,0,2
1323,Benson Manuel,Burnley,0.7,24,21,2,0,0,0,4,0,2,0,1,0,18,1,2
1324,Faitout Maouassa,Lens,0.3,11,9,2,0,0,0,2,2,0,0,0,0,7,0,0
1326,Solly March,Brighton,6.2,261,222,39,8,1,1,21,19,12,6,2,0,203,0,7
1327,Riccardo Marchizza,Frosinone,12.0,521,416,103,8,0,2,21,95,0,0,0,0,397,2,13
1328,Gian Marco Ferrari,Sassuolo,5.4,363,337,25,19,0,3,4,1,0,0,0,0,301,1,2
1329,Oscar de Marcos,Athletic Club,10.4,670,536,129,18,1,1,45,111,0,0,0,0,528,5,11
1330,Jose Mari,Cádiz,0.2,21,18,2,2,0,0,0,0,0,0,0,0,16,1,1
1331,Pablo Mari,Monza,9.1,505,496,9,8,0,3,1,0,0,0,0,0,467,0,2
1332,Jose Maria Gimenez,Atlético Madrid,4.0,176,167,9,7,0,5,1,0,0,0,0,0,143,0,3
1333,Mariano,Sevilla,1.9,31,27,4,0,0,1,1,0,0,0,0,0,20,0,1
1334,Mirko Maric,Monza,1.5,48,46,2,0,0,0,1,0,0,0,0,0,36,0,2
1335,Rafa Marin,Alavés,6.1,245,233,12,9,0,2,0,1,0,0,0,0,198,0,3
1336,Razvan Marin,Empoli,7.7,339,285,53,26,5,0,27,2,21,7,11,0,251,1,7
1337,Diego Marino,Almería,1.0,27,25,2,0,0,0,0,0,0,0,0,0,23,0,0
1338,Guillermo Maripan,Monaco,7.0,372,354,18,16,0,1,0,0,0,0,0,0,330,0,3
1339,Mika Marmol,Las Palmas,10.5,685,631,53,30,1,2,0,6,0,0,0,0,606,1,3
1340,Omar Marmoush,Eint Frankfurt,8.3,190,157,32,5,0,2,17,2,9,4,4,0,134,1,11
1341,Marquinhos,Nantes,1.0,43,39,4,1,0,0,1,2,0,0,0,0,32,0,2
1342,Marquinhos,Paris S-G,8.9,966,939,25,13,2,1,0,12,0,0,0,0,916,2,3
1343,Agustin Martegani,Salernitana,4.4,166,158,5,2,1,1,0,1,2,0,0,0,143,3,3
