,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
79,42,34.0,552,337,283,224,45,203,546,37.2,343,437,143,294,411,963,693,12
80,26,38.0,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10
81,27,38.0,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19
82,29,38.0,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10
83,35,38.0,568,320,264,223,81,265,617,42.9,352,364,101,263,394,962,551,12
84,26,38.0,633,396,313,247,73,280,615,45.5,335,303,77,226,521,1154,641,11
85,29,34.0,496,294,227,201,68,235,531,44.3,296,379,108,271,426,922,654,8
86,29,38.0,530,306,241,205,84,247,569,43.4,322,412,127,285,444,974,727,13
87,24,38.0,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15
88,33,38.0,502,294,264,199,39,209,547,38.2,338,428,131,297,440,942,683,8
89,27,34.0,503,283,240,218,45,232,501,46.3,269,367,85,282,405,908,605,9
90,30,38.0,463,277,241,163,59,198,592,33.4,394,372,123,249,391,854,785,12
91,32,38.0,559,321,285,208,66,247,681,36.3,434,379,102,277,430,989,812,9
92,29,38.0,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17
93,27,34.0,542,333,270,217,55,228,556,41.0,328,368,101,267,407,949,798,10
94,30,38.0,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13
95,24,38.0,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11
96,26,34.0,594,363,271,256,67,271,599,45.2,328,465,79,386,477,1071,700,6
97,27,38.0,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15
