,Player,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,6.8,220,290,75.9,3555,1337,119,136,87.5,78,103,75.7,19,34,55.9,0,0.2,0.4,-0.2,4,10,8,2,20
1,Brenden Aaronson,1.8,34,46,73.9,449,131,22,24,91.7,9,13,69.2,1,2,50.0,0,0.2,0.3,-0.2,1,1,0,0,5
2,Paxten Aaronson,0.4,16,21,76.2,244,41,7,10,70.0,9,10,90.0,0,1,0.0,1,0.1,0.0,+0.9,1,4,2,0,4
3,Yunis Abdelhamid,7.0,342,404,84.7,6806,2343,101,115,87.8,205,220,93.2,33,62,53.2,0,0.1,0.3,-0.1,2,34,2,0,34
4,Salis Abdul Samed,5.8,317,352,90.1,4942,1280,170,186,91.4,115,125,92.0,22,27,81.5,0,0.2,0.5,-0.2,3,41,3,0,35
5,Laurent Abergel,7.0,371,422,87.9,6648,1858,152,164,92.7,171,188,91.0,40,55,72.7,1,0.5,0.5,+0.5,6,41,6,0,33
6,Matthis Abline,0.7,8,9,88.9,139,34,5,5,100.0,2,2,100.0,1,2,50.0,0,0.2,0.0,-0.2,2,0,1,1,0
7,Abner,4.5,193,245,78.8,2755,1280,123,139,88.5,54,67,80.6,10,27,37.0,0,0.2,0.2,-0.2,3,7,3,1,8
8,Zakaria Aboukhlal,4.2,69,97,71.1,1050,336,32,40,80.0,28,37,75.7,3,4,75.0,0,0.2,0.2,-0.2,4,8,4,0,12
9,Abdel Abqar,5.0,94,136,69.1,2367,1157,21,29,72.4,45,51,88.2,25,50,50.0,0,0.0,0.0,0.0,0,8,0,0,10
10,Francesco Acerbi,4.0,223,255,87.5,4065,1245,87,96,90.6,108,117,92.3,21,34,61.8,0,0.0,0.1,0.0,0,14,1,0,10
11,Marcos Acuna,1.7,80,112,71.4,1829,734,25,32,78.1,34,44,77.3,19,31,61.3,0,0.1,0.1,-0.1,1,11,2,1,7
12,Benie Adama Traore,3.5,45,60,75.0,679,151,26,30,86.7,18,22,81.8,1,1,100.0,0,0.5,0.4,-0.5,3,2,6,0,9
13,Akor Adams,6.2,67,95,70.5,874,177,39,52,75.0,17,19,89.5,4,8,50.0,0,0.7,0.7,-0.7,7,3,1,1,2
15,Sargis Adamyan,1.6,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,1,0.5,0.4,+0.5,3,3,1,0,5
17,Elijah Adebayo,3.0,33,42,78.6,489,122,18,20,90.0,14,19,73.7,1,2,50.0,0,0.1,0.1,-0.1,4,2,1,0,5
18,Karim Adeyemi,2.2,36,52,69.2,476,115,20,28,71.4,12,17,70.6,1,2,50.0,0,0.1,0.4,-0.1,1,3,0,0,4
19,Simon Adingra,2.6,76,89,85.4,1094,260,55,60,91.7,17,22,77.3,4,5,80.0,1,1.2,0.3,-0.2,4,0,4,3,1
20,Amine Adli,0.6,31,40,77.5,404,65,23,27,85.2,7,9,77.8,1,2,50.0,1,0.3,0.1,+0.7,2,1,0,0,2
21,Yacine Adli,1.4,111,125,88.8,2153,718,39,40,97.5,54,59,91.5,14,21,66.7,0,0.1,0.3,-0.1,2,17,3,0,14
22,Adson,0.7,22,26,84.6,347,48,13,14,92.9,5,6,83.3,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,3
23,Michel Aebischer,6.1,354,375,94.4,5699,1610,184,193,95.3,136,140,97.1,25,29,86.2,0,0.2,0.4,-0.2,2,29,1,1,31
24,Emmanuel Agbadou,3.7,193,225,85.8,4171,1536,47,47,100.0,115,128,89.8,30,48,62.5,0,0.0,0.2,0.0,1,29,0,0,33
27,Nayef Aguerd,5.7,228,274,83.2,4620,2027,87,91,95.6,101,109,92.7,32,61,52.5,0,0.0,0.0,0.0,1,11,0,0,11
28,Ruben Aguilar,2.7,129,165,78.2,1801,670,84,87,96.6,38,51,74.5,5,13,38.5,0,0.4,0.5,-0.4,5,5,13,4,15
30,Anel Ahmedhodzic,7.0,200,264,75.8,2990,1215,119,139,85.6,61,74,82.4,14,36,38.9,0,0.0,0.1,0.0,0,10,1,0,11
31,Joseph Aidoo,4.5,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12
32,Ola Aina,4.4,97,141,68.8,1600,663,51,62,82.3,38,51,74.5,7,21,33.3,0,0.0,0.0,0.0,1,7,0,0,11
33,Rayan Ait Nouri,5.2,184,235,78.3,2686,921,112,124,90.3,57,73,78.1,9,19,47.4,0,0.1,0.2,-0.1,3,12,4,0,24
34,Tosin Aiyegun,2.2,35,42,83.3,540,46,19,22,86.4,9,12,75.0,4,5,80.0,0,0.0,0.0,0.0,1,0,0,0,1
35,Kristoffer Ajer,2.4,121,148,81.8,1926,643,67,72,93.1,47,54,87.0,6,17,35.3,1,1.0,1.5,0.0,1,11,0,0,9
36,Ludovic Ajorque,2.5,53,72,73.6,792,77,29,36,80.6,12,18,66.7,6,7,85.7,0,0.3,0.2,-0.3,5,1,1,0,3
37,Manuel Akanji,6.0,503,540,93.1,7869,2088,264,271,97.4,211,224,94.2,19,30,63.3,0,0.1,0.3,-0.1,4,50,0,0,26
38,Nathan Ake,4.1,294,319,92.2,4935,1283,120,129,93.0,150,158,94.9,12,19,63.2,0,0.5,0.3,-0.5,1,17,0,0,27
39,Ilias Akhomach,0.9,29,32,90.6,371,105,21,21,100.0,7,8,87.5,0,1,0.0,0,0.0,0.1,0.0,1,2,2,1,4
40,Sergio Akieme,7.0,279,336,83.0,4622,1397,151,159,95.0,100,119,84.0,24,46,52.2,0,0.7,0.5,-0.7,7,16,6,5,14
41,Maghnes Akliouche,1.4,47,54,87.0,767,239,23,26,88.5,16,18,88.9,4,4,100.0,1,0.2,0.1,+0.8,3,9,1,1,7
42,Paul Akouokou,0.3,16,17,94.1,280,65,7,8,87.5,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
43,Paul Akouokou,1.4,58,68,85.3,991,324,23,25,92.0,31,35,88.6,3,5,60.0,0,0.0,0.0,0.0,0,8,0,0,6
45,Kevin Akpoguma,1.0,41,53,77.4,803,250,14,18,77.8,18,21,85.7,8,11,72.7,0,0.1,0.2,-0.1,1,5,0,0,6
46,David Alaba,6.4,399,444,89.9,6563,2617,209,214,97.7,149,168,88.7,32,49,65.3,1,0.4,0.4,+0.6,6,35,4,0,32
47,Luis Alberto,7.0,404,508,79.5,6481,2140,215,235,91.5,144,170,84.7,35,77,45.5,1,0.7,1.2,+0.3,17,72,14,0,82
48,Raul Albiol,5.1,213,252,84.5,4245,1658,73,80,91.3,112,124,90.3,27,40,67.5,0,0.0,0.0,0.0,0,18,0,0,13
49,Ruben Alcaraz,7.3,247,299,82.6,5008,1269,102,111,91.9,99,111,89.2,39,63,61.9,0,0.1,0.2,-0.1,5,31,4,0,33
