,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
184,Tiemoué Bakayoko,FRA,MF,Monaco,fr Ligue 1,20.0,1994.0,19.0,14.0,1364.0,15.2,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07
185,Zakaria Bakkali,BEL,"MF,FW",Valencia,es La Liga,19.0,1996.0,16.0,4.0,566.0,6.3,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.48,0.64,0.16,0.64
186,Keita Baldé,SEN,FW,Lazio,it Serie A,20.0,1995.0,31.0,15.0,1777.0,19.7,4.0,2.0,4.0,0.0,0.0,5.0,0.0,0.2,0.1,0.3,0.2,0.3
187,Gareth Bale,GB-WLS,"FW,MF",Real Madrid,es La Liga,26.0,1989.0,23.0,21.0,1733.0,19.3,19.0,10.0,19.0,0.0,0.0,3.0,0.0,0.99,0.52,1.51,0.99,1.51
188,Mikel Balenziaga,ESP,DF,Athletic Club,es La Liga,27.0,1988.0,34.0,33.0,2905.0,32.3,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.0,0.09
189,Florent Balmont,FRA,MF,Lille,fr Ligue 1,35.0,1980.0,28.0,25.0,1922.0,21.4,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05
190,Norbert Balogh,HUN,FW,Palermo,it Serie A,19.0,1996.0,4.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Leon Balogun,NGA,DF,Mainz 05,de Bundesliga,27.0,1988.0,21.0,17.0,1513.0,16.8,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06
192,Mario Balotelli,ITA,FW,Milan,it Serie A,24.0,1990.0,20.0,8.0,837.0,9.3,1.0,1.0,1.0,0.0,1.0,6.0,0.0,0.11,0.11,0.22,0.11,0.22
193,Jonathan Bamba,FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,1996.0,5.0,4.0,293.0,3.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31
194,Patrick Bamford,GBR,FW,Norwich City,eng Premier League,21.0,1993.0,7.0,2.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Patrick Bamford,GBR,"FW,MF",Crystal Palace,eng Premier League,21.0,1993.0,6.0,0.0,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Yacine Bammou,MAR,"MF,FW",Nantes,fr Ligue 1,23.0,1991.0,32.0,17.0,1520.0,16.9,4.0,2.0,4.0,0.0,0.0,6.0,1.0,0.24,0.12,0.36,0.24,0.36
197,Éver Banega,ARG,MF,Sevilla,es La Liga,27.0,1988.0,25.0,20.0,1718.0,19.1,5.0,2.0,4.0,1.0,1.0,8.0,1.0,0.26,0.1,0.37,0.21,0.31
198,Lass Bangoura,GIN,MF,Rayo Vallecano,es La Liga,23.0,1992.0,16.0,7.0,805.0,8.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11
199,Lass Bangoura,GIN,"FW,MF",Reims,fr Ligue 1,23.0,1992.0,10.0,3.0,420.0,4.7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.21,0.43,0.21,0.43
