,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
44,29,38.0,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3
45,28,38.0,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3
46,29,38.0,921,24.24,681,80,50,49,40,21,116,3.05,85,8,9,6,5,3
47,27,34.0,792,23.29,576,59,57,47,42,11,105,3.09,72,3,15,4,8,3
48,26,38.0,996,26.21,735,79,50,70,51,11,111,2.92,76,6,2,15,12,0
49,28,38.0,1046,27.53,778,85,55,75,33,20,129,3.39,97,9,7,8,7,1
50,30,38.0,705,18.55,505,43,66,38,38,15,86,2.26,52,6,15,5,6,2
51,29,38.0,902,23.74,668,67,61,52,39,15,109,2.87,85,6,3,8,6,1
52,27,34.0,725,21.32,509,89,32,43,40,12,81,2.38,60,7,4,7,3,0
53,27,34.0,696,20.47,483,77,32,54,38,12,84,2.47,51,9,3,13,6,2
54,31,38.0,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2
55,24,38.0,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2
56,26,38.0,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0
57,30,38.0,954,25.11,693,71,61,71,38,20,98,2.58,55,8,9,16,6,4
58,30,38.0,985,25.92,688,91,65,68,58,15,111,2.92,76,6,15,7,4,3
59,27,38.0,834,21.95,620,69,47,46,35,17,117,3.08,78,9,7,11,9,3
60,31,38.0,748,19.68,515,74,45,49,52,13,106,2.79,77,5,4,11,8,1
61,31,38.0,714,18.79,537,60,30,40,35,12,86,2.26,62,5,6,4,8,1
62,29,38.0,771,20.29,558,70,52,49,33,9,63,1.66,45,6,3,4,4,1
63,27,38.0,1105,29.08,819,92,58,66,47,23,131,3.45,98,8,4,14,6,1
64,27,38.0,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5
65,34,38.0,894,23.53,654,77,66,55,25,17,82,2.16,52,6,10,10,4,0
66,33,38.0,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0
67,26,38.0,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0
68,26,38.0,1024,26.95,791,60,57,58,47,11,151,3.97,116,5,9,11,8,2
69,28,38.0,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1
70,25,34.0,874,25.71,629,70,55,63,46,11,108,3.18,76,5,6,10,9,2
71,26,38.0,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1
72,30,38.0,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3
73,34,38.0,900,23.68,687,54,50,54,33,22,79,2.08,55,2,8,7,7,0
74,32,38.0,932,24.53,679,69,70,66,30,18,114,3.0,79,3,15,9,6,2
75,30,38.0,861,22.66,574,110,43,68,53,13,85,2.24,52,10,5,12,5,1
76,30,38.0,656,17.26,489,58,27,44,30,8,81,2.13,64,4,4,7,2,0
77,40,38.0,637,16.76,456,52,28,46,39,16,36,0.95,26,2,1,4,1,2
78,31,38.0,871,22.92,684,50,49,41,34,13,81,2.13,56,4,4,10,7,0
79,35,34.0,715,21.03,487,92,26,51,48,11,56,1.65,38,6,2,2,7,1
80,35,38.0,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0
81,36,38.0,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3
82,34,38.0,710,18.68,511,61,39,43,38,18,42,1.11,29,1,3,5,4,0
83,29,38.0,774,20.37,550,69,38,45,53,19,78,2.05,52,2,5,9,7,3
84,30,34.0,810,23.82,561,85,52,54,46,12,83,2.44,64,3,5,4,5,2
85,28,38.0,821,21.61,635,61,52,40,21,12,74,1.95,58,2,7,4,3,0
86,29,38.0,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2
87,29,38.0,768,20.21,558,70,30,66,33,11,81,2.13,59,5,3,10,4,0
88,32,38.0,696,18.32,503,59,47,40,34,13,72,1.89,48,3,6,8,7,0
89,30,38.0,889,23.39,625,87,53,58,51,15,80,2.11,61,6,3,3,5,2
90,28,34.0,650,19.12,469,67,29,32,43,10,86,2.53,56,11,3,5,9,2
91,28,38.0,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1
92,36,38.0,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0
93,32,38.0,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0
94,25,34.0,649,19.09,502,46,30,25,41,5,90,2.65,71,6,3,4,6,0
95,25,38.0,817,21.5,586,81,39,61,35,15,67,1.76,41,6,5,9,6,0
96,28,34.0,713,20.97,510,63,40,46,47,7,102,3.0,75,7,6,5,9,0
97,32,38.0,713,18.76,521,62,30,47,42,11,44,1.16,32,1,3,6,1,1
