,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
37,Roman Bürki,CHE,GK,Dortmund,de Bundesliga,24.0,1990.0,33.0,33.0,2970.0,33.0,34.0,1.03,105.0,71.0,67.6,23.0,6.0,4.0,12.0,36.4,,,,,
38,Ludovic Butelle,FRA,GK,Angers,fr Ligue 1,32.0,1983.0,19.0,19.0,1710.0,19.0,11.0,0.58,47.0,36.0,76.6,8.0,7.0,4.0,11.0,57.9,,,,,
39,Jack Butland,GBR,GK,Stoke City,eng Premier League,22.0,1993.0,31.0,31.0,2790.0,31.0,37.0,1.19,139.0,102.0,73.4,13.0,7.0,11.0,10.0,32.3,,,,,
40,Willy Caballero,ARG,GK,Manchester City,eng Premier League,33.0,1981.0,4.0,3.0,311.0,3.5,5.0,1.45,19.0,14.0,73.7,2.0,0.0,1.0,1.0,33.3,,,,,
41,Yoan Cardinale,FRA,GK,Nice,fr Ligue 1,21.0,1994.0,26.0,25.0,2307.0,25.6,28.0,1.09,98.0,70.0,71.4,12.0,6.0,7.0,9.0,36.0,,,,,
42,Juan Carlos,ESP,GK,Rayo Vallecano,es La Liga,27.0,1988.0,21.0,19.0,1801.0,20.0,36.0,1.8,98.0,66.0,66.3,4.0,8.0,7.0,3.0,15.8,4.0,3.0,1.0,0.0,25.0
43,Cédric Carrasso,FRA,GK,Bordeaux,fr Ligue 1,33.0,1981.0,20.0,20.0,1714.0,19.0,29.0,1.52,79.0,50.0,63.3,6.0,7.0,6.0,6.0,30.0,,,,,
44,Johann Carrasso,FRA,GK,Reims,fr Ligue 1,27.0,1988.0,10.0,10.0,900.0,10.0,21.0,2.1,55.0,34.0,61.8,2.0,1.0,7.0,0.0,0.0,,,,,
45,Kiko Casilla,ESP,GK,Real Madrid,es La Liga,28.0,1986.0,4.0,4.0,360.0,4.0,6.0,1.5,20.0,14.0,70.0,3.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,
46,Koen Casteels,BEL,GK,Wolfsburg,de Bundesliga,23.0,1992.0,13.0,13.0,1170.0,13.0,10.0,0.77,50.0,40.0,80.0,7.0,4.0,2.0,4.0,30.8,,,,,
47,Petr Čech,CZE,GK,Arsenal,eng Premier League,33.0,1982.0,34.0,34.0,3060.0,34.0,31.0,0.91,126.0,95.0,75.4,18.0,9.0,7.0,16.0,47.1,,,,,
48,Florent Chaigneau,FRA,GK,Lorient,fr Ligue 1,31.0,1984.0,2.0,1.0,178.0,2.0,5.0,2.53,15.0,10.0,66.7,0.0,0.0,2.0,0.0,0.0,,,,,
49,Simone Colombi,ITA,GK,Carpi,it Serie A,24.0,1991.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,,,,,
50,Simone Colombi,ITA,GK,Palermo,it Serie A,24.0,1991.0,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,,,,,
52,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,28.0,1987.0,37.0,37.0,3270.0,36.3,38.0,1.05,134.0,96.0,71.6,15.0,13.0,8.0,10.0,27.0,,,,,
53,Ferdinando Coppola,ITA,GK,Hellas Verona,it Serie A,37.0,1978.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,,,,,
54,Angelo da Costa Júnior,BRA,GK,Bologna,it Serie A,31.0,1983.0,5.0,5.0,450.0,5.0,4.0,0.8,17.0,13.0,76.5,2.0,1.0,2.0,1.0,20.0,,,,,
55,Benoît Costil,FRA,GK,Rennes,fr Ligue 1,28.0,1987.0,31.0,31.0,2790.0,31.0,45.0,1.45,137.0,92.0,67.2,12.0,8.0,11.0,5.0,16.1,,,,,
56,Thibaut Courtois,BEL,GK,Chelsea,eng Premier League,23.0,1992.0,23.0,23.0,2020.0,22.4,29.0,1.29,93.0,64.0,68.8,8.0,9.0,5.0,5.0,21.7,,,,,
57,Iván Cuéllar,ESP,GK,Sporting Gijón,es La Liga,31.0,1984.0,32.0,32.0,2880.0,32.0,49.0,1.53,157.0,114.0,72.0,8.0,8.0,16.0,7.0,21.9,8.0,5.0,1.0,2.0,16.7
58,Karl Darlow,GBR,GK,Newcastle Utd,eng Premier League,24.0,1990.0,9.0,9.0,810.0,9.0,11.0,1.22,34.0,23.0,67.6,3.0,3.0,3.0,3.0,33.3,,,,,
59,Kelvin Davis,GBR,GK,Southampton,eng Premier League,38.0,1976.0,1.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,,,,,
60,Morgan De Sanctis,ITA,GK,Roma,it Serie A,38.0,1977.0,4.0,4.0,360.0,4.0,7.0,1.75,17.0,10.0,58.8,1.0,1.0,2.0,0.0,0.0,,,,,
61,Abdoulaye Diallo,SEN,GK,Rennes,fr Ligue 1,23.0,1992.0,7.0,7.0,630.0,7.0,9.0,1.29,34.0,25.0,73.5,1.0,5.0,1.0,1.0,14.3,,,,,
62,Néstor Díaz,ESP,GK,Celta Vigo,es La Liga,23.0,1992.0,1.0,0.0,4.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
63,Jaume Doménech,ESP,GK,Valencia,es La Liga,24.0,1990.0,17.0,17.0,1530.0,17.0,18.0,1.06,78.0,62.0,76.9,5.0,6.0,6.0,5.0,29.4,2.0,0.0,2.0,0.0,100.0
64,Gianluigi Donnarumma,ITA,GK,Milan,it Serie A,16.0,1999.0,30.0,30.0,2628.0,29.2,29.0,0.99,107.0,78.0,72.9,12.0,9.0,7.0,10.0,33.3,,,,,
65,Nicolas Douchez,FRA,GK,Paris S-G,fr Ligue 1,35.0,1980.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,,,,,
66,Matthieu Dreyer,FRA,GK,Troyes,fr Ligue 1,26.0,1989.0,15.0,15.0,1350.0,15.0,38.0,2.53,97.0,59.0,60.8,2.0,1.0,12.0,0.0,0.0,,,,,
67,Jaroslav Drobný,CZE,GK,Hamburger SV,de Bundesliga,35.0,1979.0,10.0,9.0,847.0,9.4,10.0,1.06,45.0,35.0,77.8,3.0,2.0,4.0,4.0,44.4,,,,,
68,Maxime Dupé,FRA,GK,Nantes,fr Ligue 1,22.0,1993.0,7.0,7.0,630.0,7.0,12.0,1.71,42.0,30.0,71.4,0.0,3.0,4.0,1.0,14.3,,,,,
69,Rob Elliot,IRL,GK,Newcastle Utd,eng Premier League,29.0,1986.0,21.0,21.0,1890.0,21.0,37.0,1.76,94.0,57.0,60.6,6.0,4.0,11.0,4.0,19.0,,,,,
70,Vincent Enyeama,NGA,GK,Lille,fr Ligue 1,32.0,1982.0,35.0,35.0,3129.0,34.8,24.0,0.69,115.0,91.0,79.1,14.0,15.0,6.0,17.0,48.6,,,,,
71,Łukasz Fabiański,POL,GK,Swansea City,eng Premier League,30.0,1985.0,37.0,37.0,3330.0,37.0,51.0,1.38,160.0,109.0,68.1,12.0,10.0,15.0,9.0,24.3,,,,,
72,Ralf Fährmann,DEU,GK,Schalke 04,de Bundesliga,26.0,1988.0,34.0,34.0,3059.0,34.0,49.0,1.44,184.0,135.0,73.4,15.0,7.0,12.0,8.0,23.5,,,,,
73,Adam Federici,AUS,GK,Bournemouth,eng Premier League,30.0,1985.0,6.0,6.0,495.0,5.5,15.0,2.73,27.0,12.0,44.4,0.0,2.0,4.0,0.0,0.0,,,,,
74,Andrés Fernández,ESP,GK,Granada,es La Liga,28.0,1986.0,37.0,37.0,3329.0,37.0,67.0,1.81,166.0,103.0,62.0,10.0,8.0,19.0,4.0,10.8,5.0,4.0,0.0,1.0,0.0
75,Fraser Forster,GBR,GK,Southampton,eng Premier League,27.0,1988.0,18.0,18.0,1620.0,18.0,17.0,0.94,67.0,50.0,74.6,12.0,3.0,3.0,6.0,33.3,,,,,
76,Ben Foster,GBR,GK,West Brom,eng Premier League,32.0,1983.0,15.0,15.0,1350.0,15.0,17.0,1.13,60.0,43.0,71.7,3.0,6.0,6.0,4.0,26.7,,,,,
78,Gabriel,BRA,GK,Napoli,it Serie A,22.0,1992.0,1.0,1.0,90.0,1.0,5.0,5.0,12.0,7.0,58.3,0.0,0.0,1.0,0.0,0.0,,,,,
79,Alberto García,ESP,GK,Sporting Gijón,es La Liga,30.0,1985.0,6.0,6.0,540.0,6.0,13.0,2.17,36.0,26.0,66.7,2.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,66.7
80,Paulo Gazzaniga,ARG,GK,Southampton,eng Premier League,23.0,1992.0,2.0,2.0,180.0,2.0,3.0,1.5,11.0,8.0,72.7,0.0,0.0,2.0,0.0,0.0,,,,,
81,David de Gea,ESP,GK,Manchester Utd,eng Premier League,24.0,1990.0,34.0,34.0,3060.0,34.0,33.0,0.97,111.0,78.0,70.3,17.0,8.0,9.0,15.0,44.1,,,,,
82,Dani Giménez,ESP,GK,Betis,es La Liga,32.0,1983.0,3.0,2.0,207.0,2.3,2.0,0.87,7.0,5.0,71.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,Shay Given,IRL,GK,Stoke City,eng Premier League,39.0,1976.0,3.0,3.0,225.0,2.5,7.0,2.8,14.0,7.0,50.0,1.0,0.0,2.0,0.0,0.0,,,,,
84,Jules Goda,CMR,GK,Gazélec Ajaccio,fr Ligue 1,26.0,1989.0,3.0,3.0,220.0,2.4,1.0,0.41,7.0,6.0,85.7,0.0,2.0,0.0,1.0,33.3,,,,,
85,Mauro Goicoechea,URY,GK,Toulouse,fr Ligue 1,27.0,1988.0,9.0,8.0,736.0,8.2,13.0,1.59,31.0,18.0,58.1,1.0,4.0,3.0,0.0,0.0,,,,,
86,Pierluigi Gollini,ITA,GK,Hellas Verona,it Serie A,20.0,1995.0,26.0,25.0,2320.0,25.8,44.0,1.71,113.0,69.0,61.1,5.0,7.0,14.0,2.0,8.0,,,,,
87,Heurelho Gomes,BRA,GK,Watford,eng Premier League,34.0,1981.0,38.0,38.0,3396.0,37.7,49.0,1.3,121.0,72.0,59.5,12.0,9.0,17.0,11.0,28.9,,,,,
88,Mathieu Gorgelin,FRA,GK,Lyon,fr Ligue 1,24.0,1990.0,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,,,,,
89,Jens Grahl,DEU,GK,Hoffenheim,de Bundesliga,26.0,1988.0,1.0,1.0,90.0,1.0,4.0,4.0,8.0,4.0,50.0,0.0,0.0,1.0,0.0,0.0,,,,,
90,Vicente Guaita,ESP,GK,Getafe,es La Liga,28.0,1987.0,38.0,38.0,3420.0,38.0,67.0,1.76,179.0,122.0,67.0,9.0,9.0,20.0,8.0,21.1,11.0,8.0,2.0,1.0,20.0
91,Paul-André Guérin,FRA,GK,Gazélec Ajaccio,fr Ligue 1,17.0,1997.0,2.0,1.0,140.0,1.6,1.0,0.64,6.0,5.0,83.3,1.0,1.0,0.0,0.0,0.0,,,,,
92,Brad Guzan,USA,GK,Aston Villa,eng Premier League,30.0,1984.0,28.0,28.0,2520.0,28.0,58.0,2.07,144.0,86.0,59.7,1.0,5.0,22.0,2.0,7.1,,,,,
93,Samir Handanović,SVN,GK,Inter,it Serie A,31.0,1984.0,36.0,36.0,3240.0,36.0,34.0,0.94,146.0,112.0,76.7,19.0,7.0,10.0,15.0,41.7,,,,,
94,Jesper Hansen,DNK,GK,Bastia,fr Ligue 1,30.0,1985.0,4.0,3.0,311.0,3.5,6.0,1.74,17.0,11.0,64.7,1.0,0.0,2.0,1.0,33.3,,,,,
95,Joe Hart,GBR,GK,Manchester City,eng Premier League,28.0,1987.0,35.0,35.0,3109.0,34.5,36.0,1.04,106.0,70.0,66.0,17.0,9.0,9.0,15.0,42.9,,,,,
96,Mouez Hassen,TUN,GK,Nice,fr Ligue 1,20.0,1995.0,14.0,12.0,1076.0,12.0,13.0,1.09,46.0,33.0,71.7,6.0,3.0,4.0,3.0,25.0,,,,,
97,Jakob Haugaard,DNK,GK,Stoke City,eng Premier League,23.0,1992.0,5.0,4.0,405.0,4.5,11.0,2.44,22.0,11.0,50.0,0.0,2.0,2.0,0.0,0.0,,,,,
98,Wayne Hennessey,GB-WLS,GK,Crystal Palace,eng Premier League,28.0,1987.0,29.0,29.0,2610.0,29.0,36.0,1.24,114.0,78.0,68.4,8.0,9.0,12.0,8.0,27.6,,,,,
99,Iago Herrerín,ESP,GK,Athletic Club,es La Liga,27.0,1988.0,2.0,1.0,174.0,1.9,8.0,4.14,7.0,1.0,14.3,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
100,Andreas Hirzel,CHE,GK,Hamburger SV,de Bundesliga,22.0,1993.0,1.0,0.0,51.0,0.6,2.0,3.53,3.0,1.0,33.3,0.0,0.0,1.0,0.0,,,,,,
101,Marwin Hitz,CHE,GK,Augsburg,de Bundesliga,27.0,1987.0,33.0,33.0,2966.0,33.0,49.0,1.49,176.0,127.0,72.2,9.0,11.0,13.0,11.0,33.3,,,,,
102,Timo Horn,DEU,GK,Köln,de Bundesliga,22.0,1993.0,33.0,33.0,2970.0,33.0,40.0,1.21,155.0,115.0,74.2,10.0,12.0,11.0,8.0,24.2,,,,,
104,Tim Howard,USA,GK,Everton,eng Premier League,36.0,1979.0,25.0,25.0,2250.0,25.0,35.0,1.4,115.0,80.0,69.6,8.0,11.0,6.0,7.0,28.0,,,,,
105,Lukáš Hrádecký,FIN,GK,Eint Frankfurt,de Bundesliga,25.0,1989.0,34.0,34.0,3060.0,34.0,52.0,1.53,180.0,128.0,71.1,9.0,9.0,16.0,8.0,23.5,,,,,
106,Salvador Ichazo,URY,GK,Torino,it Serie A,23.0,1992.0,3.0,3.0,270.0,3.0,5.0,1.67,11.0,6.0,54.5,1.0,1.0,1.0,0.0,0.0,,,,,
107,Gorka Iraizoz,ESP,GK,Athletic Club,es La Liga,34.0,1981.0,37.0,37.0,3243.0,36.0,37.0,1.03,124.0,92.0,73.4,17.0,8.0,12.0,13.0,35.1,5.0,4.0,1.0,0.0,20.0
108,Xabi Irureta,ESP,GK,Eibar,es La Liga,29.0,1986.0,5.0,5.0,450.0,5.0,8.0,1.6,24.0,16.0,66.7,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,Rune Jarstein,NOR,GK,Hertha BSC,de Bundesliga,30.0,1984.0,29.0,28.0,2565.0,28.5,36.0,1.26,123.0,87.0,70.7,12.0,7.0,9.0,12.0,42.9,,,,,
110,Jesús,ESP,GK,Granada,es La Liga,27.0,1988.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111,Geoffrey Jourdren,FRA,GK,Montpellier,fr Ligue 1,29.0,1986.0,7.0,7.0,630.0,7.0,8.0,1.14,29.0,21.0,72.4,4.0,0.0,3.0,2.0,28.6,,,,,
112,Carlos Kameni,CMR,GK,Málaga,es La Liga,31.0,1984.0,28.0,28.0,2467.0,27.4,25.0,0.91,99.0,76.0,75.8,8.0,9.0,11.0,9.0,32.1,2.0,1.0,1.0,0.0,50.0
113,Loris Karius,DEU,GK,Mainz 05,de Bundesliga,22.0,1993.0,34.0,34.0,3060.0,34.0,42.0,1.24,159.0,117.0,73.6,14.0,8.0,12.0,9.0,26.5,,,,,
114,Orestis Karnezis,GRC,GK,Udinese,it Serie A,30.0,1985.0,38.0,38.0,3420.0,38.0,60.0,1.58,169.0,109.0,64.5,10.0,9.0,19.0,8.0,21.1,,,,,
115,Thomas Kessler,DEU,GK,Köln,de Bundesliga,29.0,1986.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,,,,,
116,Thomas Kraft,DEU,GK,Hertha BSC,de Bundesliga,27.0,1988.0,6.0,6.0,495.0,5.5,7.0,1.27,23.0,16.0,69.6,2.0,1.0,3.0,1.0,16.7,,,,,
117,Dario Krešić,HRV,GK,Leverkusen,de Bundesliga,31.0,1984.0,1.0,1.0,46.0,0.5,1.0,1.96,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,,,
118,Tim Krul,NLD,GK,Newcastle Utd,eng Premier League,27.0,1988.0,8.0,8.0,720.0,8.0,17.0,2.12,50.0,33.0,66.0,0.0,3.0,5.0,1.0,12.5,,,,,
119,Alban Lafont,FRA,GK,Toulouse,fr Ligue 1,16.0,1999.0,24.0,24.0,2144.0,23.8,27.0,1.13,79.0,52.0,65.8,8.0,7.0,9.0,7.0,29.2,,,,,
120,Eugenio Lamanna,ITA,GK,Genoa,it Serie A,25.0,1989.0,13.0,13.0,1170.0,13.0,18.0,1.38,57.0,39.0,68.4,4.0,1.0,8.0,4.0,30.8,,,,,
121,Mitchell Langerak,AUS,GK,Stuttgart,de Bundesliga,26.0,1988.0,2.0,2.0,180.0,2.0,6.0,3.0,18.0,12.0,66.7,0.0,0.0,2.0,0.0,0.0,,,,,
122,Nicola Leali,ITA,GK,Frosinone,it Serie A,22.0,1993.0,33.0,33.0,2970.0,33.0,59.0,1.79,178.0,119.0,66.9,8.0,6.0,19.0,7.0,21.2,,,,,
123,Jean-Louis Leca,FRA,GK,Bastia,fr Ligue 1,29.0,1985.0,34.0,34.0,2989.0,33.2,35.0,1.05,121.0,86.0,71.1,12.0,8.0,14.0,12.0,35.3,,,,,
124,Benjamin Lecomte,FRA,GK,Lorient,fr Ligue 1,24.0,1991.0,37.0,37.0,3241.0,36.0,53.0,1.47,168.0,115.0,68.5,11.0,13.0,12.0,8.0,21.6,,,,,
125,Bernd Leno,DEU,GK,Leverkusen,de Bundesliga,23.0,1992.0,33.0,33.0,2970.0,33.0,38.0,1.15,134.0,96.0,71.6,17.0,6.0,10.0,13.0,39.4,,,,,
126,Alexandre Letellier,FRA,GK,Angers,fr Ligue 1,24.0,1990.0,17.0,17.0,1530.0,17.0,23.0,1.35,72.0,49.0,68.1,5.0,4.0,8.0,6.0,35.3,,,,,
127,Luca Lezzerini,ITA,GK,Fiorentina,it Serie A,20.0,1995.0,2.0,1.0,110.0,1.2,3.0,2.45,7.0,4.0,57.1,1.0,0.0,0.0,0.0,0.0,,,,,
128,Jonathan Ligali,FRA,GK,Montpellier,fr Ligue 1,24.0,1991.0,6.0,6.0,540.0,6.0,10.0,1.67,26.0,16.0,61.5,1.0,1.0,4.0,1.0,16.7,,,,,
130,Raúl Lizoain,ESP,GK,Las Palmas,es La Liga,24.0,1991.0,8.0,7.0,707.0,7.9,13.0,1.65,46.0,35.0,76.1,1.0,1.0,5.0,2.0,28.6,2.0,2.0,0.0,0.0,0.0
131,Hugo Lloris,FRA,GK,Tottenham,eng Premier League,28.0,1986.0,37.0,37.0,3330.0,37.0,34.0,0.92,119.0,85.0,71.4,19.0,13.0,5.0,13.0,35.1,,,,,
132,Anthony Lopes,PRT,GK,Lyon,fr Ligue 1,24.0,1990.0,37.0,37.0,3330.0,37.0,43.0,1.16,136.0,93.0,68.4,19.0,7.0,11.0,13.0,35.1,,,,,
133,Diego López,ESP,GK,Milan,it Serie A,33.0,1981.0,8.0,8.0,720.0,8.0,14.0,1.75,30.0,16.0,53.3,3.0,1.0,4.0,0.0,0.0,,,,,
134,Pau López,ESP,GK,Espanyol,es La Liga,20.0,1994.0,36.0,35.0,3195.0,35.5,62.0,1.75,153.0,96.0,62.7,12.0,7.0,16.0,7.0,20.0,5.0,5.0,0.0,0.0,0.0
