Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Kevin Agudelo,24,COL,"MF,FW",Spezia,it Serie A,22.0,1998.0,23.0,12.0,1237.0,13.7,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.22,0.07,0.29,0.22,0.29,2.0,2.0,1.1,3.1,0.15,0.08,0.23,0.15,0.23,24,COL,"MF,FW",Spezia,it Serie A,22.0,1998.0,13.7,3.0,21.0,11.0,52.4,1.53,0.8,0.14,0.27,17.2,0.0,0.0,0.0,2.0,2.0,0.1,1.0,1.0
Nayef Aguerd,26,MAR,DF,Rennes,fr Ligue 1,25.0,1996.0,31.0,31.0,2735.0,30.4,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.07,0.07,0.13,0.07,0.13,2.5,2.5,0.3,2.9,0.08,0.01,0.1,0.08,0.1,26,MAR,DF,Rennes,fr Ligue 1,25.0,1996.0,30.4,2.0,25.0,7.0,28.0,0.82,0.23,0.08,0.29,9.4,0.0,0.0,0.0,2.5,2.5,0.1,-0.5,-0.5
Sergio Agüero,27,ARG,FW,Barcelona,es La Liga,33.0,1988.0,4.0,2.0,151.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.2,1.2,0.2,1.4,0.69,0.11,0.8,0.69,0.8,27,ARG,FW,Barcelona,es La Liga,33.0,1988.0,1.7,1.0,6.0,1.0,16.7,3.58,0.6,0.17,1.0,12.0,0.0,0.0,0.0,1.2,1.2,0.19,-0.2,-0.2
Ruben Aguilar,28,FRA,DF,Monaco,fr Ligue 1,28.0,1993.0,28.0,22.0,2140.0,23.8,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,0.5,0.5,1.6,2.1,0.02,0.07,0.09,0.02,0.09,28,FRA,DF,Monaco,fr Ligue 1,28.0,1993.0,23.8,0.0,10.0,2.0,20.0,0.42,0.08,0.0,0.0,22.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Álvaro Aguirre,29,ESP,FW,Rayo Vallecano,es La Liga,21.0,2000.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,ESP,FW,Rayo Vallecano,es La Liga,21.0,2000.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Naouirou Ahamada,30,FRA,"MF,DF",Stuttgart,de Bundesliga,19.0,2002.0,3.0,0.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,FRA,"MF,DF",Stuttgart,de Bundesliga,19.0,2002.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Anel Ahmedhodzic,31,BIH,DF,Bordeaux,fr Ligue 1,22.0,1999.0,15.0,15.0,1350.0,15.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.07,0.07,0.0,0.07,0.5,0.5,1.0,1.5,0.03,0.07,0.1,0.03,0.1,31,BIH,DF,Bordeaux,fr Ligue 1,22.0,1999.0,15.0,0.0,8.0,4.0,50.0,0.53,0.27,0.0,0.0,16.0,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5
Jean-Eudes Aholou,32,CIV,MF,Strasbourg,fr Ligue 1,27.0,1994.0,25.0,11.0,1004.0,11.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,2.2,2.2,0.9,3.1,0.19,0.08,0.28,0.19,0.28,32,CIV,MF,Strasbourg,fr Ligue 1,27.0,1994.0,11.2,1.0,17.0,2.0,11.8,1.52,0.18,0.06,0.5,21.2,0.0,0.0,0.0,2.2,2.2,0.13,-1.2,-1.2
Joseph Aidoo,33,GHA,DF,Celta Vigo,es La Liga,25.0,1995.0,32.0,30.0,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.9,0.02,0.02,0.03,0.02,0.03,33,GHA,DF,Celta Vigo,es La Liga,25.0,1995.0,29.3,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,13.3,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5
Ola Aina,34,NGA,DF,Torino,it Serie A,24.0,1996.0,21.0,17.0,1437.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,0.02,0.1,0.12,0.02,0.12,34,NGA,DF,Torino,it Serie A,24.0,1996.0,16.0,0.0,10.0,4.0,40.0,0.63,0.25,0.0,0.0,23.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4
