,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
78,Sassuolo,Serie A,31.0,38.0,69.0,547.0,191.0,34.9,14.39,5.03,0.12,0.34,19.8,32.0,5.0,6.0,52.9,48.2,0.09,16.1,15.8
79,Schalke 04,Bundesliga,29.0,34.0,35.0,383.0,124.0,32.4,11.26,3.65,0.09,0.27,18.5,10.0,2.0,2.0,37.8,36.2,0.1,-2.8,-3.2
80,Sevilla,La Liga,26.0,38.0,53.0,484.0,164.0,33.9,12.74,4.32,0.1,0.28,16.7,17.0,7.0,7.0,53.2,47.9,0.1,-0.2,-1.9
81,Sheffield Utd,Premier League,26.0,38.0,36.0,352.0,109.0,31.0,9.26,2.87,0.1,0.32,15.2,4.0,1.0,1.0,43.0,42.2,0.12,-7.0,-7.2
82,Southampton,Premier League,25.0,38.0,51.0,494.0,171.0,34.6,13.0,4.5,0.1,0.29,17.8,27.0,2.0,5.0,56.1,52.1,0.11,-5.1,-3.1
83,SPAL,Serie A,34.0,38.0,27.0,462.0,117.0,25.3,12.16,3.08,0.05,0.19,19.4,23.0,5.0,7.0,40.7,35.2,0.08,-13.7,-13.2
84,Strasbourg,Ligue 1,25.0,27.0,32.0,323.0,105.0,32.5,11.96,3.89,0.09,0.28,18.3,13.0,3.0,4.0,34.2,31.1,0.1,-2.2,-2.1
85,Torino,Serie A,27.0,38.0,44.0,438.0,144.0,32.9,11.53,3.79,0.08,0.26,18.4,21.0,7.0,8.0,44.8,39.4,0.09,-0.8,-2.4
86,Tottenham,Premier League,29.0,38.0,56.0,440.0,154.0,35.0,11.58,4.05,0.12,0.34,18.4,21.0,3.0,4.0,47.9,44.7,0.1,8.1,8.3
87,Toulouse,Ligue 1,30.0,28.0,21.0,310.0,90.0,29.0,11.07,3.21,0.05,0.19,18.5,12.0,4.0,6.0,31.7,27.2,0.09,-10.7,-10.2
88,Udinese,Serie A,25.0,38.0,37.0,469.0,141.0,30.1,12.34,3.71,0.08,0.26,18.5,12.0,0.0,0.0,41.6,41.6,0.09,-4.6,-4.6
89,Union Berlin,Bundesliga,26.0,34.0,38.0,397.0,130.0,32.7,11.68,3.82,0.09,0.26,18.0,7.0,4.0,5.0,41.4,37.6,0.1,-3.4,-3.6
90,Valencia,La Liga,28.0,38.0,45.0,331.0,111.0,33.5,8.71,2.92,0.12,0.36,18.0,18.0,5.0,8.0,43.3,37.2,0.11,1.7,2.8
91,Valladolid,La Liga,30.0,38.0,31.0,369.0,116.0,31.4,9.71,3.05,0.08,0.24,20.0,29.0,3.0,6.0,36.5,32.1,0.09,-5.5,-4.1
92,Villarreal,La Liga,25.0,38.0,62.0,483.0,160.0,33.1,12.71,4.21,0.11,0.33,18.2,15.0,10.0,11.0,63.6,55.2,0.12,-1.6,-3.2
93,Watford,Premier League,26.0,38.0,35.0,416.0,112.0,26.9,10.95,2.95,0.07,0.25,17.3,18.0,7.0,8.0,48.9,42.6,0.1,-13.9,-14.6
94,Werder Bremen,Bundesliga,30.0,34.0,40.0,419.0,133.0,31.7,12.32,3.91,0.09,0.28,18.7,11.0,3.0,6.0,39.4,34.7,0.09,0.6,2.3
95,West Ham,Premier League,29.0,38.0,49.0,413.0,156.0,37.8,10.87,4.11,0.11,0.29,16.4,13.0,4.0,4.0,48.6,45.4,0.11,0.4,-0.4
96,Wolfsburg,Bundesliga,26.0,34.0,48.0,471.0,153.0,32.5,13.85,4.5,0.09,0.29,18.0,12.0,4.0,4.0,52.8,49.7,0.11,-4.8,-5.7
97,Wolves,Premier League,21.0,38.0,49.0,457.0,142.0,31.1,12.03,3.74,0.1,0.32,17.4,13.0,4.0,4.0,54.1,51.0,0.11,-5.1,-6.0
