,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
2020,Sebastian Walukiewicz,Torino,0.8,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2021,Sebastian Walukiewicz,Empoli,2.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2022,Aaron Wan-Bissaka,West Ham,2.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2023,Paul Wanner,Heidenheim,2.4,2,2,1,50.0,0.83,0.42,0.50,1.00,18.7,0,1,1,1.2,0.4,0.18,+0.8,+0.6
2024,James Ward-Prowse,West Ham,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2025,James Ward-Prowse,Nott'ham Forest,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026,Ollie Watkins,Aston Villa,3.0,2,10,5,50.0,3.36,1.68,0.20,0.40,8.8,0,0,0,2.8,2.8,0.28,-0.8,-0.8
2028,Timothy Weah,Juventus,0.8,1,1,1,100.0,1.30,1.30,1.00,1.00,16.1,0,0,0,0.1,0.1,0.12,+0.9,+0.9
2029,Adam Webster,Brighton,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2030,Julian Weigl,Gladbach,2.8,0,2,1,50.0,0.71,0.35,0.00,0.00,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0
2031,Timon Weiner,Holstein Kiel,3.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2032,Nelson Weiper,Mainz 05,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2033,Mitchell Weiser,Werder Bremen,3.0,0,6,2,33.3,2.00,0.67,0.00,0.00,13.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
2034,Danny Welbeck,Brighton,3.7,2,10,4,40.0,2.68,1.07,0.20,0.50,13.9,1,0,0,1.6,1.6,0.16,+0.4,+0.4
2035,Timo Werner,Tottenham,0.5,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2036,Adam Wharton,Crystal Palace,3.8,0,5,3,60.0,1.31,0.79,0.00,0.00,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2037,Ben White,Arsenal,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2038,Silvan Widmer,Mainz 05,0.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2039,Mats Wieffer,Brighton,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2040,Mateusz Wieteska,Cagliari,1.0,0,1,0,0.0,1.00,0.00,0.00,0.0,8.1,0,0,0,0.2,0.2,0.21,-0.2,-0.2
2041,Caleb Wiley,Strasbourg,2.4,0,1,0,0.0,0.42,0.00,0.00,0.0,27.3,0,0,0,0.0,0.0,0.03,0.0,0.0
2042,Inaki Williams,Athletic Club,4.6,0,7,1,14.3,1.51,0.22,0.00,0.00,16.4,0,0,0,0.9,0.9,0.13,-0.9,-0.9
2043,Neco Williams,Nott'ham Forest,3.1,0,7,1,14.3,2.24,0.32,0.00,0.00,18.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
2044,Nico Williams,Athletic Club,3.4,1,10,4,40.0,2.98,1.19,0.10,0.25,18.7,1,0,0,0.7,0.7,0.07,+0.3,+0.3
2045,Joe Willock,Newcastle Utd,0.7,0,2,0,0.0,2.73,0.00,0.00,0.0,12.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
2046,Harry Wilson,Fulham,0.4,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2047,Patrick Wimmer,Wolfsburg,2.6,0,5,1,20.0,1.96,0.39,0.00,0.00,16.5,0,0,0,0.8,0.8,0.16,-0.8,-0.8
2048,Jonas Wind,Wolfsburg,0.5,0,3,0,0.0,6.28,0.00,0.00,0.0,17.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3
2049,Harry Winks,Leicester City,4.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2050,Florian Wirtz,Leverkusen,3.0,3,11,6,54.5,3.67,2.00,0.18,0.33,20.5,0,1,2,2.2,0.5,0.04,+0.8,+1.5
2051,Yoane Wissa,Brentford,3.2,3,9,4,44.4,2.80,1.25,0.33,0.75,11.4,0,0,0,2.4,2.4,0.27,+0.6,+0.6
2052,Dani de Wit,Bochum,2.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2054,Axel Witsel,Atlético Madrid,1.5,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2055,Maximilian Wittek,Bochum,3.0,0,7,1,14.3,2.33,0.33,0.00,0.00,26.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2
2056,Marius Wolf,Augsburg,1.3,1,3,1,33.3,2.33,0.78,0.33,1.00,11.1,0,0,0,0.2,0.2,0.08,+0.8,+0.8
2057,Nick Woltemade,Stuttgart,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2058,Jeong Woo-yeong,Union Berlin,0.3,0,1,0,0.0,3.75,0.00,0.00,0.0,10.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
2059,Chris Wood,Nott'ham Forest,3.5,2,10,7,70.0,2.85,1.99,0.20,0.29,11.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5
2060,Christopher Wooh,Rennes,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,11.2,0,0,0,0.0,0.0,0.02,0.0,0.0
2061,Luke Woolfenden,Ipswich Town,3.0,0,1,0,0.0,0.33,0.00,0.00,0.0,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0
2062,Granit Xhaka,Leverkusen,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,28.5,0,0,0,0.1,0.1,0.04,+0.9,+0.9
2063,Lamine Yamal,Barcelona,4.9,3,16,7,43.8,3.26,1.43,0.19,0.43,18.8,0,0,0,1.5,1.5,0.09,+1.5,+1.5
2064,Yehor Yarmoliuk,Brentford,0.1,0,1,0,0.0,12.86,0.00,0.00,0.0,21.3,0,0,0,0.0,0.0,0.04,0.0,0.0
2065,Ryan Yates,Nott'ham Forest,2.5,0,4,2,50.0,1.61,0.80,0.00,0.00,22.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
2066,John Yeboah,Venezia,0.3,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2067,Bertug Yildirim,Getafe,1.9,0,2,1,50.0,1.08,0.54,0.00,0.00,14.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2068,Kenan Yildiz,Juventus,3.7,0,7,2,28.6,1.88,0.54,0.00,0.00,20.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
2069,Ashley Young,Everton,1.7,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2070,Etienne Youte Kinkoue,Le Havre,2.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2071,Illia Zabarnyi,Bournemouth,4.0,0,1,0,0.0,0.25,0.00,0.00,0.0,6.1,0,0,0,0.2,0.2,0.19,-0.2,-0.2
2072,Mattia Zaccagni,Lazio,3.7,1,7,3,42.9,1.87,0.80,0.00,0.00,19.2,0,1,1,1.8,1.0,0.14,-0.8,-1.0
2073,Dan-Axel Zagadou,Stuttgart,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2074,Yoram Zague,Paris S-G,0.8,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2075,Warren Zaire-Emery,Paris S-G,2.9,1,2,2,100.0,0.70,0.70,0.50,0.50,21.4,0,0,0,0.5,0.5,0.25,+0.5,+0.5
2076,Miha Zajc,Toulouse,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2077,Denis Zakaria,Monaco,3.8,2,4,2,50.0,1.06,0.53,0.50,1.00,17.5,0,0,0,0.7,0.7,0.19,+1.3,+1.3
2078,Nicola Zalewski,Roma,1.6,0,2,0,0.0,1.27,0.00,0.00,0.0,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
