,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
30,Fiorentina,Serie A,30.0,38.0,62.0,614.0,224.0,36.5,16.16,5.89,0.09,0.25,,6.0,10.0
31,Freiburg,Bundesliga,25.0,34.0,42.0,409.0,142.0,34.7,12.03,4.18,0.09,0.25,,6.0,8.0
32,Genoa,Serie A,33.0,38.0,36.0,453.0,148.0,32.7,11.92,3.89,0.08,0.23,,2.0,3.0
33,Granada,La Liga,35.0,38.0,30.0,385.0,125.0,32.5,10.13,3.29,0.08,0.24,,0.0,1.0
34,Guingamp,Ligue 1,25.0,38.0,46.0,446.0,167.0,37.4,11.74,4.39,0.09,0.25,,4.0,4.0
35,Hamburger SV,Bundesliga,29.0,34.0,32.0,366.0,110.0,30.1,10.76,3.24,0.09,0.29,,0.0,2.0
36,Hertha BSC,Bundesliga,26.0,34.0,42.0,348.0,127.0,36.5,10.24,3.74,0.11,0.29,,5.0,5.0
37,Hoffenheim,Bundesliga,23.0,34.0,64.0,497.0,178.0,35.8,14.62,5.24,0.12,0.33,,5.0,5.0
38,Hull City,Premier League,28.0,38.0,36.0,396.0,126.0,31.8,10.42,3.32,0.08,0.26,,3.0,3.0
39,Ingolstadt 04,Bundesliga,22.0,34.0,35.0,460.0,161.0,35.0,13.53,4.74,0.06,0.18,,6.0,8.0
40,Inter,Serie A,29.0,38.0,70.0,636.0,212.0,33.3,16.74,5.58,0.11,0.32,,3.0,5.0
41,Juventus,Serie A,27.0,38.0,72.0,588.0,211.0,35.9,15.47,5.55,0.12,0.33,,3.0,3.0
42,Köln,Bundesliga,26.0,34.0,49.0,360.0,118.0,32.8,10.59,3.47,0.13,0.39,,3.0,4.0
43,La Coruña,La Liga,28.0,38.0,42.0,462.0,146.0,31.6,12.16,3.84,0.08,0.27,,3.0,7.0
44,Las Palmas,La Liga,29.0,38.0,52.0,437.0,182.0,41.6,11.5,4.79,0.11,0.25,,6.0,6.0
45,Lazio,Serie A,30.0,38.0,73.0,590.0,212.0,35.9,15.53,5.58,0.1,0.29,,12.0,14.0
46,Leganés,La Liga,31.0,38.0,36.0,411.0,135.0,32.8,10.82,3.55,0.08,0.24,,3.0,4.0
47,Leicester City,Premier League,25.0,38.0,46.0,435.0,145.0,33.3,11.45,3.82,0.1,0.29,,4.0,6.0
48,Leverkusen,Bundesliga,24.0,34.0,53.0,449.0,177.0,39.4,13.21,5.21,0.11,0.28,,4.0,9.0
49,Lille,Ligue 1,31.0,38.0,40.0,488.0,157.0,32.2,12.84,4.13,0.07,0.22,,6.0,7.0
50,Liverpool,Premier League,23.0,38.0,77.0,639.0,236.0,36.9,16.82,6.21,0.11,0.3,,7.0,8.0
51,Lorient,Ligue 1,30.0,38.0,43.0,429.0,150.0,35.0,11.29,3.95,0.09,0.26,,4.0,6.0
52,Lyon,Ligue 1,27.0,38.0,74.0,575.0,217.0,37.7,15.13,5.71,0.11,0.29,,12.0,14.0
53,M'Gladbach,Bundesliga,24.0,34.0,44.0,414.0,141.0,34.1,12.18,4.15,0.1,0.3,,1.0,4.0
54,Mainz 05,Bundesliga,28.0,34.0,43.0,419.0,146.0,34.8,12.32,4.29,0.09,0.25,,7.0,7.0
55,Málaga,La Liga,29.0,38.0,48.0,492.0,168.0,34.1,12.95,4.42,0.09,0.27,,3.0,5.0
56,Manchester City,Premier League,25.0,38.0,75.0,633.0,215.0,34.0,16.66,5.66,0.11,0.32,,7.0,9.0
57,Manchester Utd,Premier League,31.0,38.0,54.0,589.0,207.0,35.1,15.5,5.45,0.09,0.25,,3.0,4.0
58,Marseille,Ligue 1,27.0,38.0,56.0,469.0,173.0,36.9,12.34,4.55,0.11,0.3,,4.0,4.0
59,Metz,Ligue 1,31.0,38.0,37.0,356.0,115.0,32.3,9.37,3.03,0.08,0.25,,8.0,9.0
60,Middlesbrough,Premier League,27.0,38.0,26.0,349.0,98.0,28.1,9.18,2.58,0.07,0.24,,2.0,2.0
61,Milan,Serie A,28.0,38.0,55.0,556.0,191.0,34.4,14.63,5.03,0.09,0.25,,7.0,12.0
62,Monaco,Ligue 1,29.0,38.0,103.0,556.0,249.0,44.8,14.63,6.55,0.17,0.37,,11.0,11.0
63,Montpellier,Ligue 1,32.0,38.0,48.0,506.0,164.0,32.4,13.32,4.32,0.09,0.27,,3.0,3.0
64,Nancy,Ligue 1,27.0,38.0,29.0,378.0,113.0,29.9,9.95,2.97,0.07,0.25,,1.0,3.0
65,Nantes,Ligue 1,27.0,38.0,40.0,459.0,141.0,30.7,12.08,3.71,0.08,0.27,,2.0,4.0
66,Napoli,Serie A,26.0,38.0,94.0,672.0,261.0,38.8,17.68,6.87,0.13,0.34,,5.0,6.0
67,Nice,Ligue 1,27.0,38.0,63.0,434.0,171.0,39.4,11.42,4.5,0.13,0.33,,6.0,8.0
68,Osasuna,La Liga,35.0,38.0,37.0,395.0,147.0,37.2,10.39,3.87,0.08,0.22,,4.0,6.0
69,Palermo,Serie A,30.0,38.0,33.0,385.0,119.0,30.9,10.13,3.13,0.08,0.27,,1.0,1.0
70,Paris S-G,Ligue 1,28.0,38.0,79.0,585.0,228.0,39.0,15.39,6.0,0.12,0.31,,9.0,10.0
71,Pescara,Serie A,34.0,38.0,32.0,449.0,145.0,32.3,11.82,3.82,0.07,0.21,,2.0,6.0
72,RB Leipzig,Bundesliga,23.0,34.0,62.0,444.0,173.0,39.0,13.06,5.09,0.13,0.34,,3.0,4.0
73,Real Madrid,La Liga,24.0,38.0,106.0,662.0,265.0,40.0,17.42,6.97,0.15,0.38,,6.0,8.0
74,Real Sociedad,La Liga,27.0,38.0,56.0,493.0,167.0,33.9,12.97,4.39,0.1,0.29,,7.0,8.0
75,Rennes,Ligue 1,31.0,38.0,35.0,430.0,145.0,33.7,11.32,3.82,0.08,0.23,,2.0,3.0
76,Roma,Serie A,22.0,38.0,88.0,677.0,235.0,34.7,17.82,6.18,0.11,0.32,,12.0,14.0
77,Saint-Étienne,Ligue 1,34.0,38.0,40.0,405.0,133.0,32.8,10.66,3.5,0.09,0.26,,5.0,6.0
78,Sampdoria,Serie A,24.0,38.0,45.0,504.0,165.0,32.7,13.26,4.34,0.08,0.23,,7.0,8.0
79,Sassuolo,Serie A,28.0,38.0,59.0,445.0,173.0,38.9,11.71,4.55,0.11,0.29,,9.0,10.0
80,Schalke 04,Bundesliga,29.0,34.0,45.0,446.0,135.0,30.3,13.12,3.97,0.1,0.32,,2.0,4.0
81,Sevilla,La Liga,28.0,38.0,67.0,487.0,200.0,41.1,12.82,5.26,0.13,0.32,,3.0,5.0
82,Southampton,Premier League,26.0,38.0,39.0,549.0,179.0,32.6,14.45,4.71,0.07,0.2,,3.0,6.0
83,Sporting Gijón,La Liga,29.0,38.0,42.0,377.0,135.0,35.8,9.92,3.55,0.1,0.28,,4.0,7.0
84,Stoke City,Premier League,26.0,38.0,37.0,426.0,135.0,31.7,11.21,3.55,0.08,0.24,,4.0,6.0
85,Sunderland,Premier League,31.0,38.0,28.0,388.0,122.0,31.4,10.21,3.21,0.06,0.19,,5.0,5.0
86,Swansea City,Premier League,27.0,38.0,45.0,403.0,145.0,36.0,10.61,3.82,0.1,0.29,,3.0,3.0
87,Torino,Serie A,29.0,38.0,70.0,580.0,185.0,31.9,15.26,4.87,0.11,0.35,,5.0,9.0
88,Tottenham,Premier League,24.0,38.0,84.0,670.0,257.0,38.4,17.63,6.76,0.11,0.3,,7.0,9.0
89,Toulouse,Ligue 1,30.0,38.0,37.0,381.0,131.0,34.4,10.03,3.45,0.08,0.24,,6.0,9.0
90,Udinese,Serie A,29.0,38.0,47.0,435.0,155.0,35.6,11.45,4.08,0.1,0.29,,2.0,3.0
91,Valencia,La Liga,31.0,38.0,53.0,454.0,176.0,38.8,11.95,4.63,0.11,0.28,,4.0,6.0
92,Villarreal,La Liga,27.0,38.0,55.0,430.0,170.0,39.5,11.32,4.47,0.11,0.29,,6.0,8.0
93,Watford,Premier League,33.0,38.0,39.0,424.0,143.0,33.7,11.16,3.76,0.08,0.25,,3.0,3.0
94,Werder Bremen,Bundesliga,31.0,34.0,61.0,378.0,153.0,40.5,11.12,4.5,0.15,0.36,,6.0,6.0
95,West Brom,Premier League,23.0,38.0,43.0,399.0,124.0,31.1,10.5,3.26,0.11,0.34,,1.0,1.0
96,West Ham,Premier League,29.0,38.0,46.0,498.0,136.0,27.3,13.11,3.58,0.09,0.32,,3.0,4.0
97,Wolfsburg,Bundesliga,31.0,34.0,32.0,430.0,141.0,32.8,12.65,4.15,0.07,0.21,,3.0,3.0
