,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
84,Steven Alzate,co COL,MF,Brighton,Premier League,21.0,1998.0,10.0,449.0,438.0,11.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,403.0,0.0,5.0
85,Ibrahim Amadou,fr FRA,MF,Angers,Ligue 1,27.0,1993.0,16.7,691.0,677.0,13.0,11.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,582.0,1.0,11.0
86,Romain Amalfitano,fr FRA,"FW,DF",Dijon,Ligue 1,30.0,1989.0,1.3,57.0,52.0,4.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,44.0,1.0,1.0
87,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,La Liga,18.0,2001.0,0.5,14.0,11.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
88,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,25.0,1994.0,8.0,493.0,453.0,38.0,2.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,414.0,2.0,8.0
89,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,26.0,1994.0,9.0,442.0,362.0,79.0,6.0,0.0,3.0,10.0,73.0,0.0,0.0,0.0,0.0,343.0,1.0,14.0
90,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,23.0,1997.0,8.4,243.0,229.0,13.0,1.0,1.0,2.0,19.0,2.0,3.0,3.0,0.0,0.0,164.0,1.0,15.0
91,Wisdom Amey,it ITA,DF,Bologna,Serie A,14.0,2005.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
92,Nadiem Amiri,de GER,MF,Leverkusen,Bundesliga,23.0,1996.0,21.0,1139.0,1036.0,96.0,41.0,3.0,3.0,68.0,7.0,44.0,15.0,19.0,0.0,930.0,7.0,24.0
93,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,Premier League,19.0,2000.0,23.2,1087.0,1002.0,83.0,18.0,0.0,15.0,19.0,60.0,5.0,5.0,0.0,0.0,870.0,2.0,14.0
94,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,23.0,1996.0,27.1,1378.0,1314.0,61.0,38.0,0.0,33.0,16.0,5.0,0.0,0.0,0.0,0.0,1210.0,3.0,18.0
95,Jon Ander Garrido,es ESP,MF,Cádiz,La Liga,30.0,1989.0,8.9,230.0,223.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,2.0
96,Joachim Andersen,dk DEN,DF,Fulham,Premier League,24.0,1996.0,30.3,1993.0,1902.0,83.0,68.0,0.0,35.0,12.0,15.0,0.0,0.0,0.0,0.0,1609.0,8.0,13.0
97,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,24.0,1996.0,2.1,117.0,110.0,7.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,0.0,1.0
