,Player,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
136,Marco Asensio,19.2,10,64,32,50.0,3.33,1.66,0.16,0.31,18.9,2,0,0,7.5,7.5,0.12,+2.5,+2.5
140,Kristjan Asllani,15.0,1,17,6,35.3,1.13,0.40,0.06,0.17,25.6,2,0,0,0.8,0.8,0.04,+0.2,+0.2
141,Iago Aspas,34.3,18,85,36,42.4,2.48,1.05,0.18,0.42,16.5,7,3,5,14.1,10.2,0.12,+3.9,+4.8
142,Lorenz Assignon,6.8,0,6,4,66.7,0.88,0.58,0.00,0.00,8.4,0,0,0,0.7,0.7,0.13,-0.7,-0.7
144,Youcef Atal,12.7,2,13,5,38.5,1.03,0.39,0.15,0.40,18.7,0,0,0,0.9,0.9,0.07,+1.1,+1.1
145,Pierre-Emerick Aubameyang,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,15.0,0,0,2,5.9,4.2,0.13,-1.9,-0.2
146,Pierre-Emerick Aubameyang,12.0,11,37,20,54.1,3.08,1.66,0.30,0.55,12.0,0,0,0,7.8,7.8,0.21,+3.2,+3.2
148,Tommaso Augello,26.6,1,7,2,28.6,0.26,0.08,0.14,0.50,18.3,0,0,0,0.4,0.4,0.06,+0.6,+0.6
150,Ludwig Augustinsson,8.8,0,4,2,50.0,0.45,0.23,0.00,0.00,15.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4
151,Serge Aurier,11.2,0,11,2,18.2,0.98,0.18,0.00,0.00,15.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
152,Ezequiel Avila,20.8,6,62,15,24.2,2.98,0.72,0.08,0.33,24.6,4,1,1,4.3,3.5,0.06,+1.7,+1.5
153,Taiwo Awoniyi,24.2,15,65,30,46.2,2.69,1.24,0.20,0.43,13.1,0,2,2,13.6,12.0,0.18,+1.4,+1.0
156,Jordan Ayew,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,16.8,1,0,0,3.1,3.1,0.09,-0.1,-0.1
157,Kaan Ayhan,15.0,1,5,1,20.0,0.33,0.07,0.20,1.00,16.9,2,0,0,0.3,0.3,0.06,+0.7,+0.7
158,Luke Ayling,25.2,2,19,3,15.8,0.75,0.12,0.11,0.67,13.0,0,0,0,1.2,1.2,0.07,+0.8,+0.8
159,Karim Azamoum,4.3,0,3,3,100.0,0.70,0.70,0.00,0.00,22.4,1,0,0,0.1,0.1,0.04,-0.1,-0.1
160,Sardar Azmoun,4.0,1,11,4,36.4,2.76,1.00,0.09,0.25,12.7,0,0,0,2.9,2.9,0.27,-1.9,-1.9
161,Cesar Azpilicueta,23.0,1,11,4,36.4,0.48,0.17,0.09,0.25,14.7,0,0,0,0.9,0.9,0.08,+0.1,+0.1
162,Iddrisu Baba,21.5,1,23,8,34.8,1.07,0.37,0.04,0.13,24.4,0,0,0,1.4,1.4,0.06,-0.4,-0.4
163,Carlos Bacca,5.7,0,9,2,22.2,1.58,0.35,0.00,0.00,14.5,0,0,0,0.9,0.9,0.10,-0.9,-0.9
166,Milan Badelj,31.6,1,21,5,23.8,0.66,0.16,0.05,0.20,23.1,0,0,0,1.0,1.0,0.05,0.0,0.0
168,Benoit Badiashile,20.4,1,14,4,28.6,0.69,0.20,0.07,0.25,10.4,0,0,0,1.6,1.6,0.11,-0.6,-0.6
173,Stephane Bahoken,12.2,3,24,14,58.3,1.97,1.15,0.13,0.21,17.0,0,0,0,4.1,4.1,0.17,-1.1,-1.1
174,Leon Bailey,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5
178,Nedim Bajrami,22.8,6,51,18,35.3,2.23,0.79,0.06,0.17,21.0,8,3,3,6.4,4.0,0.08,-0.4,-1.0
179,Cedric Bakambu,4.0,4,19,8,42.1,4.80,2.02,0.21,0.50,13.4,0,0,0,2.6,2.6,0.13,+1.4,+1.4
183,Mitchel Bakker,20.2,1,9,3,33.3,0.44,0.15,0.11,0.33,20.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6
184,Ridle Baku,27.2,3,36,8,22.2,1.32,0.29,0.08,0.38,21.2,0,0,0,1.8,1.8,0.05,+1.2,+1.2
185,Dilane Bakwa,0.5,0,2,1,50.0,4.19,2.09,0.00,0.00,18.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
189,Keita Balde,13.7,3,27,11,40.7,1.98,0.81,0.11,0.27,13.3,0,0,0,3.5,3.5,0.13,-0.5,-0.5
190,Gareth Bale,3.1,1,15,6,40.0,4.82,1.93,0.07,0.17,19.7,2,0,0,1.2,1.2,0.08,-0.2,-0.2
191,Mikel Balenziaga,22.5,0,7,2,28.6,0.31,0.09,0.00,0.00,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
193,Ivan Balliu,35.0,1,15,3,20.0,0.43,0.09,0.07,0.33,19.9,0,0,0,0.9,0.9,0.06,+0.1,+0.1
194,Fode Ballo-Toure,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,14.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3
197,Jonathan Bamba,27.0,1,51,12,23.5,1.89,0.44,0.02,0.08,19.9,2,0,0,3.0,3.0,0.06,-2.0,-2.0
198,Patrick Bamford,6.2,2,20,5,25.0,3.22,0.81,0.10,0.40,14.0,0,0,0,3.0,3.0,0.15,-1.0,-1.0
199,Filippo Bandinelli,21.7,2,35,11,31.4,1.61,0.51,0.06,0.18,19.9,0,0,0,2.2,2.2,0.06,-0.2,-0.2
200,Mattia Bani,13.5,0,9,1,11.1,0.67,0.07,0.00,0.00,10.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1
201,Simon Banza,1.4,1,6,4,66.7,4.35,2.90,0.17,0.25,15.5,0,0,0,1.0,1.0,0.17,0.0,0.0
202,Shandon Baptiste,10.1,1,12,4,33.3,1.19,0.40,0.08,0.25,20.1,0,0,0,0.7,0.7,0.06,+0.3,+0.3
203,Antonin Barak,26.0,11,47,20,42.6,1.81,0.77,0.15,0.35,15.7,2,4,4,8.9,5.7,0.12,+2.1,+1.3
208,Bradley Barcola,2.9,0,5,2,40.0,1.71,0.68,0.00,0.00,13.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
209,Melvin Bard,28.8,2,5,2,40.0,0.17,0.07,0.40,1.00,17.2,0,0,0,0.9,0.9,0.18,+1.1,+1.1
210,Enis Bardhi,18.9,3,41,8,19.5,2.17,0.42,0.02,0.13,24.3,9,2,2,3.9,2.2,0.05,-0.9,-1.2
212,Keidi Bare,16.5,1,4,1,25.0,0.24,0.06,0.25,1.00,13.2,0,0,0,0.3,0.3,0.07,+0.7,+0.7
213,Nicolo Barella,32.4,3,68,12,17.6,2.10,0.37,0.04,0.25,20.5,0,0,0,4.7,4.7,0.07,-1.7,-1.7
214,Kike Barja,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,18.9,0,0,0,1.5,1.5,0.09,+0.5,+0.5
215,Ross Barkley,2.0,1,9,4,44.4,4.53,2.01,0.11,0.25,22.3,0,0,0,1.0,1.0,0.11,0.0,0.0
216,Aymen Barkok,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,30.3,0,0,0,0.0,0.0,0.01,0.0,0.0
217,Ashley Barnes,9.0,1,15,5,33.3,1.67,0.56,0.00,0.00,17.3,0,1,1,2.1,1.4,0.09,-1.1,-1.4
218,Harvey Barnes,23.3,6,66,24,36.4,2.83,1.03,0.09,0.25,16.1,0,0,0,5.6,5.6,0.09,+0.4,+0.4
220,Leandro Barreiro Martins,19.9,1,32,10,31.3,1.61,0.50,0.03,0.10,19.5,0,0,0,2.5,2.5,0.08,-1.5,-1.5
221,Ander Barrenetxea,6.1,1,8,2,25.0,1.32,0.33,0.13,0.50,15.2,0,0,0,0.5,0.5,0.06,+0.5,+0.5
222,Jacob Barrett Laursen,18.1,2,8,4,50.0,0.44,0.22,0.25,0.50,26.1,0,0,0,0.2,0.2,0.03,+1.8,+1.8
223,Musa Barrow,23.7,6,71,27,38.0,2.99,1.14,0.08,0.22,21.4,3,0,0,5.9,5.9,0.08,+0.1,+0.1
225,Marc Bartra,22.1,1,15,3,20.0,0.68,0.14,0.07,0.33,16.3,0,0,0,1.6,1.6,0.11,-0.6,-0.6
228,Toma Basic,10.9,0,16,11,68.8,1.47,1.01,0.00,0.00,21.8,2,0,0,1.6,1.6,0.12,-1.6,-1.6
230,Amine Bassi,2.0,0,4,1,25.0,1.96,0.49,0.00,0.00,26.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
232,Alessandro Bastoni,25.7,1,9,2,22.2,0.35,0.08,0.11,0.50,20.5,0,0,0,0.3,0.3,0.04,+0.7,+0.7
234,Simone Bastoni,25.4,3,28,6,21.4,1.10,0.24,0.11,0.50,24.1,0,0,0,1.5,1.5,0.05,+1.5,+1.5
236,Rodrigo Battaglia,13.1,0,5,1,20.0,0.38,0.08,0.00,0.00,21.2,0,0,0,0.4,0.4,0.08,-0.4,-0.4
237,Maximilian Bauer,18.8,0,5,1,20.0,0.27,0.05,0.00,0.00,12.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
239,Timo Baumgartl,24.1,1,13,5,38.5,0.54,0.21,0.08,0.20,9.9,0,0,0,1.5,1.5,0.11,-0.5,-0.5
241,Christoph Baumgartner,21.0,7,42,17,40.5,2.00,0.81,0.17,0.41,13.5,0,0,0,7.0,7.0,0.17,0.0,0.0
244,Noah Joel Sarenren Bazee,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,14.2,0,0,0,0.6,0.6,0.08,+0.4,+0.4
245,Bebe,9.6,1,50,8,16.0,5.19,0.83,0.02,0.13,26.7,10,0,0,1.7,1.7,0.03,-0.7,-0.7
246,Ihlas Bebou,23.2,7,46,14,30.4,1.98,0.60,0.15,0.50,11.8,0,0,0,9.4,9.4,0.21,-2.4,-2.4
247,Rodrigo Becao,34.8,2,19,5,26.3,0.55,0.14,0.11,0.40,13.5,0,0,0,1.0,1.0,0.05,+1.0,+1.0
249,Sheraldo Becker,19.5,4,37,18,48.6,1.89,0.92,0.11,0.22,20.1,1,0,0,2.4,2.4,0.06,+1.6,+1.6
250,Jan Bednarek,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,8.9,0,0,0,2.2,2.2,0.12,+1.8,+1.8
251,Donny van de Beek,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.0,0,0,0,0.5,0.5,0.24,+0.5,+0.5
252,Donny van de Beek,5.4,1,5,1,20.0,0.93,0.19,0.20,1.00,20.5,0,0,0,1.1,1.1,0.21,-0.1,-0.1
255,Kevin Behrens,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4
256,Youcef Belaili,9.2,3,16,6,37.5,1.75,0.65,0.19,0.50,15.9,2,0,1,2.8,1.9,0.12,+0.2,+1.1
258,Ishak Belfodil,18.2,5,31,17,54.8,1.71,0.94,0.13,0.24,13.1,0,1,1,3.7,3.0,0.10,+1.3,+1.0
260,Haris Belkebla,25.7,0,4,1,25.0,0.16,0.04,0.00,0.00,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
261,Stefan Bell,31.8,2,22,5,22.7,0.69,0.16,0.09,0.40,10.2,0,0,0,1.7,1.7,0.08,+0.3,+0.3
262,Armel Bella Kotchap,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,16.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6
263,Raoul Bellanova,27.7,1,23,5,21.7,0.83,0.18,0.04,0.20,15.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7
264,Karim Bellarabi,7.6,3,28,11,39.3,3.69,1.45,0.11,0.27,17.4,0,0,0,2.0,2.0,0.07,+1.0,+1.0
265,Jean-Ricner Bellegarde,25.9,2,31,7,22.6,1.20,0.27,0.06,0.29,20.8,2,0,0,1.9,1.9,0.06,+0.1,+0.1
266,Hector Bellerin,22.0,0,10,2,20.0,0.45,0.09,0.00,0.00,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5
267,Jude Bellingham,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,4.8,4.8,0.11,-1.8,-1.8
270,Andrea Belotti,15.2,8,55,17,30.9,3.61,1.12,0.09,0.29,15.5,3,3,3,7.9,5.6,0.10,+0.1,-0.6
271,Fran Beltran,28.9,1,20,4,20.0,0.69,0.14,0.05,0.25,29.2,0,0,0,0.4,0.4,0.02,+0.6,+0.6
272,Hatem Ben Arfa,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,16.6,1,0,0,0.3,0.3,0.09,-0.3,-0.3
274,Wissam Ben Yedder,28.1,25,64,36,56.3,2.28,1.28,0.27,0.47,14.7,4,8,8,18.0,11.7,0.18,+7.0,+5.3
276,Marco Benassi,4.2,0,7,3,42.9,1.65,0.71,0.00,0.00,18.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9
277,Dario Benedetto,6.6,2,18,6,33.3,2.75,0.92,0.11,0.33,21.3,0,0,0,2.0,2.0,0.11,0.0,0.0
279,Laszlo Benes,2.7,0,7,5,71.4,2.56,1.83,0.00,0.00,22.6,2,0,0,0.6,0.6,0.08,-0.6,-0.6
281,Iker Benito,1.3,0,3,1,33.3,2.29,0.76,0.00,0.00,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
284,Filip Benkovic,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
286,Ismael Bennacer,16.9,2,16,6,37.5,0.94,0.35,0.13,0.33,23.9,2,0,0,0.7,0.7,0.04,+1.3,+1.3
288,Said Benrahma,24.1,8,63,20,31.7,2.62,0.83,0.13,0.40,19.6,3,0,0,4.8,4.8,0.08,+3.2,+3.2
289,Ramy Bensebaini,22.4,4,28,7,25.0,1.25,0.31,0.07,0.29,17.4,1,2,2,3.7,2.1,0.07,+0.3,-0.1
290,Nabil Bentaleb,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0,0.6,0.6,0.04,+0.4,+0.4
291,Rodrigo Bentancur,15.1,0,14,2,14.3,0.93,0.13,0.00,0.00,19.5,0,0,0,0.8,0.8,0.06,-0.8,-0.8
292,Rodrigo Bentancur,12.8,0,8,1,12.5,0.62,0.08,0.00,0.00,22.9,0,0,0,0.7,0.7,0.09,-0.7,-0.7
293,Christian Benteke,12.7,4,39,13,33.3,3.07,1.02,0.10,0.31,12.5,0,0,0,4.9,4.9,0.13,-0.9,-0.9
294,Karim Benzema,28.8,27,117,48,41.0,4.06,1.67,0.17,0.42,16.2,3,7,11,23.7,15.1,0.13,+3.3,+4.9
296,Domenico Berardi,31.3,15,104,40,38.5,3.32,1.28,0.09,0.23,21.6,8,6,6,11.3,6.5,0.06,+3.7,+2.5
297,Yuri Berchiche,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,20.2,1,0,0,0.4,0.4,0.05,+0.6,+0.6
298,Alex Berenguer,24.1,3,45,14,31.1,1.87,0.58,0.07,0.21,18.0,1,0,1,5.2,4.5,0.10,-2.2,-1.5
300,Johann Berg Gudmundsson,12.2,0,19,5,26.3,1.55,0.41,0.00,0.00,19.9,2,0,0,1.6,1.6,0.08,-1.6,-1.6
302,Mitchell van Bergen,10.9,0,12,5,41.7,1.10,0.46,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2
303,Steven Bergwijn,6.3,3,19,10,52.6,3.03,1.59,0.16,0.30,16.3,0,0,0,2.5,2.5,0.13,+0.5,+0.5
306,Federico Bernardeschi,16.4,1,33,7,21.2,2.01,0.43,0.03,0.14,19.9,0,0,0,1.5,1.5,0.05,-0.5,-0.5
309,Juan Bernat,10.6,0,1,1,100.0,0.09,0.09,0.00,0.00,15.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1
312,Jason Berthomier,19.2,1,23,4,17.4,1.20,0.21,0.04,0.25,20.8,6,0,0,1.7,1.7,0.08,-0.7,-0.7
313,Nicolo Bertola,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,34.3,0,0,0,0.0,0.0,0.01,0.0,0.0
315,Daniel Bessa,8.5,1,10,2,20.0,1.17,0.23,0.10,0.50,25.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6
316,Beto,24.1,11,64,26,40.6,2.65,1.08,0.17,0.42,13.5,0,0,0,12.7,12.7,0.20,-1.7,-1.7
318,Giulian Biancone,25.5,1,28,9,32.1,1.10,0.35,0.04,0.11,18.3,1,0,0,1.7,1.7,0.06,-0.7,-0.7
319,Bartosz Bialek,2.0,0,6,2,33.3,3.03,1.01,0.00,0.00,13.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
322,Pedro Bigas,17.2,1,12,3,25.0,0.70,0.17,0.08,0.33,20.6,1,0,0,0.6,0.6,0.05,+0.4,+0.4
323,El Bilal Toure,13.3,2,32,10,31.3,2.41,0.75,0.03,0.10,14.0,0,1,1,4.1,3.3,0.10,-2.1,-2.3
324,Jean-Claude Billong,10.9,0,5,1,20.0,0.46,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
326,Cristiano Biraghi,35.0,4,36,16,44.4,1.03,0.46,0.08,0.19,25.4,14,1,2,3.1,1.5,0.04,+0.9,+1.5
329,Yves Bissouma,23.5,1,21,5,23.8,0.90,0.21,0.05,0.20,25.3,1,0,0,0.9,0.9,0.04,+0.1,+0.1
333,Ludovic Blas,32.9,10,85,32,37.6,2.58,0.97,0.06,0.16,20.6,1,5,5,11.7,7.8,0.09,-1.7,-2.8
334,Danny Blum,3.8,2,11,5,45.5,2.86,1.30,0.18,0.40,16.5,1,0,0,0.8,0.8,0.07,+1.2,+1.2
335,Myron Boadu,10.7,4,21,8,38.1,1.97,0.75,0.19,0.50,10.5,0,0,0,6.6,6.6,0.32,-2.6,-2.6
336,Jerome Boateng,18.0,0,5,3,60.0,0.28,0.17,0.00,0.00,17.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3
338,Kevin-Prince Boateng,7.7,0,10,2,20.0,1.29,0.26,0.00,0.00,22.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3
340,Herbert Bockhorn,9.4,0,7,2,28.6,0.74,0.21,0.00,0.00,23.4,1,0,0,0.3,0.3,0.04,-0.3,-0.3
341,Jean-Paul Boetius,20.0,2,24,8,33.3,1.20,0.40,0.08,0.25,24.4,1,0,0,1.0,1.0,0.04,+1.0,+1.0
342,Jeremie Boga,8.5,0,21,5,23.8,2.47,0.59,0.00,0.00,18.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0
343,Jeremie Boga,7.4,0,15,5,33.3,2.01,0.67,0.00,0.00,20.2,0,0,0,1.0,1.0,0.07,-1.0,-1.0
345,Emil Bohinen,7.8,0,4,3,75.0,0.52,0.39,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
346,Quentin Boisgard,10.6,1,16,8,50.0,1.50,0.75,0.06,0.13,24.6,1,0,0,0.8,0.8,0.05,+0.2,+0.2
348,Willy Boly,10.0,0,2,1,50.0,0.20,0.10,0.00,0.00,9.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
349,Giacomo Bonaventura,25.2,4,46,14,30.4,1.83,0.56,0.09,0.29,17.9,1,0,0,4.7,4.7,0.11,-0.7,-0.7
350,Federico Bonazzoli,20.7,10,55,20,36.4,2.65,0.96,0.15,0.40,17.8,1,2,2,7.5,5.9,0.11,+2.5,+2.1
351,Tarsis Bonga,0.2,0,3,1,33.3,15.88,5.29,0.00,0.00,14.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
354,Leonardo Bonucci,22.3,5,14,3,21.4,0.63,0.13,0.14,0.67,10.7,0,3,3,4.7,2.3,0.17,+0.3,-0.3
355,Sebastiaan Bornauw,22.3,1,13,4,30.8,0.58,0.18,0.08,0.25,11.0,0,0,0,1.1,1.1,0.09,-0.1,-0.1
356,Rafael Borre,26.4,8,53,24,45.3,2.01,0.91,0.15,0.33,14.5,0,0,0,7.5,7.5,0.14,+0.5,+0.5
357,Sven Botman,25.0,3,15,5,33.3,0.60,0.20,0.20,0.60,10.8,0,0,0,1.6,1.6,0.11,+1.4,+1.4
358,Denis Bouanga,27.1,9,84,30,35.7,3.10,1.11,0.11,0.30,18.9,4,0,0,8.0,8.0,0.10,+1.0,+1.0
359,Hicham Boudaoui,18.0,3,16,5,31.3,0.89,0.28,0.19,0.60,18.1,0,0,0,1.1,1.1,0.07,+1.9,+1.9
360,Ryad Boudebouz,25.0,3,27,9,33.3,1.08,0.36,0.07,0.22,24.7,7,1,1,2.3,1.5,0.05,+0.7,+0.5
361,Sofiane Boufal,25.9,8,60,24,40.0,2.32,0.93,0.08,0.21,21.7,10,3,3,8.5,6.1,0.11,-0.5,-1.1
362,Farid Boulaya,17.0,4,19,6,31.6,1.12,0.35,0.21,0.67,24.2,6,0,0,1.5,1.5,0.08,+2.5,+2.5
366,Mehdi Bourabia,3.1,1,1,1,100.0,0.32,0.32,1.00,1.00,27.4,0,0,0,0.0,0.0,0.03,+1.0,+1.0
367,Benjamin Bourigeaud,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8,0,0,5.7,5.7,0.11,+5.3,+5.3
369,Edoardo Bove,0.8,1,1,1,100.0,1.32,1.32,1.00,1.00,16.4,0,0,0,0.0,0.0,0.02,+1.0,+1.0
370,Jarrod Bowen,33.1,12,79,34,43.0,2.38,1.03,0.15,0.35,15.7,0,0,0,11.9,11.9,0.15,+0.1,+0.1
371,Dedryck Boyata,21.1,0,10,2,20.0,0.47,0.09,0.00,0.00,9.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8
372,Lucas Boye,19.0,7,49,16,32.7,2.57,0.84,0.14,0.44,16.2,2,0,0,4.6,4.6,0.09,+2.4,+2.4
375,Bilal Brahimi,3.8,0,6,2,33.3,1.60,0.53,0.00,0.00,17.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
376,Martin Braithwaite,2.6,2,7,3,42.9,2.68,1.15,0.29,0.67,12.0,0,0,0,0.9,0.9,0.12,+1.1,+1.1
377,Julian Brandt,23.1,9,34,15,44.1,1.47,0.65,0.26,0.60,17.1,0,0,0,4.9,4.9,0.14,+4.1,+4.1
378,Jarrad Branthwaite,4.3,1,3,2,66.7,0.70,0.46,0.33,0.50,14.0,0,0,0,0.5,0.5,0.18,+0.5,+0.5
379,Darko Brasanac,26.7,1,17,5,29.4,0.64,0.19,0.06,0.20,14.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5
380,Lilian Brassier,25.1,1,11,2,18.2,0.44,0.08,0.09,0.50,18.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1
384,Josip Brekalo,25.4,7,44,17,38.6,1.73,0.67,0.16,0.41,19.4,2,0,0,4.3,4.3,0.10,+2.7,+2.7
386,Gleison Bremer,32.1,3,27,10,37.0,0.84,0.31,0.11,0.30,10.0,0,0,0,4.4,4.4,0.17,-1.4,-1.4
387,Jimmy Briand,2.5,2,8,2,25.0,3.19,0.80,0.13,0.50,17.2,0,1,2,2.2,0.7,0.08,-0.2,+0.3
391,Armando Broja,21.9,6,45,19,42.2,2.05,0.87,0.13,0.32,13.0,0,0,0,5.9,5.9,0.13,+0.1,+0.1
392,Dylan Bronn,28.3,1,15,7,46.7,0.53,0.25,0.07,0.14,13.6,0,0,0,1.8,1.8,0.12,-0.8,-0.8
393,John Brooks,29.1,1,11,1,9.1,0.38,0.03,0.09,1.00,14.6,0,0,0,0.7,0.7,0.06,+0.3,+0.3
395,Josh Brownhill,32.8,2,29,9,31.0,0.88,0.27,0.07,0.22,23.8,4,0,0,1.4,1.4,0.05,+0.6,+0.6
396,Marcelo Brozovic,32.6,2,32,13,40.6,0.98,0.40,0.06,0.15,22.3,0,0,0,1.3,1.3,0.04,+0.7,+0.7
399,Jacob Bruun Larsen,9.0,4,18,7,38.9,2.00,0.78,0.22,0.57,12.3,0,0,0,2.8,2.8,0.16,+1.2,+1.2
400,Ante Budimir,19.3,8,43,19,44.2,2.23,0.98,0.14,0.32,12.3,0,2,2,8.3,6.8,0.16,-0.3,-0.8
401,Emi Buendia,21.1,4,44,13,29.5,2.09,0.62,0.09,0.31,17.9,0,0,0,3.4,3.4,0.08,+0.6,+0.6
402,Osman Bukari,11.2,2,20,9,45.0,1.78,0.80,0.10,0.22,18.2,0,0,0,1.4,1.4,0.07,+0.6,+0.6
404,Alessandro Buongiorno,13.1,0,6,1,16.7,0.46,0.08,0.00,0.00,8.8,0,0,0,0.9,0.9,0.15,-0.9,-0.9
406,Delano Burgzorg,0.3,1,2,1,50.0,6.67,3.33,0.50,1.00,12.1,0,0,0,0.3,0.3,0.13,+0.7,+0.7
407,Jonathan Burkardt,29.0,11,78,33,42.3,2.69,1.14,0.13,0.30,14.4,0,1,1,12.8,12.0,0.15,-1.8,-2.0
409,Dan Burn,16.0,0,11,1,9.1,0.69,0.06,0.00,0.00,10.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7
410,Dan Burn,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,8.4,0,0,0,1.6,1.5,0.21,-0.6,-0.5
411,Maxime Busi,14.4,1,6,2,33.3,0.42,0.14,0.17,0.50,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4
412,Gianluca Busio,21.7,1,14,5,35.7,0.65,0.23,0.07,0.20,20.3,1,0,0,0.9,0.9,0.07,+0.1,+0.1
414,Sergio Busquets,35.5,2,14,4,28.6,0.39,0.11,0.14,0.50,21.3,0,0,0,0.6,0.6,0.05,+1.4,+1.4
419,Jamie Bynoe-Gittens,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,13.4,0,0,0,0.4,0.4,0.39,-0.4,-0.4
420,Sam Byram,11.4,0,7,1,14.3,0.61,0.09,0.00,0.00,10.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
424,Jimmy Cabot,22.3,0,11,3,27.3,0.49,0.13,0.00,0.00,22.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
425,Jovane Cabral,2.1,1,6,1,16.7,2.84,0.47,0.17,1.00,14.0,0,0,0,1.0,1.0,0.17,0.0,0.0
426,Leandro Cabrera,37.0,2,18,6,33.3,0.49,0.16,0.11,0.33,11.7,0,0,0,1.1,1.1,0.06,+0.9,+0.9
428,Martin Caceres,9.2,1,7,1,14.3,0.76,0.11,0.14,1.00,19.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8
430,Anthony Caci,26.6,1,15,4,26.7,0.56,0.15,0.07,0.25,18.1,0,0,0,0.9,0.9,0.06,+0.1,+0.1
431,Mathieu Cafaro,2.1,0,6,2,33.3,2.81,0.94,0.00,0.00,22.5,1,0,0,0.4,0.4,0.07,-0.4,-0.4
433,Felipe Caicedo,3.2,1,12,3,25.0,3.80,0.95,0.08,0.33,14.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4
435,Moises Caicedo,7.3,1,10,4,40.0,1.36,0.55,0.10,0.25,18.4,0,0,0,0.8,0.8,0.09,+0.2,+0.2
437,Jens Cajuste,4.0,2,8,6,75.0,1.98,1.48,0.13,0.17,16.9,0,1,1,1.7,0.9,0.12,+0.3,+0.1
439,Davide Calabria,23.5,2,36,8,22.2,1.53,0.34,0.06,0.25,20.6,0,0,0,3.8,3.8,0.11,-1.8,-1.8
443,Mattia Caldara,30.0,1,16,7,43.8,0.53,0.23,0.06,0.14,14.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8
