,Player,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
2454,Roland Sallai,17.2,4,48,9,18.8,2.79,0.52,0.08,0.44,15.4,0,0,0,6.0,6.0,0.12,-2.0,-2.0
2455,Yoann Salmier,29.6,0,10,1,10.0,0.34,0.03,0.00,0.00,16.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9
2456,Salvi,15.5,2,19,7,36.8,1.23,0.45,0.11,0.29,16.1,0,0,1,2.6,1.8,0.09,-0.6,+0.2
2457,Lazar Samardzic,5.4,2,17,6,35.3,3.12,1.10,0.12,0.33,24.0,1,0,0,1.0,1.0,0.06,+1.0,+1.0
2458,Diadie Samassekou,18.4,2,15,4,26.7,0.82,0.22,0.13,0.50,17.4,0,0,0,1.1,1.1,0.08,+0.9,+0.9
2459,Mama Samba Balde,19.1,3,47,17,36.2,2.46,0.89,0.06,0.18,16.4,0,0,1,6.5,5.8,0.12,-3.5,-2.8
2460,Albert Sambi Lokonga,12.6,0,20,8,40.0,1.59,0.63,0.00,0.00,26.8,0,0,0,0.6,0.6,0.03,-0.6,-0.6
2461,Junior Sambia,17.0,1,20,6,30.0,1.17,0.35,0.05,0.17,23.4,2,0,0,1.6,1.6,0.08,-0.6,-0.6
2464,Antonio Sanabria,20.0,6,49,19,38.8,2.45,0.95,0.12,0.32,12.5,1,0,0,8.3,8.3,0.17,-2.3,-2.3
2465,Oihan Sancet,15.8,6,30,14,46.7,1.90,0.89,0.20,0.43,15.0,0,0,0,3.4,3.4,0.11,+2.6,+2.6
2466,Renato Sanches,18.3,2,22,4,18.2,1.20,0.22,0.09,0.50,25.0,3,0,0,0.9,0.9,0.04,+1.1,+1.1
2467,Alexis Sanchez,9.8,5,33,13,39.4,3.37,1.33,0.15,0.38,16.0,1,0,0,4.3,4.3,0.13,+0.7,+0.7
2468,Antonio Sanchez,18.0,1,18,4,22.2,1.00,0.22,0.06,0.25,22.0,0,0,0,1.4,1.4,0.08,-0.4,-0.4
2470,Davinson Sanchez,18.1,2,13,3,23.1,0.72,0.17,0.15,0.67,9.6,0,0,0,2.1,2.1,0.16,-0.1,-0.1
