Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Álvaro Aguado,24,ESP,MF,Valladolid,La Liga,26.0,1996.0,13.0,8.0,747.0,8.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,0.2,0.2,0.9,1.1,0.03,0.1,0.13,0.03,0.13,24,ESP,MF,Valladolid,La Liga,26.0,1996.0,8.3,0.0,6.0,1.0,16.7,0.72,0.12,0.0,0.0,25.4,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
Kevin Agudelo,26,COL,MF,Spezia,Serie A,23.0,1998.0,14.0,10.0,897.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,26,COL,MF,Spezia,Serie A,23.0,1998.0,10.0,0.0,12.0,4.0,33.3,1.2,0.4,0.0,0.0,22.6,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6
Ruben Aguilar,27,FRA,DF,Monaco,Ligue 1,29.0,1993.0,7.0,4.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,FRA,DF,Monaco,Ligue 1,29.0,1993.0,3.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Naouirou Ahamada,28,FRA,MF,Stuttgart,Bundesliga,20.0,2002.0,14.0,14.0,1141.0,12.7,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.16,0.0,0.16,0.16,0.16,0.7,0.7,0.6,1.3,0.06,0.05,0.1,0.06,0.1,28,FRA,MF,Stuttgart,Bundesliga,20.0,2002.0,12.7,2.0,13.0,5.0,38.5,1.03,0.39,0.15,0.4,23.2,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3
Jean-Eudes Aholou,29,CIV,MF,Strasbourg,Ligue 1,28.0,1994.0,11.0,6.0,527.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.1,0.06,0.13,0.2,0.06,0.2,29,CIV,MF,Strasbourg,Ligue 1,28.0,1994.0,5.9,0.0,4.0,1.0,25.0,0.68,0.17,0.0,0.0,19.1,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4
Joseph Aidoo,30,GHA,DF,Celta Vigo,La Liga,27.0,1995.0,13.0,13.0,1170.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.0,0.5,0.04,0.0,0.04,0.04,0.04,30,GHA,DF,Celta Vigo,La Liga,27.0,1995.0,13.0,1.0,6.0,1.0,16.7,0.46,0.08,0.17,1.0,18.3,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5
Ola Aina,31,NGA,DF,Torino,Serie A,26.0,1996.0,10.0,7.0,580.0,6.4,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.16,0.0,0.16,0.16,0.16,0.6,0.6,0.9,1.5,0.1,0.13,0.23,0.1,0.23,31,NGA,DF,Torino,Serie A,26.0,1996.0,6.4,1.0,6.0,3.0,50.0,0.93,0.47,0.17,0.33,17.6,0.0,0.0,0.0,0.6,0.6,0.1,0.4,0.4
Rayan Aït Nouri,32,FRA,DF,Wolves,Premier League,21.0,2001.0,10.0,7.0,666.0,7.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.05,0.11,0.17,0.05,0.17,32,FRA,DF,Wolves,Premier League,21.0,2001.0,7.4,0.0,7.0,3.0,42.9,0.95,0.41,0.0,0.0,14.5,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4
Emanuel Aiwum,33,AUT,DF,Cremonese,Serie A,21.0,2000.0,12.0,10.0,877.0,9.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06,33,AUT,DF,Cremonese,Serie A,21.0,2000.0,9.7,0.0,3.0,1.0,33.3,0.31,0.1,0.0,0.0,17.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Kristoffer Ajer,34,NOR,DF,Brentford,Premier League,24.0,1998.0,6.0,6.0,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,34,NOR,DF,Brentford,Premier League,24.0,1998.0,5.6,0.0,1.0,0.0,0.0,0.18,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Ludovic Ajorque,35,REU,FW,Strasbourg,Ligue 1,28.0,1994.0,9.0,5.0,418.0,4.6,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.22,0.0,0.22,0.0,0.0,2.1,1.3,0.5,1.8,0.45,0.1,0.56,0.28,0.39,35,REU,FW,Strasbourg,Ligue 1,28.0,1994.0,4.6,1.0,11.0,3.0,27.3,2.37,0.65,0.0,0.0,15.8,1.0,1.0,1.0,2.1,1.3,0.12,-1.1,-1.3
Manuel Akanji,36,CHE,DF,Manchester City,Premier League,27.0,1995.0,7.0,7.0,611.0,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.07,0.0,0.07,0.07,0.07,36,CHE,DF,Manchester City,Premier League,27.0,1995.0,6.8,0.0,8.0,1.0,12.5,1.18,0.15,0.0,0.0,16.4,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5
Nathan Aké,37,NLD,DF,Manchester City,Premier League,27.0,1995.0,8.0,7.0,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,37,NLD,DF,Manchester City,Premier League,27.0,1995.0,6.3,0.0,3.0,0.0,0.0,0.47,0.0,0.0,,12.3,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Sergio Akieme,38,ESP,DF,Almería,La Liga,24.0,1997.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.6,0.07,0.05,0.11,0.07,0.11,38,ESP,DF,Almería,La Liga,24.0,1997.0,14.0,0.0,16.0,5.0,31.3,1.14,0.36,0.0,0.0,21.2,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
Maghnes Akliouche,39,FRA,"MF,DF",Monaco,Ligue 1,20.0,2002.0,6.0,3.0,248.0,2.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.06,0.1,0.17,0.06,0.17,39,FRA,"MF,DF",Monaco,Ligue 1,20.0,2002.0,2.8,0.0,1.0,1.0,100.0,0.36,0.36,0.0,0.0,8.4,0.0,0.0,0.0,0.2,0.2,0.18,-0.2,-0.2
Paul Akouokou,40,CIV,MF,Betis,La Liga,24.0,1997.0,5.0,2.0,205.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04,40,CIV,MF,Betis,La Liga,24.0,1997.0,2.3,0.0,2.0,1.0,50.0,0.88,0.44,0.0,0.0,25.6,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Jean-Daniel Akpa-Akpro,41,CIV,MF,Empoli,Serie A,30.0,1992.0,5.0,0.0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,0.12,0.15,0.03,0.15,41,CIV,MF,Empoli,Serie A,30.0,1992.0,1.5,0.0,1.0,0.0,0.0,0.65,0.0,0.0,,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Kevin Akpoguma,42,NGA,DF,Hoffenheim,Bundesliga,27.0,1995.0,12.0,7.0,746.0,8.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.02,0.02,0.04,0.02,0.04,42,NGA,DF,Hoffenheim,Bundesliga,27.0,1995.0,8.3,0.0,2.0,0.0,0.0,0.24,0.0,0.0,,12.2,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
David Alaba,43,AUT,DF,Real Madrid,La Liga,30.0,1992.0,13.0,12.0,1075.0,11.9,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.08,0.25,0.33,0.08,0.33,0.5,0.5,0.7,1.3,0.05,0.06,0.11,0.05,0.11,43,AUT,DF,Real Madrid,La Liga,30.0,1992.0,11.9,1.0,9.0,1.0,11.1,0.75,0.08,0.11,1.0,20.7,4.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5
Tomás Alarcón,44,CHL,MF,Cádiz,La Liga,23.0,1999.0,4.0,2.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,44,CHL,MF,Cádiz,La Liga,23.0,1999.0,2.5,0.0,2.0,1.0,50.0,0.81,0.4,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Lucas Alario,45,ARG,FW,Eint Frankfurt,Bundesliga,30.0,1992.0,9.0,2.0,238.0,2.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,1.2,1.2,0.0,1.3,0.47,0.01,0.48,0.47,0.48,45,ARG,FW,Eint Frankfurt,Bundesliga,30.0,1992.0,2.6,1.0,8.0,2.0,25.0,3.03,0.76,0.13,0.5,15.5,0.0,0.0,0.0,1.2,1.2,0.16,-0.2,-0.2
Jordi Alba,46,ESP,DF,Barcelona,La Liga,33.0,1989.0,10.0,7.0,682.0,7.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,2.6,2.8,0.02,0.34,0.37,0.02,0.37,46,ESP,DF,Barcelona,La Liga,33.0,1989.0,7.6,0.0,5.0,1.0,20.0,0.66,0.13,0.0,0.0,24.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Luis Alberto,47,ESP,MF,Lazio,Serie A,30.0,1992.0,12.0,5.0,512.0,5.7,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.53,0.18,0.7,0.53,0.7,0.6,0.6,1.1,1.7,0.11,0.2,0.31,0.11,0.31,47,ESP,MF,Lazio,Serie A,30.0,1992.0,5.7,3.0,8.0,5.0,62.5,1.41,0.88,0.38,0.6,19.1,0.0,0.0,0.0,0.6,0.6,0.08,2.4,2.4
Raúl Albiol,48,ESP,DF,Villarreal,La Liga,37.0,1985.0,13.0,13.0,1159.0,12.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,ESP,DF,Villarreal,La Liga,37.0,1985.0,12.9,0.0,1.0,0.0,0.0,0.08,0.0,0.0,,33.6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Marc Albrighton,49,GBR,MF,Leicester City,Premier League,32.0,1989.0,3.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,49,GBR,MF,Leicester City,Premier League,32.0,1989.0,0.3,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,9.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Thiago Alcántara,50,ESP,MF,Liverpool,Premier League,31.0,1991.0,7.0,7.0,554.0,6.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.6,0.01,0.09,0.1,0.01,0.1,50,ESP,MF,Liverpool,Premier League,31.0,1991.0,6.2,0.0,4.0,0.0,0.0,0.65,0.0,0.0,,29.9,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Rubén Alcaraz,52,ESP,MF,Cádiz,La Liga,31.0,1991.0,9.0,4.0,458.0,5.1,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.08,0.08,0.16,0.08,0.16,52,ESP,MF,Cádiz,La Liga,31.0,1991.0,5.1,0.0,9.0,0.0,0.0,1.77,0.0,0.0,,23.4,1.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4
Omar Alderete,53,PRY,DF,Getafe,La Liga,25.0,1996.0,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,53,PRY,DF,Getafe,La Liga,25.0,1996.0,1.5,0.0,2.0,0.0,0.0,1.33,0.0,0.0,,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Iván Alejo,54,ESP,"MF,FW",Cádiz,La Liga,27.0,1995.0,11.0,7.0,602.0,6.7,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15,0.15,0.0,0.15,0.3,0.3,0.8,1.1,0.05,0.12,0.17,0.05,0.17,54,ESP,"MF,FW",Cádiz,La Liga,27.0,1995.0,6.7,0.0,7.0,1.0,14.3,1.05,0.15,0.0,0.0,23.7,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3
