,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
235,Jon Bautista,es ESP,"FW,MF",Real Sociedad,La Liga,22.0,1995.0,2.0,1.0,7.0,3.0,42.9,3.48,1.49,0.14,0.33,11.5,0.0,0.0,0.0,1.3,1.3,0.18,-0.3,-0.3
236,Paul Baysse,fr FRA,DF,Málaga,La Liga,29.0,1988.0,13.8,1.0,11.0,2.0,18.2,0.8,0.15,0.09,0.5,13.3,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1
237,Paul Baysse,fr FRA,DF,Bordeaux,Ligue 1,29.0,1988.0,6.3,0.0,4.0,1.0,25.0,0.64,0.16,0.0,0.0,8.2,0.0,0.0,0.0,0.6,0.6,0.15,-0.6,-0.6
238,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,Bundesliga,20.0,1996.0,1.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
239,Hervé Bazile,ht HAI,"MF,FW",Caen,Ligue 1,27.0,1990.0,9.7,0.0,17.0,5.0,29.4,1.75,0.51,0.0,0.0,21.5,2.0,0.0,0.0,1.3,1.3,0.08,-1.3,-1.3
240,Riechedly Bazoer,nl NED,MF,Wolfsburg,Bundesliga,20.0,1996.0,6.6,0.0,7.0,2.0,28.6,1.06,0.3,0.0,0.0,25.0,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
241,Enrico Bearzotti,it ITA,"DF,FW",Hellas Verona,Serie A,20.0,1996.0,4.6,0.0,4.0,1.0,25.0,0.88,0.22,0.0,0.0,31.1,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
242,Claudio Beauvue,gp GLP,FW,Leganés,La Liga,29.0,1988.0,18.6,2.0,39.0,9.0,23.1,2.1,0.48,0.05,0.22,17.3,0.0,0.0,0.0,4.2,4.2,0.11,-2.2,-2.2
243,Bebé,cv CPV,"MF,FW",Eibar,La Liga,27.0,1990.0,4.1,0.0,9.0,1.0,11.1,2.22,0.25,0.0,0.0,24.7,1.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
244,Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,Bundesliga,23.0,1994.0,23.8,5.0,50.0,19.0,38.0,2.1,0.8,0.1,0.26,19.1,0.0,0.0,0.0,5.2,5.2,0.1,-0.2,-0.2
245,Andreas Beck,de GER,DF,Stuttgart,Bundesliga,30.0,1987.0,21.4,1.0,8.0,2.0,25.0,0.37,0.09,0.13,0.5,21.8,0.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7
246,Henri Bedimo,cm CMR,"DF,FW",Marseille,Ligue 1,33.0,1984.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
247,Jan Bednarek,pl POL,DF,Southampton,Premier League,21.0,1996.0,4.7,1.0,1.0,1.0,100.0,0.21,0.21,1.0,1.0,7.4,0.0,0.0,0.0,0.2,0.2,0.15,0.8,0.8
248,Asmir Begović,ba BIH,GK,Bournemouth,Premier League,30.0,1987.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
249,Valon Behrami,ch SUI,MF,Udinese,Serie A,32.0,1985.0,15.5,1.0,9.0,2.0,22.2,0.58,0.13,0.11,0.5,21.8,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5
250,Vid Belec,si SVN,GK,Benevento,Serie A,27.0,1990.0,12.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
251,Vid Belec,si SVN,GK,Sampdoria,Serie A,27.0,1990.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
252,Ishak Belfodil,dz ALG,FW,Werder Bremen,Bundesliga,25.0,1992.0,15.0,4.0,46.0,20.0,43.5,3.07,1.33,0.09,0.2,12.6,1.0,0.0,0.0,4.7,4.7,0.1,-0.7,-0.7
253,Stefan Bell,de GER,DF,Mainz 05,Bundesliga,25.0,1991.0,24.2,1.0,12.0,6.0,50.0,0.5,0.25,0.08,0.17,14.4,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3
254,Karim Bellarabi,de GER,"MF,FW",Leverkusen,Bundesliga,27.0,1990.0,12.7,1.0,43.0,16.0,37.2,3.38,1.26,0.02,0.06,21.1,0.0,0.0,0.0,2.9,2.9,0.07,-1.9,-1.9
255,Héctor Bellerín,es ESP,DF,Arsenal,Premier League,22.0,1995.0,33.9,2.0,29.0,8.0,27.6,0.86,0.24,0.07,0.25,17.3,0.0,0.0,0.0,2.2,2.2,0.08,-0.2,-0.2
256,François Bellugou,fr FRA,MF,Troyes,Ligue 1,30.0,1987.0,24.2,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,5.8,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1
257,Andrea Belotti,it ITA,FW,Torino,Serie A,23.0,1993.0,29.8,10.0,84.0,27.0,32.1,2.82,0.91,0.12,0.37,14.5,0.0,0.0,2.0,10.5,8.9,0.11,-0.5,1.1
258,Chaouki Ben Saada,tn TUN,"FW,MF",Troyes,Ligue 1,33.0,1984.0,3.8,0.0,8.0,1.0,12.5,2.11,0.26,0.0,0.0,27.4,1.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
260,Wissam Ben Yedder,fr FRA,FW,Sevilla,La Liga,26.0,1990.0,18.9,9.0,48.0,25.0,52.1,2.54,1.32,0.19,0.36,11.7,1.0,0.0,0.0,12.3,12.3,0.26,-3.3,-3.3
261,Diego Benaglio,ch SUI,GK,Monaco,Ligue 1,33.0,1983.0,2.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
262,Ahmad Benali,ly LBY,MF,Crotone,Serie A,25.0,1992.0,9.0,1.0,5.0,3.0,60.0,0.55,0.33,0.2,0.33,11.8,0.0,0.0,0.0,0.9,0.9,0.18,0.1,0.1
263,Yohan Benalouane,tn TUN,DF,Leicester City,Premier League,30.0,1987.0,1.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,17.5,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
264,Marco Benassi,it ITA,"MF,FW",Fiorentina,Serie A,22.0,1994.0,30.9,5.0,70.0,26.0,37.1,2.26,0.84,0.07,0.19,21.6,0.0,0.0,0.0,4.0,4.0,0.06,1.0,1.0
265,Medhi Benatia,ma MAR,DF,Juventus,Serie A,30.0,1987.0,19.5,2.0,13.0,4.0,30.8,0.67,0.21,0.15,0.5,11.1,0.0,0.0,0.0,2.5,2.5,0.2,-0.5,-0.5
266,Lars Bender,de GER,"DF,MF",Leverkusen,Bundesliga,28.0,1989.0,17.7,2.0,21.0,5.0,23.8,1.18,0.28,0.1,0.4,16.1,0.0,0.0,0.0,2.1,2.1,0.1,-0.1,-0.1
267,Sven Bender,de GER,DF,Leverkusen,Bundesliga,28.0,1989.0,26.1,2.0,15.0,6.0,40.0,0.58,0.23,0.13,0.33,9.5,0.0,0.0,0.0,1.5,1.5,0.1,0.5,0.5
268,László Bénes,sk SVK,MF,M'Gladbach,Bundesliga,19.0,1997.0,0.4,0.0,1.0,0.0,0.0,2.37,0.0,0.0,,32.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
269,Nicolas Benezet,fr FRA,"FW,MF",Guingamp,Ligue 1,26.0,1991.0,18.3,3.0,28.0,10.0,35.7,1.53,0.55,0.11,0.3,18.1,4.0,0.0,0.0,2.5,2.5,0.09,0.5,0.5
270,Marcel Benger,de GER,MF,M'Gladbach,Bundesliga,19.0,1998.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
271,Walter Benítez,ar ARG,GK,Nice,Ligue 1,24.0,1993.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
272,Charlison Benschop,cw CUW,"MF,DF",Hannover 96,Bundesliga,27.0,1989.0,2.0,1.0,5.0,1.0,20.0,2.45,0.49,0.2,1.0,12.4,0.0,0.0,0.0,0.3,0.3,0.06,0.7,0.7
273,Ramy Bensebaini,dz ALG,DF,Rennes,Ligue 1,22.0,1995.0,26.0,0.0,19.0,3.0,15.8,0.73,0.12,0.0,0.0,19.4,0.0,0.0,0.0,1.3,1.3,0.07,-1.3,-1.3
274,Nabil Bentaleb,dz ALG,MF,Schalke 04,Bundesliga,22.0,1994.0,11.2,4.0,11.0,4.0,36.4,0.98,0.36,0.0,0.0,30.9,0.0,4.0,4.0,3.5,0.3,0.03,0.5,-0.3
275,Rodrigo Bentancur,uy URU,MF,Juventus,Serie A,20.0,1997.0,6.5,0.0,5.0,2.0,40.0,0.77,0.31,0.0,0.0,28.8,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
276,Christian Benteke,be BEL,FW,Crystal Palace,Premier League,26.0,1990.0,24.9,3.0,58.0,17.0,29.3,2.33,0.68,0.03,0.12,12.5,0.0,1.0,2.0,10.2,8.6,0.15,-7.2,-6.6
277,Karim Benzema,fr FRA,FW,Real Madrid,La Liga,29.0,1987.0,23.9,5.0,61.0,15.0,24.6,2.55,0.63,0.05,0.2,13.2,0.0,2.0,2.0,12.8,11.2,0.19,-7.8,-8.2
278,Yassine Benzia,dz ALG,"MF,FW",Lille,Ligue 1,22.0,1994.0,25.4,1.0,29.0,7.0,24.1,1.14,0.28,0.03,0.14,21.9,1.0,0.0,0.0,1.5,1.5,0.05,-0.5,-0.5
279,Saido Berahino,bi BDI,FW,Stoke City,Premier League,23.0,1993.0,5.5,0.0,9.0,3.0,33.3,1.64,0.55,0.0,0.0,18.9,0.0,0.0,1.0,2.0,1.2,0.14,-2.0,-1.2
280,Domenico Berardi,it ITA,FW,Sassuolo,Serie A,22.0,1994.0,25.5,4.0,81.0,23.0,28.4,3.18,0.9,0.02,0.09,22.6,5.0,2.0,4.0,8.9,5.8,0.07,-4.9,-3.8
281,Yuri Berchiche,es ESP,DF,Paris S-G,Ligue 1,27.0,1990.0,19.1,2.0,10.0,4.0,40.0,0.52,0.21,0.2,0.5,22.6,0.0,0.0,0.0,0.4,0.4,0.04,1.6,1.6
282,Álex Berenguer,es ESP,FW,Torino,Serie A,22.0,1995.0,11.6,1.0,14.0,9.0,64.3,1.21,0.78,0.07,0.11,21.0,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0
283,Bartosz Bereszyński,pl POL,DF,Sampdoria,Serie A,25.0,1992.0,27.6,0.0,5.0,0.0,0.0,0.18,0.0,0.0,,27.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
284,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,Premier League,26.0,1990.0,31.5,2.0,54.0,18.0,33.3,1.72,0.57,0.04,0.11,21.7,6.0,0.0,0.0,3.5,3.5,0.07,-1.5,-1.5
286,Markel Bergara,es ESP,MF,Getafe,La Liga,31.0,1986.0,16.3,4.0,16.0,9.0,56.3,0.98,0.55,0.25,0.44,11.5,0.0,0.0,0.0,2.8,2.8,0.2,1.2,1.2
287,Emil Berggreen,dk DEN,FW,Mainz 05,Bundesliga,24.0,1993.0,7.4,4.0,13.0,8.0,61.5,1.75,1.08,0.31,0.5,13.1,0.0,0.0,0.0,2.0,2.0,0.15,2.0,2.0
288,Robert Berić,si SVN,FW,Saint-Étienne,Ligue 1,26.0,1991.0,11.6,7.0,23.0,12.0,52.2,1.99,1.04,0.26,0.5,14.6,0.0,1.0,2.0,6.4,5.0,0.22,0.6,1.0
289,Kévin Bérigaud,fr FRA,"FW,MF",Montpellier,Ligue 1,29.0,1988.0,3.0,0.0,4.0,0.0,0.0,1.33,0.0,0.0,,12.7,0.0,0.0,0.0,1.0,1.0,0.24,-1.0,-1.0
290,Etrit Berisha,al ALB,GK,Atalanta,Serie A,28.0,1989.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
291,Federico Bernardeschi,it ITA,"FW,MF",Juventus,Serie A,23.0,1994.0,9.4,4.0,27.0,11.0,40.7,2.87,1.17,0.15,0.36,19.8,2.0,0.0,0.0,2.8,2.8,0.1,1.2,1.2
292,Bernardo,br BRA,DF,RB Leipzig,Bundesliga,22.0,1995.0,15.0,1.0,12.0,4.0,33.3,0.8,0.27,0.08,0.25,19.0,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4
293,Juan Bernat,es ESP,"DF,FW",Bayern Munich,Bundesliga,24.0,1993.0,9.9,0.0,4.0,0.0,0.0,0.41,0.0,0.0,,13.0,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3
294,Andrea Bertolacci,it ITA,MF,Genoa,Serie A,26.0,1991.0,32.2,1.0,15.0,2.0,13.3,0.47,0.06,0.07,0.5,18.0,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
295,Ryan Bertrand,eng ENG,DF,Southampton,Premier League,27.0,1989.0,34.8,0.0,20.0,2.0,10.0,0.57,0.06,0.0,0.0,19.5,3.0,0.0,0.0,1.7,1.7,0.08,-1.7,-1.7
