,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
13,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,20.0,1999.0,14.0,953.0,68.0,31.1,10.6,10.0,82.0,4.0,4.0,33.0,1.0,1.71,14.0,13.0,1.0,0.09,-1.74,17.6,11.3,6.2,0.59,-0.54
14,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,26.0,1993.0,15.0,746.0,50.0,24.4,8.3,6.0,80.0,2.0,9.0,30.0,3.0,1.93,16.0,10.0,6.0,0.72,0.96,15.3,16.3,-0.9,-0.11,-0.02
15,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,1.0,25.0,25.0,0.7,0.3,0.0,,0.0,1.0,25.0,37.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.7,0.1,0.6,2.27,1.64
16,Bobby Adekanye,nl NED,FW,Lazio,Serie A,20.0,1999.0,11.0,188.0,17.0,5.5,2.1,0.0,,0.0,11.0,17.0,21.0,1.45,3.0,5.0,-2.0,-0.96,-2.04,5.8,3.4,2.3,1.12,0.72
17,Claud Adjapong,it ITA,DF,Hellas Verona,Serie A,21.0,1998.0,5.0,231.0,46.0,6.8,2.6,2.0,90.0,2.0,3.0,17.0,26.0,0.6,5.0,7.0,-2.0,-0.78,-0.72,3.2,4.8,-1.6,-0.62,-0.58
18,Amine Adli,fr FRA,"MF,FW",Toulouse,Ligue 1,19.0,2000.0,4.0,46.0,12.0,1.8,0.5,0.0,,0.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.31,0.6,0.7,-0.1,-0.18,0.32
19,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,19.0,2000.0,21.0,1020.0,49.0,40.5,11.3,11.0,76.0,3.0,10.0,19.0,1.0,1.33,17.0,11.0,6.0,0.53,0.53,11.3,11.9,-0.6,-0.05,0.31
20,Andrea Adorante,it ITA,FW,Parma,Serie A,19.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,9.0,,,,,,,,,,,
21,Amir Adouyev,ru RUS,MF,Montpellier,Ligue 1,20.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
22,Adrián,es ESP,GK,Liverpool,Premier League,32.0,1987.0,11.0,875.0,80.0,25.6,9.7,9.0,90.0,9.0,2.0,33.0,27.0,3.0,24.0,10.0,14.0,1.44,0.1,18.9,10.5,8.4,0.86,0.06
23,Daniel Adshead,eng ENG,MF,Norwich City,Premier League,17.0,2001.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
24,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,La Liga,38.0,1981.0,14.0,208.0,15.0,6.1,2.3,0.0,,0.0,14.0,15.0,3.0,1.29,3.0,2.0,1.0,0.43,0.38,3.6,3.1,0.4,0.19,0.4
26,Lumor Agbenyenu,gh GHA,DF,Mallorca,La Liga,22.0,1996.0,23.0,1805.0,78.0,52.8,20.1,20.0,83.0,14.0,3.0,49.0,3.0,1.04,24.0,33.0,-9.0,-0.45,0.44,22.7,29.7,-7.1,-0.35,0.5
27,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,23.0,1996.0,31.0,2099.0,68.0,61.4,23.3,23.0,84.0,16.0,8.0,22.0,5.0,1.0,20.0,38.0,-18.0,-0.77,-0.29,22.7,36.4,-13.8,-0.59,-0.27
28,Lucien Agoume,fr FRA,MF,Inter,Serie A,17.0,2002.0,3.0,68.0,23.0,2.0,0.8,0.0,,0.0,3.0,23.0,21.0,1.67,3.0,3.0,0.0,0.0,-1.21,3.4,1.7,1.7,2.29,1.56
29,Kevin Agudelo,co COL,"MF,FW",Fiorentina,Serie A,20.0,1998.0,3.0,64.0,21.0,1.9,0.7,1.0,54.0,0.0,2.0,5.0,13.0,2.0,1.0,3.0,-2.0,-2.81,-2.95,1.1,1.1,0.0,0.01,-0.11
30,Kevin Agudelo,co COL,"MF,FW",Genoa,Serie A,20.0,1998.0,10.0,666.0,67.0,19.5,7.4,7.0,86.0,4.0,3.0,22.0,5.0,0.6,8.0,11.0,-3.0,-0.41,0.35,9.5,12.6,-3.1,-0.42,-0.15
31,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,23.0,1996.0,11.0,957.0,87.0,38.0,10.6,11.0,87.0,10.0,0.0,,3.0,1.27,9.0,13.0,-4.0,-0.38,-0.03,12.0,14.5,-2.5,-0.23,0.08
32,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,31.0,1988.0,24.0,1452.0,61.0,42.5,16.1,18.0,75.0,8.0,6.0,16.0,2.0,2.08,44.0,18.0,26.0,1.61,-0.26,39.5,16.2,23.2,1.44,-0.05
33,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,26.0,1993.0,19.0,1072.0,56.0,42.5,11.9,11.0,83.0,9.0,8.0,20.0,5.0,1.32,20.0,16.0,4.0,0.34,0.58,22.5,16.3,6.2,0.52,0.53
34,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,Serie A,28.0,1990.0,10.0,230.0,23.0,6.7,2.6,2.0,78.0,1.0,8.0,9.0,9.0,1.9,4.0,6.0,-2.0,-0.78,-0.73,1.8,4.8,-3.0,-1.16,-1.15
35,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,Ligue 1,25.0,1994.0,11.0,630.0,57.0,25.0,7.0,8.0,61.0,2.0,3.0,47.0,3.0,1.0,8.0,10.0,-2.0,-0.29,0.38,9.6,8.0,1.6,0.23,0.65
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,23.0,1995.0,32.0,2502.0,78.0,73.2,27.8,27.0,89.0,25.0,5.0,20.0,5.0,0.97,24.0,34.0,-10.0,-0.36,-0.16,28.5,31.9,-3.4,-0.12,0.15
37,Ola Aina,ng NGA,DF,Torino,Serie A,22.0,1996.0,32.0,2079.0,65.0,60.8,23.1,20.0,84.0,12.0,12.0,33.0,5.0,1.13,35.0,39.0,-4.0,-0.17,1.03,30.2,34.7,-4.5,-0.19,0.58
38,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,Ligue 1,23.0,1996.0,12.0,536.0,45.0,21.3,6.0,6.0,79.0,2.0,6.0,10.0,5.0,1.17,7.0,6.0,1.0,0.17,-0.06,5.7,7.2,-1.5,-0.25,-0.02
39,Rayan Aït Nouri,dz ALG,DF,Angers,Ligue 1,18.0,2001.0,17.0,1282.0,75.0,50.9,14.2,16.0,79.0,10.0,1.0,19.0,0.0,1.53,18.0,17.0,1.0,0.07,0.51,16.8,13.8,3.1,0.22,0.37
40,Albian Ajeti,ch SUI,FW,West Ham,Premier League,22.0,1997.0,9.0,139.0,15.0,4.1,1.5,0.0,,0.0,9.0,15.0,19.0,0.22,2.0,3.0,-1.0,-0.65,-0.32,2.7,1.4,1.2,0.8,1.25
41,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,25.0,1994.0,26.0,2058.0,79.0,84.7,22.9,24.0,84.0,12.0,2.0,20.0,1.0,1.46,31.0,21.0,10.0,0.44,2.86,28.6,25.4,3.2,0.14,0.43
42,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,24.0,1995.0,29.0,2309.0,80.0,75.5,25.7,25.0,90.0,24.0,4.0,16.0,2.0,2.14,70.0,31.0,39.0,1.52,1.04,49.4,27.9,21.5,0.84,1.01
43,Marley Aké,fr FRA,"FW,MF",Marseille,Ligue 1,18.0,2001.0,9.0,99.0,11.0,3.9,1.1,0.0,,0.0,9.0,10.0,15.0,1.89,3.0,3.0,0.0,0.0,-0.45,2.4,1.6,0.7,0.66,0.52
44,Nathan Aké,nl NED,DF,Bournemouth,Premier League,24.0,1995.0,29.0,2503.0,86.0,73.2,27.8,29.0,86.0,27.0,0.0,,1.0,0.93,30.0,46.0,-16.0,-0.58,0.31,32.7,44.9,-12.2,-0.44,0.08
45,Sergio Akieme,es ESP,DF,Barcelona,La Liga,21.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
46,Chadrac Akolo,cd COD,"FW,MF",Amiens,Ligue 1,24.0,1995.0,15.0,544.0,36.0,21.6,6.0,5.0,65.0,0.0,10.0,22.0,6.0,0.87,7.0,16.0,-9.0,-1.49,-1.03,6.5,11.0,-4.4,-0.74,-0.4
47,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,24.0,1995.0,18.0,1142.0,63.0,37.3,12.7,12.0,86.0,11.0,6.0,18.0,14.0,1.5,19.0,19.0,0.0,0.0,0.0,19.9,24.1,-4.2,-0.33,-0.37
48,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,27.0,1992.0,28.0,2498.0,89.0,81.6,27.8,27.0,90.0,26.0,1.0,79.0,3.0,2.46,86.0,24.0,62.0,2.23,1.27,75.3,30.1,45.2,1.63,0.61
49,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,21.0,1998.0,17.0,1400.0,82.0,55.6,15.6,17.0,82.0,11.0,0.0,,8.0,0.76,13.0,23.0,-10.0,-0.64,-0.24,16.7,21.9,-5.2,-0.33,0.11
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,26.0,1992.0,24.0,1174.0,49.0,38.4,13.0,11.0,85.0,7.0,13.0,18.0,9.0,1.58,18.0,20.0,-2.0,-0.15,-1.06,22.4,19.7,2.7,0.21,-0.03
52,Fabrizio Alastra,it ITA,GK,Parma,Serie A,21.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,20.0,,,,,,,,,,,
53,Jordi Alba,es ESP,DF,Barcelona,La Liga,30.0,1989.0,27.0,2187.0,81.0,63.9,24.3,25.0,86.0,21.0,2.0,23.0,2.0,2.04,53.0,23.0,30.0,1.23,-0.08,41.8,23.3,18.5,0.76,0.06
54,Luis Alberto,es ESP,MF,Lazio,Serie A,26.0,1992.0,36.0,3113.0,86.0,91.0,34.6,36.0,86.0,26.0,0.0,,0.0,2.08,75.0,37.0,38.0,1.1,1.39,62.3,44.3,18.0,0.52,0.87
55,Raúl Albiol,es ESP,DF,Villarreal,La Liga,33.0,1985.0,36.0,3237.0,90.0,94.6,36.0,36.0,90.0,35.0,0.0,,1.0,1.67,61.0,44.0,17.0,0.47,1.95,60.9,42.7,18.1,0.5,0.92
56,Marc Albrighton,eng ENG,"MF,DF",Leicester City,Premier League,29.0,1989.0,20.0,867.0,43.0,25.4,9.6,9.0,69.0,2.0,11.0,22.0,16.0,1.45,16.0,11.0,5.0,0.52,-0.22,15.3,12.0,3.2,0.34,-0.14
57,Paco Alcácer,es ESP,FW,Villarreal,La Liga,25.0,1993.0,13.0,924.0,71.0,27.0,10.3,11.0,77.0,3.0,2.0,36.0,1.0,1.77,14.0,13.0,1.0,0.1,-0.37,14.8,11.0,3.8,0.37,-0.12
58,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,25.0,1993.0,11.0,530.0,48.0,17.3,5.9,6.0,78.0,3.0,5.0,13.0,3.0,1.64,13.0,12.0,1.0,0.17,-1.32,12.1,7.8,4.3,0.72,0.16
59,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,28.0,1991.0,24.0,1771.0,74.0,57.9,19.7,20.0,85.0,15.0,4.0,17.0,1.0,2.17,54.0,23.0,31.0,1.58,-1.01,54.2,24.8,29.4,1.5,-0.05
60,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,28.0,1991.0,27.0,1927.0,71.0,56.3,21.4,20.0,85.0,16.0,7.0,33.0,3.0,1.15,17.0,25.0,-8.0,-0.37,-0.19,19.7,30.1,-10.5,-0.49,-0.04
61,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,30.0,1989.0,33.0,2957.0,90.0,86.5,32.9,33.0,90.0,32.0,0.0,,5.0,1.64,53.0,39.0,14.0,0.43,0.43,40.7,45.3,-4.7,-0.14,0.18
62,Haitam Aleesami,no NOR,DF,Amiens,Ligue 1,28.0,1991.0,22.0,1916.0,87.0,76.0,21.3,21.0,89.0,20.0,1.0,51.0,6.0,0.86,27.0,42.0,-15.0,-0.7,-0.11,23.6,33.1,-9.5,-0.45,-0.09
63,Álex Alegría,es ESP,FW,Mallorca,La Liga,26.0,1992.0,6.0,109.0,18.0,3.2,1.2,0.0,,0.0,6.0,18.0,1.0,0.67,2.0,2.0,0.0,0.0,0.68,1.4,2.5,-1.1,-0.91,-0.33
64,Carles Aleñá,es ESP,MF,Barcelona,La Liga,21.0,1998.0,4.0,172.0,43.0,5.0,1.9,2.0,68.0,1.0,2.0,19.0,6.0,1.75,5.0,1.0,4.0,2.09,0.87,2.8,0.8,2.0,1.03,0.31
65,Carles Aleñá,es ESP,"MF,FW",Betis,La Liga,21.0,1998.0,17.0,735.0,43.0,21.5,8.2,7.0,75.0,3.0,10.0,21.0,3.0,0.88,10.0,12.0,-2.0,-0.24,0.09,9.8,11.9,-2.1,-0.26,-0.21
66,Diego Alende,es ESP,DF,Valladolid,La Liga,21.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,,,
67,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,24.0,1995.0,11.0,901.0,82.0,35.8,10.0,9.0,90.0,9.0,2.0,45.0,15.0,0.64,8.0,17.0,-9.0,-0.9,-0.84,11.1,14.4,-3.2,-0.32,-0.06
68,Alexander,ar ARG,MF,Leganés,La Liga,30.0,1988.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,20.0,1998.0,38.0,3175.0,84.0,92.8,35.3,35.0,88.0,31.0,3.0,26.0,0.0,2.61,80.0,32.0,48.0,1.36,-0.11,65.7,36.7,29.0,0.82,0.04
70,Enrico Alfonso,it ITA,GK,Brescia,Serie A,31.0,1988.0,4.0,279.0,70.0,8.2,3.1,4.0,70.0,3.0,0.0,,23.0,0.75,4.0,4.0,0.0,0.0,1.26,7.0,2.9,4.1,1.34,2.35
71,Abdallah Ali Mohamed,km COM,DF,Marseille,Ligue 1,20.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,
72,Marco Alia,al ALB,GK,Lazio,Serie A,19.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,
73,Rachid Alioui,ma MAR,FW,Angers,Ligue 1,27.0,1992.0,28.0,1563.0,56.0,62.0,17.4,17.0,75.0,5.0,11.0,27.0,0.0,1.39,14.0,21.0,-7.0,-0.4,-0.59,16.8,18.2,-1.4,-0.08,-0.3
74,Alisson,br BRA,GK,Liverpool,Premier League,26.0,1992.0,29.0,2543.0,88.0,74.4,28.3,29.0,88.0,27.0,0.0,,0.0,2.48,61.0,23.0,38.0,1.34,-0.09,50.0,27.3,22.7,0.8,-0.06
75,Allan,br BRA,MF,Napoli,Serie A,28.0,1991.0,23.0,1280.0,56.0,37.4,14.2,16.0,75.0,8.0,7.0,11.0,5.0,1.52,20.0,20.0,0.0,0.0,-0.46,20.3,17.9,2.4,0.17,-0.44
76,Thomas Allan,eng ENG,MF,Newcastle Utd,Premier League,19.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,
78,Dele Alli,eng ENG,"MF,FW",Tottenham,Premier League,23.0,1996.0,25.0,1847.0,74.0,54.0,20.5,21.0,84.0,12.0,4.0,19.0,3.0,1.4,32.0,25.0,7.0,0.34,-0.06,29.5,31.2,-1.7,-0.08,0.18
79,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,25.0,1994.0,36.0,3021.0,84.0,88.3,33.6,35.0,85.0,21.0,1.0,58.0,1.0,1.22,35.0,48.0,-13.0,-0.39,1.19,31.7,57.5,-25.8,-0.77,0.19
80,José Alonso Lara,es ESP,MF,Sevilla,La Liga,19.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,,,
81,Marcos Alonso,es ESP,DF,Chelsea,Premier League,28.0,1990.0,18.0,1430.0,79.0,41.8,15.9,15.0,87.0,12.0,3.0,41.0,9.0,2.22,39.0,18.0,21.0,1.32,1.59,31.8,15.7,16.1,1.01,0.36
82,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,30.0,1989.0,17.0,1378.0,81.0,54.7,15.3,15.0,89.0,14.0,2.0,19.0,6.0,0.88,11.0,23.0,-12.0,-0.78,-0.94,15.1,19.3,-4.3,-0.28,0.01
83,Altube,es ESP,GK,Real Madrid,La Liga,19.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,10.0,,,,,,,,,,,
84,Sergio Álvarez,es ESP,"MF,DF",Eibar,La Liga,27.0,1992.0,18.0,1147.0,64.0,33.5,12.7,14.0,78.0,8.0,4.0,15.0,9.0,1.28,14.0,20.0,-6.0,-0.47,-0.04,13.7,18.5,-4.8,-0.37,-0.13
85,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,32.0,1986.0,2.0,180.0,90.0,5.3,2.0,2.0,90.0,2.0,0.0,,18.0,1.25,5.0,4.0,1.0,0.5,0.86,3.0,1.6,1.4,0.72,0.93
86,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,24.0,1995.0,32.0,2810.0,88.0,82.2,31.2,32.0,88.0,31.0,0.0,,4.0,1.38,36.0,27.0,9.0,0.29,1.17,35.4,38.4,-3.0,-0.1,0.54
87,Bruno Alves,pt POR,DF,Parma,Serie A,37.0,1981.0,33.0,2671.0,81.0,78.1,29.7,31.0,85.0,27.0,2.0,14.0,0.0,1.33,39.0,44.0,-5.0,-0.17,-0.65,35.8,52.6,-16.8,-0.57,-0.68
88,Steven Alzate,co COL,"MF,DF",Brighton,Premier League,20.0,1998.0,19.0,1188.0,63.0,34.7,13.2,12.0,90.0,10.0,7.0,16.0,3.0,1.11,19.0,18.0,1.0,0.08,0.72,18.6,18.6,0.1,0.0,0.39
89,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,Premier League,26.0,1993.0,11.0,759.0,69.0,22.2,8.4,8.0,84.0,7.0,3.0,28.0,9.0,0.73,8.0,20.0,-12.0,-1.42,-0.17,9.1,18.6,-9.5,-1.13,-0.45
90,Ibrahim Amadou,fr FRA,MF,Leganés,La Liga,26.0,1993.0,10.0,770.0,77.0,22.5,8.6,9.0,82.0,5.0,1.0,28.0,5.0,1.5,6.0,10.0,-4.0,-0.47,0.11,8.3,8.2,0.1,0.01,0.11
91,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,29.0,1989.0,26.0,1695.0,65.0,67.3,18.8,18.0,83.0,12.0,8.0,24.0,2.0,1.04,18.0,25.0,-7.0,-0.37,-0.04,20.8,24.2,-3.4,-0.18,0.32
92,Amath,sn SEN,MF,Getafe,La Liga,23.0,1996.0,7.0,66.0,9.0,1.9,0.7,0.0,,0.0,7.0,9.0,11.0,0.57,0.0,2.0,-2.0,-2.73,-2.94,1.4,2.3,-0.9,-1.25,-1.28
93,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,25.0,1994.0,26.0,2164.0,83.0,85.9,24.0,24.0,88.0,23.0,2.0,24.0,1.0,2.04,36.0,22.0,14.0,0.58,1.09,32.5,24.5,8.0,0.33,1.23
94,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,22.0,1997.0,18.0,548.0,30.0,21.7,6.1,4.0,78.0,1.0,14.0,17.0,8.0,1.06,6.0,10.0,-4.0,-0.66,-0.47,8.3,9.0,-0.7,-0.12,0.36
95,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,21.0,1998.0,20.0,1633.0,82.0,64.8,18.1,17.0,90.0,17.0,3.0,34.0,0.0,0.6,20.0,43.0,-23.0,-1.27,0.05,22.3,31.3,-9.0,-0.5,0.0
96,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,22.0,1996.0,30.0,1857.0,62.0,60.7,20.6,22.0,79.0,11.0,8.0,15.0,4.0,1.7,31.0,25.0,6.0,0.29,-0.53,30.9,30.8,0.1,0.01,-0.57
97,Amores,es ESP,MF,Leganés,La Liga,22.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,
98,Ethan Ampadu,wls WAL,DF,RB Leipzig,Bundesliga,18.0,2000.0,3.0,81.0,27.0,2.6,0.9,0.0,,0.0,3.0,27.0,17.0,3.0,3.0,1.0,2.0,2.22,0.95,1.6,0.5,1.1,1.22,0.27
99,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,Bundesliga,23.0,1996.0,12.0,500.0,42.0,16.3,5.6,5.0,70.0,1.0,7.0,21.0,8.0,0.5,3.0,16.0,-13.0,-2.34,-1.71,4.6,13.2,-8.6,-1.54,-0.97
100,Sofyan Amrabat,ma MAR,MF,Hellas Verona,Serie A,22.0,1996.0,34.0,2919.0,86.0,85.4,32.4,33.0,87.0,22.0,1.0,42.0,0.0,1.29,40.0,46.0,-6.0,-0.18,-0.54,41.9,44.2,-2.2,-0.07,0.1
101,Joseph Anang,eng ENG,GK,West Ham,Premier League,19.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
102,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,23.0,1996.0,18.0,1531.0,85.0,60.8,17.0,17.0,90.0,17.0,1.0,0.0,10.0,1.56,29.0,17.0,12.0,0.71,0.43,22.6,18.5,4.1,0.24,-0.34
104,Djavan Anderson,nl NED,"FW,DF",Lazio,Serie A,24.0,1995.0,6.0,167.0,28.0,4.9,1.9,2.0,65.0,0.0,4.0,10.0,11.0,1.67,3.0,3.0,0.0,0.0,-1.02,2.0,5.4,-3.4,-1.82,-2.38
105,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,26.0,1993.0,25.0,1497.0,60.0,43.8,16.6,20.0,73.0,6.0,5.0,9.0,4.0,0.88,21.0,27.0,-6.0,-0.36,-0.03,19.8,27.8,-8.0,-0.48,-0.14
106,Sebastian Andersson,se SWE,FW,Union Berlin,Bundesliga,28.0,1991.0,33.0,2682.0,81.0,87.6,29.8,31.0,85.0,19.0,2.0,20.0,0.0,1.15,34.0,51.0,-17.0,-0.57,-0.57,37.1,46.6,-9.5,-0.32,0.47
107,Florin Andone,ro ROU,FW,Brighton,Premier League,26.0,1993.0,3.0,73.0,24.0,2.1,0.8,1.0,29.0,0.0,2.0,22.0,0.0,1.33,2.0,0.0,2.0,2.47,2.92,1.3,0.7,0.6,0.72,0.99
108,Nícolas Andrade,br BRA,GK,Udinese,Serie A,31.0,1988.0,0.0,,,,,0.0,,0.0,0.0,,38.0,,,,,,,,,,,
109,Benjamin André,fr FRA,MF,Lille,Ligue 1,28.0,1990.0,26.0,2054.0,79.0,81.5,22.8,23.0,87.0,19.0,3.0,14.0,0.0,1.88,30.0,21.0,9.0,0.39,0.59,31.9,24.0,7.9,0.35,0.17
110,Lorenzo Andrenacci,it ITA,GK,Brescia,Serie A,24.0,1995.0,6.0,531.0,89.0,15.5,5.9,5.0,90.0,5.0,1.0,81.0,20.0,0.17,4.0,16.0,-12.0,-2.03,-1.04,6.5,14.0,-7.5,-1.26,-0.52
111,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,24.0,1994.0,30.0,2572.0,86.0,84.1,28.6,30.0,86.0,23.0,0.0,,0.0,1.07,33.0,51.0,-18.0,-0.63,-0.81,35.8,45.9,-10.1,-0.36,0.14
112,Victorien Angban,ci CIV,MF,Metz,Ligue 1,22.0,1996.0,20.0,1029.0,51.0,40.8,11.4,11.0,84.0,8.0,9.0,12.0,3.0,1.3,11.0,13.0,-2.0,-0.17,0.19,11.5,16.1,-4.5,-0.4,-0.01
