,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
29,25,8.0,17,91,32,35.2,11.37,4.0,0.19,0.53,17.3,1,0,0,9.0,9.0,0.1,8.0,8.0
30,22,7.0,6,84,28,33.3,12.0,4.0,0.06,0.18,15.6,1,1,1,8.7,7.9,0.1,-2.7,-2.9
31,26,8.0,11,82,19,23.2,10.25,2.37,0.11,0.47,17.6,4,2,2,10.3,8.8,0.11,0.7,0.2
32,23,8.0,7,86,27,31.4,10.75,3.38,0.08,0.26,17.8,4,0,0,8.7,8.7,0.11,-1.7,-1.7
33,24,8.0,10,55,20,36.4,6.87,2.5,0.18,0.5,17.2,2,0,0,4.9,4.9,0.09,5.1,5.1
34,23,9.0,12,92,37,40.2,10.22,4.11,0.11,0.27,16.7,1,2,2,8.8,7.2,0.08,3.2,2.8
35,22,9.0,19,117,43,36.8,13.0,4.78,0.15,0.42,17.8,2,1,1,15.8,15.0,0.13,3.2,3.0
36,26,9.0,14,94,36,38.3,10.44,4.0,0.13,0.33,17.3,5,2,3,11.4,9.0,0.1,2.6,3.0
37,20,7.0,10,82,25,30.5,11.71,3.57,0.1,0.32,18.3,4,2,3,10.4,8.1,0.1,-0.4,-0.1
38,24,8.0,5,77,21,27.3,9.62,2.62,0.06,0.24,20.1,2,0,0,4.5,4.5,0.06,0.5,0.5
39,23,7.0,16,94,27,28.7,13.43,3.86,0.14,0.48,18.4,9,3,3,13.2,10.8,0.12,2.8,2.2
40,23,8.0,21,137,40,29.2,17.12,5.0,0.13,0.45,16.3,5,3,3,15.5,13.2,0.1,5.5,4.8
41,22,8.0,13,108,32,29.6,13.5,4.0,0.11,0.38,16.8,3,1,2,11.6,10.1,0.1,1.4,1.9
42,21,7.0,4,83,25,30.1,11.86,3.57,0.04,0.12,17.6,1,1,1,7.3,6.5,0.08,-3.3,-3.5
43,23,9.0,6,94,27,28.7,10.44,3.0,0.03,0.11,21.7,5,3,3,8.6,6.2,0.07,-2.6,-3.2
44,20,8.0,9,86,24,27.9,10.75,3.0,0.09,0.33,19.8,3,1,1,8.2,7.4,0.09,0.8,0.6
45,22,8.0,10,82,24,29.3,10.25,3.0,0.12,0.42,18.9,1,0,0,7.7,7.7,0.1,2.3,2.3
46,23,8.0,9,93,27,29.0,11.62,3.38,0.08,0.26,19.9,2,2,2,7.4,5.9,0.06,1.6,1.1
47,25,8.0,8,128,35,27.3,16.0,4.37,0.06,0.23,17.1,7,0,0,10.0,10.0,0.08,-2.0,-2.0
48,21,7.0,22,121,57,47.1,17.29,8.14,0.17,0.35,17.4,4,2,2,16.8,15.3,0.13,5.2,4.7
49,22,8.0,10,111,43,38.7,13.87,5.37,0.09,0.23,16.4,6,0,0,11.1,11.1,0.1,-1.1,-1.1
50,21,8.0,16,126,36,28.6,15.75,4.5,0.11,0.39,17.0,4,2,3,16.8,14.3,0.11,-0.8,-0.3
51,27,8.0,13,71,28,39.4,8.87,3.5,0.18,0.46,17.2,1,0,0,7.9,7.9,0.11,5.1,5.1
52,20,8.0,6,100,15,15.0,12.5,1.87,0.04,0.27,14.8,1,2,2,9.5,8.0,0.08,-3.5,-4.0
53,27,8.0,6,102,39,38.2,12.75,4.87,0.04,0.1,19.1,3,2,2,8.4,7.0,0.07,-2.4,-3.0
54,23,7.0,13,111,36,32.4,15.86,5.14,0.11,0.33,16.6,3,1,2,12.8,11.2,0.1,0.2,0.8
55,22,7.0,6,84,25,29.8,12.0,3.57,0.07,0.24,18.2,4,0,2,6.7,5.1,0.06,-0.7,0.9
56,21,9.0,12,84,30,35.7,9.33,3.33,0.13,0.37,16.8,0,1,3,10.3,8.1,0.1,1.7,2.9
57,24,8.0,17,129,50,38.8,16.12,6.25,0.12,0.32,16.9,6,1,2,14.9,13.3,0.11,2.1,2.7
58,25,8.0,9,129,37,28.7,16.12,4.62,0.06,0.22,16.9,3,1,1,12.6,11.8,0.09,-3.6,-3.8
59,22,8.0,11,129,40,31.0,16.12,5.0,0.09,0.28,16.6,6,0,0,14.4,14.4,0.11,-3.4,-3.4
60,28,8.0,7,74,26,35.1,9.25,3.25,0.09,0.27,18.8,3,0,0,5.6,5.6,0.08,1.4,1.4
61,23,8.0,16,93,35,37.6,11.62,4.37,0.14,0.37,17.2,1,3,3,12.4,10.2,0.11,3.6,2.8
62,19,8.0,21,110,45,40.9,13.75,5.63,0.19,0.47,16.9,1,0,2,13.3,11.7,0.11,7.7,9.3
63,22,7.9,16,100,40,40.0,12.59,5.03,0.13,0.33,16.8,5,3,3,11.2,10.4,0.11,4.8,2.6
64,24,8.0,8,119,31,26.1,14.87,3.87,0.06,0.23,17.6,3,1,1,11.6,11.0,0.09,-3.6,-4.0
65,26,8.0,14,86,34,39.5,10.75,4.25,0.13,0.32,17.8,5,3,3,9.8,7.4,0.09,4.2,3.6
66,21,8.0,17,138,41,29.7,17.25,5.12,0.09,0.32,17.4,5,4,6,16.8,12.1,0.09,0.2,0.9
67,20,8.0,20,115,48,41.7,14.37,6.0,0.16,0.38,15.8,1,2,2,17.3,15.7,0.14,2.7,2.3
68,21,8.0,9,112,41,36.6,14.0,5.12,0.08,0.22,17.5,4,0,0,11.7,11.7,0.11,-2.7,-2.7
69,25,8.0,8,84,26,31.0,10.5,3.25,0.1,0.31,17.2,1,0,0,7.8,7.8,0.09,0.2,0.2
70,22,9.0,9,99,26,26.3,11.0,2.89,0.07,0.27,18.1,6,2,2,9.3,7.8,0.08,-0.3,-0.8
71,21,8.0,17,138,44,31.9,17.25,5.5,0.11,0.34,17.6,6,2,2,18.8,17.2,0.13,-1.8,-2.2
72,22,9.0,11,116,48,41.4,12.89,5.33,0.06,0.15,20.7,11,4,4,13.7,10.5,0.09,-2.7,-3.5
73,21,7.0,16,86,39,45.3,12.29,5.57,0.19,0.41,18.9,5,0,2,9.5,7.9,0.09,6.5,8.1
74,21,9.0,20,164,68,41.5,18.22,7.56,0.12,0.29,17.3,5,0,2,17.3,16.0,0.1,2.7,4.0
75,24,9.0,16,96,31,32.3,10.67,3.44,0.16,0.48,18.9,5,1,1,11.5,10.7,0.12,4.5,4.3
76,21,8.0,14,77,32,41.6,9.62,4.0,0.17,0.41,17.9,2,1,2,11.0,9.4,0.13,3.0,3.6
77,24,8.0,14,119,45,37.8,14.87,5.63,0.09,0.24,17.9,5,3,3,14.1,11.7,0.1,-0.1,-0.7
78,23,8.0,18,108,36,33.3,13.5,4.5,0.16,0.47,17.7,6,1,1,12.4,11.6,0.11,5.6,5.4
79,23,8.0,4,90,30,33.3,11.25,3.75,0.04,0.13,19.8,2,0,0,5.3,5.3,0.06,-1.3,-1.3
80,26,8.0,11,113,37,32.7,14.12,4.62,0.08,0.24,19.3,3,2,2,8.3,6.9,0.07,2.7,2.1
81,27,8.0,12,135,39,28.9,16.88,4.87,0.09,0.31,18.2,9,0,0,9.8,9.8,0.07,2.2,2.2
82,25,8.0,4,71,22,31.0,8.87,2.75,0.06,0.18,16.2,0,0,0,6.1,6.1,0.09,-2.1,-2.1
83,20,8.0,7,64,19,29.7,8.0,2.37,0.11,0.37,17.8,3,0,0,9.1,9.1,0.15,-2.1,-2.1
84,22,7.0,22,107,46,43.0,15.29,6.57,0.2,0.46,18.0,1,1,1,14.9,14.1,0.14,7.1,6.9
85,23,8.0,6,77,18,23.4,9.62,2.25,0.08,0.33,19.5,3,0,0,6.0,6.0,0.08,0.0,0.0
86,21,8.0,16,153,56,36.6,19.13,7.0,0.1,0.29,17.5,2,0,0,15.0,15.0,0.1,1.0,1.0
87,22,8.0,10,73,30,41.1,9.12,3.75,0.12,0.3,17.1,1,1,1,6.9,6.1,0.09,3.1,2.9
88,25,8.0,3,110,32,29.1,13.75,4.0,0.03,0.09,18.0,5,0,0,9.0,9.0,0.08,-6.0,-6.0
89,24,7.0,11,100,36,36.0,14.29,5.14,0.1,0.28,16.0,5,1,1,10.3,9.5,0.1,0.7,0.5
90,24,9.0,10,91,34,37.4,10.11,3.78,0.1,0.26,19.0,6,1,1,8.7,7.9,0.09,1.3,1.1
91,23,9.0,11,101,33,32.7,11.22,3.67,0.1,0.3,15.6,1,1,1,10.4,9.6,0.1,0.6,0.4
92,24,7.0,12,84,25,29.8,12.0,3.57,0.13,0.44,17.9,4,1,2,11.8,10.1,0.12,0.2,0.9
93,19,8.0,15,90,35,38.9,11.25,4.37,0.16,0.4,14.6,2,1,1,12.2,11.5,0.13,2.8,2.5
94,21,7.0,10,84,37,44.0,12.0,5.29,0.12,0.27,16.7,4,0,1,10.3,9.4,0.12,-0.3,0.6
95,21,8.0,8,87,26,29.9,10.87,3.25,0.09,0.31,16.0,1,0,0,9.9,9.9,0.12,-1.9,-1.9
