,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
21,Chelsea,Premier League,32,26.3,58.7,38,418,3420,38.0,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26
22,Clermont Foot,Ligue 1,28,27.2,48.3,38,418,3420,38.0,44,26,70,37,7,10,72,5,47.5,39.6,27.7,67.4,532,1304,1.16,0.68,1.84,0.97,1.66,1.25,0.73,1.98,1.04,1.77
23,Cremonese,Serie A,33,26.0,42.1,38,418,3420,38.0,35,18,53,30,5,7,81,3,38.7,33.2,24.3,57.5,521,1107,0.92,0.47,1.39,0.79,1.26,1.02,0.64,1.66,0.87,1.51
24,Crystal Palace,Premier League,26,26.7,46.3,38,418,3420,38.0,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73
25,Dortmund,Bundesliga,30,25.8,58.2,34,374,3060,34.0,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48
26,Eint Frankfurt,Bundesliga,28,26.4,52.9,34,374,3060,34.0,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46
27,Elche,La Liga,32,28.3,45.5,38,418,3420,38.0,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6
28,Empoli,Serie A,32,25.3,47.3,38,418,3420,38.0,35,20,55,33,2,2,88,7,38.8,37.2,26.8,64.0,608,1114,0.92,0.53,1.45,0.87,1.39,1.02,0.71,1.73,0.98,1.69
29,Espanyol,La Liga,33,27.6,43.1,38,418,3420,38.0,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09
30,Everton,Premier League,28,26.6,42.8,38,418,3420,38.0,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98
31,Fiorentina,Serie A,30,26.5,56.1,38,418,3420,38.0,51,37,88,47,4,6,93,3,55.0,50.8,40.2,91.0,789,1627,1.34,0.97,2.32,1.24,2.21,1.45,1.06,2.51,1.34,2.39
32,Freiburg,Bundesliga,27,27.4,48.1,34,374,3060,34.0,51,34,85,44,7,8,62,2,48.0,41.6,28.5,70.1,427,1039,1.5,1.0,2.5,1.29,2.29,1.41,0.84,2.25,1.22,2.06
33,Fulham,Premier League,29,28.2,48.8,38,418,3420,38.0,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,662,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78
34,Getafe,La Liga,25,27.4,39.9,38,418,3420,38.0,34,21,55,29,5,8,125,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39
35,Girona,La Liga,29,26.0,51.3,38,418,3420,38.0,55,41,96,47,8,9,92,3,50.4,43.6,37.2,80.8,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.98,2.31,1.15,2.13
36,Hellas Verona,Serie A,36,26.6,41.2,38,418,3420,38.0,29,22,51,28,1,1,103,3,35.8,35.1,28.1,63.2,503,1063,0.76,0.58,1.34,0.74,1.32,0.94,0.74,1.68,0.92,1.66
37,Hertha BSC,Bundesliga,32,26.0,42.0,34,374,3060,34.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.9,1.0,1.74
38,Hoffenheim,Bundesliga,31,26.8,48.3,34,374,3060,34.0,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16
39,Inter,Serie A,25,28.8,55.7,38,418,3420,38.0,68,50,118,64,4,5,65,3,68.0,64.5,51.8,116.3,668,1624,1.79,1.32,3.11,1.68,3.0,1.79,1.36,3.15,1.7,3.06
40,Juventus,Serie A,29,27.7,49.6,38,418,3420,38.0,56,41,97,53,3,6,74,6,55.3,50.4,39.8,90.2,673,1394,1.47,1.08,2.55,1.39,2.47,1.45,1.05,2.5,1.33,2.37
41,Koln,Bundesliga,27,26.0,49.9,34,374,3060,34.0,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35
42,Lazio,Serie A,24,28.6,52.1,38,418,3420,38.0,59,37,96,53,6,8,86,2,51.1,44.9,34.3,79.2,683,1381,1.55,0.97,2.53,1.39,2.37,1.35,0.9,2.25,1.18,2.08
43,Lecce,Serie A,29,24.8,41.3,38,418,3420,38.0,31,21,52,27,4,6,86,2,36.1,31.4,25.3,56.7,515,1232,0.82,0.55,1.37,0.71,1.26,0.95,0.66,1.61,0.83,1.49
44,Leeds United,Premier League,29,25.3,47.0,38,418,3420,38.0,45,31,76,44,1,3,89,3,47.4,45.0,31.9,76.9,555,1429,1.18,0.82,2.0,1.16,1.97,1.25,0.84,2.09,1.18,2.02
45,Leicester City,Premier League,28,26.1,47.7,38,418,3420,38.0,49,36,85,46,3,6,63,2,50.6,45.8,38.5,84.2,580,1304,1.29,0.95,2.24,1.21,2.16,1.33,1.01,2.34,1.2,2.22
46,Lens,Ligue 1,29,26.4,55.6,38,418,3420,38.0,66,49,115,60,6,9,63,3,66.7,59.8,47.4,107.2,738,1829,1.74,1.29,3.03,1.58,2.87,1.76,1.25,3.0,1.57,2.82
47,Leverkusen,Bundesliga,27,24.7,52.0,34,374,3060,34.0,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,2.66,1.35,2.5
48,Lille,Ligue 1,26,26.0,60.5,38,418,3420,38.0,65,40,105,54,11,12,82,1,68.7,60.0,46.4,106.5,798,1982,1.71,1.05,2.76,1.42,2.47,1.81,1.22,3.03,1.58,2.8
49,Liverpool,Premier League,28,27.4,60.8,38,418,3420,38.0,71,58,129,69,2,4,57,1,72.6,69.5,56.7,126.1,719,1992,1.87,1.53,3.39,1.82,3.34,1.91,1.49,3.4,1.83,3.32
50,Lorient,Ligue 1,30,25.2,46.6,38,418,3420,38.0,49,32,81,45,4,6,48,4,44.5,39.8,29.4,69.2,753,1329,1.29,0.84,2.13,1.18,2.03,1.17,0.77,1.94,1.05,1.82
51,Lyon,Ligue 1,29,25.5,58.1,38,418,3420,38.0,63,45,108,57,6,8,61,3,61.1,54.8,45.1,99.9,709,1883,1.66,1.18,2.84,1.5,2.68,1.61,1.19,2.8,1.44,2.63
52,M'Gladbach,Bundesliga,27,26.8,53.7,34,374,3060,34.0,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.4,2.61
53,Mainz 05,Bundesliga,27,27.0,44.8,34,374,3060,34.0,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,1.59,1.03,2.62,1.47,2.5,1.39,0.88,2.27,1.25,2.13
54,Mallorca,La Liga,31,27.7,41.1,38,418,3420,38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.7,1.62,0.82,1.52
55,Manchester City,Premier League,24,27.2,64.7,38,418,3420,38.0,92,69,161,83,9,10,44,1,78.7,71.1,57.6,128.7,987,2073,2.42,1.82,4.24,2.18,4.0,2.07,1.52,3.59,1.87,3.39
56,Manchester Utd,Premier League,26,26.9,53.7,38,418,3420,38.0,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.5,1.78,1.37,3.15,1.72,3.09
57,Marseille,Ligue 1,30,27.3,56.7,38,418,3420,38.0,61,38,99,55,6,7,63,4,65.3,60.0,47.0,107.0,759,1919,1.61,1.0,2.61,1.45,2.45,1.72,1.24,2.95,1.58,2.82
58,Milan,Serie A,30,26.0,55.6,38,418,3420,38.0,61,49,110,56,5,5,90,2,58.8,55.1,46.0,101.1,795,1584,1.61,1.29,2.89,1.47,2.76,1.55,1.21,2.76,1.45,2.66
59,Monaco,Ligue 1,27,24.7,48.2,38,418,3420,38.0,69,47,116,64,5,8,64,5,62.1,55.7,42.2,97.9,719,1820,1.82,1.24,3.05,1.68,2.92,1.63,1.11,2.74,1.47,2.58
60,Montpellier,Ligue 1,31,26.0,45.8,38,418,3420,38.0,64,41,105,57,7,7,68,10,52.2,46.7,34.3,80.9,556,1250,1.68,1.08,2.76,1.5,2.58,1.37,0.9,2.27,1.23,2.13
61,Monza,Serie A,31,26.6,55.2,38,418,3420,38.0,46,31,77,41,5,6,90,4,45.9,41.2,33.8,75.0,708,1362,1.21,0.82,2.03,1.08,1.89,1.21,0.89,2.1,1.08,1.97
62,Nantes,Ligue 1,29,26.7,45.9,38,418,3420,38.0,35,27,62,32,3,5,65,4,42.8,39.0,31.8,70.8,705,1565,0.92,0.71,1.63,0.84,1.55,1.13,0.84,1.96,1.03,1.86
63,Napoli,Serie A,27,26.4,61.8,38,418,3420,38.0,75,57,132,67,8,10,47,1,64.7,56.8,46.8,103.6,907,1804,1.97,1.5,3.47,1.76,3.26,1.7,1.23,2.94,1.5,2.73
64,Newcastle Utd,Premier League,27,27.3,52.3,38,418,3420,38.0,64,42,106,58,6,6,61,1,72.0,67.4,51.9,119.3,694,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.37,3.26,1.77,3.14
65,Nice,Ligue 1,34,26.5,51.5,38,418,3420,38.0,47,32,79,41,6,7,53,3,57.2,51.7,39.3,91.1,774,1534,1.24,0.84,2.08,1.08,1.92,1.51,1.04,2.54,1.36,2.4
66,Nott'ham Forest,Premier League,33,26.5,37.6,38,418,3420,38.0,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,435,859,0.95,0.58,1.53,0.87,1.45,1.03,0.69,1.73,0.91,1.6
67,Osasuna,La Liga,26,27.5,48.0,38,418,3420,38.0,36,30,66,32,4,5,93,7,39.4,35.5,28.2,63.7,545,1356,0.95,0.79,1.74,0.84,1.63,1.04,0.74,1.78,0.93,1.68
68,Paris S-G,Ligue 1,26,26.9,60.7,38,418,3420,38.0,86,62,148,81,5,7,57,5,78.2,72.6,56.8,129.3,810,2029,2.26,1.63,3.89,2.13,3.76,2.06,1.49,3.55,1.91,3.4
69,Rayo Vallecano,La Liga,28,27.9,51.2,38,418,3420,38.0,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,1.08,0.76,1.84,0.97,1.74,1.16,0.79,1.95,0.99,1.78
70,RB Leipzig,Bundesliga,25,26.3,58.1,34,374,3060,34.0,64,39,103,58,6,7,69,2,62.7,57.4,43.2,100.6,599,1450,1.88,1.15,3.03,1.71,2.85,1.84,1.27,3.11,1.69,2.96
71,Real Madrid,La Liga,26,27.4,60.9,38,418,3420,38.0,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23
72,Real Sociedad,La Liga,30,25.9,54.6,38,418,3420,38.0,47,36,83,45,2,4,90,2,52.7,49.6,39.5,89.1,692,1483,1.24,0.95,2.18,1.18,2.13,1.39,1.04,2.43,1.3,2.34
73,Reims,Ligue 1,34,24.9,48.7,38,418,3420,38.0,45,31,76,38,7,8,70,9,61.5,55.2,43.4,98.6,712,1717,1.18,0.82,2.0,1.0,1.82,1.62,1.14,2.76,1.45,2.59
74,Rennes,Ligue 1,32,25.2,55.4,38,418,3420,38.0,66,47,113,63,3,3,58,6,61.4,59.0,45.4,104.4,774,1922,1.74,1.24,2.97,1.66,2.89,1.62,1.2,2.81,1.55,2.75
75,Roma,Serie A,30,27.4,48.6,38,418,3420,38.0,50,33,83,43,7,10,82,4,57.4,49.9,38.9,88.8,684,1217,1.32,0.87,2.18,1.13,2.0,1.51,1.02,2.53,1.31,2.34
76,Salernitana,Serie A,30,27.2,44.9,38,418,3420,38.0,46,34,80,44,2,2,85,4,36.7,35.2,26.9,62.0,519,1089,1.21,0.89,2.11,1.16,2.05,0.96,0.71,1.67,0.93,1.63
77,Sampdoria,Serie A,40,27.9,46.1,38,418,3420,38.0,23,18,41,22,1,2,108,3,34.1,32.5,24.4,56.9,466,1126,0.61,0.47,1.08,0.58,1.05,0.9,0.64,1.54,0.85,1.5
78,Sassuolo,Serie A,31,26.1,49.2,38,418,3420,38.0,46,30,76,37,9,10,90,6,51.6,43.9,36.1,80.0,761,1565,1.21,0.79,2.0,0.97,1.76,1.36,0.95,2.31,1.16,2.11
79,Schalke 04,Bundesliga,35,27.5,46.0,34,374,3060,34.0,32,24,56,28,4,5,68,1,39.6,35.9,28.7,64.6,415,934,0.94,0.71,1.65,0.82,1.53,1.16,0.84,2.01,1.06,1.9
80,Sevilla,La Liga,35,28.7,52.6,38,418,3420,38.0,47,31,78,43,4,5,120,13,46.3,42.4,32.0,74.5,558,1513,1.24,0.82,2.05,1.13,1.95,1.22,0.84,2.06,1.12,1.96
81,Southampton,Premier League,36,24.7,44.5,38,418,3420,38.0,36,25,61,34,2,4,73,0,37.7,34.5,28.2,62.7,588,1125,0.95,0.66,1.61,0.89,1.55,0.99,0.74,1.73,0.91,1.65
82,Spezia,Serie A,34,25.7,47.4,38,418,3420,38.0,29,18,47,25,4,4,103,6,41.5,38.5,29.3,67.8,553,1163,0.76,0.47,1.24,0.66,1.13,1.09,0.77,1.86,1.01,1.78
83,Strasbourg,Ligue 1,29,27.3,45.9,38,418,3420,38.0,48,28,76,43,5,7,73,7,48.5,42.8,32.1,74.9,610,1351,1.26,0.74,2.0,1.13,1.87,1.28,0.84,2.12,1.13,1.97
84,Stuttgart,Bundesliga,30,24.7,50.2,34,374,3060,34.0,45,34,79,40,5,5,72,5,47.6,43.7,38.1,81.7,609,1278,1.32,1.0,2.32,1.18,2.18,1.4,1.12,2.52,1.28,2.4
85,Torino,Serie A,28,25.2,53.2,38,418,3420,38.0,41,34,75,39,2,2,81,0,41.8,40.2,35.0,75.2,684,1328,1.08,0.89,1.97,1.03,1.92,1.1,0.92,2.02,1.06,1.98
86,Tottenham,Premier League,29,27.6,50.0,38,418,3420,38.0,68,46,114,63,5,6,77,3,57.1,52.4,43.1,95.5,692,1449,1.79,1.21,3.0,1.66,2.87,1.5,1.13,2.64,1.38,2.51
87,Toulouse,Ligue 1,29,25.1,51.3,38,418,3420,38.0,50,33,83,46,4,4,62,3,52.5,49.4,35.8,85.2,648,1737,1.32,0.87,2.18,1.21,2.08,1.38,0.94,2.33,1.3,2.24
88,Troyes,Ligue 1,32,25.8,42.6,38,418,3420,38.0,43,26,69,38,5,5,55,5,39.1,35.6,27.9,63.5,638,1235,1.13,0.68,1.82,1.0,1.68,1.03,0.73,1.76,0.94,1.67
89,Udinese,Serie A,30,26.1,48.0,38,418,3420,38.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354,1.21,1.08,2.29,1.18,2.26,1.24,0.99,2.23,1.2,2.19
90,Union Berlin,Bundesliga,28,27.9,43.8,34,374,3060,34.0,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,1.44,1.12,2.56,1.35,2.47,1.12,0.76,1.88,0.95,1.72
91,Valencia,La Liga,28,24.2,52.0,38,418,3420,38.0,40,23,63,35,5,8,92,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.3,0.86,2.15,1.13,1.99
92,Valladolid,La Liga,36,27.4,48.7,38,418,3420,38.0,32,24,56,29,3,4,94,6,38.6,35.5,28.4,63.9,610,1244,0.84,0.63,1.47,0.76,1.39,1.02,0.75,1.76,0.93,1.68
93,Villarreal,La Liga,32,28.4,56.9,38,418,3420,38.0,57,33,90,53,4,7,91,4,61.7,56.1,43.1,99.3,846,1622,1.5,0.87,2.37,1.39,2.26,1.62,1.13,2.76,1.48,2.61
94,Werder Bremen,Bundesliga,25,27.4,49.3,34,374,3060,34.0,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,1.47,1.09,2.56,1.32,2.41,1.21,0.85,2.06,1.07,1.92
95,West Ham,Premier League,25,28.2,42.1,38,418,3420,38.0,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,614,1274,1.08,0.66,1.74,0.92,1.58,1.29,0.86,2.15,1.15,2.01
96,Wolfsburg,Bundesliga,28,23.7,50.6,34,374,3060,34.0,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,1.62,1.29,2.91,1.5,2.79,1.51,1.15,2.66,1.35,2.5
97,Wolves,Premier League,32,26.7,49.9,38,418,3420,38.0,28,12,40,25,3,3,85,6,36.8,34.5,25.4,59.9,610,1343,0.74,0.32,1.05,0.66,0.97,0.97,0.67,1.64,0.91,1.58
