,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
68,3,38,38,3420,38.0,28,0.74,131,103,79.4,26,4,8,19,50.0,2,1,1,0,50.0
69,2,38,38,3420,38.0,83,2.18,191,111,58.1,3,11,24,5,13.2,3,3,0,0,0.0
70,2,34,34,3060,34.0,32,0.94,84,52,65.5,19,8,7,15,44.1,3,3,0,0,0.0
71,1,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5
72,1,38,38,3420,38.0,38,1.0,105,67,66.7,17,11,10,14,36.8,5,3,1,1,25.0
73,2,38,38,3420,38.0,50,1.32,168,117,73.2,9,15,14,10,26.3,8,5,2,1,28.6
74,3,38,38,3420,38.0,40,1.05,131,92,71.8,16,10,12,10,26.3,4,3,0,1,0.0
75,3,38,38,3420,38.0,55,1.45,167,114,70.1,18,8,12,11,28.9,6,5,1,0,16.7
76,3,38,38,3420,38.0,54,1.42,132,79,63.6,12,10,16,12,31.6,9,6,1,2,14.3
77,2,38,38,3420,38.0,54,1.42,174,119,73.0,15,7,16,7,18.4,9,7,2,0,22.2
78,2,38,38,3420,38.0,56,1.47,186,130,72.0,17,11,10,8,21.1,5,4,1,0,20.0
79,3,34,34,3060,34.0,86,2.53,234,152,66.2,3,7,24,4,11.8,8,7,1,0,12.5
80,2,38,38,3420,38.0,33,0.87,120,87,75.8,24,5,9,17,44.7,6,4,2,0,33.3
81,1,38,38,3420,38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0
82,2,38,38,3420,38.0,68,1.79,178,110,66.3,12,7,19,9,23.7,9,8,1,0,11.1
83,3,38,38,3420,38.0,72,1.89,178,105,64.6,9,12,17,5,13.2,10,9,1,0,10.0
84,3,38,38,3420,38.0,58,1.53,149,91,65.1,11,9,18,10,26.3,8,6,1,1,14.3
85,2,34,34,3060,34.0,55,1.62,166,110,69.9,12,9,13,5,14.7,7,5,2,0,28.6
86,3,38,38,3420,38.0,69,1.82,157,88,61.8,7,16,15,8,21.1,10,9,0,1,0.0
87,1,38,38,3420,38.0,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0
88,4,38,38,3420,38.0,58,1.53,159,101,72.3,10,10,18,8,21.1,14,14,0,0,0.0
89,2,34,34,3060,34.0,43,1.26,136,93,71.3,12,14,8,7,20.6,5,4,1,0,20.0
90,2,38,38,3420,38.0,53,1.39,175,121,72.6,10,13,15,7,18.4,8,5,3,0,37.5
91,2,38,38,3420,38.0,57,1.5,161,104,68.3,5,16,17,3,7.9,7,6,0,1,0.0
92,2,38,38,3420,38.0,44,1.16,126,83,70.6,15,13,10,10,26.3,9,7,1,1,12.5
93,1,34,34,3060,34.0,57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,0,33.3
94,2,38,38,3420,38.0,76,2.0,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5
95,2,38,38,3420,38.0,47,1.24,147,103,70.1,19,8,11,11,28.9,5,3,1,1,25.0
96,2,34,34,3060,34.0,37,1.09,122,84,72.1,17,10,7,14,41.2,5,3,2,0,40.0
97,2,38,38,3420,38.0,52,1.37,152,102,70.4,12,9,17,10,26.3,8,7,1,0,12.5
