,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
21,Celta Vigo,La Liga,25,28.4,55.2,38,418,3420,38.0,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77
22,Chelsea,Premier League,26,27.4,61.8,38,418,3420,38.0,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,1967,1.97,1.37,3.34,1.76,3.13,1.67,1.18,2.85,1.49,2.67
23,Clermont Foot,Ligue 1,28,26.9,50.0,38,418,3420,38.0,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.1,1.96
24,Crystal Palace,Premier League,24,27.1,51.1,38,418,3420,38.0,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,1229,1.32,0.82,2.13,1.16,1.97,1.22,0.82,2.04,1.06,1.87
25,Dortmund,Bundesliga,33,25.9,59.2,34,374,3060,34.0,81,57,138,70,11,11,63,1,64.0,55.9,45.0,100.8,670,1468,2.38,1.68,4.06,2.06,3.74,1.88,1.32,3.21,1.64,2.97
26,Eint Frankfurt,Bundesliga,27,26.2,49.6,34,374,3060,34.0,43,33,76,42,1,2,61,1,41.6,40.1,32.0,72.1,609,1255,1.26,0.97,2.24,1.24,2.21,1.22,0.94,2.16,1.18,2.12
27,Elche,La Liga,28,29.1,48.4,38,418,3420,38.0,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.0,1.76,0.89,0.73,1.61,0.86,1.59
28,Empoli,Serie A,28,24.5,47.4,38,418,3420,38.0,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.8
29,Espanyol,La Liga,34,27.7,46.9,38,418,3420,38.0,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55
30,Everton,Premier League,33,26.7,40.0,38,418,3420,38.0,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,1100,1.11,0.76,1.87,0.95,1.71,1.09,0.75,1.83,0.94,1.69
31,Fiorentina,Serie A,28,26.4,57.7,38,418,3420,38.0,59,33,92,50,9,12,89,8,60.0,50.8,39.2,90.1,755,1584,1.55,0.87,2.42,1.32,2.18,1.58,1.03,2.61,1.34,2.37
32,Freiburg,Bundesliga,26,26.5,49.0,34,374,3060,34.0,55,37,92,50,5,6,34,0,50.4,45.7,34.5,80.2,401,1229,1.62,1.09,2.71,1.47,2.56,1.48,1.01,2.5,1.35,2.36
33,Genoa,Serie A,40,27.0,43.9,38,418,3420,38.0,26,19,45,20,6,7,92,3,37.2,31.8,26.3,58.1,517,1101,0.68,0.5,1.18,0.53,1.03,0.98,0.69,1.67,0.84,1.53
34,Getafe,La Liga,31,26.6,41.5,38,418,3420,38.0,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.5,0.74,1.42,0.77,0.51,1.28,0.67,1.18
35,Granada,La Liga,32,28.1,44.7,38,418,3420,38.0,43,28,71,40,3,5,105,4,39.0,35.1,26.7,61.8,435,1047,1.13,0.74,1.87,1.05,1.79,1.03,0.7,1.73,0.92,1.63
36,Greuther Furth,Bundesliga,29,25.9,43.6,34,374,3060,34.0,26,15,41,21,5,5,61,0,30.0,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32
37,Hellas Verona,Serie A,31,26.8,50.6,38,418,3420,38.0,63,44,107,56,7,8,100,7,50.4,44.2,34.1,78.4,677,1587,1.66,1.16,2.82,1.47,2.63,1.33,0.9,2.23,1.16,2.06
38,Hertha BSC,Bundesliga,36,26.7,43.7,34,374,3060,34.0,35,23,58,32,3,3,62,2,33.3,30.9,25.0,55.9,462,975,1.03,0.68,1.71,0.94,1.62,0.98,0.73,1.71,0.91,1.64
39,Hoffenheim,Bundesliga,32,26.1,53.2,34,374,3060,34.0,55,42,97,55,0,0,75,0,58.3,58.3,46.8,105.1,588,1474,1.62,1.24,2.85,1.62,2.85,1.71,1.38,3.09,1.71,3.09
40,Inter,Serie A,27,28.9,56.5,38,418,3420,38.0,83,57,140,76,7,11,71,0,81.6,73.6,57.3,130.9,782,1778,2.18,1.5,3.68,2.0,3.5,2.15,1.51,3.66,1.94,3.45
41,Juventus,Serie A,32,27.4,51.5,38,418,3420,38.0,56,37,93,51,5,6,77,2,51.4,46.7,36.3,83.0,701,1464,1.47,0.97,2.45,1.34,2.32,1.35,0.96,2.31,1.23,2.18
42,Koln,Bundesliga,26,27.0,54.8,34,374,3060,34.0,52,40,92,51,1,1,67,1,50.1,49.3,38.6,87.9,550,1406,1.53,1.18,2.71,1.5,2.68,1.47,1.14,2.61,1.45,2.59
43,Lazio,Serie A,27,29.0,55.4,38,418,3420,38.0,74,48,122,67,7,9,88,5,55.3,48.2,38.8,87.0,788,1527,1.95,1.26,3.21,1.76,3.03,1.46,1.02,2.48,1.27,2.29
44,Leeds United,Premier League,29,26.1,52.3,38,418,3420,38.0,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,1483,1.11,0.68,1.79,0.97,1.66,1.17,0.82,1.99,1.06,1.89
45,Leicester City,Premier League,28,26.5,52.0,38,418,3420,38.0,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,1356,1.63,1.21,2.84,1.58,2.79,1.26,0.9,2.16,1.22,2.12
46,Lens,Ligue 1,28,26.1,50.7,38,418,3420,38.0,60,39,99,55,5,5,73,7,50.2,46.4,34.9,81.3,763,1692,1.58,1.03,2.61,1.45,2.47,1.32,0.92,2.24,1.22,2.14
47,Levante,La Liga,31,28.0,47.2,38,418,3420,38.0,51,34,85,43,8,13,109,6,55.1,45.1,31.7,76.9,569,1343,1.34,0.89,2.24,1.13,2.03,1.45,0.84,2.28,1.19,2.02
48,Leverkusen,Bundesliga,29,24.4,53.7,34,374,3060,34.0,76,58,134,74,2,6,66,2,62.6,57.8,46.2,104.0,709,1341,2.24,1.71,3.94,2.18,3.88,1.84,1.36,3.2,1.7,3.06
49,Lille,Ligue 1,26,26.1,50.8,38,418,3420,38.0,45,29,74,41,4,5,98,6,50.5,46.6,33.7,80.4,725,1487,1.18,0.76,1.95,1.08,1.84,1.33,0.89,2.22,1.23,2.11
50,Liverpool,Premier League,27,27.7,62.7,38,418,3420,38.0,94,71,165,87,7,8,50,1,88.7,82.7,63.5,146.2,885,2243,2.47,1.87,4.34,2.29,4.16,2.33,1.67,4.0,2.18,3.85
51,Lorient,Ligue 1,29,26.2,44.4,38,418,3420,38.0,35,20,55,32,3,3,69,4,41.3,39.0,29.7,68.7,569,1258,0.92,0.53,1.45,0.84,1.37,1.09,0.78,1.87,1.03,1.81
52,Lyon,Ligue 1,30,25.6,58.4,38,418,3420,38.0,64,45,109,56,8,8,65,6,66.9,60.7,48.3,109.0,781,1756,1.68,1.18,2.87,1.47,2.66,1.76,1.27,3.03,1.6,2.87
53,M'Gladbach,Bundesliga,26,26.0,54.0,34,374,3060,34.0,54,38,92,49,5,7,67,1,56.2,50.6,37.8,88.4,527,1291,1.59,1.12,2.71,1.44,2.56,1.65,1.11,2.76,1.49,2.6
54,Mainz 05,Bundesliga,28,26.2,46.5,34,374,3060,34.0,49,36,85,45,4,4,62,4,50.4,47.2,36.4,83.6,445,1178,1.44,1.06,2.5,1.32,2.38,1.48,1.07,2.55,1.39,2.46
55,Mallorca,La Liga,33,27.9,45.3,38,418,3420,38.0,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.7,0.88,1.55
56,Manchester City,Premier League,26,27.0,67.9,38,418,3420,38.0,96,63,159,89,7,9,42,1,88.7,81.4,65.5,146.9,1145,2421,2.53,1.66,4.18,2.34,4.0,2.33,1.72,4.06,2.14,3.87
57,Manchester Utd,Premier League,29,27.2,52.7,38,418,3420,38.0,56,46,102,53,3,5,77,2,55.8,51.9,42.5,94.3,784,1568,1.47,1.21,2.68,1.39,2.61,1.47,1.12,2.59,1.36,2.48
58,Marseille,Ligue 1,27,25.0,61.7,38,418,3420,38.0,61,40,101,51,10,10,61,3,58.2,50.5,41.1,91.6,762,1866,1.61,1.05,2.66,1.34,2.39,1.53,1.08,2.61,1.33,2.41
59,Metz,Ligue 1,36,25.9,42.9,38,418,3420,38.0,33,24,57,32,1,1,94,9,29.2,28.4,21.5,49.9,572,1015,0.87,0.63,1.5,0.84,1.47,0.77,0.57,1.33,0.75,1.31
60,Milan,Serie A,28,25.6,54.0,38,418,3420,38.0,66,39,105,61,5,8,76,3,59.7,54.1,42.8,96.9,806,1486,1.74,1.03,2.76,1.61,2.63,1.57,1.13,2.7,1.42,2.55
61,Monaco,Ligue 1,27,24.4,54.1,38,418,3420,38.0,62,45,107,53,9,9,85,4,59.3,52.3,44.1,96.3,750,1871,1.63,1.18,2.82,1.39,2.58,1.56,1.16,2.72,1.38,2.54
62,Montpellier,Ligue 1,26,25.8,48.2,38,418,3420,38.0,48,31,79,45,3,4,77,8,42.7,39.6,28.6,68.2,604,1282,1.26,0.82,2.08,1.18,2.0,1.12,0.75,1.88,1.04,1.79
63,Nantes,Ligue 1,26,26.1,43.9,38,418,3420,38.0,53,37,90,48,5,5,80,4,45.5,41.6,34.7,76.3,607,1330,1.39,0.97,2.37,1.26,2.24,1.2,0.91,2.11,1.1,2.01
64,Napoli,Serie A,27,27.9,58.3,38,418,3420,38.0,74,46,120,64,10,14,63,2,57.8,46.6,37.1,83.7,827,1665,1.95,1.21,3.16,1.68,2.89,1.52,0.98,2.5,1.23,2.2
65,Newcastle Utd,Premier League,29,27.5,40.4,38,418,3420,38.0,41,23,64,38,3,3,81,2,38.1,35.9,25.8,61.7,544,923,1.08,0.61,1.68,1.0,1.61,1.0,0.68,1.68,0.94,1.62
66,Nice,Ligue 1,27,25.0,51.5,38,418,3420,38.0,52,35,87,44,8,10,77,6,55.6,48.0,39.0,86.9,732,1474,1.37,0.92,2.29,1.16,2.08,1.46,1.03,2.49,1.26,2.29
67,Norwich City,Premier League,28,26.2,42.9,38,418,3420,38.0,21,16,37,18,3,3,57,1,32.3,30.0,24.3,54.3,566,1031,0.55,0.42,0.97,0.47,0.89,0.85,0.64,1.49,0.79,1.43
68,Osasuna,La Liga,29,27.7,46.9,38,418,3420,38.0,37,23,60,31,6,8,84,2,36.7,30.7,22.9,53.6,417,1328,0.97,0.61,1.58,0.82,1.42,0.96,0.6,1.57,0.81,1.41
69,Paris S-G,Ligue 1,36,27.8,63.0,38,418,3420,38.0,88,65,153,81,7,8,79,4,76.7,70.6,55.9,126.6,877,2055,2.32,1.71,4.03,2.13,3.84,2.02,1.47,3.49,1.86,3.33
70,Rayo Vallecano,La Liga,28,27.5,49.9,38,418,3420,38.0,38,28,66,34,4,4,101,3,42.8,39.7,30.7,70.3,697,1312,1.0,0.74,1.74,0.89,1.63,1.13,0.81,1.93,1.04,1.85
71,RB Leipzig,Bundesliga,29,25.3,56.1,34,374,3060,34.0,72,53,125,64,8,9,49,0,64.5,58.4,49.2,107.6,542,1467,2.12,1.56,3.68,1.88,3.44,1.9,1.45,3.34,1.72,3.16
72,Real Madrid,La Liga,31,27.7,59.9,38,418,3420,38.0,80,59,139,72,8,12,76,0,71.7,62.2,50.7,112.9,1029,2078,2.11,1.55,3.66,1.89,3.45,1.89,1.33,3.22,1.64,2.97
73,Real Sociedad,La Liga,32,25.7,54.3,38,418,3420,38.0,40,22,62,31,9,10,77,4,51.5,43.8,32.9,76.7,667,1462,1.05,0.58,1.63,0.82,1.39,1.36,0.87,2.22,1.15,2.02
74,Reims,Ligue 1,35,24.0,42.2,38,418,3420,38.0,42,27,69,38,4,6,68,7,37.7,32.8,26.0,58.8,614,1185,1.11,0.71,1.82,1.0,1.71,0.99,0.68,1.68,0.86,1.55
75,Rennes,Ligue 1,28,25.3,55.9,38,418,3420,38.0,81,61,142,77,4,4,56,2,62.8,59.6,47.1,106.7,676,1737,2.13,1.61,3.74,2.03,3.63,1.65,1.24,2.89,1.57,2.81
76,Roma,Serie A,29,26.4,51.4,38,418,3420,38.0,58,31,89,51,7,9,111,8,65.1,58.1,46.3,104.4,733,1587,1.53,0.82,2.34,1.34,2.16,1.71,1.22,2.93,1.53,2.75
77,Saint-Etienne,Ligue 1,39,25.1,48.5,38,418,3420,38.0,41,25,66,36,5,5,81,5,38.3,34.5,26.2,60.7,685,1400,1.08,0.66,1.74,0.95,1.61,1.01,0.69,1.7,0.91,1.6
78,Salernitana,Serie A,42,27.7,41.2,38,418,3420,38.0,32,19,51,28,4,5,94,5,36.5,32.9,24.8,57.7,528,1031,0.84,0.5,1.34,0.74,1.24,0.96,0.65,1.61,0.87,1.52
79,Sampdoria,Serie A,34,29.0,46.1,38,418,3420,38.0,42,29,71,40,2,4,94,4,36.7,33.4,26.2,59.6,467,1187,1.11,0.76,1.87,1.05,1.82,0.97,0.69,1.66,0.88,1.57
80,Sassuolo,Serie A,29,26.1,54.9,38,418,3420,38.0,60,39,99,53,7,7,92,4,55.7,50.2,39.0,89.2,815,1507,1.58,1.03,2.61,1.39,2.42,1.46,1.03,2.49,1.32,2.35
81,Sevilla,La Liga,33,28.6,59.4,38,418,3420,38.0,51,40,91,49,2,3,97,4,42.4,40.0,32.5,72.5,625,1596,1.34,1.05,2.39,1.29,2.34,1.12,0.86,1.97,1.05,1.91
82,Southampton,Premier League,25,25.7,47.7,38,418,3420,38.0,41,26,67,37,4,4,65,2,44.8,41.6,32.5,74.1,728,1326,1.08,0.68,1.76,0.97,1.66,1.18,0.85,2.03,1.1,1.95
83,Spezia,Serie A,30,24.4,42.7,38,418,3420,38.0,38,25,63,35,3,5,88,4,40.1,36.2,27.9,64.1,511,999,1.0,0.66,1.66,0.92,1.58,1.05,0.73,1.79,0.95,1.69
84,Strasbourg,Ligue 1,26,27.0,49.5,38,418,3420,38.0,56,40,96,50,6,8,72,3,55.6,49.4,39.6,89.0,573,1589,1.47,1.05,2.53,1.32,2.37,1.46,1.04,2.51,1.3,2.34
85,Stuttgart,Bundesliga,34,23.0,50.7,34,374,3060,34.0,40,31,71,39,1,3,64,2,43.7,41.4,33.1,74.5,571,1269,1.18,0.91,2.09,1.15,2.06,1.29,0.97,2.26,1.22,2.19
86,Torino,Serie A,31,25.2,53.3,38,418,3420,38.0,43,27,70,37,6,6,89,3,48.7,44.1,36.3,80.4,628,1320,1.13,0.71,1.84,0.97,1.68,1.28,0.96,2.24,1.16,2.12
87,Tottenham,Premier League,25,26.5,51.8,38,418,3420,38.0,63,50,113,58,5,5,69,1,61.2,57.3,47.0,104.4,791,1459,1.66,1.32,2.97,1.53,2.84,1.61,1.24,2.85,1.51,2.75
88,Troyes,Ligue 1,35,27.1,44.4,38,418,3420,38.0,35,23,58,29,6,7,75,6,39.2,33.8,27.0,60.8,598,1216,0.92,0.61,1.53,0.76,1.37,1.03,0.71,1.74,0.89,1.6
89,Udinese,Serie A,29,26.2,42.7,38,418,3420,38.0,58,36,94,55,3,4,95,6,51.3,48.2,36.6,84.8,669,1226,1.53,0.95,2.47,1.45,2.39,1.35,0.96,2.31,1.27,2.23
90,Union Berlin,Bundesliga,28,28.3,43.7,34,374,3060,34.0,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,1.47,0.97,2.44,1.32,2.29,1.38,0.93,2.31,1.27,2.2
91,Valencia,La Liga,34,24.8,43.6,38,418,3420,38.0,45,30,75,37,8,9,134,8,39.0,32.2,25.4,57.6,554,1202,1.18,0.79,1.97,0.97,1.76,1.03,0.67,1.69,0.85,1.52
92,Venezia,Serie A,39,26.1,42.3,38,418,3420,38.0,34,23,57,31,3,5,110,9,36.5,32.4,26.4,58.8,540,1088,0.89,0.61,1.5,0.82,1.42,0.96,0.69,1.66,0.85,1.55
93,Villarreal,La Liga,29,28.0,56.8,38,418,3420,38.0,62,51,113,57,5,6,81,1,64.2,60.0,50.9,110.9,790,1698,1.63,1.34,2.97,1.5,2.84,1.69,1.34,3.03,1.58,2.92
94,Watford,Premier League,30,28.4,40.7,38,418,3420,38.0,33,26,59,32,1,2,63,3,40.0,38.4,32.5,70.9,557,1070,0.87,0.68,1.55,0.84,1.53,1.05,0.86,1.91,1.01,1.87
95,West Ham,Premier League,25,28.2,47.9,38,418,3420,38.0,58,46,104,54,4,6,52,3,51.4,46.8,37.4,84.2,646,1449,1.53,1.21,2.74,1.42,2.63,1.35,0.99,2.34,1.23,2.22
96,Wolfsburg,Bundesliga,30,26.0,50.5,34,374,3060,34.0,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,1.24,0.74,1.97,1.15,1.88,1.4,1.0,2.4,1.32,2.31
97,Wolves,Premier League,26,27.3,49.5,38,418,3420,38.0,35,22,57,34,1,1,62,2,37.5,36.8,26.4,63.2,723,1283,0.92,0.58,1.5,0.89,1.47,0.99,0.69,1.68,0.97,1.66
