,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
70,RB Leipzig,Bundesliga,23,23.4,55.0,34,374,3060,34.0,57,43,100,53,4,5,,,51.9,48.0,39.6,87.6,778,1591,1.68,1.26,2.94,1.56,2.82,1.53,1.17,2.69,1.41,2.58
71,Real Madrid,La Liga,24,27.1,60.2,38,418,3420,38.0,91,65,156,83,8,10,65.0,4.0,85.4,77.5,62.8,140.2,1131,2383,2.39,1.71,4.11,2.18,3.89,2.25,1.65,3.9,2.04,3.69
72,Real Sociedad,La Liga,27,25.9,56.5,38,418,3420,38.0,64,47,111,60,4,5,60.0,5.0,53.7,49.7,38.9,88.7,883,1605,1.68,1.24,2.92,1.58,2.82,1.41,1.02,2.44,1.31,2.33
73,Rennes,Ligue 1,28,24.2,49.9,38,418,3420,38.0,48,32,80,42,6,8,64.0,5.0,49.8,43.6,33.0,76.5,619,1505,1.26,0.84,2.11,1.11,1.95,1.31,0.87,2.18,1.15,2.01
74,Roma,Serie A,27,27.4,58.0,38,418,3420,38.0,56,37,93,53,3,6,,,63.4,58.8,46.7,105.5,938,1989,1.47,0.97,2.45,1.39,2.37,1.67,1.23,2.9,1.55,2.78
75,Saint-Etienne,Ligue 1,30,26.6,51.3,38,418,3420,38.0,45,31,76,38,7,11,71.0,8.0,51.0,42.8,35.4,78.2,732,1552,1.18,0.82,2.0,1.0,1.82,1.34,0.93,2.27,1.13,2.06
76,Sampdoria,Serie A,27,27.0,53.6,38,418,3420,38.0,56,33,89,49,7,8,,,53.5,47.2,35.5,82.7,614,1627,1.47,0.87,2.34,1.29,2.16,1.41,0.93,2.34,1.24,2.18
77,Sassuolo,Serie A,28,27.2,42.9,38,418,3420,38.0,28,16,44,24,4,10,,,46.3,38.4,27.7,66.1,640,1492,0.74,0.42,1.16,0.63,1.05,1.22,0.73,1.95,1.01,1.74
78,Schalke 04,Bundesliga,24,26.1,46.6,34,374,3060,34.0,50,33,83,40,10,10,,,46.7,38.9,31.4,70.3,776,1248,1.47,0.97,2.44,1.18,2.15,1.37,0.92,2.3,1.14,2.07
79,Sevilla,La Liga,31,27.1,54.3,38,418,3420,38.0,48,35,83,44,4,5,97.0,3.0,59.5,55.7,42.8,98.5,817,1824,1.26,0.92,2.18,1.16,2.08,1.57,1.13,2.69,1.47,2.59
80,Southampton,Premier League,26,26.2,51.3,38,418,3420,38.0,36,23,59,33,3,3,,,39.9,37.6,29.5,67.0,694,1609,0.95,0.61,1.55,0.87,1.47,1.05,0.78,1.83,0.99,1.76
81,SPAL,Serie A,29,26.7,44.7,38,418,3420,38.0,37,14,51,32,5,6,,,35.8,31.1,21.5,52.5,704,1218,0.97,0.37,1.34,0.84,1.21,0.94,0.56,1.51,0.82,1.38
82,Stoke City,Premier League,30,27.5,41.4,38,418,3420,38.0,34,28,62,34,0,3,,,36.5,34.1,27.4,61.4,477,1150,0.89,0.74,1.63,0.89,1.63,0.96,0.72,1.68,0.9,1.62
83,Strasbourg,Ligue 1,25,27.2,49.1,38,418,3420,38.0,43,26,69,36,7,7,71.0,4.0,45.5,40.0,29.8,69.8,658,1289,1.13,0.68,1.82,0.95,1.63,1.2,0.78,1.98,1.05,1.84
84,Stuttgart,Bundesliga,26,25.6,46.6,34,374,3060,34.0,35,22,57,34,1,3,,,40.3,38.0,26.3,64.3,474,1026,1.03,0.65,1.68,1.0,1.65,1.19,0.77,1.96,1.12,1.89
85,Swansea City,Premier League,26,27.2,45.3,38,418,3420,38.0,27,20,47,26,1,1,,,31.6,30.8,20.2,51.0,596,1194,0.71,0.53,1.24,0.68,1.21,0.83,0.53,1.36,0.81,1.34
86,Torino,Serie A,27,28.1,51.1,38,418,3420,38.0,53,36,89,53,0,2,,,46.0,44.4,35.1,79.6,703,1425,1.39,0.95,2.34,1.39,2.34,1.21,0.92,2.14,1.17,2.09
87,Tottenham,Premier League,25,25.8,61.8,38,418,3420,38.0,70,51,121,68,2,3,,,64.7,62.3,49.0,111.3,862,2249,1.84,1.34,3.18,1.79,3.13,1.7,1.29,2.99,1.64,2.93
88,Toulouse,Ligue 1,25,23.9,45.7,38,418,3420,38.0,35,24,59,27,8,11,92.0,3.0,45.5,37.0,29.1,66.1,667,1473,0.92,0.63,1.55,0.71,1.34,1.2,0.77,1.96,0.97,1.74
89,Troyes,Ligue 1,25,26.7,42.6,38,418,3420,38.0,30,21,51,28,2,3,76.0,7.0,38.0,35.7,26.5,62.2,564,1333,0.79,0.55,1.34,0.74,1.29,1.0,0.7,1.7,0.94,1.64
90,Udinese,Serie A,27,26.5,44.7,38,418,3420,38.0,45,27,72,38,7,7,,,43.2,37.7,29.4,67.1,605,1364,1.18,0.71,1.89,1.0,1.71,1.14,0.77,1.91,0.99,1.77
91,Valencia,La Liga,25,24.8,48.6,38,418,3420,38.0,63,45,108,55,8,8,103.0,5.0,56.0,49.8,39.9,89.7,739,1563,1.66,1.18,2.84,1.45,2.63,1.47,1.05,2.52,1.31,2.36
92,Villarreal,La Liga,32,26.6,50.4,38,418,3420,38.0,56,45,101,52,4,5,113.0,6.0,53.3,49.3,42.0,91.3,719,1453,1.47,1.18,2.66,1.37,2.55,1.4,1.11,2.51,1.3,2.4
93,Watford,Premier League,29,27.9,49.7,38,418,3420,38.0,42,27,69,39,3,6,,,45.0,40.2,29.2,69.4,647,1455,1.11,0.71,1.82,1.03,1.74,1.19,0.77,1.95,1.06,1.83
94,Werder Bremen,Bundesliga,25,26.3,47.4,34,374,3060,34.0,34,27,61,34,0,0,,,38.9,38.9,31.6,70.5,572,1473,1.0,0.79,1.79,1.0,1.79,1.14,0.93,2.07,1.14,2.07
95,West Brom,Premier League,24,29.1,40.7,38,418,3420,38.0,31,24,55,30,1,1,,,36.5,35.7,25.9,61.6,507,1106,0.82,0.63,1.45,0.79,1.42,0.96,0.68,1.64,0.94,1.62
96,West Ham,Premier League,27,28.0,45.2,38,418,3420,38.0,48,29,77,46,2,4,,,36.7,33.6,24.9,58.4,523,1179,1.26,0.76,2.03,1.21,1.97,0.97,0.65,1.62,0.88,1.54
97,Wolfsburg,Bundesliga,29,25.1,49.3,34,374,3060,34.0,36,26,62,35,1,6,,,34.2,29.7,21.5,51.2,502,1304,1.06,0.76,1.82,1.03,1.79,1.01,0.63,1.64,0.87,1.51
