,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
2014,Fabian Schar,Newcastle Utd,10.3,538,651,82.6,10923,4492,188,210,89.5,286,307,93.2,63,127,49.6,0,0.2,0.6,-0.2,1,62,5,0,42
2015,Patrik Schick,Leverkusen,4.4,91,117,77.8,1132,129,62,79,78.5,23,28,82.1,0,0,0.0,0,0.4,0.3,-0.4,5,4,2,0,8
2016,Stefan Schimmer,Heidenheim,1.3,19,30,63.3,310,53,9,15,60.0,8,10,80.0,1,2,50.0,0,0.2,0.3,-0.2,2,0,1,1,2
2017,Joel Schingtienne,Venezia,1.0,28,29,96.6,470,117,10,11,90.9,17,17,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2018,Xaver Schlager,RB Leipzig,0.2,13,19,68.4,196,45,8,9,88.9,4,5,80.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1
2019,Keven Schlotterbeck,Augsburg,9.4,389,459,84.7,7343,2800,147,160,91.9,208,222,93.7,32,70,45.7,1,0.4,0.3,+0.6,3,26,2,0,35
2020,Nico Schlotterbeck,Dortmund,10.8,937,1044,89.8,17493,6542,347,365,95.1,499,534,93.4,83,125,66.4,1,0.6,0.8,+0.4,8,101,4,2,94
2021,Jeffrey Schlupp,Crystal Palace,1.0,35,46,76.1,518,117,15,18,83.3,15,20,75.0,2,4,50.0,0,0.1,0.1,-0.1,2,3,1,0,3
2022,Romano Schmid,Werder Bremen,11.8,442,589,75.0,6820,2173,249,286,87.1,125,187,66.8,41,65,63.1,1,2.0,2.7,-1.0,20,52,30,8,97
2023,Niklas Schmidt,Toulouse,1.9,120,155,77.4,2346,711,44,54,81.5,50,56,89.3,23,37,62.2,0,0.3,0.3,-0.3,4,19,2,0,16
2024,Jan Schoppner,Heidenheim,11.2,282,364,77.5,5050,1541,114,137,83.2,127,147,86.4,31,52,59.6,0,2.0,0.7,-2.0,11,26,6,2,33
2025,Marvin Schulz,Holstein Kiel,1.6,46,57,80.7,888,329,17,18,94.4,21,24,87.5,7,12,58.3,0,0.6,0.3,-0.6,3,4,1,1,5
2026,Leo Scienza,Heidenheim,7.5,142,218,65.1,2432,1061,68,89,76.4,47,66,71.2,21,46,45.7,0,1.7,2.3,-1.7,17,16,9,5,19
2028,Alex Scott,Bournemouth,2.9,116,132,87.9,2046,749,55,60,91.7,52,55,94.5,9,12,75.0,0,0.2,0.2,-0.2,5,22,4,0,32
2029,Simone Scuffet,Cagliari,11.0,249,339,73.5,7150,5528,40,41,97.6,118,119,99.2,91,177,51.4,0,0.0,0.0,0.0,0,3,0,0,0
2030,Jeremy Sebas,Strasbourg,0.8,11,13,84.6,131,36,8,9,88.9,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,1,2,2,0,3
2031,Aleksandar Sedlar,Alavés,4.6,123,154,79.9,2546,978,38,44,86.4,65,78,83.3,19,29,65.5,0,0.0,0.0,0.0,0,6,0,0,6
2032,Alidu Seidu,Rennes,8.9,426,518,82.2,7350,2223,189,206,91.7,195,227,85.9,34,63,54.0,0,0.3,0.4,-0.3,5,33,8,0,41
