,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
63,Napoli,Serie A,2.0,38.0,38.0,3420.0,38.0,34.0,0.89,94.0,60.0,63.8,25.0,7.0,6.0,15.0,39.5,,,,,
64,Newcastle Utd,Premier League,3.0,38.0,38.0,3420.0,38.0,65.0,1.71,178.0,113.0,63.5,9.0,10.0,19.0,8.0,21.1,,,,,
65,Nice,Ligue 1,3.0,38.0,38.0,3420.0,38.0,41.0,1.08,144.0,103.0,71.5,18.0,9.0,11.0,12.0,31.6,,,,,
66,Norwich City,Premier League,2.0,38.0,38.0,3420.0,38.0,67.0,1.76,165.0,98.0,59.4,9.0,7.0,22.0,5.0,13.2,,,,,
67,Palermo,Serie A,4.0,38.0,38.0,3420.0,38.0,65.0,1.71,199.0,134.0,67.3,10.0,9.0,19.0,10.0,26.3,,,,,
68,Paris S-G,Ligue 1,3.0,38.0,38.0,3420.0,38.0,19.0,0.5,114.0,95.0,83.3,30.0,6.0,2.0,22.0,57.9,,,,,
69,Rayo Vallecano,La Liga,3.0,38.0,38.0,3418.0,38.0,73.0,1.92,182.0,118.0,63.7,9.0,11.0,18.0,6.0,15.8,9.0,7.0,2.0,0.0,22.2
70,Real Madrid,La Liga,2.0,38.0,38.0,3420.0,38.0,34.0,0.89,137.0,106.0,75.9,28.0,6.0,4.0,14.0,36.8,4.0,1.0,3.0,0.0,75.0
71,Real Sociedad,La Liga,2.0,38.0,38.0,3418.0,38.0,48.0,1.26,151.0,109.0,71.5,13.0,9.0,16.0,13.0,34.2,8.0,5.0,1.0,2.0,16.7
72,Reims,Ligue 1,3.0,38.0,38.0,3420.0,38.0,57.0,1.5,169.0,112.0,66.3,10.0,9.0,19.0,4.0,10.5,,,,,
73,Rennes,Ligue 1,2.0,38.0,38.0,3420.0,38.0,54.0,1.42,171.0,117.0,68.4,13.0,13.0,12.0,6.0,15.8,,,,,
74,Roma,Serie A,2.0,38.0,38.0,3420.0,38.0,41.0,1.08,147.0,106.0,72.1,23.0,11.0,4.0,8.0,21.1,,,,,
75,Saint-Étienne,Ligue 1,1.0,38.0,38.0,3420.0,38.0,37.0,0.97,144.0,107.0,74.3,17.0,7.0,14.0,16.0,42.1,,,,,
76,Sampdoria,Serie A,2.0,38.0,38.0,3420.0,38.0,61.0,1.61,206.0,145.0,70.4,10.0,10.0,18.0,7.0,18.4,,,,,
77,Sassuolo,Serie A,2.0,38.0,38.0,3420.0,38.0,40.0,1.05,140.0,100.0,71.4,16.0,13.0,9.0,11.0,28.9,,,,,
78,Schalke 04,Bundesliga,1.0,34.0,34.0,3059.0,34.0,49.0,1.44,184.0,135.0,73.4,15.0,7.0,12.0,8.0,23.5,,,,,
79,Sevilla,La Liga,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,174.0,126.0,72.4,14.0,10.0,14.0,11.0,28.9,3.0,2.0,0.0,1.0,0.0
80,Southampton,Premier League,4.0,38.0,38.0,3420.0,38.0,41.0,1.08,133.0,92.0,69.2,18.0,9.0,11.0,12.0,31.6,,,,,
81,Sporting Gijón,La Liga,2.0,38.0,38.0,3420.0,38.0,62.0,1.63,193.0,140.0,71.0,10.0,9.0,19.0,7.0,18.4,11.0,6.0,3.0,2.0,33.3
82,Stoke City,Premier League,3.0,38.0,38.0,3420.0,38.0,55.0,1.45,175.0,120.0,68.6,14.0,9.0,15.0,10.0,26.3,,,,,
83,Stuttgart,Bundesliga,3.0,34.0,34.0,3060.0,34.0,75.0,2.21,208.0,133.0,63.9,9.0,6.0,19.0,4.0,11.8,,,,,
84,Sunderland,Premier League,3.0,38.0,38.0,3420.0,38.0,62.0,1.63,213.0,151.0,70.9,9.0,12.0,17.0,7.0,18.4,,,,,
85,Swansea City,Premier League,2.0,38.0,38.0,3420.0,38.0,52.0,1.37,165.0,113.0,68.5,12.0,11.0,15.0,9.0,23.7,,,,,
86,Torino,Serie A,2.0,38.0,38.0,3420.0,38.0,55.0,1.45,148.0,93.0,62.8,12.0,9.0,17.0,6.0,15.8,,,,,
87,Tottenham,Premier League,2.0,38.0,38.0,3420.0,38.0,35.0,0.92,121.0,86.0,71.1,19.0,13.0,6.0,13.0,34.2,,,,,
88,Toulouse,Ligue 1,3.0,38.0,38.0,3420.0,38.0,55.0,1.45,142.0,87.0,61.3,9.0,13.0,16.0,8.0,21.1,,,,,
89,Troyes,Ligue 1,3.0,38.0,38.0,3420.0,38.0,83.0,2.18,229.0,146.0,63.8,3.0,9.0,26.0,3.0,7.9,,,,,
90,Udinese,Serie A,1.0,38.0,38.0,3420.0,38.0,60.0,1.58,169.0,109.0,64.5,10.0,9.0,19.0,8.0,21.1,,,,,
91,Valencia,La Liga,3.0,38.0,38.0,3420.0,38.0,48.0,1.26,177.0,133.0,74.0,11.0,11.0,16.0,7.0,18.4,4.0,2.0,2.0,0.0,50.0
92,Villarreal,La Liga,3.0,38.0,38.0,3420.0,38.0,35.0,0.92,131.0,99.0,74.8,18.0,10.0,10.0,17.0,44.7,3.0,2.0,1.0,0.0,33.3
93,Watford,Premier League,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,123.0,73.0,59.3,12.0,9.0,17.0,11.0,28.9,,,,,
94,Werder Bremen,Bundesliga,1.0,34.0,34.0,3060.0,34.0,40.0,1.18,165.0,125.0,75.8,10.0,8.0,16.0,2.0,5.9,,,,,
95,West Brom,Premier League,2.0,38.0,38.0,3420.0,38.0,48.0,1.26,155.0,107.0,69.0,10.0,13.0,15.0,11.0,28.9,,,,,
96,West Ham,Premier League,2.0,38.0,38.0,3420.0,38.0,51.0,1.34,162.0,111.0,68.5,16.0,14.0,8.0,11.0,28.9,,,,,
97,Wolfsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,49.0,1.44,153.0,104.0,68.0,12.0,9.0,13.0,9.0,26.5,,,,,
