,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
85,Timo Horn,de GER,GK,Köln,Bundesliga,27.0,1993.0,34.0,34.0,3009.0,33.4,59.0,1.76,155.0,95.0,66.5,8.0,9.0,17.0,5.0,14.7,8.0,7.0,1.0,0.0,12.5
86,Lukáš Hrádecký,fi FIN,GK,Leverkusen,Bundesliga,30.0,1989.0,29.0,29.0,2565.0,28.5,29.0,1.02,83.0,55.0,66.3,13.0,9.0,7.0,8.0,27.6,2.0,1.0,1.0,0.0,50.0
87,Rune Jarstein,no NOR,GK,Hertha BSC,Bundesliga,35.0,1984.0,8.0,8.0,720.0,8.0,13.0,1.62,33.0,20.0,63.6,2.0,1.0,5.0,1.0,12.5,2.0,1.0,1.0,0.0,50.0
88,Sam Johnstone,eng ENG,GK,West Brom,Premier League,27.0,1993.0,37.0,37.0,3330.0,37.0,74.0,2.0,234.0,162.0,71.4,4.0,11.0,22.0,6.0,16.2,11.0,7.0,1.0,3.0,12.5
89,Bingourou Kamara,sn SEN,GK,Strasbourg,Ligue 1,23.0,1996.0,8.0,8.0,720.0,8.0,14.0,1.75,32.0,19.0,59.4,2.0,0.0,6.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0
90,Loris Karius,de GER,GK,Union Berlin,Bundesliga,27.0,1993.0,4.0,3.0,292.0,3.2,1.0,0.31,4.0,4.0,75.0,1.0,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,
91,Eiji Kawashima,jp JPN,GK,Strasbourg,Ligue 1,37.0,1983.0,24.0,24.0,2160.0,24.0,31.0,1.29,91.0,59.0,69.2,8.0,7.0,9.0,8.0,33.3,5.0,3.0,1.0,1.0,25.0
92,Caoimhín Kelleher,ie IRL,GK,Liverpool,Premier League,21.0,1998.0,2.0,2.0,180.0,2.0,1.0,0.5,7.0,6.0,85.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,
93,Gregor Kobel,ch SUI,GK,Stuttgart,Bundesliga,22.0,1997.0,33.0,33.0,2970.0,33.0,54.0,1.64,157.0,102.0,68.8,11.0,9.0,13.0,5.0,15.2,7.0,5.0,2.0,0.0,28.6
94,Alban Lafont,fr FRA,GK,Nantes,Ligue 1,21.0,1999.0,38.0,38.0,3420.0,38.0,55.0,1.45,168.0,113.0,73.2,9.0,13.0,16.0,5.0,13.2,12.0,10.0,1.0,1.0,9.1
