,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1674,Chris Mepham,wls WAL,DF,Bournemouth,Premier League,20.0,1997.0,9.4,1.0,0.0,0.0,7.0,4.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,47.0,31.0,17.0,64.6
1675,Gabriel Mercado,ar ARG,DF,Sevilla,La Liga,31.0,1987.0,19.3,10.0,0.0,0.0,32.0,19.0,2.0,5.0,26.0,23.0,1.0,1.0,0.0,80.0,46.0,39.0,54.1
1676,Alex Meret,it ITA,GK,Napoli,Serie A,21.0,1997.0,12.8,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2.0,0.0,100.0
1677,Mehdi Merghem,fr FRA,"FW,MF",Guingamp,Ligue 1,21.0,1997.0,8.0,3.0,0.0,0.0,11.0,7.0,0.0,26.0,9.0,18.0,0.0,0.0,0.0,49.0,8.0,7.0,53.3
1678,Mikel Merino,es ESP,MF,Real Sociedad,La Liga,22.0,1996.0,22.8,10.0,1.0,1.0,70.0,37.0,1.0,15.0,29.0,28.0,2.0,0.0,0.0,156.0,83.0,42.0,66.4
1679,Sabin Merino,es ESP,"FW,MF",Leganés,La Liga,26.0,1992.0,3.3,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,15.0,19.0,44.1
1680,Martín Merquelanz,es ESP,MF,Real Sociedad,La Liga,23.0,1995.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1681,Dries Mertens,be BEL,FW,Napoli,Serie A,31.0,1987.0,25.0,1.0,0.0,0.0,32.0,28.0,13.0,75.0,13.0,11.0,0.0,0.0,0.0,66.0,6.0,16.0,27.3
1682,Roque Mesa,es ESP,MF,Sevilla,La Liga,29.0,1989.0,19.4,11.0,1.0,1.0,45.0,26.0,2.0,39.0,14.0,27.0,1.0,1.0,0.0,153.0,12.0,20.0,37.5
1683,Lionel Messi,ar ARG,FW,Barcelona,La Liga,31.0,1987.0,30.1,3.0,0.0,0.0,22.0,66.0,17.0,78.0,3.0,7.0,0.0,0.0,0.0,69.0,7.0,10.0,41.2
1684,Romain Métanire,mg MAD,DF,Reims,Ligue 1,28.0,1990.0,3.5,1.0,1.0,0.0,6.0,5.0,1.0,1.0,6.0,9.0,0.0,1.0,0.0,22.0,2.0,4.0,33.3
1685,Thomas Meunier,be BEL,DF,Paris S-G,Ligue 1,26.0,1991.0,17.9,2.0,0.0,0.0,23.0,4.0,5.0,51.0,19.0,33.0,1.0,0.0,1.0,103.0,34.0,18.0,65.4
1686,Mexer,mz MOZ,DF,Rennes,Ligue 1,29.0,1988.0,27.4,3.0,0.0,0.0,10.0,10.0,0.0,0.0,30.0,12.0,1.0,1.0,0.0,143.0,60.0,35.0,63.2
1687,Max Meyer,de GER,MF,Crystal Palace,Premier League,22.0,1995.0,15.7,3.0,0.0,0.0,10.0,18.0,1.0,24.0,15.0,18.0,1.0,0.0,0.0,89.0,4.0,16.0,20.0
1688,Matt Miazga,us USA,DF,Nantes,Ligue 1,23.0,1995.0,8.0,5.0,0.0,0.0,11.0,4.0,0.0,1.0,12.0,11.0,0.0,2.0,0.0,31.0,46.0,7.0,86.8
1690,Míchel,es ESP,MF,Valladolid,La Liga,30.0,1988.0,28.4,9.0,0.0,0.0,43.0,22.0,4.0,136.0,43.0,38.0,0.0,1.0,0.0,228.0,22.0,46.0,32.4
1691,Clément Michelin,fr FRA,DF,Toulouse,Ligue 1,21.0,1997.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
1692,Petar Mićin,rs SRB,MF,Udinese,Serie A,19.0,1998.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1693,Miguel,es ESP,FW,Valladolid,La Liga,18.0,1999.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
1694,Florian Miguel,fr FRA,DF,Nîmes,Ligue 1,21.0,1996.0,12.4,2.0,1.0,1.0,13.0,19.0,1.0,10.0,21.0,16.0,0.0,0.0,0.0,49.0,17.0,26.0,39.5
1695,Nikola Milenković,rs SRB,DF,Fiorentina,Serie A,20.0,1997.0,33.4,8.0,1.0,1.0,60.0,19.0,2.0,21.0,48.0,40.0,0.0,0.0,0.0,144.0,107.0,66.0,61.8
1696,Arkadiusz Milik,pl POL,FW,Napoli,Serie A,24.0,1994.0,26.6,4.0,0.0,0.0,43.0,27.0,16.0,5.0,3.0,9.0,0.0,0.0,0.0,47.0,43.0,67.0,39.1
1697,Sergej Milinković-Savić,rs SRB,MF,Lazio,Serie A,23.0,1995.0,26.6,7.0,1.0,0.0,60.0,33.0,12.0,35.0,27.0,28.0,0.0,0.0,0.0,187.0,109.0,91.0,54.5
1698,Vanja Milinković-Savić,rs SRB,GK,SPAL,Serie A,21.0,1997.0,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1699,Luka Milivojević,rs SRB,MF,Crystal Palace,Premier League,27.0,1991.0,38.0,10.0,0.0,0.0,60.0,37.0,0.0,185.0,72.0,69.0,0.0,0.0,0.0,194.0,54.0,37.0,59.3
1700,Pere Milla,es ESP,"MF,FW",Eibar,La Liga,25.0,1992.0,3.8,0.0,0.0,0.0,7.0,5.0,2.0,16.0,2.0,6.0,0.0,0.0,0.0,21.0,7.0,14.0,33.3
1701,Vincenzo Millico,it ITA,MF,Torino,Serie A,17.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1702,James Milner,eng ENG,"MF,DF",Liverpool,Premier League,32.0,1986.0,19.9,6.0,1.0,1.0,28.0,27.0,0.0,134.0,18.0,23.0,0.0,0.0,0.0,143.0,19.0,28.0,40.4
1703,Santi Mina,es ESP,FW,Valencia,La Liga,22.0,1995.0,20.6,4.0,0.0,0.0,40.0,41.0,13.0,9.0,4.0,10.0,1.0,0.0,0.0,53.0,40.0,73.0,35.4
1704,Yerry Mina,co COL,DF,Everton,Premier League,23.0,1994.0,9.9,3.0,0.0,0.0,13.0,5.0,1.0,0.0,8.0,7.0,1.0,0.0,0.0,41.0,38.0,26.0,59.4
1705,Tyrone Mings,eng ENG,DF,Bournemouth,Premier League,25.0,1993.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,9.0,3.0,3.0,50.0
1706,Ignasi Miquel,es ESP,DF,Getafe,La Liga,25.0,1992.0,3.5,1.0,0.0,0.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,7.0,7.0,50.0
1707,Kevin Mirallas,be BEL,"FW,MF",Fiorentina,Serie A,30.0,1987.0,14.4,2.0,0.0,0.0,16.0,25.0,4.0,61.0,4.0,7.0,0.0,0.0,0.0,62.0,9.0,15.0,37.5
1708,Jorge Miramón,es ESP,DF,Huesca,La Liga,29.0,1989.0,27.7,5.0,0.0,0.0,26.0,13.0,0.0,81.0,44.0,55.0,0.0,0.0,0.0,222.0,30.0,24.0,55.6
1709,Miranda,br BRA,DF,Inter,Serie A,33.0,1984.0,12.9,3.0,0.0,0.0,19.0,9.0,1.0,0.0,14.0,7.0,0.0,2.0,0.0,67.0,23.0,15.0,60.5
1710,Antonio Mirante,it ITA,GK,Roma,Serie A,35.0,1983.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,50.0
1711,Virgil Misidjan,nl NED,"MF,FW",Nürnberg,Bundesliga,25.0,1993.0,17.1,5.0,0.0,0.0,35.0,54.0,10.0,48.0,9.0,13.0,1.0,0.0,0.0,84.0,17.0,25.0,40.5
1712,Simone Missiroli,it ITA,MF,SPAL,Serie A,32.0,1986.0,30.5,9.0,0.0,0.0,30.0,55.0,0.0,14.0,46.0,43.0,0.0,0.0,0.0,191.0,67.0,64.0,51.1
1713,Kostas Mitroglou,gr GRE,FW,Marseille,Ligue 1,30.0,1988.0,6.4,0.0,0.0,0.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,14.0,44.0
1714,Aleksandar Mitrović,rs SRB,FW,Fulham,Premier League,23.0,1994.0,36.4,7.0,0.0,0.0,61.0,59.0,34.0,6.0,6.0,9.0,1.0,1.0,0.0,83.0,235.0,239.0,49.6
1716,Stefan Mitrović,rs SRB,DF,Strasbourg,Ligue 1,28.0,1990.0,33.6,8.0,2.0,0.0,18.0,9.0,1.0,0.0,46.0,16.0,0.0,0.0,1.0,125.0,67.0,45.0,59.8
1717,Maximilian Mittelstädt,de GER,"DF,MF",Hertha BSC,Bundesliga,21.0,1997.0,20.0,3.0,1.0,1.0,15.0,22.0,1.0,52.0,46.0,37.0,0.0,0.0,0.0,125.0,42.0,23.0,64.6
