,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
22,Eibar,La Liga,28.0,25.6,45.2,38.0,419.0,3420.0,38.0,47.0,31.0,41.0,6.0,8.0,108.0,4.0,1.24,0.82,2.05,1.08,1.89
23,Eint Frankfurt,Bundesliga,30.0,26.7,48.0,34.0,374.0,3060.0,34.0,32.0,25.0,30.0,2.0,2.0,0.0,0.0,0.94,0.74,1.68,0.88,1.62
24,Empoli,Serie A,29.0,25.4,52.5,38.0,418.0,3420.0,38.0,39.0,29.0,38.0,1.0,2.0,0.0,0.0,1.03,0.76,1.79,1.0,1.76
25,Espanyol,La Liga,26.0,24.9,46.2,38.0,418.0,3420.0,38.0,38.0,29.0,37.0,1.0,3.0,132.0,5.0,1.0,0.76,1.76,0.97,1.74
26,Everton,Premier League,31.0,26.5,51.9,38.0,418.0,3420.0,38.0,56.0,44.0,52.0,4.0,5.0,0.0,0.0,1.47,1.16,2.63,1.37,2.53
27,Fiorentina,Serie A,26.0,27.6,61.0,38.0,418.0,3420.0,38.0,58.0,38.0,50.0,8.0,9.0,0.0,0.0,1.53,1.0,2.53,1.32,2.32
28,Frosinone,Serie A,28.0,26.5,39.7,38.0,418.0,3420.0,38.0,34.0,22.0,31.0,3.0,3.0,0.0,0.0,0.89,0.58,1.47,0.82,1.39
29,Gazélec Ajaccio,Ligue 1,23.0,28.4,47.0,38.0,418.0,3420.0,38.0,36.0,26.0,33.0,3.0,3.0,0.0,0.0,0.95,0.68,1.63,0.87,1.55
30,Genoa,Serie A,30.0,26.7,50.2,38.0,418.0,3420.0,38.0,44.0,35.0,40.0,4.0,4.0,0.0,0.0,1.16,0.92,2.08,1.05,1.97
31,Getafe,La Liga,27.0,26.7,46.1,38.0,418.0,3420.0,38.0,36.0,31.0,35.0,1.0,2.0,129.0,6.0,0.95,0.82,1.76,0.92,1.74
32,Granada,La Liga,28.0,25.9,44.6,38.0,418.0,3420.0,38.0,45.0,26.0,38.0,7.0,7.0,141.0,7.0,1.18,0.68,1.87,1.0,1.68
33,Guingamp,Ligue 1,28.0,28.4,42.8,38.0,418.0,3420.0,38.0,46.0,36.0,44.0,2.0,3.0,0.0,0.0,1.21,0.95,2.16,1.16,2.11
34,Hamburger SV,Bundesliga,28.0,27.1,48.7,34.0,374.0,3060.0,34.0,37.0,26.0,34.0,3.0,3.0,0.0,0.0,1.09,0.76,1.85,1.0,1.76
35,Hannover 96,Bundesliga,33.0,25.6,45.9,34.0,374.0,3060.0,34.0,30.0,21.0,28.0,2.0,3.0,0.0,0.0,0.88,0.62,1.5,0.82,1.44
36,Hellas Verona,Serie A,32.0,27.5,45.3,38.0,418.0,3420.0,38.0,34.0,23.0,28.0,6.0,7.0,0.0,0.0,0.89,0.61,1.5,0.74,1.34
37,Hertha BSC,Bundesliga,26.0,26.1,49.7,34.0,374.0,3060.0,34.0,41.0,31.0,38.0,3.0,3.0,0.0,0.0,1.21,0.91,2.12,1.12,2.03
38,Hoffenheim,Bundesliga,26.0,24.1,46.1,34.0,374.0,3060.0,34.0,39.0,26.0,36.0,3.0,6.0,0.0,0.0,1.15,0.76,1.91,1.06,1.82
39,Ingolstadt 04,Bundesliga,25.0,26.3,45.2,34.0,374.0,3060.0,34.0,33.0,20.0,24.0,9.0,10.0,0.0,0.0,0.97,0.59,1.56,0.71,1.29
40,Inter,Serie A,28.0,26.7,55.0,38.0,418.0,3420.0,38.0,49.0,35.0,47.0,2.0,3.0,0.0,0.0,1.29,0.92,2.21,1.24,2.16
41,Juventus,Serie A,28.0,28.3,56.0,38.0,418.0,3420.0,38.0,72.0,54.0,63.0,9.0,9.0,0.0,0.0,1.89,1.42,3.32,1.66,3.08
42,Köln,Bundesliga,23.0,25.1,45.2,34.0,374.0,3060.0,34.0,38.0,30.0,35.0,3.0,4.0,0.0,0.0,1.12,0.88,2.0,1.03,1.91
43,La Coruña,La Liga,25.0,28.2,47.1,38.0,418.0,3420.0,38.0,41.0,31.0,40.0,1.0,1.0,86.0,4.0,1.08,0.82,1.89,1.05,1.87
44,Las Palmas,La Liga,27.0,27.6,54.6,38.0,418.0,3420.0,38.0,42.0,31.0,38.0,4.0,5.0,100.0,4.0,1.11,0.82,1.92,1.0,1.82
45,Lazio,Serie A,27.0,27.6,54.4,38.0,418.0,3420.0,38.0,52.0,31.0,43.0,9.0,11.0,0.0,0.0,1.37,0.82,2.18,1.13,1.95
46,Leicester City,Premier League,23.0,27.7,42.6,38.0,418.0,3420.0,38.0,68.0,43.0,58.0,10.0,13.0,0.0,0.0,1.79,1.13,2.92,1.53,2.66
47,Levante,La Liga,27.0,27.2,45.9,38.0,418.0,3420.0,38.0,36.0,23.0,34.0,2.0,2.0,134.0,7.0,0.95,0.61,1.55,0.89,1.5
48,Leverkusen,Bundesliga,27.0,24.1,53.1,34.0,374.0,3060.0,34.0,51.0,36.0,49.0,2.0,3.0,0.0,0.0,1.5,1.06,2.56,1.44,2.5
