,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
68,Paris S-G,Ligue 1,31.0,27.2,65.2,27.0,297.0,2430.0,27.0,71.0,51.0,65.0,6.0,8.0,50.0,1.0,2.63,1.89,4.52,2.41,4.3,74.2,67.9,54.4,122.3,2.75,2.01,4.76,2.51,4.53
69,Parma,Serie A,25.0,28.8,43.8,38.0,418.0,3420.0,38.0,53.0,38.0,49.0,4.0,6.0,81.0,1.0,1.39,1.0,2.39,1.29,2.29,48.4,43.7,33.9,77.6,1.27,0.89,2.17,1.15,2.04
70,RB Leipzig,Bundesliga,29.0,24.2,55.3,34.0,374.0,3060.0,34.0,81.0,58.0,76.0,5.0,5.0,53.0,3.0,2.38,1.71,4.09,2.24,3.94,71.3,67.6,54.4,122.0,2.1,1.6,3.7,1.99,3.59
71,Real Madrid,La Liga,26.0,27.6,58.8,38.0,418.0,3420.0,38.0,69.0,52.0,58.0,11.0,11.0,82.0,4.0,1.82,1.37,3.18,1.53,2.89,67.9,59.2,49.9,109.1,1.79,1.31,3.1,1.56,2.87
72,Real Sociedad,La Liga,27.0,24.8,56.2,38.0,418.0,3420.0,38.0,54.0,38.0,50.0,4.0,5.0,79.0,2.0,1.42,1.0,2.42,1.32,2.32,48.9,45.1,35.4,80.5,1.29,0.93,2.22,1.19,2.12
73,Reims,Ligue 1,26.0,25.3,48.9,28.0,308.0,2520.0,28.0,26.0,16.0,21.0,5.0,5.0,52.0,5.0,0.93,0.57,1.5,0.75,1.32,30.6,26.7,22.1,48.9,1.09,0.79,1.88,0.96,1.75
74,Rennes,Ligue 1,26.0,25.5,49.6,28.0,308.0,2520.0,28.0,37.0,26.0,34.0,3.0,5.0,51.0,1.0,1.32,0.93,2.25,1.21,2.14,37.1,33.4,25.6,59.0,1.33,0.91,2.24,1.19,2.11
75,Roma,Serie A,31.0,26.9,52.7,38.0,418.0,3420.0,38.0,73.0,47.0,61.0,12.0,14.0,111.0,7.0,1.92,1.24,3.16,1.61,2.84,73.2,62.8,48.6,111.3,1.93,1.28,3.21,1.65,2.93
76,Saint-Étienne,Ligue 1,31.0,27.0,48.2,28.0,308.0,2520.0,28.0,28.0,20.0,23.0,5.0,5.0,59.0,3.0,1.0,0.71,1.71,0.82,1.54,31.4,27.6,20.2,47.8,1.12,0.72,1.84,0.99,1.71
77,Sampdoria,Serie A,31.0,26.0,42.7,38.0,418.0,3420.0,38.0,48.0,25.0,39.0,9.0,12.0,111.0,7.0,1.26,0.66,1.92,1.03,1.68,50.2,40.8,30.8,71.6,1.32,0.81,2.13,1.07,1.89
78,Sassuolo,Serie A,31.0,26.4,57.5,38.0,418.0,3420.0,38.0,69.0,49.0,64.0,5.0,6.0,99.0,3.0,1.82,1.29,3.11,1.68,2.97,52.9,48.2,39.2,87.4,1.39,1.03,2.42,1.27,2.3
79,Schalke 04,Bundesliga,29.0,24.6,49.0,34.0,374.0,3060.0,34.0,35.0,25.0,33.0,2.0,2.0,64.0,2.0,1.03,0.74,1.76,0.97,1.71,37.8,36.2,25.5,61.7,1.11,0.75,1.86,1.07,1.82
80,Sevilla,La Liga,26.0,27.7,57.9,38.0,418.0,3420.0,38.0,53.0,35.0,46.0,7.0,7.0,97.0,1.0,1.39,0.92,2.32,1.21,2.13,53.2,47.9,38.4,86.3,1.4,1.01,2.41,1.26,2.27
81,Sheffield Utd,Premier League,26.0,26.9,43.1,38.0,418.0,3420.0,38.0,36.0,25.0,35.0,1.0,1.0,63.0,2.0,0.95,0.66,1.61,0.92,1.58,43.0,42.2,34.0,76.3,1.13,0.9,2.03,1.11,2.01
82,Southampton,Premier League,25.0,25.9,48.9,38.0,418.0,3420.0,38.0,51.0,32.0,49.0,2.0,5.0,55.0,4.0,1.34,0.84,2.18,1.29,2.13,56.1,52.1,36.4,88.5,1.48,0.96,2.43,1.37,2.33
83,SPAL,Serie A,34.0,27.5,46.9,38.0,418.0,3420.0,38.0,27.0,17.0,22.0,5.0,7.0,98.0,4.0,0.71,0.45,1.16,0.58,1.03,40.7,35.2,26.5,61.7,1.07,0.7,1.77,0.93,1.62
84,Strasbourg,Ligue 1,25.0,25.8,49.6,27.0,297.0,2430.0,27.0,32.0,21.0,29.0,3.0,4.0,46.0,1.0,1.19,0.78,1.96,1.07,1.85,34.2,31.1,22.9,54.0,1.27,0.85,2.11,1.15,2.0
85,Torino,Serie A,27.0,27.3,47.4,38.0,418.0,3420.0,38.0,44.0,29.0,37.0,7.0,8.0,96.0,7.0,1.16,0.76,1.92,0.97,1.74,44.8,39.4,30.3,69.6,1.18,0.8,1.98,1.04,1.83
86,Tottenham,Premier League,29.0,26.7,52.0,38.0,418.0,3420.0,38.0,56.0,39.0,53.0,3.0,4.0,84.0,3.0,1.47,1.03,2.5,1.39,2.42,47.9,44.7,32.6,77.3,1.26,0.86,2.12,1.18,2.03
87,Toulouse,Ligue 1,30.0,25.1,44.2,28.0,308.0,2520.0,28.0,21.0,14.0,17.0,4.0,6.0,48.0,5.0,0.75,0.5,1.25,0.61,1.11,31.7,27.2,19.6,46.8,1.13,0.7,1.84,0.97,1.67
