,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
18,Cadiz,La Liga,25,29.6,38.7,9,99,810,9.0,8,4,12,7,1,1,27,3,7.8,7.0,4.4,11.4,98,187,0.89,0.44,1.33,0.78,1.22,0.87,0.49,1.35,0.78,1.27
19,Cagliari,Serie A,23,25.6,40.8,8,88,720,8.0,3,2,5,2,1,1,14,1,7.2,6.4,4.9,11.3,119,252,0.37,0.25,0.62,0.25,0.5,0.9,0.61,1.51,0.8,1.41
20,Celta Vigo,La Liga,22,26.5,45.2,9,99,810,9.0,9,6,15,9,0,1,15,1,12.8,12.0,9.8,21.8,168,305,1.0,0.67,1.67,1.0,1.67,1.42,1.08,2.51,1.34,2.42
21,Chelsea,Premier League,22,25.0,63.1,8,88,720,8.0,10,6,16,9,1,2,26,1,15.0,13.5,9.8,23.2,210,377,1.25,0.75,2.0,1.13,1.87,1.88,1.22,3.1,1.68,2.9
22,Clermont Foot,Ligue 1,22,27.9,56.6,7,77,715,7.9,7,3,10,6,1,2,11,0,7.8,6.2,4.0,10.2,127,304,0.88,0.38,1.26,0.76,1.13,0.98,0.5,1.49,0.78,1.29
23,Crystal Palace,Premier League,19,27.6,44.8,8,88,720,8.0,7,6,13,7,0,0,11,0,8.9,8.9,7.8,16.8,118,264,0.87,0.75,1.62,0.87,1.62,1.12,0.98,2.09,1.12,2.09
24,Darmstadt 98,Bundesliga,26,27.3,44.9,7,77,630,7.0,11,7,18,9,2,2,19,1,8.6,7.1,5.8,12.9,94,216,1.57,1.0,2.57,1.29,2.29,1.23,0.83,2.06,1.01,1.84
25,Dortmund,Bundesliga,21,27.4,59.7,7,77,630,7.0,16,11,27,15,1,1,14,1,13.6,12.8,9.7,22.5,136,308,2.29,1.57,3.86,2.14,3.71,1.94,1.38,3.32,1.83,3.21
26,Eint Frankfurt,Bundesliga,25,25.8,55.6,7,77,630,7.0,6,4,10,6,0,1,21,2,8.2,7.4,6.2,13.6,121,253,0.86,0.57,1.43,0.86,1.43,1.17,0.89,2.06,1.05,1.94
27,Empoli,Serie A,28,26.4,46.8,8,88,720,8.0,1,1,2,1,0,0,18,0,7.9,7.9,6.1,14.0,142,267,0.12,0.12,0.25,0.12,0.25,0.99,0.76,1.75,0.99,1.75
28,Everton,Premier League,23,27.6,45.9,8,88,720,8.0,9,5,14,9,0,0,13,0,14.7,14.7,11.5,26.3,138,255,1.13,0.62,1.75,1.13,1.75,1.84,1.44,3.28,1.84,3.28
29,Fiorentina,Serie A,25,27.0,56.1,8,88,720,8.0,17,12,29,17,0,0,15,0,9.0,9.0,7.0,16.0,126,332,2.12,1.5,3.62,2.12,3.62,1.13,0.88,2.0,1.13,2.0
30,Freiburg,Bundesliga,22,27.2,46.9,7,77,630,7.0,6,4,10,5,1,1,10,1,8.7,7.9,5.3,13.2,96,215,0.86,0.57,1.43,0.71,1.29,1.24,0.75,2.0,1.13,1.88
31,Frosinone,Serie A,26,24.9,49.6,8,88,720,8.0,11,6,17,9,2,2,18,0,10.3,8.8,6.5,15.2,91,248,1.37,0.75,2.12,1.13,1.87,1.29,0.81,2.1,1.1,1.9
32,Fulham,Premier League,23,29.4,52.0,8,88,720,8.0,7,2,9,7,0,0,22,2,8.7,8.7,5.7,14.5,142,311,0.87,0.25,1.13,0.87,1.13,1.09,0.72,1.81,1.09,1.81
33,Genoa,Serie A,24,26.6,36.0,8,88,720,8.0,10,9,19,10,0,0,24,2,4.9,4.9,4.0,8.9,68,184,1.25,1.13,2.37,1.25,2.37,0.61,0.5,1.11,0.61,1.11
34,Getafe,La Liga,23,28.7,39.8,9,99,810,9.0,12,9,21,10,2,2,44,3,8.8,7.2,5.5,12.8,93,242,1.33,1.0,2.33,1.11,2.11,0.98,0.61,1.59,0.81,1.42
35,Girona,La Liga,22,26.8,54.9,9,99,810,9.0,19,14,33,18,1,1,22,0,15.8,15.0,12.3,27.3,191,324,2.11,1.56,3.67,2.0,3.56,1.75,1.37,3.12,1.67,3.04
36,Granada,La Liga,26,27.8,43.4,9,99,810,9.0,14,12,26,12,2,3,25,1,11.4,9.0,7.8,16.8,125,216,1.56,1.33,2.89,1.33,2.67,1.26,0.87,2.13,1.0,1.87
37,Heidenheim,Bundesliga,20,27.1,42.7,7,77,630,7.0,10,6,16,8,2,3,10,0,10.4,8.1,5.8,13.9,107,203,1.43,0.86,2.29,1.14,2.0,1.49,0.83,2.32,1.15,1.99
38,Hellas Verona,Serie A,24,26.3,45.5,8,88,720,8.0,5,3,8,5,0,0,19,1,4.5,4.5,3.3,7.8,90,221,0.62,0.37,1.0,0.62,1.0,0.56,0.42,0.98,0.56,0.98
39,Hoffenheim,Bundesliga,23,28.8,49.1,7,77,630,7.0,16,8,24,13,3,3,21,0,13.2,10.8,8.5,19.3,110,266,2.29,1.14,3.43,1.86,3.0,1.88,1.21,3.09,1.54,2.75
40,Inter,Serie A,23,29.5,55.8,8,88,720,8.0,21,17,38,18,3,3,10,0,15.5,13.2,11.3,24.5,166,348,2.62,2.12,4.75,2.25,4.37,1.94,1.42,3.35,1.65,3.06
41,Juventus,Serie A,22,27.0,50.0,8,88,720,8.0,13,10,23,12,1,2,20,0,11.6,10.1,8.3,18.4,147,270,1.62,1.25,2.87,1.5,2.75,1.46,1.04,2.5,1.26,2.3
42,Koln,Bundesliga,21,26.6,43.4,7,77,630,7.0,4,2,6,3,1,1,11,1,7.3,6.5,5.2,11.7,126,252,0.57,0.29,0.86,0.43,0.71,1.05,0.74,1.79,0.93,1.67
43,Las Palmas,La Liga,23,26.8,58.2,9,99,810,9.0,6,2,8,3,3,3,26,1,8.6,6.2,5.4,11.6,149,350,0.67,0.22,0.89,0.33,0.56,0.95,0.6,1.55,0.69,1.29
44,Lazio,Serie A,20,29.0,52.4,8,88,720,8.0,9,8,17,8,1,1,15,0,8.2,7.4,5.7,13.1,183,360,1.13,1.0,2.12,1.0,2.0,1.03,0.72,1.74,0.93,1.64
45,Le Havre,Ligue 1,22,26.5,41.1,8,88,720,8.0,10,10,20,10,0,0,11,2,7.7,7.7,7.0,14.6,92,252,1.25,1.25,2.5,1.25,2.5,0.96,0.87,1.83,0.96,1.83
46,Lecce,Serie A,23,25.1,45.9,8,88,720,8.0,9,7,16,7,2,2,21,2,7.4,5.9,5.2,11.1,163,283,1.13,0.87,2.0,0.87,1.75,0.92,0.65,1.57,0.74,1.38
47,Lens,Ligue 1,25,27.2,52.3,8,88,720,8.0,8,7,15,8,0,0,21,1,10.0,10.0,7.4,17.4,144,438,1.0,0.87,1.87,1.0,1.87,1.25,0.92,2.17,1.25,2.17
48,Leverkusen,Bundesliga,21,26.4,59.3,7,77,630,7.0,22,18,40,20,2,2,15,0,16.8,15.3,13.5,28.9,181,364,3.14,2.57,5.71,2.86,5.43,2.39,1.94,4.33,2.19,4.13
49,Lille,Ligue 1,22,25.8,60.6,8,88,720,8.0,10,7,17,10,0,0,17,1,11.1,11.1,9.2,20.3,167,368,1.25,0.87,2.12,1.25,2.12,1.39,1.15,2.54,1.39,2.54
50,Liverpool,Premier League,21,27.2,52.6,8,88,720,8.0,16,10,26,14,2,3,17,4,16.8,14.3,11.6,25.9,162,353,2.0,1.25,3.25,1.75,3.0,2.11,1.45,3.56,1.79,3.24
51,Lorient,Ligue 1,27,25.9,44.1,8,88,720,8.0,13,10,23,13,0,0,8,0,7.9,7.9,5.9,13.8,137,295,1.62,1.25,2.87,1.62,2.87,0.99,0.74,1.73,0.99,1.73
52,Luton Town,Premier League,20,27.1,37.3,8,88,720,8.0,6,3,9,4,2,2,15,0,9.5,8.0,6.3,14.2,112,244,0.75,0.37,1.13,0.5,0.87,1.19,0.78,1.97,1.0,1.78
53,Lyon,Ligue 1,27,26.0,50.1,8,88,720,8.0,6,3,9,4,2,2,18,1,8.4,7.0,6.2,13.2,143,338,0.75,0.37,1.13,0.5,0.87,1.05,0.78,1.83,0.87,1.65
54,M'Gladbach,Bundesliga,23,25.7,47.0,7,77,630,7.0,13,11,24,12,1,2,12,0,12.8,11.2,9.5,20.7,135,263,1.86,1.57,3.43,1.71,3.29,1.83,1.36,3.18,1.6,2.96
55,Mainz 05,Bundesliga,22,27.2,47.4,7,77,630,7.0,6,4,10,6,0,2,19,0,6.7,5.1,3.9,9.0,94,262,0.86,0.57,1.43,0.86,1.43,0.96,0.56,1.51,0.73,1.29
56,Mallorca,La Liga,21,28.6,39.6,9,99,810,9.0,12,9,21,11,1,3,30,1,10.3,8.1,7.0,15.1,118,209,1.33,1.0,2.33,1.22,2.22,1.15,0.78,1.93,0.9,1.68
57,Manchester City,Premier League,24,26.6,64.4,8,88,720,8.0,17,13,30,16,1,2,15,1,14.9,13.3,11.1,24.4,216,385,2.12,1.62,3.75,2.0,3.62,1.86,1.39,3.25,1.67,3.06
58,Manchester Utd,Premier League,25,27.2,53.9,8,88,720,8.0,9,7,16,8,1,1,19,0,12.6,11.8,10.7,22.5,182,418,1.13,0.87,2.0,1.0,1.87,1.58,1.34,2.92,1.48,2.82
59,Marseille,Ligue 1,22,28.0,51.1,8,88,720,8.0,11,9,20,11,0,0,14,0,14.4,14.4,11.6,26.0,171,391,1.37,1.13,2.5,1.37,2.5,1.8,1.44,3.25,1.8,3.25
60,Metz,Ligue 1,28,26.5,35.3,8,88,720,8.0,7,5,12,7,0,0,10,1,5.6,5.6,4.0,9.5,105,220,0.87,0.62,1.5,0.87,1.5,0.69,0.5,1.19,0.69,1.19
61,Milan,Serie A,23,26.7,56.4,8,88,720,8.0,16,11,27,13,3,3,23,2,12.4,10.2,7.0,17.2,176,300,2.0,1.37,3.38,1.62,3.0,1.56,0.88,2.44,1.27,2.15
62,Monaco,Ligue 1,19,25.4,53.0,8,88,720,8.0,21,15,36,21,0,2,21,0,13.3,11.7,8.1,19.9,117,378,2.62,1.87,4.5,2.62,4.5,1.66,1.02,2.68,1.46,2.48
63,Montpellier,Ligue 1,22,27.6,47.3,7,77,715,7.9,16,9,25,13,3,3,13,0,11.2,10.4,8.3,18.7,121,255,2.01,1.13,3.15,1.64,2.77,1.4,1.04,2.45,1.31,2.35
64,Monza,Serie A,24,27.5,54.8,8,88,720,8.0,8,6,14,7,1,1,19,1,11.6,11.0,8.8,19.8,170,309,1.0,0.75,1.75,0.87,1.62,1.45,1.11,2.56,1.37,2.48
65,Nantes,Ligue 1,26,26.7,42.9,8,88,720,8.0,14,7,21,11,3,3,16,2,9.8,7.4,5.2,12.6,131,247,1.75,0.87,2.62,1.37,2.25,1.22,0.65,1.87,0.93,1.57
66,Napoli,Serie A,21,27.2,59.3,8,88,720,8.0,17,10,27,13,4,6,15,0,16.8,12.1,9.4,21.5,176,375,2.12,1.25,3.38,1.62,2.87,2.1,1.17,3.27,1.51,2.68
67,Newcastle Utd,Premier League,20,27.8,53.4,8,88,720,8.0,20,13,33,18,2,2,21,0,17.3,15.7,12.0,27.7,164,310,2.5,1.62,4.12,2.25,3.87,2.16,1.5,3.66,1.96,3.46
68,Nice,Ligue 1,21,26.4,52.1,8,88,720,8.0,9,7,16,9,0,0,15,0,11.7,11.7,9.7,21.3,165,291,1.13,0.87,2.0,1.13,2.0,1.46,1.21,2.66,1.46,2.66
69,Nott'ham Forest,Premier League,25,26.6,38.6,8,88,720,8.0,8,7,15,8,0,0,25,2,7.8,7.8,6.3,14.0,115,219,1.0,0.87,1.87,1.0,1.87,0.97,0.78,1.76,0.97,1.76
70,Osasuna,La Liga,22,28.1,46.6,9,99,810,9.0,9,5,14,7,2,2,19,3,9.3,7.8,6.2,14.0,141,316,1.0,0.56,1.56,0.78,1.33,1.04,0.69,1.73,0.86,1.55
71,Paris S-G,Ligue 1,21,25.2,69.9,8,88,720,8.0,17,12,29,15,2,2,10,0,18.8,17.2,14.6,31.8,227,518,2.12,1.5,3.62,1.87,3.38,2.35,1.82,4.17,2.15,3.98
72,Rayo Vallecano,La Liga,22,30.3,47.8,9,99,810,9.0,11,6,17,7,4,4,27,1,13.7,10.5,7.2,17.7,106,310,1.22,0.67,1.89,0.78,1.44,1.52,0.8,2.32,1.17,1.97
73,RB Leipzig,Bundesliga,21,26.3,56.1,7,77,630,7.0,16,13,29,16,0,2,9,0,9.5,7.9,5.9,13.8,140,296,2.29,1.86,4.14,2.29,4.14,1.35,0.84,2.19,1.13,1.96
74,Real Madrid,La Liga,21,27.5,58.7,9,99,810,9.0,20,16,36,20,0,2,16,1,17.3,16.0,12.8,28.8,243,484,2.22,1.78,4.0,2.22,4.0,1.93,1.42,3.35,1.78,3.2
75,Real Sociedad,La Liga,24,26.1,54.9,9,99,810,9.0,16,12,28,15,1,1,26,0,11.5,10.7,8.7,19.4,156,312,1.78,1.33,3.11,1.67,3.0,1.28,0.96,2.24,1.19,2.16
76,Reims,Ligue 1,21,26.4,50.4,8,88,720,8.0,14,10,24,13,1,2,14,0,11.0,9.4,6.8,16.2,148,319,1.75,1.25,3.0,1.62,2.87,1.37,0.85,2.22,1.17,2.02
77,Rennes,Ligue 1,24,25.8,55.4,8,88,720,8.0,14,4,18,11,3,3,9,0,14.1,11.7,7.2,18.9,143,384,1.75,0.5,2.25,1.37,1.87,1.76,0.9,2.66,1.46,2.36
78,Roma,Serie A,23,28.8,56.4,8,88,720,8.0,18,15,33,17,1,1,16,0,12.4,11.6,9.5,21.1,160,269,2.25,1.87,4.12,2.12,4.0,1.55,1.18,2.73,1.45,2.63
79,Salernitana,Serie A,23,27.3,49.1,8,88,720,8.0,4,3,7,4,0,0,20,0,5.3,5.3,4.1,9.4,126,283,0.5,0.37,0.87,0.5,0.87,0.66,0.51,1.17,0.66,1.17
80,Sassuolo,Serie A,26,26.6,44.4,8,88,720,8.0,11,7,18,9,2,2,12,1,8.3,6.9,6.3,13.2,148,274,1.37,0.87,2.25,1.13,2.0,1.04,0.79,1.83,0.86,1.65
81,Sevilla,La Liga,27,29.6,53.0,8,88,720,8.0,12,7,19,12,0,0,24,1,9.8,9.8,7.0,16.8,142,330,1.5,0.87,2.37,1.5,2.37,1.23,0.88,2.11,1.23,2.11
82,Sheffield Utd,Premier League,25,27.0,38.6,8,88,720,8.0,4,2,6,4,0,0,25,1,6.1,6.1,3.7,9.8,58,188,0.5,0.25,0.75,0.5,0.75,0.76,0.46,1.22,0.76,1.22
83,Strasbourg,Ligue 1,20,25.3,42.5,8,88,720,8.0,7,5,12,7,0,0,14,0,9.1,9.1,7.5,16.6,111,265,0.87,0.62,1.5,0.87,1.5,1.14,0.94,2.08,1.14,2.08
84,Stuttgart,Bundesliga,22,25.4,55.9,7,77,630,7.0,22,19,41,21,1,1,8,0,14.9,14.1,12.5,26.6,156,306,3.14,2.71,5.86,3.0,5.71,2.13,1.78,3.91,2.02,3.79
85,Torino,Serie A,23,26.2,50.0,8,88,720,8.0,6,4,10,6,0,0,14,0,6.0,6.0,4.7,10.7,168,268,0.75,0.5,1.25,0.75,1.25,0.75,0.59,1.34,0.75,1.34
86,Tottenham,Premier League,21,25.2,60.8,8,88,720,8.0,16,14,30,16,0,0,29,1,15.0,15.0,12.6,27.6,228,460,2.0,1.75,3.75,2.0,3.75,1.87,1.57,3.45,1.87,3.45
87,Toulouse,Ligue 1,22,24.2,45.8,8,88,720,8.0,10,9,19,9,1,1,17,0,6.9,6.1,5.5,11.6,92,285,1.25,1.13,2.37,1.13,2.25,0.86,0.68,1.54,0.76,1.45
88,Udinese,Serie A,25,26.2,47.0,8,88,720,8.0,3,2,5,3,0,0,13,1,9.0,9.0,8.0,17.0,138,282,0.37,0.25,0.62,0.37,0.62,1.13,1.0,2.13,1.13,2.13
89,Union Berlin,Bundesliga,24,28.4,43.9,7,77,630,7.0,11,9,20,10,1,1,10,2,10.3,9.5,6.2,15.7,73,245,1.57,1.29,2.86,1.43,2.71,1.47,0.89,2.35,1.35,2.24
90,Valencia,La Liga,24,24.3,46.4,9,99,810,9.0,10,7,17,9,1,1,17,1,8.7,7.9,6.1,14.0,149,276,1.11,0.78,1.89,1.0,1.78,0.97,0.68,1.65,0.88,1.56
91,Villarreal,La Liga,23,28.0,53.1,9,99,810,9.0,11,8,19,10,1,1,28,3,10.4,9.6,7.4,17.0,144,366,1.22,0.89,2.11,1.11,2.0,1.16,0.82,1.98,1.07,1.89
92,Werder Bremen,Bundesliga,24,27.9,47.9,7,77,630,7.0,12,10,22,11,1,2,16,0,11.8,10.1,9.4,19.5,86,246,1.71,1.43,3.14,1.57,3.0,1.69,1.34,3.03,1.44,2.78
93,West Ham,Premier League,19,28.9,37.9,8,88,720,8.0,15,13,28,14,1,1,21,1,12.2,11.5,9.1,20.5,113,215,1.87,1.62,3.5,1.75,3.38,1.53,1.13,2.66,1.43,2.56
94,Wolfsburg,Bundesliga,21,25.8,47.7,7,77,630,7.0,10,5,15,10,0,1,16,0,10.3,9.4,6.2,15.6,106,279,1.43,0.71,2.14,1.43,2.14,1.48,0.89,2.36,1.34,2.23
95,Wolves,Premier League,21,26.9,45.4,8,88,720,8.0,8,7,15,8,0,0,27,3,9.9,9.9,7.6,17.4,149,229,1.0,0.87,1.87,1.0,1.87,1.23,0.95,2.18,1.23,2.18
