,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
47,Marc Albrighton,28.2,1581,54,302,701,601,34,1581,95,52,54.7,43,45.3,846,5041,2154,64,43,6,47,38,988,162
48,Paco Alcacer,7.7,297,5,26,142,135,31,297,10,3,30.0,7,70.0,177,588,238,6,6,3,16,7,220,42
49,Pedro Alcala,7.7,379,45,209,152,19,10,379,5,5,100.0,0,0.0,176,731,419,3,2,0,5,0,199,0
50,Thiago Alcantara,13.9,1460,16,169,895,414,26,1460,42,24,57.1,18,42.9,815,3791,1935,30,39,4,11,15,1192,80
53,Toby Alderweireld,13.1,1049,65,413,564,78,11,1049,7,6,85.7,1,14.3,611,3145,2152,12,12,0,4,0,761,5
55,Alex Alegria,7.0,255,9,12,129,115,29,255,6,1,16.7,5,83.3,158,446,100,2,3,2,38,20,193,29
56,Ivan Alejo,12.2,500,1,35,162,319,33,500,72,33,45.8,39,54.2,359,2863,1407,71,33,9,46,18,360,125
57,Alexander,11.8,456,4,61,193,212,39,455,17,7,41.2,10,58.8,295,1322,612,17,15,6,36,19,293,72
58,Trent Alexander-Arnold,17.5,1487,39,374,718,409,28,1487,33,20,60.6,13,39.4,743,3232,1791,39,38,9,18,13,910,126
59,Alexis,24.3,984,124,505,391,98,31,984,8,6,75.0,2,25.0,360,1484,711,5,3,2,8,3,389,11
60,Alisson,37.0,1405,1143,1395,11,0,0,1405,6,6,100.0,0,0.0,677,3374,2393,0,1,0,3,0,646,0
61,Allan,31.7,2220,30,199,1385,667,41,2220,120,79,65.8,41,34.2,1468,7312,3815,83,98,18,49,72,1661,135
62,Joe Allen,34.9,1781,90,370,996,448,49,1781,55,44,80.0,11,20.0,950,4752,2010,37,44,7,54,68,990,89
63,Dele Alli,32.9,1726,33,179,702,874,147,1726,105,44,41.9,61,58.1,1097,6773,2868,100,78,28,98,89,1334,359
64,Junior Alonso,30.9,2219,177,1110,1053,78,23,2219,18,15,83.3,3,16.7,1223,6120,4032,19,14,3,14,11,1416,14
65,Jose Alonso Lara,0.1,5,0,0,3,2,0,5,1,1,100.0,0,0.0,5,50,16,0,0,1,0,1,5,2
66,Marcos Alonso,31.7,2084,82,566,784,748,96,2084,33,17,51.5,16,48.5,1072,6123,3378,78,50,10,42,24,1258,261
67,Ricky Alvarez,3.0,221,3,22,97,103,5,221,10,3,30.0,7,70.0,114,711,309,7,13,1,6,7,161,30
68,Sergio Alvarez,16.4,671,599,666,5,0,0,671,1,1,100.0,0,0.0,333,1627,1052,0,0,0,0,0,319,1
69,Yeray Alvarez,7.5,522,18,195,321,16,2,522,5,4,80.0,1,20.0,305,1928,1191,10,9,1,4,2,318,1
70,Dani Alves,22.9,2299,51,502,1234,583,47,2299,42,28,66.7,14,33.3,1414,5650,3505,76,62,8,20,30,1688,144
71,Ibrahim Amadou,26.7,1803,105,648,1091,81,16,1803,13,11,84.6,2,15.4,1034,5131,2883,18,13,1,18,11,1305,19
73,Morgan Amalfitano,8.3,338,8,42,195,103,19,338,12,9,75.0,3,25.0,185,1069,401,16,8,1,10,17,244,34
74,Romain Amalfitano,30.0,1742,61,409,1178,180,6,1742,71,47,66.2,24,33.8,1140,6763,3002,50,35,3,56,48,1183,46
75,Daniel Amartey,5.4,362,24,129,189,46,0,362,5,4,80.0,1,20.0,157,858,432,5,6,0,3,4,192,4
76,Jordi Amat,22.7,1791,89,701,1035,72,12,1791,22,18,81.8,4,18.2,1288,6324,3346,13,13,0,8,2,1323,5
78,Amath,31.8,1017,19,186,427,436,78,1017,98,43,43.9,55,56.1,629,4501,2023,66,58,31,91,67,599,158
79,Jordan Amavi,24.4,1681,87,475,882,355,9,1681,71,44,62.0,27,38.0,1023,5151,3032,70,58,4,31,26,955,83
81,Kelvin Amian,35.0,1634,121,570,739,335,18,1634,34,19,55.9,15,44.1,752,3884,2163,41,31,4,34,20,746,83
82,Nadiem Amiri,19.4,1077,15,127,574,388,55,1077,57,22,38.6,35,61.4,666,3742,1869,51,36,20,31,26,778,116
84,Nordin Amrabat,2.2,98,0,13,36,50,4,98,4,2,50.0,2,50.0,61,284,124,3,5,1,4,7,72,22
85,Nordin Amrabat,18.0,697,5,52,232,432,51,697,71,40,56.3,31,43.7,563,4031,2004,87,56,31,51,80,584,146
88,Felipe Anderson,12.9,930,6,65,386,513,65,930,114,77,67.5,37,32.5,610,5362,2830,98,80,41,46,47,665,140
89,Florin Andone,18.2,531,15,40,205,295,100,530,49,17,34.7,32,65.3,320,1986,930,41,21,28,54,39,399,144
91,Benjamin Andre,33.5,2343,81,372,1415,569,50,2343,44,35,79.5,9,20.5,1057,5078,2287,48,54,2,66,56,1495,117
92,Marco Andreolli,20.3,1088,161,617,448,25,14,1088,2,1,50.0,1,50.0,476,2471,1439,11,4,1,3,0,623,2
93,Yoann Andreu,23.0,1441,57,484,646,325,11,1441,24,13,54.2,11,45.8,753,3736,2065,37,50,4,20,18,743,74
94,Miguel Angel Guerrero,16.0,527,18,38,272,220,49,526,22,9,40.9,13,59.1,298,1392,410,16,10,6,40,21,377,87
95,Jose Angel,27.0,1893,65,458,905,546,10,1893,38,27,71.1,11,28.9,841,3676,1724,44,54,3,25,16,910,89
98,Gabriele Angella,9.9,617,74,317,284,21,6,617,1,1,100.0,0,0.0,296,1101,489,2,4,0,4,0,335,7
99,Cristian Ansaldi,20.8,1244,66,398,574,292,28,1244,64,47,73.4,17,26.6,732,5070,2541,78,46,9,40,23,722,88
100,Luca Antei,6.6,448,40,233,214,7,1,448,5,3,60.0,2,40.0,236,1373,893,7,3,0,2,4,286,1
101,Mirco Antenucci,28.6,909,10,63,370,486,104,904,52,30,57.7,22,42.3,658,4141,1262,46,27,13,96,42,748,214
102,Waldemar Anton,25.3,1533,144,738,714,96,21,1533,30,19,63.3,11,36.7,782,4306,2424,23,16,1,18,24,816,14
104,Luca Antonelli,1.6,110,7,31,60,20,3,110,2,1,50.0,1,50.0,55,213,124,2,1,0,4,1,77,6
105,Michail Antonio,15.0,731,22,94,305,348,39,731,88,51,58.0,37,42.0,467,3457,1409,47,38,10,55,42,533,117
107,Vitorino Antunes,31.1,1711,80,517,730,482,8,1710,39,18,46.2,21,53.8,720,3619,1768,45,47,2,40,24,723,65
108,Dennis Aogo,21.7,1344,29,279,750,322,19,1344,2,1,50.0,1,50.0,580,2449,1177,20,17,2,9,8,815,75
109,Houssem Aouar,27.0,1896,34,231,1234,465,80,1896,113,81,71.7,32,28.3,1296,7004,3624,87,72,22,50,55,1443,131
110,Alberto Aquilani,14.4,1146,45,302,709,142,14,1146,9,7,77.8,2,22.2,732,2705,1154,8,11,0,8,15,867,12
111,Mauro Arambarri,23.6,843,39,226,517,117,15,843,24,13,54.2,11,45.8,445,2094,723,12,10,2,14,29,389,15
112,Guilherme Arana,2.1,139,9,56,55,29,1,139,1,0,0.0,1,100.0,68,374,224,6,3,1,1,0,77,6
113,Charles Aranguiz,25.6,2039,45,354,1372,333,36,2039,44,17,38.6,27,61.4,1266,5194,2436,26,27,4,20,34,1416,45
114,Luiz Araujo,22.4,1020,11,130,479,434,55,1020,106,75,70.8,31,29.2,670,5608,2727,94,63,27,54,53,749,152
115,Sergio Araujo,0.4,28,0,1,13,14,1,28,2,2,100.0,0,0.0,19,72,26,0,1,0,2,1,21,4
116,Anaitz Arbilla,26.8,1829,99,677,1080,97,6,1829,21,20,95.2,1,4.8,1025,6787,3240,34,14,2,18,3,999,2
118,Scott Arfield,14.8,517,23,121,230,174,28,517,26,14,53.8,12,46.2,257,1287,538,16,11,5,23,15,288,47
119,Samuel Armenteros,4.8,128,3,11,77,42,9,128,7,6,85.7,1,14.3,66,314,73,2,4,1,19,7,89,17
120,Yoel Armougom,1.5,99,5,16,49,35,2,99,1,1,100.0,0,0.0,28,304,199,5,1,1,2,1,48,10
122,Marko Arnautovic,25.7,1051,42,119,339,609,150,1051,80,56,70.0,24,30.0,644,4306,1913,76,46,40,58,42,742,232
123,Maximilian Arnold,27.3,1662,54,326,1050,307,10,1661,22,12,54.5,10,45.5,690,3661,1720,29,16,2,23,32,1085,44
124,Jann-Fiete Arp,9.4,248,8,10,114,126,36,248,22,10,45.5,12,54.5,171,747,249,9,9,5,31,16,198,58
125,Alejandro Arribas,3.0,140,12,73,66,3,2,140,1,1,100.0,0,0.0,73,285,112,0,0,0,1,2,87,0
127,Harry Arter,10.7,673,17,130,455,98,1,673,8,4,50.0,4,50.0,364,2100,965,14,10,0,8,8,489,8
130,Kwadwo Asamoah,17.4,1441,40,383,780,287,7,1441,39,23,59.0,16,41.0,1005,4812,2726,49,41,5,16,19,1067,88
131,Takuma Asano,8.0,267,2,14,93,166,41,267,27,8,29.6,19,70.4,180,1247,539,24,20,13,16,14,207,56
132,Santiago Ascacibar,26.5,1403,55,327,928,161,8,1403,26,10,38.5,16,61.5,564,2453,1193,17,16,0,14,18,770,29
133,Sergio Asenjo,23.0,714,650,712,2,0,0,714,1,1,100.0,0,0.0,288,2090,1366,0,0,0,1,0,175,0
134,Marco Asensio,20.5,1430,4,78,662,714,80,1430,45,31,68.9,14,31.1,1080,7322,4179,135,98,22,32,25,1184,209
135,Iago Aspas,32.6,1633,12,113,734,814,176,1630,92,58,63.0,34,37.0,1069,6441,3441,115,77,52,71,47,1282,294
136,Benoit Assou-Ekotto,11.7,714,29,238,397,86,1,714,9,8,88.9,1,11.1,365,1235,519,8,7,0,6,4,361,17
138,Davide Astori,25.0,1821,179,804,907,120,22,1821,22,16,72.7,6,27.3,995,5564,4060,30,24,0,12,3,1161,8
139,Christian Atsu,19.8,761,25,146,296,338,62,761,65,28,43.1,37,56.9,483,3786,1894,70,49,22,37,38,493,125
140,Pierre-Emerick Aubameyang,11.7,420,10,42,179,206,62,418,14,11,78.6,3,21.4,264,1571,836,31,17,12,12,12,314,85
141,Pierre-Emerick Aubameyang,15.7,478,2,9,203,271,95,474,26,5,19.2,21,80.8,240,1284,482,30,14,25,26,13,363,112
142,Jean-Kevin Augustin,14.1,488,8,28,208,256,79,486,68,22,32.4,46,67.6,332,2130,720,31,18,24,34,50,408,137
143,Ludwig Augustinsson,28.1,1672,60,438,781,464,42,1672,12,2,16.7,10,83.3,632,3362,1787,48,29,5,17,23,973,151
145,Serge Aurier,15.9,1249,39,300,533,425,36,1249,22,15,68.2,7,31.8,531,2527,1251,32,29,5,16,16,694,152
146,Charlie Austin,11.5,383,13,31,180,173,55,382,6,3,50.0,3,50.0,231,726,199,5,3,2,30,19,292,67
147,Danilo Avelar,19.2,1072,88,362,524,196,10,1072,25,11,44.0,14,56.0,416,1753,1060,22,18,0,14,15,511,66
148,Felipe Avenatti,5.2,192,7,18,107,67,13,192,3,1,33.3,2,66.7,107,433,134,2,2,0,21,8,145,30
149,Durel Avounou,7.2,355,23,81,200,75,6,355,6,5,83.3,1,16.7,124,674,235,5,5,2,12,6,168,23
150,Chidozie Awaziem,16.8,849,107,451,348,53,12,849,6,5,83.3,1,16.7,358,1720,1108,10,5,1,5,10,382,5
151,Andre Ayew,9.9,363,8,45,195,130,22,362,14,12,85.7,2,14.3,205,1407,597,18,18,2,11,17,259,43
152,Andre Ayew,10.6,412,10,47,210,158,32,412,15,9,60.0,6,40.0,259,1328,509,16,17,9,20,25,310,53
153,Jordan Ayew,31.7,1350,12,111,652,616,101,1349,124,74,59.7,50,40.3,907,6311,2611,76,70,23,109,106,1017,232
154,Karim Azamoum,25.0,1245,62,307,624,326,33,1245,22,13,59.1,9,40.9,563,2780,1131,26,12,5,31,30,708,76
156,Cesar Azpilicueta,37.0,3278,218,1198,1596,494,25,3278,9,6,66.7,3,33.3,1959,8806,5822,61,61,3,17,7,2273,81
157,Ludovic Baal,12.9,975,27,235,557,194,2,975,20,18,90.0,2,10.0,458,2165,1293,29,24,2,9,12,558,35
158,Khouma Babacar,5.0,162,7,21,48,96,30,160,7,3,42.9,4,57.1,109,680,356,10,5,4,14,5,122,38
159,Khouma Babacar,8.3,213,2,11,88,115,40,212,4,3,75.0,1,25.0,137,717,258,11,9,4,17,18,162,52
160,Carlos Bacca,27.7,750,19,43,339,377,130,749,53,35,66.0,18,34.0,455,2443,1275,56,19,32,51,25,591,188
161,Milan Badelj,26.1,2099,63,420,1331,367,24,2099,43,29,67.4,14,32.6,1062,4426,2047,24,35,2,31,27,1431,35
162,Holger Badstuber,24.1,1343,155,737,583,35,17,1343,7,7,100.0,0,0.0,606,2949,1717,12,4,0,11,3,719,1
163,Dylan Bahamboula,0.3,18,0,1,6,12,0,18,1,0,0.0,1,100.0,13,139,49,1,2,0,2,1,15,2
164,Fares Bahlouli,3.4,209,1,15,87,112,5,209,26,14,53.8,12,46.2,133,1003,395,11,13,2,11,18,143,34
165,Stephane Bahoken,18.5,519,2,39,221,264,59,519,19,7,36.8,12,63.2,340,1880,771,31,13,11,54,33,375,124
166,Daniel Baier,28.2,1937,38,448,1214,293,12,1937,20,12,60.0,8,40.0,872,4836,2505,33,21,3,29,28,1084,29
167,Leon Bailey,24.6,1368,8,150,542,712,107,1368,118,58,49.2,60,50.8,898,6399,3185,111,77,40,43,42,956,261
168,Eric Bailly,11.1,552,76,278,260,16,7,552,4,4,100.0,0,0.0,258,1365,766,3,1,0,1,5,300,0
169,Leighton Baines,21.2,1159,49,325,529,316,15,1157,14,8,57.1,6,42.9,502,2143,1285,31,22,3,9,10,662,61
170,Riad Bajic,0.9,27,3,3,9,15,3,27,1,1,100.0,0,0.0,20,58,25,1,0,0,3,1,23,10
171,Marvin Bakalorz,22.8,890,47,185,521,199,25,890,37,15,40.5,22,59.5,452,2475,1022,21,24,4,32,36,527,62
172,Cedric Bakambu,14.0,431,29,54,187,196,56,430,23,10,43.5,13,56.5,301,1679,760,37,16,13,25,33,328,80
173,Tiemoue Bakayoko,23.6,1392,53,275,827,318,45,1392,50,36,72.0,14,28.0,823,4326,2155,39,35,2,40,27,957,57
174,Zakaria Bakkali,10.1,421,9,51,171,203,30,421,34,17,50.0,17,50.0,273,1981,923,33,18,11,22,19,310,99
175,Ridle Baku,2.6,113,3,24,55,34,5,113,5,3,60.0,2,40.0,51,194,122,7,1,2,7,5,69,7
176,Keita Balde,16.4,563,7,53,239,281,62,563,46,30,65.2,16,34.8,386,2486,1257,57,31,16,41,27,414,139
177,Sam Baldock,0.4,10,0,0,3,7,3,10,1,0,0.0,1,100.0,6,11,1,0,0,0,2,1,10,5
178,Gareth Bale,20.0,998,21,97,368,544,127,997,52,31,59.6,21,40.4,705,4066,1828,75,44,28,34,20,824,217
179,Mikel Balenziaga,17.2,971,62,273,465,246,7,971,24,14,58.3,10,41.7,460,2324,1068,29,22,2,19,13,483,71
180,Andrija Balic,12.0,675,21,143,407,144,11,675,31,24,77.4,7,22.6,380,2010,826,16,14,3,27,9,402,19
182,Ivan Balliu,21.7,1401,64,395,656,362,10,1401,27,16,59.3,11,40.7,721,3047,1514,34,48,1,17,6,786,92
183,Fode Ballo-Toure,22.8,1425,54,417,722,298,22,1425,23,16,69.6,7,30.4,680,3491,2197,43,18,4,19,23,835,98
184,Florent Balmont,9.6,599,9,92,389,126,5,599,14,8,57.1,6,42.9,387,1568,857,10,15,1,12,9,407,21
185,Leon Balogun,13.0,653,67,374,268,16,3,653,11,10,90.9,1,9.1,297,1609,779,4,2,0,9,8,303,1
186,Mario Balotelli,25.2,1055,28,80,572,417,98,1049,48,30,62.5,18,37.5,560,3319,1459,46,46,19,54,46,919,173
187,Abdoulaye Bamba,17.0,995,35,309,506,184,5,995,15,9,60.0,6,40.0,480,2127,1254,32,21,2,8,11,530,55
188,Jonathan Bamba,28.6,1556,16,163,693,721,91,1552,83,43,51.8,39,47.0,937,6542,3210,116,76,34,76,86,1134,247
189,Yacine Bammou,8.1,375,12,73,154,155,23,375,7,2,28.6,5,71.4,205,1025,460,15,12,3,14,13,246,59
190,Ever Banega,26.7,2554,33,395,1552,652,32,2551,121,83,68.6,38,31.4,1778,9356,5052,77,80,7,34,60,1936,81
192,Beni Baningime,2.2,107,2,17,70,20,0,107,4,1,25.0,3,75.0,54,295,135,1,0,0,1,1,57,3
193,Leo Baptistao,29.7,1090,29,133,471,516,123,1090,79,30,38.0,49,62.0,647,3871,2118,76,50,32,57,42,737,187
195,Antonin Barak,30.1,1452,33,234,861,387,53,1452,55,31,56.4,24,43.6,954,5759,2780,67,56,17,38,49,1010,127
196,Andrea Barberis,33.7,1500,77,358,826,337,17,1500,24,18,75.0,6,25.0,628,2598,1104,16,25,1,58,37,682,56
198,Enis Bardhi,17.6,875,17,129,451,307,20,875,43,25,58.1,18,41.9,534,2740,1533,39,18,7,42,34,569,57
199,Phil Bardsley,12.5,742,70,234,381,132,3,742,5,3,60.0,2,40.0,251,1027,402,7,3,0,9,9,275,7
200,Nicolo Barella,32.8,2028,55,383,1171,510,35,2025,79,50,63.3,29,36.7,1081,6157,2563,55,58,9,65,42,1248,101
201,Philipp Bargfrede,20.7,1180,67,332,773,94,3,1180,10,5,50.0,5,50.0,492,3082,1373,17,12,1,13,12,660,9
202,Ross Barkley,1.4,64,1,5,32,28,6,64,6,5,83.3,1,16.7,42,267,137,7,1,1,2,3,53,13
203,Aymen Barkok,3.5,171,3,28,92,54,6,171,10,4,40.0,6,60.0,88,444,137,3,4,1,9,7,101,19
204,Ashley Barnes,24.1,797,21,79,337,394,94,797,25,16,64.0,9,36.0,464,2070,571,17,15,16,76,44,608,127
206,Antonio Barragan,26.4,1860,93,525,828,519,24,1860,37,14,37.8,23,62.2,1104,3971,1843,50,37,9,20,10,1209,198
208,Antonio Barreca,5.2,339,12,108,153,79,4,339,6,2,33.3,4,66.7,145,780,379,7,10,2,5,6,166,18
209,Edgar Barreto,21.8,1312,34,225,783,315,28,1312,14,8,57.1,6,42.9,488,1764,753,13,18,0,25,17,909,73
210,Barri,1.3,24,2,7,13,6,0,24,3,3,100.0,0,0.0,10,94,59,2,2,0,1,1,12,0
211,Musa Barrow,4.9,211,2,8,67,139,37,211,17,8,47.1,9,52.9,145,777,320,13,7,12,31,9,178,54
212,Gareth Barry,21.4,1122,48,241,723,168,13,1122,11,10,90.9,1,9.1,595,2436,1209,20,11,0,23,17,669,23
213,Fin Bartels,12.5,521,3,41,232,257,40,521,59,20,33.9,39,66.1,320,2178,824,33,30,11,24,28,426,121
215,Marc Bartra,15.8,1316,139,614,677,38,11,1316,24,22,91.7,2,8.3,864,4697,3054,16,16,2,14,7,868,4
216,Marc Bartra,9.0,832,40,278,497,63,11,832,10,5,50.0,5,50.0,392,2332,1522,14,13,2,7,5,506,7
217,Andrea Barzagli,16.1,1377,60,493,834,56,1,1377,3,2,66.7,1,33.3,892,3509,1782,9,2,0,5,3,1034,7
218,Daniele Baselli,28.0,1643,62,339,956,370,41,1643,35,22,62.9,13,37.1,1021,5302,2303,29,40,5,42,39,1137,77
220,Dusan Basta,8.6,466,18,137,201,132,16,466,7,4,57.1,3,42.9,263,1167,586,18,8,3,7,4,265,51
221,Gil Bastiao Dias,13.2,694,13,110,272,325,51,694,60,31,51.7,27,45.0,446,3441,1858,58,37,24,27,30,467,152
223,Samuel Bastien,15.1,624,20,120,323,190,8,624,17,9,52.9,8,47.1,387,2069,862,18,13,2,25,14,407,57
224,Borja Baston,10.9,329,6,30,158,142,36,327,10,3,30.0,7,70.0,179,744,244,7,5,6,27,10,233,65
225,Alessandro Bastoni,1.0,96,2,26,49,23,5,96,3,2,66.7,1,33.3,53,235,90,1,0,1,0,2,64,12
226,Bastos,15.6,1009,84,490,487,43,12,1009,15,13,86.7,2,13.3,664,3678,1979,19,7,0,6,9,707,4
227,Michy Batshuayi,4.0,137,5,7,70,67,13,137,6,5,83.3,1,16.7,80,445,212,9,7,2,15,9,112,32
228,Michy Batshuayi,9.3,273,5,13,127,134,44,273,23,7,30.4,16,69.6,132,642,221,5,1,6,17,17,204,50
229,Moritz Bauer,14.5,616,40,200,243,180,14,616,21,12,57.1,9,42.9,239,1628,790,25,19,4,16,9,249,45
230,Robert Bauer,10.6,593,35,241,301,54,1,593,1,1,100.0,0,0.0,220,1161,654,13,7,0,10,3,304,12
232,Timo Baumgartl,29.0,1865,145,930,842,101,18,1865,1,0,0.0,1,100.0,839,3480,1689,7,9,0,11,6,1070,12
234,Julian Baumgartlinger,15.5,1090,29,275,697,126,15,1090,6,6,100.0,0,0.0,673,3024,1379,15,12,0,4,18,724,25
235,Jon Bautista,2.0,51,0,1,19,32,12,51,1,1,100.0,0,0.0,27,122,53,3,2,2,5,2,35,12
236,Paul Baysse,13.8,703,95,432,255,19,14,703,3,3,100.0,0,0.0,349,1367,561,0,1,0,6,1,361,3
237,Paul Baysse,6.3,366,31,175,175,16,10,366,2,2,100.0,0,0.0,206,1278,824,7,2,0,3,2,214,1
238,Noah Joel Sarenren Bazee,1.3,44,2,5,16,23,3,44,4,3,75.0,1,25.0,34,262,99,4,2,1,5,5,34,15
239,Herve Bazile,9.7,477,3,68,173,240,21,477,41,19,46.3,22,53.7,239,2030,552,28,15,6,34,32,308,110
240,Riechedly Bazoer,6.6,296,10,64,178,58,2,296,5,3,60.0,2,40.0,121,691,300,6,9,1,6,5,212,14
241,Enrico Bearzotti,4.6,231,21,94,97,40,1,231,3,1,33.3,2,66.7,102,470,196,2,3,1,11,5,129,14
242,Claudio Beauvue,18.6,487,17,29,236,225,57,487,23,13,56.5,10,43.5,263,1117,410,18,15,9,56,40,381,70
243,Bebe,4.1,198,0,11,64,125,6,198,17,8,47.1,9,52.9,144,882,291,14,9,3,15,9,133,37
