,Player,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
30,Youssef Ait Bennasser,10.4,656,643,11,5,3,7,4,6,0,0,0,0,572,2,11
31,Youssef Ait Bennasser,11.9,737,712,23,21,3,11,2,2,0,0,0,0,633,2,8
32,Rayan Ait Nouri,0.6,35,33,2,0,0,0,0,2,0,0,0,0,30,0,0
33,Ludovic Ajorque,17.0,459,431,26,1,1,5,5,0,0,0,0,0,339,2,11
34,Manuel Akanji,24.5,1855,1799,54,38,0,27,2,16,0,0,0,0,1722,2,9
35,Carlos Akapo,11.4,443,351,89,3,1,5,7,86,0,0,0,0,332,3,13
36,Nathan Ake,37.9,1733,1646,85,56,1,6,6,29,0,0,0,0,1491,2,14
37,Sergio Akieme,2.0,84,73,9,0,0,0,8,9,0,0,0,0,64,2,2
38,Chadrac Akolo,5.8,161,161,0,0,0,0,8,0,0,0,0,0,119,0,7
39,Kevin Akpoguma,5.5,269,255,14,8,0,0,0,6,0,0,0,0,228,0,5
40,Kevin Akpoguma,3.5,171,164,7,5,0,1,0,2,0,0,0,0,135,0,6
41,David Alaba,28.1,2153,1843,300,30,1,9,115,265,5,0,5,0,1769,10,52
42,Sofiane Alakouch,21.1,1096,838,254,5,2,2,40,249,0,0,0,0,832,4,32
43,Lucas Alario,14.1,412,386,24,1,0,2,5,1,0,0,0,0,307,2,18
44,Jordi Alba,33.2,2695,2356,332,55,9,16,52,276,1,0,0,0,2279,7,44
45,Luis Alberto,22.1,1487,1236,241,52,12,18,171,27,136,46,69,0,1115,10,39
46,Raul Albiol,19.0,1131,1095,35,35,2,18,3,0,0,0,0,0,1009,1,8
47,Miiko Albornoz,18.4,966,756,203,13,0,3,57,188,2,0,2,0,715,7,31
48,Marc Albrighton,18.1,776,732,33,5,9,9,125,19,8,3,3,1,448,11,54
49,Paco Alcacer,13.5,290,255,32,0,8,0,3,2,0,0,0,0,213,3,3
50,Pedro Alcala,20.8,869,823,44,43,0,19,3,1,0,0,0,0,686,2,8
52,Thiago Alcantara,26.8,2587,2437,146,75,3,49,69,7,62,47,2,1,2325,4,20
53,Ruben Alcaraz,33.1,1757,1645,106,92,2,54,39,0,14,8,3,1,1438,6,29
54,Toby Alderweireld,32.5,2382,2289,83,75,6,32,6,8,0,0,0,0,2097,10,10
55,Alex Alegria,1.6,32,30,2,0,0,0,0,0,0,0,0,0,22,0,3
56,Alexis Alegue,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57,Ivan Alejo,1.6,43,36,6,3,0,1,7,3,0,0,0,0,18,1,2
58,Carles Alena,7.1,587,572,12,3,3,2,3,8,1,1,0,0,536,3,9
59,Runar Alex Runarsson,25.0,871,573,295,82,0,0,0,0,0,0,0,0,623,3,5
60,Alexander,0.1,8,6,2,1,0,0,3,0,1,0,1,0,4,0,0
61,Trent Alexander-Arnold,27.4,2236,1774,449,51,3,40,201,324,74,28,31,3,1644,13,51
62,Rachid Alioui,13.9,383,363,18,0,1,3,19,5,0,0,0,0,266,2,5
63,Alisson,38.0,1290,984,304,88,0,3,0,0,0,0,0,0,1075,2,2
64,Bobby Allain,13.0,458,281,177,52,0,0,0,0,0,0,0,0,292,0,0
65,Allan,29.1,2231,2107,110,70,7,13,14,18,0,0,0,0,1979,14,32
66,Allan,2.0,64,63,1,1,0,1,3,0,0,0,0,0,42,0,2
67,Dele Alli,20.3,1056,1005,43,13,18,4,10,10,3,0,0,0,836,8,33
68,Miguel Almiron,8.4,263,261,2,0,1,2,21,1,1,0,1,0,188,0,12
69,Junior Alonso,6.0,319,278,39,4,0,3,12,35,0,0,0,0,233,2,8
70,Marcos Alonso,30.7,2255,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52
71,Mickael Alphonse,6.3,301,238,63,7,0,1,22,56,0,0,0,0,185,0,10
72,Sergio Alvarez,11.9,500,491,7,7,0,3,0,0,0,0,0,0,395,2,8
73,Sergio Alvarez,13.0,463,304,154,26,0,1,0,0,0,0,0,0,302,5,0
74,Yeray Alvarez,29.0,1294,1233,57,55,0,12,4,2,0,0,0,0,1031,4,11
75,Bruno Alves,32.5,1245,1155,77,74,1,22,17,0,0,0,0,0,962,13,7
76,Dani Alves,18.0,1581,1489,84,18,21,12,61,60,6,0,4,0,1316,8,37
78,Alfons Amade,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Ibrahim Amadou,8.5,361,355,3,3,0,3,6,0,0,0,0,0,302,3,9
80,Romain Amalfitano,28.0,1083,1055,20,8,3,24,25,12,0,0,0,0,835,8,20
81,Daniel Amartey,7.1,435,370,64,4,0,2,3,60,0,0,0,0,357,1,6
82,Jordi Amat,30.7,1295,1206,83,76,2,34,0,7,0,0,0,0,1064,6,14
83,Amath,11.1,210,204,2,0,1,1,11,0,1,0,1,0,142,4,13
84,Jordan Amavi,24.2,1282,1029,250,18,1,2,82,232,0,0,0,0,961,3,38
85,Kelvin Amian,32.0,1208,956,248,34,0,3,21,214,0,0,0,0,942,4,23
86,Nadiem Amiri,8.4,375,360,14,8,2,1,11,6,0,0,0,0,320,1,7
87,Yanis Ammour,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Luke Amos,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Joachim Andersen,32.0,2036,1939,93,90,0,33,1,3,0,0,0,0,1804,4,10
90,Felipe Anderson,33.8,1824,1681,133,57,22,32,122,26,49,17,25,0,1325,10,72
91,Florin Andone,9.8,170,164,6,0,0,0,5,0,0,0,0,0,113,0,8
92,Benjamin Andre,27.7,1505,1458,36,27,5,11,13,0,0,0,0,0,1174,11,26
93,Marco Andreolli,1.2,72,71,1,1,0,0,0,0,0,0,0,0,65,0,0
94,Marco Andreolli,7.2,250,245,4,4,0,1,0,0,0,0,0,0,194,1,1
95,Yoann Andreu,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
96,Jose Angel,33.6,2173,1640,521,63,2,43,260,413,45,2,41,2,1386,12,69
97,Miguel Angel Moya,11.0,363,257,104,27,0,0,0,0,0,0,0,0,292,2,0
98,Cristian Ansaldi,20.1,888,671,210,32,3,25,147,152,25,7,3,1,574,7,29
99,Mirco Antenucci,23.7,541,498,43,2,0,1,29,4,1,0,0,0,410,0,20
100,Waldemar Anton,34.0,1733,1644,86,74,0,17,5,12,0,0,0,0,1444,3,25
101,Luca Antonelli,8.4,381,322,55,8,0,2,8,46,0,0,0,0,271,4,11
102,Mauro Antonio Burruchaga,0.6,39,36,3,3,0,0,0,0,0,0,0,0,31,0,1
104,Michail Antonio,23.4,773,713,58,2,5,7,50,53,0,0,0,0,496,2,37
105,Antonito,20.7,896,734,157,9,1,2,93,148,0,0,0,0,644,5,31
106,Vitorino Antunes,24.2,1198,820,366,64,0,20,141,256,46,11,19,3,701,12,41
107,Anuar,12.0,400,390,7,5,1,5,2,0,1,0,0,0,296,3,11
108,Dennis Aogo,11.4,580,522,55,20,0,9,52,8,27,11,16,0,474,3,8
109,Houssem Aouar,34.0,2078,2034,37,29,8,11,7,6,2,0,2,0,1793,7,43
110,Emmanuel Apeh,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
111,Mauro Arambarri,29.7,776,743,23,15,2,36,24,3,2,0,1,1,519,10,16
112,Guilherme Arana,7.0,289,236,51,3,0,0,19,48,0,0,0,0,231,2,13
113,Charles Aranguiz,21.0,1661,1593,60,43,2,11,24,3,14,7,7,0,1457,8,25
114,Luiz Araujo,8.7,317,283,29,10,2,5,30,8,10,2,6,0,232,5,7
115,Nestor Araujo,29.8,1502,1450,49,43,1,9,2,6,0,0,0,0,1291,3,8
116,Anaitz Arbilla,21.7,1152,1077,71,47,1,42,8,24,0,0,0,0,863,4,14
117,Joaquin Ardaiz,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
118,Alphonse Areola,21.0,516,354,162,23,0,2,0,0,0,0,0,0,445,0,1
119,Santiago Arias,19.7,1015,832,182,9,0,2,51,173,0,0,0,0,787,1,25
120,Lorenzo Ariaudo,18.7,639,592,45,44,1,1,1,1,0,0,0,0,528,2,3
121,Nicolo Armini,0.4,25,22,3,0,1,0,0,3,0,0,0,0,20,0,0
122,Yoel Armougom,20.6,901,713,187,7,0,3,71,180,0,0,0,0,635,1,18
123,Stuart Armstrong,15.9,648,607,37,4,0,6,25,6,13,4,3,4,492,4,29
124,Jose Arnaiz,1.3,32,32,0,0,0,0,2,0,0,0,0,0,25,0,1
125,Marko Arnautovic,22.1,667,617,48,1,6,1,18,7,0,0,0,0,490,2,21
126,Maximilian Arnold,31.9,1473,1258,207,113,4,38,134,23,71,30,25,3,1111,8,20
127,Kepa Arrizabalaga,36.0,1161,863,296,40,0,2,0,0,0,0,0,0,1011,2,1
128,Harry Arter,22.2,680,612,65,11,3,7,17,2,0,0,0,0,539,3,12
130,Kwadwo Asamoah,29.7,2217,1986,230,25,1,26,74,205,0,0,0,0,1927,1,31
131,Takuma Asano,7.8,162,160,1,0,0,0,9,1,0,0,0,0,110,1,11
132,Santiago Ascacibar,27.0,1111,1085,22,17,1,5,11,5,0,0,0,0,888,4,24
133,Sergio Asenjo,32.0,826,477,343,89,0,2,0,0,0,0,0,0,544,6,1
134,Marco Asensio,19.8,1024,957,58,6,7,8,78,25,25,3,6,0,839,9,30
135,Iago Aspas,25.0,919,875,38,13,7,9,32,13,3,1,0,0,731,6,24
136,Simon Asta,1.0,37,32,5,0,0,0,1,5,0,0,0,0,21,0,1
137,Youcef Atal,25.1,1261,1056,204,27,3,7,72,175,2,0,1,0,1024,1,28
138,Christian Atsu,16.6,435,423,8,0,3,1,42,5,3,1,1,0,328,4,17
139,Pierre-Emerick Aubameyang,30.3,744,701,37,0,3,1,43,3,0,0,0,0,524,6,28
140,Emil Audero,36.0,1161,773,384,87,0,0,0,0,0,0,0,0,868,4,1
141,Jean-Kevin Augustin,5.1,88,85,3,0,0,0,2,0,0,0,0,0,69,0,3
142,Ludwig Augustinsson,33.6,1972,1615,354,37,0,12,129,301,16,9,7,0,1546,3,54
143,Serge Aurier,6.3,348,289,59,4,0,1,24,55,0,0,0,0,253,0,13
144,Charlie Austin,10.9,200,191,7,1,0,0,0,0,0,0,0,0,116,2,5
145,Ezequiel Avila,22.2,583,546,31,1,6,19,40,14,1,0,1,0,296,6,32
146,Jordan Ayew,13.1,283,263,18,0,2,1,15,1,0,0,0,0,207,2,13
147,Kaan Ayhan,27.2,1440,1348,90,79,3,48,4,11,0,0,0,0,1265,2,9
148,Floyd Ayite,5.3,200,195,5,1,0,1,6,2,2,1,1,0,156,0,7
149,Cesar Azpilicueta,37.8,2950,2563,381,38,2,4,118,343,0,0,0,0,2494,6,74
150,Abdoulaye Ba,23.4,1054,1006,46,44,1,7,1,2,0,0,0,0,867,2,6
151,Florian Baak,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Ludovic Baal,1.4,90,74,16,1,0,0,1,15,0,0,0,0,69,0,1
153,Khouma Babacar,16.5,306,268,38,0,1,1,3,4,0,0,0,0,249,0,9
154,Ryan Babel,13.9,513,483,28,5,3,1,38,4,15,7,4,0,403,2,17
156,Carlos Bacca,14.1,277,259,18,0,2,3,6,1,1,0,0,0,185,0,9
157,Juninho Bacuna,15.7,770,699,69,28,6,13,34,19,16,8,6,1,565,2,19
158,Leandro Bacuna,6.2,163,145,16,6,1,3,7,9,1,0,1,0,105,2,4
159,Milan Badelj,12.7,879,846,28,19,0,6,17,3,5,1,2,1,743,5,12
160,Benoit Badiashile,19.6,1091,1063,28,27,1,11,0,1,0,0,0,0,977,0,6
161,Holger Badstuber,5.8,266,257,9,8,0,4,0,1,0,0,0,0,243,0,2
162,Stephane Bahoken,27.4,480,416,64,2,2,0,29,7,0,0,0,0,336,0,26
163,Daniel Baier,31.3,1626,1536,83,56,3,9,20,25,0,0,0,0,1229,7,31
164,Leon Bailey,21.3,950,831,117,21,0,13,163,24,71,37,30,1,623,2,45
165,Eric Bailly,7.1,305,295,9,7,0,3,0,2,0,0,0,0,264,1,1
166,Leighton Baines,4.2,262,188,74,13,0,2,18,53,8,4,3,0,208,0,6
167,Marvin Bakalorz,16.3,405,394,9,8,0,2,9,1,0,0,0,0,301,2,16
168,Tiemoue Bakayoko,25.6,1335,1310,21,21,0,7,2,0,0,0,0,0,1151,4,11
169,Ridle Baku,10.4,451,438,12,8,0,4,4,4,0,0,0,0,367,1,10
170,Fabian Balbuena,22.4,836,806,28,27,1,5,1,1,0,0,0,0,662,2,8
171,Keita Balde,9.9,340,327,11,4,1,0,52,3,3,1,1,0,256,2,21
172,Gareth Bale,19.8,791,756,28,2,2,21,70,24,0,0,0,0,567,7,25
173,Mikel Balenziaga,5.8,227,183,44,2,0,0,8,42,0,0,0,0,169,0,7
174,Andrija Balic,0.3,26,21,5,4,0,1,1,0,1,0,0,0,25,0,0
175,Fode Ballo-Toure,17.7,771,601,169,14,0,1,26,155,0,0,0,0,572,1,22
176,Fode Ballo-Toure,17.7,858,666,190,10,3,0,71,180,0,0,0,0,645,2,24
177,Florent Balmont,12.0,708,652,54,34,2,4,40,0,19,8,9,0,574,2,17
178,Leon Balogun,6.6,222,212,8,4,0,0,0,4,0,0,0,0,168,2,4
179,Mario Balotelli,8.4,231,213,18,5,2,10,1,1,0,0,0,0,160,0,4
180,Mario Balotelli,10.4,231,206,24,1,1,5,2,0,0,0,0,0,157,1,3
182,Abdoulaye Bamba,28.6,1281,971,308,14,1,1,70,294,0,0,0,0,968,2,36
183,Jonathan Bamba,33.4,1233,1158,74,20,17,12,56,31,22,11,6,0,949,1,39
184,Sol Bamba,27.5,559,541,15,10,1,1,1,5,0,0,0,0,385,3,10
185,Yacine Bammou,10.3,331,324,5,0,0,3,25,5,0,0,0,0,235,2,16
186,Ever Banega,29.6,2241,1981,248,145,6,50,131,7,96,25,41,11,1823,12,32
187,Mattia Bani,29.0,1278,1204,65,38,0,23,5,27,0,0,0,0,1026,9,11
188,Leo Baptistao,13.7,388,372,16,1,2,2,10,9,2,0,0,0,278,0,30
189,Antonin Barak,3.7,181,174,6,1,0,0,5,1,4,2,0,0,148,1,2
190,Federico Barba,27.6,1280,1101,173,46,0,25,26,127,0,0,0,0,1007,6,15
191,Danilo Barbosa,17.2,656,649,6,5,2,3,2,1,0,0,0,0,560,1,15
192,Enis Bardhi,31.5,1188,1084,98,39,3,15,72,7,33,13,15,0,864,6,40
193,Francesco Bardi,3.0,74,45,29,14,0,0,0,0,0,0,0,0,45,0,0
194,Phil Bardsley,18.6,783,583,195,9,0,3,37,186,0,0,0,0,526,5,19
195,Nicolo Barella,34.5,1923,1812,108,37,6,22,92,18,28,12,10,2,1518,3,46
196,Philipp Bargfrede,12.0,555,538,16,16,0,4,2,0,0,0,0,0,453,1,10
197,Antonino Barilla,29.1,821,801,9,2,0,0,39,3,4,3,1,0,569,11,38
198,Ross Barkley,13.8,971,941,27,4,4,7,7,7,0,0,0,0,877,3,14
199,Aymen Barkok,5.7,228,219,9,7,0,3,12,0,2,0,2,0,169,0,6
200,Ashley Barnes,26.5,534,513,12,1,5,1,6,1,1,1,0,0,308,9,18
201,Harvey Barnes,11.2,336,334,1,0,2,0,23,1,0,0,0,0,244,1,15
202,Antonio Barragan,10.4,637,555,81,9,0,3,41,72,0,0,0,0,527,1,12
203,Antonio Barreca,0.1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,1
204,Antonio Barreca,6.6,277,186,89,1,0,1,19,88,0,0,0,0,205,2,16
205,Leandro Barreiro Martins,1.0,26,25,0,0,0,0,0,0,0,0,0,0,14,1,1
206,Ander Barrenetxea,4.4,111,111,0,0,1,0,6,0,0,0,0,0,82,0,4
208,Edgar Barreto,8.7,500,479,17,5,2,3,20,0,12,3,9,0,391,4,14
209,Musa Barrow,6.7,238,225,12,0,2,5,9,0,6,5,0,0,183,1,7
210,Fin Bartels,0.3,6,6,0,0,0,1,0,0,0,0,0,0,3,0,0
211,Marc Bartra,32.5,2278,2205,67,66,0,25,5,1,0,0,0,0,1991,6,16
212,Andrea Barzagli,2.9,198,191,6,3,0,2,0,3,0,0,0,0,179,1,2
213,Daniele Baselli,26.4,1246,1130,109,45,3,9,81,1,49,19,13,0,954,7,29
214,Toma Basic,14.8,620,552,65,33,2,7,46,3,28,24,2,0,481,3,12
215,Thomas Basila,1.0,27,25,2,1,0,1,0,1,0,0,0,0,23,0,0
216,Borja Baston,16.0,320,305,14,0,0,0,5,1,0,0,0,0,197,1,18
217,Alessandro Bastoni,18.8,638,592,42,37,3,13,3,5,0,0,0,0,514,4,6
218,Bastos,12.7,564,541,20,13,0,9,3,7,0,0,0,0,480,3,6
219,Michy Batshuayi,8.3,165,156,8,0,1,2,1,0,0,0,0,0,106,1,9
220,Michy Batshuayi,5.9,135,128,6,2,1,1,3,0,0,0,0,0,101,1,7
221,Robert Bauer,19.1,824,617,202,23,0,5,51,167,12,0,11,0,583,5,31
222,Oliver Baumann,33.0,1288,945,339,91,0,9,0,0,0,0,0,0,1023,4,2
223,Timo Baumgartl,18.0,869,795,71,50,0,11,5,21,0,0,0,0,707,3,10
224,Julian Baumgartlinger,17.3,1380,1334,45,38,0,21,2,6,0,0,0,0,1234,1,15
225,Christoph Baumgartner,0.9,36,36,0,0,0,1,1,0,0,0,0,0,22,0,2
226,Jon Bautista,6.6,137,124,12,0,0,0,0,0,0,0,0,0,84,1,2
227,Paul Baysse,0.8,33,31,2,2,0,0,0,0,0,0,0,0,24,0,1
228,Paul Baysse,19.9,830,793,36,29,0,10,3,7,0,0,0,0,662,1,5
229,Noah Joel Sarenren Bazee,1.7,20,20,0,0,0,0,4,0,0,0,0,0,7,0,4
230,Claudio Beauvue,16.7,381,358,21,2,1,1,33,10,0,0,0,0,239,2,11
231,Bebe,14.5,515,479,31,3,0,8,108,16,11,5,3,1,304,5,28
232,Bebe,0.7,34,33,1,0,0,1,10,1,0,0,0,0,22,0,1
234,Ihlas Bebou,11.8,443,396,43,1,2,1,42,36,6,0,6,0,293,4,20
235,Uffe Bech,0.2,14,13,1,0,0,0,2,1,0,0,0,0,9,0,1
236,Andreas Beck,19.7,856,682,172,5,0,5,36,167,0,0,0,0,602,2,32
237,Jan Bednarek,23.9,888,801,84,21,3,5,1,63,0,0,0,0,607,3,6
238,Andrea Beghetto,24.7,1138,912,225,15,1,5,218,185,25,8,14,0,705,1,60
239,Asmir Begovic,24.0,659,396,262,70,0,0,0,0,0,0,0,0,450,1,0
240,Valon Behrami,15.1,474,431,42,36,0,1,3,6,0,0,0,0,386,1,5
241,Hanno Behrens,29.3,920,885,30,25,4,1,4,5,0,0,0,0,617,5,31
242,Ishak Belfodil,20.7,463,444,16,0,2,2,19,5,1,0,0,0,323,3,9
243,Stefan Bell,25.0,1218,1181,31,31,2,20,11,0,0,0,0,0,960,6,15
244,Karim Bellarabi,11.7,495,483,8,0,2,2,63,8,0,0,0,0,332,4,30
245,Hector Bellerin,17.0,958,815,141,9,6,0,39,132,0,0,0,0,794,2,26
246,Andrea Belotti,36.7,766,750,8,2,4,6,23,1,0,0,0,0,482,8,41
247,Fran Beltran,16.9,865,840,23,23,3,5,4,0,0,0,0,0,783,2,14
248,Hatem Ben Arfa,22.6,930,783,141,49,9,16,60,15,52,32,3,0,749,6,15
249,Wissam Ben Yedder,31.2,795,755,35,2,9,6,27,8,0,0,0,0,570,5,24
250,Diego Benaglio,22.9,649,402,246,60,0,1,0,0,0,0,0,0,490,1,0
251,Marco Benassi,25.4,848,818,27,2,5,5,34,21,0,0,0,0,637,3,22
252,Medhi Benatia,5.0,318,316,2,1,0,8,0,1,0,0,0,0,288,0,1
253,Lars Bender,15.1,938,822,114,18,1,7,15,96,0,0,0,0,773,2,25
254,Sven Bender,22.1,1676,1635,34,33,0,2,0,1,0,0,0,0,1515,7,9
255,Laszlo Benes,0.3,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1
256,Nicolas Benezet,18.5,886,761,121,39,0,2,125,11,65,27,29,1,603,4,28
257,Walter Benitez,35.0,1149,756,390,82,0,0,0,0,0,0,0,0,910,3,1
258,Ismael Bennacer,32.9,1989,1795,189,89,4,28,75,7,67,28,18,3,1666,5,28
260,Joe Bennett,29.3,931,699,229,37,2,5,43,191,1,1,0,0,639,3,31
261,Ryan Bennett,34.0,1405,1330,69,17,1,19,1,52,0,0,0,0,1090,6,8
262,Yassine Benrahou,2.0,111,98,13,3,1,0,16,0,10,6,3,0,81,0,1
263,Ramy Bensebaini,23.9,1272,1031,235,32,1,7,33,203,0,0,0,0,979,6,34
264,Nabil Bentaleb,19.9,956,883,66,38,2,5,47,3,19,5,13,1,732,7,16
265,Rodrigo Bentancur,22.3,1232,1216,14,8,3,15,17,5,1,1,0,0,1066,2,19
266,Christian Benteke,9.0,241,226,14,1,0,4,1,0,0,0,0,0,136,1,4
267,Karim Benzema,32.8,1213,1133,73,3,6,18,20,3,2,0,0,0,985,7,29
268,Yassine Benzia,1.8,102,100,2,0,1,3,3,0,0,0,0,0,83,0,1
269,Domenico Berardi,31.9,1321,1227,89,24,10,6,120,5,59,13,39,1,948,5,56
270,Yuri Berchiche,34.7,1753,1440,309,26,2,12,102,281,2,1,1,0,1384,4,47
271,Alex Berenguer,16.5,764,625,137,26,3,6,90,75,34,12,11,1,535,2,30
272,Bartosz Bereszynski,24.4,1580,1328,250,43,2,0,53,207,0,0,0,0,1298,2,38
273,Johann Berg Gudmundsson,19.5,620,534,81,30,1,7,119,5,46,32,9,1,397,5,21
274,Markel Bergara,0.6,18,16,1,0,0,1,0,0,0,0,0,0,13,1,0
275,Robert Beric,13.1,200,176,24,0,0,0,3,1,0,0,0,0,136,0,6
276,Etrit Berisha,18.0,480,305,175,40,0,3,0,0,0,0,0,0,357,0,0
277,Valon Berisha,2.2,148,136,11,3,0,2,7,0,7,5,2,0,124,1,0
278,Bernard,23.5,864,851,10,2,7,3,51,4,4,1,2,0,625,3,24
279,Federico Bernardeschi,16.4,719,639,76,12,9,19,83,8,48,8,24,0,550,4,20
280,Bernardo,19.5,1029,803,223,13,0,2,31,210,0,0,0,0,729,3,33
281,Paul Bernardoni,38.0,1118,657,458,168,0,2,0,0,0,0,0,0,631,3,2
282,Juan Bernat,20.4,1178,1063,111,12,3,3,41,94,5,3,0,0,1042,4,18
283,Antoine Bernede,1.9,171,168,3,2,0,1,0,1,0,0,0,0,160,0,3
284,Dimitry Bertaud,1.0,36,18,18,5,0,0,0,0,0,0,0,0,19,0,1
286,Ryan Bertrand,24.0,1087,814,267,23,2,4,93,214,30,13,16,1,786,6,36
287,Daniel Bessa,27.1,1109,1030,75,15,5,8,56,14,29,12,7,0,897,4,33
288,Marcus Bettinelli,7.0,246,158,85,18,0,1,0,0,0,0,0,0,160,3,0
289,Jordan Beyer,8.0,473,422,50,7,0,2,1,43,0,0,0,0,412,1,9
290,Jonathan Biabiany,11.9,321,307,12,0,1,4,15,12,0,0,0,0,227,2,11
291,Giulian Biancone,1.0,45,35,10,1,0,0,1,9,0,0,0,0,36,0,1
292,Ermin Bicakcic,19.9,1174,1130,41,24,0,5,7,17,0,0,0,0,1034,3,5
293,Pedro Bigas,6.5,300,287,10,9,1,4,0,1,0,0,0,0,245,3,1
294,Lucas Biglia,12.4,838,798,38,34,0,10,3,2,1,1,0,0,755,2,8
295,Philip Billing,24.3,1261,1111,148,17,0,28,56,129,2,1,0,0,909,2,23
296,Cristiano Biraghi,35.5,1941,1449,486,75,0,12,272,322,89,26,52,0,1359,6,69
297,Davide Biraschi,31.6,1293,1106,176,44,1,2,51,132,0,0,0,0,840,11,33
298,Valter Birsa,3.9,245,216,29,4,1,3,37,0,21,12,8,0,189,0,6
299,Valter Birsa,12.2,574,509,58,15,5,7,63,6,31,14,13,0,420,7,23
300,Yves Bissouma,19.7,730,694,30,2,3,5,8,1,3,0,3,0,588,6,12
301,Leonardo Bittencourt,11.9,478,442,32,7,1,4,43,6,19,9,9,0,356,4,18
302,Alejandro Blanco,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
303,Ruben Blanco,25.0,818,503,312,92,0,5,0,0,0,0,0,0,534,3,0
304,Ludovic Blas,26.4,930,918,9,6,5,21,20,1,0,0,0,0,708,3,17
305,Pablo de Blasis,16.9,803,699,102,7,2,2,65,95,0,0,0,0,550,2,25
306,Pablo de Blasis,1.0,33,32,0,0,0,1,4,0,0,0,0,0,18,1,3
307,Alexis Blin,22.1,941,918,18,14,0,8,4,2,0,0,0,0,759,5,13
308,Danny Blum,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
