,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
19,33,38.0,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2
20,33,38.0,742,19.53,521,86,25,63,34,13,61,1.61,43,5,2,5,5,1
21,25,38.0,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1
22,26,38.0,1064,28.0,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2
23,28,38.0,771,20.29,553,76,53,49,30,10,64,1.68,43,7,5,6,3,0
24,24,38.0,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1
25,33,34.0,796,23.41,570,71,51,51,43,10,141,4.15,96,7,12,12,10,4
26,27,34.0,762,22.41,528,88,36,61,38,11,75,2.21,51,8,4,8,4,0
27,28,38.0,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2
28,28,38.0,835,21.97,622,67,40,51,42,13,84,2.21,59,6,5,8,6,0
29,34,38.0,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2
30,33,38.0,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0
31,28,38.0,908,23.89,655,85,40,60,59,9,99,2.61,67,3,4,13,9,3
32,26,34.0,775,22.79,526,99,21,65,57,7,90,2.65,57,12,2,8,10,1
33,40,38.0,684,18.0,462,75,35,40,53,19,48,1.26,33,4,5,0,5,1
34,31,38.0,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2
35,32,38.0,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4
36,29,34.0,525,15.44,357,48,37,30,35,18,43,1.26,27,3,4,4,5,0
37,31,38.0,796,20.95,607,65,34,42,32,16,106,2.79,89,3,5,4,5,0
38,36,34.0,639,18.79,432,77,31,41,42,16,58,1.71,35,8,1,4,8,2
39,32,34.0,785,23.09,583,71,39,52,27,13,100,2.94,81,3,5,8,1,2
40,27,38.0,1184,31.16,885,104,44,93,37,21,149,3.92,114,12,4,14,5,0
41,32,38.0,917,24.13,677,60,62,57,49,12,99,2.61,73,5,9,7,5,0
42,26,34.0,796,23.41,590,88,26,43,37,12,91,2.68,67,8,5,8,2,1
43,27,38.0,798,21.0,610,55,40,42,41,10,128,3.37,82,11,12,12,9,2
44,29,38.0,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3
45,28,38.0,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4
46,28,38.0,900,23.68,680,60,53,56,30,21,106,2.79,75,4,6,11,7,3
47,31,38.0,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1
48,29,34.0,804,23.65,596,63,55,52,30,8,134,3.94,100,5,14,10,5,0
49,26,38.0,811,21.34,592,73,53,45,35,13,81,2.13,50,7,7,9,8,0
50,27,38.0,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0
51,29,38.0,758,19.95,531,62,45,50,48,22,60,1.58,39,2,8,4,7,0
52,30,38.0,986,25.95,745,65,61,61,40,14,111,2.92,83,4,5,12,7,0
53,26,34.0,870,25.59,642,80,34,46,52,16,89,2.62,66,3,4,10,5,1
54,28,34.0,760,22.35,526,82,32,59,48,13,81,2.38,63,4,3,6,4,1
55,33,38.0,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2
56,26,38.0,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3
57,29,38.0,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3
58,27,38.0,904,23.79,662,78,43,53,54,14,110,2.89,75,7,5,8,12,3
59,36,38.0,634,16.68,449,62,33,36,41,13,55,1.45,39,3,3,5,5,0
60,28,38.0,1026,27.0,717,75,71,85,59,19,105,2.76,75,2,7,14,5,2
61,27,38.0,779,20.5,572,74,39,40,41,13,107,2.82,87,3,4,5,8,0
62,26,38.0,736,19.37,516,60,41,41,61,17,85,2.24,59,7,6,6,6,1
63,26,38.0,723,19.03,498,81,45,48,38,13,89,2.34,62,6,7,6,7,1
64,27,38.0,1021,26.87,778,63,57,53,48,22,126,3.32,89,9,3,11,10,4
65,29,38.0,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0
66,27,38.0,789,20.76,575,69,52,41,39,13,94,2.47,70,4,5,6,9,0
67,28,38.0,637,16.76,435,67,41,33,50,11,35,0.92,27,2,1,1,3,1
68,29,38.0,721,18.97,502,85,28,49,44,13,62,1.63,42,7,0,7,4,2
69,36,38.0,1018,26.79,767,56,83,54,44,14,159,4.18,119,6,18,9,6,1
70,28,38.0,862,22.68,603,98,37,54,52,18,63,1.66,36,5,7,8,5,2
71,29,34.0,762,22.41,551,75,44,45,42,5,129,3.79,88,10,10,7,13,1
72,31,38.0,1195,31.45,922,68,83,56,49,17,139,3.66,102,2,13,11,8,3
73,32,38.0,773,20.34,530,70,56,57,46,14,69,1.82,38,3,6,12,10,0
74,35,38.0,692,18.21,498,59,52,32,38,13,71,1.87,46,7,4,6,8,0
75,28,38.0,971,25.55,712,103,32,74,37,13,151,3.97,120,7,6,10,6,2
76,29,38.0,1031,27.13,695,110,60,93,56,17,94,2.47,54,9,9,13,9,0
77,39,38.0,749,19.71,517,69,59,42,48,14,65,1.71,37,9,5,7,5,2
78,42,38.0,739,19.45,500,85,35,55,54,10,58,1.53,33,7,3,8,7,0
79,34,38.0,680,17.89,496,65,33,41,35,10,69,1.82,47,6,3,7,5,1
80,29,38.0,1010,26.58,795,56,72,37,38,12,104,2.74,80,4,10,2,8,0
81,33,38.0,784,20.63,578,78,35,35,43,15,95,2.5,63,9,8,7,5,3
82,25,38.0,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3
83,30,38.0,663,17.45,469,59,45,40,38,12,61,1.61,39,4,3,9,3,3
84,26,38.0,810,21.32,588,82,30,55,43,12,98,2.58,70,5,5,10,8,0
85,34,34.0,794,23.35,552,77,52,57,42,14,70,2.06,43,8,5,10,4,0
86,31,38.0,827,21.76,589,92,35,61,41,9,74,1.95,50,3,6,9,5,1
87,25,38.0,882,23.21,678,51,46,61,37,9,117,3.08,95,3,4,8,6,1
88,35,38.0,668,17.58,472,60,44,43,38,11,54,1.42,33,4,2,9,6,0
89,29,38.0,860,22.63,582,88,58,68,51,13,92,2.42,54,8,8,13,8,1
90,28,34.0,688,20.24,496,61,30,58,36,7,70,2.06,49,2,6,11,2,0
91,34,38.0,718,18.89,479,93,45,26,64,11,83,2.18,53,8,7,3,11,1
92,39,38.0,617,16.24,440,56,30,31,46,14,57,1.5,41,4,1,5,6,0
93,29,38.0,800,21.05,593,73,57,38,28,11,112,2.95,73,12,11,10,5,1
94,30,38.0,693,18.24,475,59,48,43,52,16,57,1.5,36,5,4,7,3,2
95,25,38.0,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1
96,30,34.0,723,21.26,502,70,43,51,51,6,68,2.0,47,3,3,8,7,0
97,26,38.0,692,18.21,496,44,65,37,31,19,58,1.53,37,4,5,8,2,2
