,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
1720,Paul McShane,ie IRL,DF,Hull City,Premier League,28.0,1986.0,18.8,2.0,0.0,,13.0,,,,,,,,
1721,Gary Medel,cl CHI,"DF,MF",Inter,Serie A,26.0,1987.0,33.1,11.0,1.0,,44.0,,,,,,,,
1722,Slobodan Medojević,rs SRB,MF,Eint Frankfurt,Bundesliga,23.0,1990.0,8.8,3.0,1.0,,19.0,,,,,,,,
1723,Álvaro Medrán,es ESP,MF,Real Madrid,La Liga,20.0,1994.0,0.2,0.0,0.0,,1.0,,,,,,,,
1724,Haris Medunjanin,ba BIH,MF,La Coruña,La Liga,29.0,1985.0,16.5,5.0,0.0,,16.0,,,,,,,,
1725,Ben Mee,eng ENG,DF,Burnley,Premier League,24.0,1989.0,32.1,10.0,0.0,,28.0,,,,,,,,
1726,Riccardo Meggiorini,it ITA,FW,Chievo,Serie A,28.0,1985.0,21.1,8.0,0.0,,46.0,,,,,,,,
1727,Alban Meha,xk KVX,MF,Paderborn 07,Bundesliga,28.0,1986.0,13.6,1.0,0.0,,18.0,,,,,,,,
1728,Admir Mehmedi,ch SUI,"FW,MF",Freiburg,Bundesliga,23.0,1991.0,24.9,3.0,0.0,,40.0,,,,,,,,
1729,Alexander Meier,de GER,"FW,MF",Eint Frankfurt,Bundesliga,31.0,1983.0,24.6,0.0,0.0,,35.0,,,,,,,,
1730,Soualiho Meïté,fr FRA,"DF,MF",Lille,Ligue 1,20.0,1994.0,1.5,0.0,0.0,,3.0,,,,,,,,
1731,Lucas Mendes,br BRA,DF,Marseille,Ligue 1,24.0,1990.0,0.5,0.0,0.0,,0.0,,,,,,,,
1732,Pedro Mendes,pt POR,DF,Parma,Serie A,23.0,1990.0,16.9,6.0,0.0,,30.0,,,,,,,,
1733,Ryan Mendes,cv CPV,"FW,MF",Lille,Ligue 1,24.0,1990.0,9.5,0.0,0.0,,13.0,,,,,,,,
1734,Tiago Mendes,pt POR,MF,Atlético Madrid,La Liga,33.0,1981.0,29.7,5.0,0.0,,42.0,,,,,,,,
1735,Edgar Mendez,es ESP,MF,Almería,La Liga,24.0,1990.0,21.2,5.0,0.0,,57.0,,,,,,,,
1736,Benjamin Mendy,fr FRA,DF,Marseille,Ligue 1,20.0,1994.0,32.4,8.0,0.0,,60.0,,,,,,,,
1737,Nampalys Mendy,sn SEN,MF,Nice,Ligue 1,22.0,1992.0,36.0,5.0,0.0,,34.0,,,,,,,,
1738,Jérémy Ménez,fr FRA,"FW,MF",Milan,Serie A,27.0,1987.0,29.9,3.0,1.0,,48.0,,,,,,,,
1739,Jonathan Mensah,gh GHA,DF,Evian,Ligue 1,24.0,1990.0,10.2,3.0,0.0,,11.0,,,,,,,,
1740,Dries Mertens,be BEL,"FW,MF",Napoli,Serie A,27.0,1987.0,18.6,4.0,1.0,,24.0,,,,,,,,
1742,Per Mertesacker,de GER,DF,Arsenal,Premier League,29.0,1984.0,35.0,2.0,0.0,,8.0,,,,,,,,
1743,Djamel Mesbah,dz ALG,"DF,MF",Sampdoria,Serie A,29.0,1984.0,12.9,2.0,0.0,,11.0,,,,,,,,
1744,Walid Mesloub,dz ALG,"FW,MF",Lorient,Ligue 1,28.0,1985.0,28.4,1.0,1.0,,29.0,,,,,,,,
1745,Lionel Messi,ar ARG,"FW,MF",Barcelona,La Liga,27.0,1987.0,37.5,4.0,0.0,,24.0,,,,,,,,
1746,Giandomenico Mesto,it ITA,"DF,MF",Napoli,Serie A,32.0,1982.0,3.1,1.0,0.0,,4.0,,,,,,,,
1747,Romain Métanire,mg MAD,DF,Metz,Ligue 1,24.0,1990.0,33.2,6.0,0.0,,32.0,,,,,,,,
1748,Mexer,mz MOZ,DF,Rennes,Ligue 1,25.0,1988.0,35.0,3.0,0.0,,18.0,,,,,,,,
1749,Philippe Mexès,fr FRA,DF,Milan,Serie A,32.0,1982.0,18.6,9.0,1.0,,33.0,,,,,,,,
1750,Max Meyer,de GER,"FW,MF",Schalke 04,Bundesliga,18.0,1995.0,20.5,0.0,0.0,,19.0,,,,,,,,
1751,David Meyler,ie IRL,MF,Hull City,Premier League,25.0,1989.0,19.2,7.0,1.0,,34.0,,,,,,,,
1752,Anthony Mfa Mezui,ga GAB,GK,Metz,Ligue 1,23.0,1991.0,16.0,1.0,0.0,,0.0,,,,,,,,
1753,Omenuke Mfulu,cd COD,"DF,MF",Reims,Ligue 1,20.0,1994.0,2.5,1.0,0.0,,5.0,,,,,,,,
1754,Míchel,es ESP,MF,Getafe,La Liga,26.0,1988.0,8.7,4.0,0.0,,16.0,,,,,,,,
