,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
19,Chievo,Serie A,29.0,31.3,46.7,38.0,418.0,3420.0,38.0,42.0,29.0,38.0,4.0,5.0,0.0,3.0,1.11,0.76,1.87,1.0,1.76
20,Crotone,Serie A,31.0,26.0,37.1,38.0,418.0,3420.0,38.0,34.0,22.0,30.0,4.0,5.0,0.0,3.0,0.89,0.58,1.47,0.79,1.37
21,Crystal Palace,Premier League,31.0,27.7,45.4,38.0,418.0,3420.0,38.0,48.0,32.0,44.0,4.0,7.0,0.0,0.0,1.26,0.84,2.11,1.16,2.0
22,Darmstadt 98,Bundesliga,31.0,27.6,38.3,34.0,374.0,3060.0,34.0,28.0,16.0,23.0,5.0,7.0,0.0,5.0,0.82,0.47,1.29,0.68,1.15
23,Dijon,Ligue 1,27.0,27.7,46.4,38.0,418.0,3420.0,38.0,42.0,29.0,39.0,3.0,4.0,0.0,3.0,1.11,0.76,1.87,1.03,1.79
24,Dortmund,Bundesliga,27.0,25.3,62.0,34.0,374.0,3060.0,34.0,71.0,49.0,66.0,5.0,7.0,0.0,1.0,2.09,1.44,3.53,1.94,3.38
25,Eibar,La Liga,24.0,26.9,47.8,38.0,418.0,3420.0,38.0,53.0,34.0,47.0,6.0,8.0,94.0,7.0,1.39,0.89,2.29,1.24,2.13
26,Eint Frankfurt,Bundesliga,26.0,25.9,49.9,34.0,374.0,3060.0,34.0,35.0,24.0,33.0,2.0,6.0,0.0,1.0,1.03,0.71,1.74,0.97,1.68
27,Empoli,Serie A,29.0,26.8,49.0,38.0,418.0,3420.0,38.0,29.0,19.0,25.0,4.0,5.0,0.0,0.0,0.76,0.5,1.26,0.66,1.16
28,Espanyol,La Liga,27.0,27.2,44.0,38.0,418.0,3420.0,38.0,48.0,36.0,46.0,2.0,4.0,80.0,2.0,1.26,0.95,2.21,1.21,2.16
29,Everton,Premier League,27.0,27.5,52.1,38.0,418.0,3420.0,38.0,58.0,45.0,55.0,3.0,4.0,0.0,1.0,1.53,1.18,2.71,1.45,2.63
30,Fiorentina,Serie A,30.0,27.3,58.3,38.0,418.0,3420.0,38.0,62.0,46.0,56.0,6.0,10.0,0.0,3.0,1.63,1.21,2.84,1.47,2.68
31,Freiburg,Bundesliga,25.0,24.7,46.7,34.0,374.0,3060.0,34.0,42.0,28.0,36.0,6.0,8.0,0.0,0.0,1.24,0.82,2.06,1.06,1.88
32,Genoa,Serie A,33.0,26.9,48.8,38.0,418.0,3420.0,38.0,36.0,30.0,34.0,2.0,3.0,0.0,4.0,0.95,0.79,1.74,0.89,1.68
33,Granada,La Liga,35.0,24.7,45.1,38.0,418.0,3420.0,38.0,30.0,19.0,30.0,0.0,1.0,112.0,6.0,0.79,0.5,1.29,0.79,1.29
34,Guingamp,Ligue 1,25.0,27.6,47.5,38.0,418.0,3420.0,38.0,46.0,33.0,42.0,4.0,4.0,0.0,3.0,1.21,0.87,2.08,1.11,1.97
35,Hamburger SV,Bundesliga,29.0,25.8,43.8,34.0,374.0,3060.0,34.0,32.0,26.0,32.0,0.0,2.0,0.0,2.0,0.94,0.76,1.71,0.94,1.71
36,Hertha BSC,Bundesliga,26.0,27.1,48.5,34.0,374.0,3060.0,34.0,42.0,26.0,37.0,5.0,5.0,0.0,2.0,1.24,0.76,2.0,1.09,1.85
37,Hoffenheim,Bundesliga,23.0,25.0,56.2,34.0,374.0,3060.0,34.0,64.0,47.0,59.0,5.0,5.0,0.0,0.0,1.88,1.38,3.26,1.74,3.12
38,Hull City,Premier League,28.0,27.4,45.9,38.0,418.0,3420.0,38.0,36.0,24.0,33.0,3.0,3.0,0.0,0.0,0.95,0.63,1.58,0.87,1.5
39,Ingolstadt 04,Bundesliga,22.0,26.9,45.9,34.0,374.0,3060.0,34.0,35.0,20.0,29.0,6.0,8.0,0.0,3.0,1.03,0.59,1.62,0.85,1.44
40,Inter,Serie A,29.0,27.5,56.4,38.0,418.0,3420.0,38.0,70.0,55.0,67.0,3.0,5.0,0.0,3.0,1.84,1.45,3.29,1.76,3.21
41,Juventus,Serie A,27.0,29.1,57.0,38.0,418.0,3420.0,38.0,72.0,49.0,69.0,3.0,3.0,0.0,0.0,1.89,1.29,3.18,1.82,3.11
42,Köln,Bundesliga,26.0,26.2,43.4,34.0,374.0,3060.0,34.0,49.0,36.0,46.0,3.0,4.0,0.0,1.0,1.44,1.06,2.5,1.35,2.41
43,La Coruña,La Liga,28.0,27.7,47.0,38.0,418.0,3420.0,38.0,42.0,29.0,39.0,3.0,7.0,95.0,4.0,1.11,0.76,1.87,1.03,1.79
44,Las Palmas,La Liga,29.0,27.3,59.0,38.0,418.0,3420.0,38.0,52.0,34.0,46.0,6.0,6.0,102.0,6.0,1.37,0.89,2.26,1.21,2.11
45,Lazio,Serie A,30.0,26.0,51.0,38.0,418.0,3420.0,38.0,73.0,47.0,61.0,12.0,14.0,0.0,3.0,1.92,1.24,3.16,1.61,2.84
46,Leganés,La Liga,31.0,26.3,44.7,38.0,418.0,3420.0,38.0,36.0,24.0,33.0,3.0,4.0,106.0,3.0,0.95,0.63,1.58,0.87,1.5
47,Leicester City,Premier League,25.0,27.8,41.9,38.0,418.0,3420.0,38.0,46.0,32.0,42.0,4.0,6.0,0.0,0.0,1.21,0.84,2.05,1.11,1.95
48,Leverkusen,Bundesliga,24.0,24.2,54.3,34.0,374.0,3060.0,34.0,53.0,39.0,49.0,4.0,9.0,0.0,3.0,1.56,1.15,2.71,1.44,2.59
49,Lille,Ligue 1,31.0,26.9,51.1,38.0,418.0,3420.0,38.0,40.0,26.0,34.0,6.0,7.0,0.0,3.0,1.05,0.68,1.74,0.89,1.58
50,Liverpool,Premier League,23.0,26.1,62.0,38.0,418.0,3420.0,38.0,77.0,52.0,70.0,7.0,8.0,0.0,0.0,2.03,1.37,3.39,1.84,3.21
51,Lorient,Ligue 1,30.0,26.8,50.5,38.0,418.0,3420.0,38.0,43.0,30.0,39.0,4.0,6.0,0.0,0.0,1.13,0.79,1.92,1.03,1.82
52,Lyon,Ligue 1,27.0,25.0,59.1,38.0,418.0,3420.0,38.0,74.0,44.0,62.0,12.0,14.0,0.0,2.0,1.95,1.16,3.11,1.63,2.79
53,M'Gladbach,Bundesliga,24.0,25.3,53.9,34.0,374.0,3060.0,34.0,44.0,27.0,43.0,1.0,4.0,0.0,2.0,1.29,0.79,2.09,1.26,2.06
54,Mainz 05,Bundesliga,28.0,25.1,46.0,34.0,374.0,3060.0,34.0,43.0,28.0,36.0,7.0,7.0,0.0,3.0,1.26,0.82,2.09,1.06,1.88
55,Málaga,La Liga,29.0,26.0,48.4,38.0,418.0,3420.0,38.0,48.0,33.0,45.0,3.0,5.0,111.0,7.0,1.26,0.87,2.13,1.18,2.05
56,Manchester City,Premier League,25.0,28.5,65.0,38.0,418.0,3420.0,38.0,75.0,54.0,68.0,7.0,9.0,0.0,0.0,1.97,1.42,3.39,1.79,3.21
57,Manchester Utd,Premier League,31.0,26.7,56.5,38.0,418.0,3420.0,38.0,54.0,37.0,51.0,3.0,4.0,0.0,1.0,1.42,0.97,2.39,1.34,2.32
58,Marseille,Ligue 1,27.0,27.4,55.9,38.0,418.0,3420.0,38.0,56.0,37.0,52.0,4.0,4.0,0.0,1.0,1.47,0.97,2.45,1.37,2.34
59,Metz,Ligue 1,31.0,26.5,42.4,38.0,418.0,3420.0,38.0,37.0,22.0,29.0,8.0,9.0,,,0.97,0.58,1.55,0.76,1.34
60,Middlesbrough,Premier League,27.0,27.3,47.3,38.0,418.0,3420.0,38.0,26.0,22.0,24.0,2.0,2.0,0.0,1.0,0.68,0.58,1.26,0.63,1.21
61,Milan,Serie A,28.0,25.0,54.1,38.0,418.0,3420.0,38.0,55.0,39.0,48.0,7.0,12.0,0.0,9.0,1.45,1.03,2.47,1.26,2.29
62,Monaco,Ligue 1,29.0,25.0,51.9,38.0,418.0,3420.0,38.0,103.0,62.0,92.0,11.0,11.0,0.0,1.0,2.71,1.63,4.34,2.42,4.05
63,Montpellier,Ligue 1,32.0,26.8,49.4,38.0,418.0,3420.0,38.0,48.0,30.0,45.0,3.0,3.0,0.0,2.0,1.26,0.79,2.05,1.18,1.97
64,Nancy,Ligue 1,27.0,27.2,43.1,38.0,418.0,3420.0,38.0,29.0,22.0,28.0,1.0,3.0,0.0,1.0,0.76,0.58,1.34,0.74,1.32
65,Nantes,Ligue 1,27.0,24.8,48.4,38.0,418.0,3420.0,38.0,40.0,31.0,38.0,2.0,4.0,0.0,1.0,1.05,0.82,1.87,1.0,1.82
66,Napoli,Serie A,26.0,26.9,62.1,38.0,418.0,3420.0,38.0,94.0,68.0,89.0,5.0,6.0,0.0,0.0,2.47,1.79,4.26,2.34,4.13
67,Nice,Ligue 1,27.0,24.3,58.9,38.0,418.0,3420.0,38.0,63.0,45.0,57.0,6.0,8.0,0.0,1.0,1.66,1.18,2.84,1.5,2.68
68,Osasuna,La Liga,35.0,26.3,39.0,38.0,418.0,3420.0,38.0,37.0,24.0,33.0,4.0,6.0,99.0,3.0,0.97,0.63,1.61,0.87,1.5
69,Palermo,Serie A,30.0,26.1,45.6,38.0,418.0,3420.0,38.0,33.0,24.0,32.0,1.0,1.0,0.0,6.0,0.87,0.63,1.5,0.84,1.47
70,Paris S-G,Ligue 1,28.0,26.4,65.3,38.0,418.0,3420.0,38.0,79.0,54.0,70.0,9.0,10.0,0.0,1.0,2.08,1.42,3.5,1.84,3.26
71,Pescara,Serie A,34.0,26.6,46.4,38.0,418.0,3420.0,38.0,32.0,27.0,30.0,2.0,6.0,0.0,3.0,0.84,0.71,1.55,0.79,1.5
72,RB Leipzig,Bundesliga,23.0,24.0,53.0,34.0,374.0,3060.0,34.0,62.0,49.0,59.0,3.0,4.0,0.0,1.0,1.82,1.44,3.26,1.74,3.18
73,Real Madrid,La Liga,24.0,27.0,56.2,38.0,419.0,3420.0,38.0,106.0,83.0,100.0,6.0,8.0,76.0,2.0,2.79,2.18,4.97,2.63,4.82
74,Real Sociedad,La Liga,27.0,26.0,56.7,38.0,418.0,3420.0,38.0,56.0,39.0,49.0,7.0,8.0,84.0,6.0,1.47,1.03,2.5,1.29,2.32
75,Rennes,Ligue 1,31.0,26.3,52.0,38.0,418.0,3420.0,38.0,35.0,25.0,33.0,2.0,3.0,,,0.92,0.66,1.58,0.87,1.53
76,Roma,Serie A,22.0,26.7,57.1,38.0,418.0,3420.0,38.0,88.0,59.0,76.0,12.0,14.0,0.0,0.0,2.32,1.55,3.87,2.0,3.55
77,Saint-Étienne,Ligue 1,34.0,26.1,49.8,38.0,418.0,3420.0,38.0,40.0,26.0,35.0,5.0,6.0,,,1.05,0.68,1.74,0.92,1.61
78,Sampdoria,Serie A,24.0,26.6,52.3,38.0,418.0,3420.0,38.0,45.0,31.0,38.0,7.0,8.0,0.0,1.0,1.18,0.82,2.0,1.0,1.82
79,Sassuolo,Serie A,28.0,26.7,46.8,38.0,418.0,3420.0,38.0,59.0,36.0,50.0,9.0,10.0,0.0,0.0,1.55,0.95,2.5,1.32,2.26
80,Schalke 04,Bundesliga,29.0,25.3,51.8,34.0,374.0,3060.0,34.0,45.0,30.0,43.0,2.0,4.0,0.0,0.0,1.32,0.88,2.21,1.26,2.15
81,Sevilla,La Liga,28.0,26.8,59.2,38.0,418.0,3420.0,38.0,67.0,48.0,64.0,3.0,5.0,107.0,4.0,1.76,1.26,3.03,1.68,2.95
82,Southampton,Premier League,26.0,26.0,54.4,38.0,418.0,3420.0,38.0,39.0,27.0,36.0,3.0,6.0,0.0,1.0,1.03,0.71,1.74,0.95,1.66
83,Sporting Gijón,La Liga,29.0,26.4,44.4,38.0,418.0,3420.0,38.0,42.0,26.0,38.0,4.0,7.0,114.0,4.0,1.11,0.68,1.79,1.0,1.68
84,Stoke City,Premier League,26.0,28.7,46.3,38.0,418.0,3420.0,38.0,37.0,24.0,33.0,4.0,6.0,0.0,1.0,0.97,0.63,1.61,0.87,1.5
85,Sunderland,Premier League,31.0,26.8,39.7,38.0,418.0,3420.0,38.0,28.0,11.0,23.0,5.0,5.0,0.0,3.0,0.74,0.29,1.03,0.61,0.89
86,Swansea City,Premier League,27.0,27.4,47.9,38.0,418.0,3420.0,38.0,45.0,31.0,42.0,3.0,3.0,0.0,0.0,1.18,0.82,2.0,1.11,1.92
87,Torino,Serie A,29.0,26.4,50.7,38.0,418.0,3420.0,38.0,70.0,54.0,65.0,5.0,9.0,0.0,3.0,1.84,1.42,3.26,1.71,3.13
88,Tottenham,Premier League,24.0,25.3,60.5,38.0,418.0,3420.0,38.0,84.0,59.0,77.0,7.0,9.0,0.0,0.0,2.21,1.55,3.76,2.03,3.58
89,Toulouse,Ligue 1,30.0,23.3,45.4,38.0,418.0,3420.0,38.0,37.0,22.0,31.0,6.0,9.0,,,0.97,0.58,1.55,0.82,1.39
90,Udinese,Serie A,29.0,26.7,41.8,38.0,418.0,3420.0,38.0,47.0,29.0,45.0,2.0,3.0,0.0,0.0,1.24,0.76,2.0,1.18,1.95
91,Valencia,La Liga,31.0,25.9,48.8,38.0,418.0,3420.0,38.0,53.0,38.0,49.0,4.0,6.0,111.0,6.0,1.39,1.0,2.39,1.29,2.29
92,Villarreal,La Liga,27.0,26.7,49.3,38.0,418.0,3420.0,38.0,55.0,36.0,49.0,6.0,8.0,90.0,4.0,1.45,0.95,2.39,1.29,2.24
93,Watford,Premier League,33.0,29.0,46.1,38.0,418.0,3420.0,38.0,39.0,27.0,36.0,3.0,3.0,0.0,3.0,1.03,0.71,1.74,0.95,1.66
94,Werder Bremen,Bundesliga,31.0,27.0,44.6,34.0,374.0,3060.0,34.0,61.0,39.0,55.0,6.0,6.0,0.0,0.0,1.79,1.15,2.94,1.62,2.76
95,West Brom,Premier League,23.0,29.4,37.3,38.0,418.0,3420.0,38.0,43.0,33.0,42.0,1.0,1.0,0.0,0.0,1.13,0.87,2.0,1.11,1.97
96,West Ham,Premier League,29.0,27.1,47.1,38.0,418.0,3420.0,38.0,46.0,28.0,43.0,3.0,4.0,0.0,4.0,1.21,0.74,1.95,1.13,1.87
97,Wolfsburg,Bundesliga,31.0,25.7,51.7,34.0,374.0,3060.0,34.0,32.0,23.0,29.0,3.0,3.0,0.0,2.0,0.94,0.68,1.62,0.85,1.53
