,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
26,Sergio Agüero,ARG,FW,Manchester City,eng Premier League,28.0,1988.0,31.0,25.0,2403.0,26.7,20.0,4.0,16.0,4.0,5.0,4.0,1.0,0.75,0.15,0.9,0.6,0.75
27,Dan Agyei,GBR,FW,Burnley,eng Premier League,19.0,1997.0,3.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Emmanuel Agyemang-Badu,GHA,MF,Udinese,it Serie A,25.0,1990.0,29.0,20.0,2033.0,22.6,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13
29,Ola Aina,NGA,"DF,MF",Chelsea,eng Premier League,19.0,1996.0,3.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Youssef Aït Bennasser,MAR,MF,Nancy,fr Ligue 1,20.0,1996.0,26.0,23.0,1930.0,21.4,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.14,0.05,0.19,0.14,0.19
31,Rachid Aït-Atmane,DZA,MF,Sporting Gijón,es La Liga,23.0,1993.0,8.0,6.0,492.0,5.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Arlind Ajeti,ALB,DF,Torino,it Serie A,22.0,1993.0,4.0,3.0,251.0,2.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36
33,Nathan Aké,NLD,DF,Bournemouth,eng Premier League,21.0,1995.0,10.0,8.0,735.0,8.2,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.37
34,Nathan Aké,NLD,DF,Chelsea,eng Premier League,21.0,1995.0,2.0,1.0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Jean-Daniel Akpa-Akpro,CIV,"DF,MF",Toulouse,fr Ligue 1,23.0,1992.0,2.0,0.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,David Alaba,AUT,DF,Bayern Munich,de Bundesliga,24.0,1992.0,32.0,29.0,2506.0,27.8,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.14,0.14,0.29,0.14,0.29
37,Javi Álamo,ESP,"FW,MF",Osasuna,es La Liga,27.0,1988.0,2.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Jordi Alba,ESP,DF,Barcelona,es La Liga,27.0,1989.0,26.0,21.0,1968.0,21.9,1.0,6.0,1.0,0.0,0.0,4.0,0.0,0.05,0.27,0.32,0.05,0.32
39,Raúl Albentosa,ESP,DF,La Coruña,es La Liga,27.0,1988.0,27.0,26.0,2335.0,25.9,1.0,1.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.08,0.04,0.08
40,Luis Alberto,ESP,"MF,FW",Lazio,it Serie A,23.0,1992.0,9.0,4.0,365.0,4.1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.49,0.74,0.25,0.74
41,Raúl Albiol,ESP,DF,Napoli,it Serie A,30.0,1985.0,26.0,25.0,2297.0,25.5,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04
42,Marc Albrighton,GBR,MF,Leicester City,eng Premier League,26.0,1989.0,33.0,29.0,2411.0,26.8,2.0,6.0,2.0,0.0,0.0,5.0,0.0,0.07,0.22,0.3,0.07,0.3
43,Paco Alcácer,ESP,FW,Barcelona,es La Liga,22.0,1993.0,20.0,6.0,858.0,9.5,6.0,3.0,6.0,0.0,0.0,1.0,0.0,0.63,0.31,0.94,0.63,0.94
44,Paco Alcácer,ESP,FW,Valencia,es La Liga,22.0,1993.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Thiago Alcántara,ESP,MF,Bayern Munich,de Bundesliga,25.0,1991.0,27.0,26.0,2288.0,25.4,6.0,5.0,6.0,0.0,0.0,4.0,0.0,0.24,0.2,0.43,0.24,0.43
46,Toby Alderweireld,BEL,DF,Tottenham,eng Premier League,27.0,1989.0,30.0,30.0,2601.0,28.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.03,0.03,0.03
47,Haitam Aleesami,NOR,"MF,DF",Palermo,it Serie A,25.0,1991.0,31.0,29.0,2630.0,29.2,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.03,0.1,0.14,0.03,0.14
48,Álex Alegría,ESP,FW,Betis,es La Liga,23.0,1992.0,25.0,15.0,1438.0,16.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.19,0.13,0.31,0.19,0.31
49,Alexis Alegue,FRA,FW,Nantes,fr Ligue 1,19.0,1996.0,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Carles Aleñá,ESP,MF,Barcelona,es La Liga,18.0,1998.0,3.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Romain Alessandrini,FRA,"FW,MF",Marseille,fr Ligue 1,27.0,1989.0,6.0,3.0,241.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Alexander,ARG,MF,Leganés,es La Liga,27.0,1988.0,28.0,24.0,2031.0,22.6,8.0,2.0,7.0,1.0,2.0,1.0,0.0,0.35,0.09,0.44,0.31,0.4
54,Trent Alexander-Arnold,GBR,"MF,DF",Liverpool,eng Premier League,17.0,1998.0,7.0,2.0,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Alexis,ESP,DF,Alavés,es La Liga,30.0,1985.0,24.0,19.0,1819.0,20.2,2.0,1.0,2.0,0.0,0.0,10.0,1.0,0.1,0.05,0.15,0.1,0.15
56,Jérémie Aliadière,FRA,FW,Lorient,fr Ligue 1,33.0,1983.0,13.0,6.0,487.0,5.4,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.18,0.37,0.55,0.18,0.55
57,Sami Allagui,TUN,"FW,MF",Hertha BSC,de Bundesliga,30.0,1986.0,12.0,0.0,181.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0
58,Allan,BRA,MF,Napoli,it Serie A,25.0,1991.0,29.0,19.0,1610.0,17.9,1.0,6.0,1.0,0.0,0.0,3.0,0.0,0.06,0.34,0.39,0.06,0.39
59,Allan,BRA,MF,Hertha BSC,de Bundesliga,19.0,1997.0,15.0,8.0,798.0,8.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Joe Allen,GB-WLS,MF,Stoke City,eng Premier League,26.0,1990.0,36.0,34.0,2930.0,32.6,6.0,2.0,6.0,0.0,0.0,9.0,0.0,0.18,0.06,0.25,0.18,0.25
61,Dele Alli,GBR,MF,Tottenham,eng Premier League,20.0,1996.0,37.0,35.0,3034.0,33.7,18.0,7.0,17.0,1.0,1.0,4.0,0.0,0.53,0.21,0.74,0.5,0.71
62,Ryan Allsop,GBR,GK,Bournemouth,eng Premier League,24.0,1992.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Júnior Alonso,PRY,DF,Lille,fr Ligue 1,23.0,1993.0,12.0,10.0,959.0,10.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09
64,Marcos Alonso,ESP,MF,Chelsea,eng Premier League,25.0,1990.0,31.0,30.0,2693.0,29.9,6.0,3.0,6.0,0.0,0.0,2.0,0.0,0.2,0.1,0.3,0.2,0.3
65,Marcos Alonso,ESP,MF,Fiorentina,it Serie A,25.0,1990.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Xabi Alonso,ESP,MF,Bayern Munich,de Bundesliga,34.0,1981.0,27.0,22.0,1903.0,21.1,3.0,2.0,3.0,0.0,0.0,6.0,0.0,0.14,0.09,0.24,0.14,0.24
67,Halil Altıntop,TUR,MF,Augsburg,de Bundesliga,33.0,1982.0,31.0,17.0,1605.0,17.8,6.0,2.0,6.0,0.0,0.0,1.0,0.0,0.34,0.11,0.45,0.34,0.45
68,Hamit Altıntop,TUR,MF,Darmstadt 98,de Bundesliga,33.0,1982.0,16.0,15.0,1362.0,15.1,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Ricky Álvarez,ARG,MF,Sampdoria,it Serie A,28.0,1988.0,21.0,11.0,987.0,11.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.18,0.18,0.36,0.18,0.36
70,Sergio Álvarez,ESP,MF,Sporting Gijón,es La Liga,24.0,1992.0,36.0,34.0,3003.0,33.4,2.0,1.0,2.0,0.0,0.0,9.0,0.0,0.06,0.03,0.09,0.06,0.09
71,Sergio Álvarez,ESP,GK,Celta Vigo,es La Liga,29.0,1986.0,26.0,26.0,2340.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.04
72,Víctor Álvarez,ESP,DF,Espanyol,es La Liga,23.0,1993.0,4.0,2.0,204.0,2.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,21.0,1995.0,26.0,25.0,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Bruno Alves,PRT,DF,Cagliari,it Serie A,34.0,1981.0,36.0,36.0,3240.0,36.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.03,0.0,0.03,0.03,0.03
75,Dani Alves,BRA,"DF,MF",Juventus,it Serie A,33.0,1983.0,19.0,15.0,1359.0,15.1,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.13,0.2,0.33,0.13,0.33
76,Diego Alves,BRA,GK,Valencia,es La Liga,31.0,1985.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Ibrahim Amadou,FRA,MF,Lille,fr Ligue 1,23.0,1993.0,35.0,34.0,2952.0,32.8,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03
79,Morgan Amalfitano,FRA,MF,Rennes,fr Ligue 1,31.0,1985.0,6.0,6.0,401.0,4.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
80,Morgan Amalfitano,FRA,"MF,FW",Lille,fr Ligue 1,31.0,1985.0,17.0,8.0,733.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Romain Amalfitano,FRA,MF,Dijon,fr Ligue 1,26.0,1989.0,26.0,15.0,1418.0,15.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Daniel Amartey,GHA,MF,Leicester City,eng Premier League,21.0,1994.0,24.0,17.0,1673.0,18.6,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.11,0.05,0.11
83,Jordi Amat,ESP,DF,Swansea City,eng Premier League,24.0,1992.0,17.0,15.0,1409.0,15.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Kelvin Amian,FRA,DF,Toulouse,fr Ligue 1,18.0,1998.0,22.0,20.0,1776.0,19.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Nadiem Amiri,DEU,"MF,FW",Hoffenheim,de Bundesliga,19.0,1996.0,33.0,20.0,1989.0,22.1,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.09,0.18,0.27,0.09,0.27
86,Fernando Amorebieta,VEN,DF,Sporting Gijón,es La Liga,31.0,1985.0,27.0,26.0,2218.0,24.6,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.04,0.04,0.0,0.04
87,Nordin Amrabat,MAR,"MF,FW",Watford,eng Premier League,29.0,1987.0,29.0,25.0,2091.0,23.2,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.13,0.13,0.0,0.13
88,Jon Ander Serantes,ESP,GK,Leganés,es La Liga,26.0,1989.0,13.0,13.0,1109.0,12.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Felipe Anderson,BRA,"FW,MF",Lazio,it Serie A,23.0,1993.0,36.0,33.0,2908.0,32.3,4.0,8.0,3.0,1.0,1.0,5.0,0.0,0.12,0.25,0.37,0.09,0.34
90,Florin Andone,ROU,FW,La Coruña,es La Liga,23.0,1993.0,37.0,32.0,2893.0,32.1,12.0,2.0,12.0,0.0,0.0,6.0,0.0,0.37,0.06,0.44,0.37,0.44
91,Benjamin André,FRA,MF,Rennes,fr Ligue 1,25.0,1990.0,36.0,36.0,3215.0,35.7,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08,0.08,0.0,0.08
92,Marco Andreolli,ITA,DF,Inter,it Serie A,30.0,1986.0,6.0,4.0,362.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25
93,Yoann Andreu,FRA,DF,Angers,fr Ligue 1,27.0,1989.0,16.0,16.0,1367.0,15.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Victorien Angban,CIV,MF,Granada,es La Liga,19.0,1996.0,10.0,8.0,682.0,7.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Miguel Ángel Guerrero,ESP,FW,Leganés,es La Liga,26.0,1990.0,31.0,25.0,2139.0,23.8,5.0,1.0,4.0,1.0,1.0,3.0,0.0,0.21,0.04,0.25,0.17,0.21
96,José Ángel,ESP,DF,Villarreal,es La Liga,26.0,1989.0,7.0,7.0,630.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14
97,Miguel Ángel Moyá,ESP,GK,Atlético Madrid,es La Liga,32.0,1984.0,9.0,8.0,770.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Gabriele Angella,ITA,"DF,MF",Udinese,it Serie A,27.0,1989.0,14.0,10.0,1017.0,11.3,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09
99,Benjamin Angoua,CIV,DF,Guingamp,fr Ligue 1,29.0,1986.0,7.0,6.0,538.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Victor Anichebe,NGA,"FW,MF",Sunderland,eng Premier League,28.0,1988.0,18.0,14.0,1219.0,13.5,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.22,0.0,0.22,0.22,0.22
101,Cristian Ansaldi,ARG,DF,Inter,it Serie A,29.0,1986.0,21.0,17.0,1500.0,16.7,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.06,0.06,0.0,0.06
102,Luca Antei,ITA,DF,Sassuolo,it Serie A,24.0,1992.0,15.0,11.0,1114.0,12.4,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08
104,Luca Antonelli,ITA,DF,Milan,it Serie A,29.0,1987.0,7.0,3.0,309.0,3.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29
105,Michail Antonio,JAM,"MF,FW",West Ham,eng Premier League,26.0,1990.0,29.0,29.0,2434.0,27.0,9.0,3.0,9.0,0.0,0.0,5.0,2.0,0.33,0.11,0.44,0.33,0.44
106,José Antonio Reyes,ESP,"MF,FW",Espanyol,es La Liga,32.0,1983.0,21.0,10.0,869.0,9.7,3.0,4.0,2.0,1.0,1.0,1.0,0.0,0.31,0.41,0.72,0.21,0.62
107,Ikechi Anya,SYC,"FW,MF",Watford,eng Premier League,28.0,1988.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Siniša Anđelković,SVN,DF,Palermo,it Serie A,30.0,1986.0,22.0,21.0,1836.0,20.4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05
109,Dennis Aogo,DEU,"MF,DF",Schalke 04,de Bundesliga,29.0,1987.0,7.0,3.0,290.0,3.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Houssem Aouar,FRA,FW,Lyon,fr Ligue 1,18.0,1998.0,3.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Carlos Apna Embaló,GNB,"FW,MF",Palermo,it Serie A,21.0,1994.0,12.0,8.0,621.0,6.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
112,Alberto Aquilani,ITA,"MF,FW",Pescara,it Serie A,32.0,1984.0,9.0,6.0,551.0,6.1,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.16,0.16,0.33,0.16,0.33
113,Alberto Aquilani,ITA,MF,Sassuolo,it Serie A,32.0,1984.0,16.0,14.0,1237.0,13.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07
114,Mauro Arambarri,URY,MF,Bordeaux,fr Ligue 1,20.0,1995.0,4.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Mattia Aramu,ITA,FW,Torino,it Serie A,21.0,1995.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Charles Aránguiz,CHL,MF,Leverkusen,de Bundesliga,27.0,1989.0,26.0,22.0,1815.0,20.2,2.0,2.0,1.0,1.0,2.0,8.0,2.0,0.1,0.1,0.2,0.05,0.15
117,Sergio Araujo,ARG,FW,Las Palmas,es La Liga,24.0,1992.0,11.0,5.0,533.0,5.9,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.34,0.17,0.51,0.34,0.51
118,Álvaro Arbeloa,ESP,DF,West Ham,eng Premier League,33.0,1983.0,3.0,1.0,258.0,2.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Anaitz Arbilla,ESP,DF,Eibar,es La Liga,29.0,1987.0,22.0,17.0,1574.0,17.5,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.11,0.11,0.0,0.11
120,Markel Areitio,ESP,GK,Eibar,es La Liga,19.0,1996.0,1.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Alphonse Areola,FRA,GK,Paris S-G,fr Ligue 1,23.0,1993.0,15.0,14.0,1297.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Scott Arfield,CAN,MF,Burnley,eng Premier League,27.0,1988.0,31.0,23.0,2102.0,23.4,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.04,0.09,0.04,0.09
123,Fernando Aristeguieta,VEN,FW,Nantes,fr Ligue 1,24.0,1992.0,5.0,0.0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Sylvain Armand,FRA,DF,Rennes,fr Ligue 1,35.0,1980.0,1.0,0.0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Pablo Armero,COL,DF,Udinese,it Serie A,29.0,1986.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Marko Arnautović,AUT,"MF,FW",Stoke City,eng Premier League,27.0,1989.0,32.0,32.0,2714.0,30.2,6.0,5.0,6.0,0.0,1.0,9.0,1.0,0.2,0.17,0.36,0.2,0.36
127,Maximilian Arnold,DEU,MF,Wolfsburg,de Bundesliga,22.0,1994.0,32.0,28.0,2423.0,26.9,2.0,3.0,2.0,0.0,0.0,9.0,0.0,0.07,0.11,0.19,0.07,0.19
128,Alejandro Arribas,ESP,DF,La Coruña,es La Liga,27.0,1989.0,23.0,20.0,1910.0,21.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Kepa Arrizabalaga,ESP,GK,Athletic Club,es La Liga,21.0,1994.0,23.0,23.0,2015.0,22.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Harry Arter,IRL,MF,Bournemouth,eng Premier League,26.0,1989.0,35.0,33.0,2957.0,32.9,1.0,3.0,1.0,0.0,1.0,12.0,2.0,0.03,0.09,0.12,0.03,0.12
132,Aythami Artiles,ESP,DF,Las Palmas,es La Liga,30.0,1986.0,11.0,8.0,835.0,9.3,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
