,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
35,Jean-Eudes Aholou,Strasbourg,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0
36,Jean-Eudes Aholou,Monaco,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0
37,Joseph Aidoo,Celta Vigo,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1
38,Ola Aina,Fulham,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2
39,Rayan Ait Nouri,Wolves,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0
40,Rayan Ait Nouri,Angers,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0
41,Semi Ajayi,West Brom,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2
42,Ludovic Ajorque,Strasbourg,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0
43,Manuel Akanji,Dortmund,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1
44,Carlos Akapo,Cádiz,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0
45,Marley Ake,Marseille,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0
46,Nathan Ake,Manchester City,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0
47,Paul Akouokou,Betis,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0
48,Jean-Daniel Akpa-Akpro,Lazio,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0
49,Kevin Akpoguma,Hoffenheim,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2
50,David Alaba,Bayern Munich,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0
52,Sofiane Alakouch,Nîmes,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,0
53,Jony Alamo,Elche,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,0
54,Lucas Alario,Leverkusen,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0
55,Jordi Alba,Barcelona,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0
56,Luis Alberto,Lazio,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1
57,Raul Albiol,Villarreal,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,2
58,Marc Albrighton,Leicester City,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1
59,Paco Alcacer,Villarreal,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,0
60,Pedro Alcala,Cádiz,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0
61,Thiago Alcantara,Liverpool,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,0
62,Ruben Alcaraz,Valladolid,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,0
63,Omar Alderete,Hertha BSC,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1
64,Toby Alderweireld,Tottenham,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,0
65,Ivan Alejo,Cádiz,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0
66,Carles Alena,Barcelona,0.5,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
67,Carles Alena,Getafe,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,0
68,Runar Alex Runarsson,Arsenal,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
69,Trent Alexander-Arnold,Liverpool,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3
70,Alfon,Celta Vigo,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
71,Mohamed Ali Cho,Angers,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,0
72,Ezgjan Alioski,Leeds United,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2
73,Rachid Alioui,Angers,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
74,Alisson,Liverpool,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7
75,Saturnin Allagbe,Dijon,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3
76,Allan,Everton,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1
78,Dele Alli,Tottenham,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0
79,Miguel Almiron,Newcastle Utd,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1
80,Marcos Alonso,Chelsea,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0
81,Sergio Alvarez,Eibar,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,2
82,Yeray Alvarez,Athletic Club,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0
83,Bruno Alves,Parma,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,0
84,Steven Alzate,Brighton,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0
85,Ibrahim Amadou,Angers,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0
86,Romain Amalfitano,Dijon,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0
87,Emmanuel Amankwaa Akurugu,Getafe,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0
88,Daniel Amartey,Leicester City,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,0
89,Jordan Amavi,Marseille,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,1
90,Thierry Ambrose,Metz,8.4,7,4,1,1,5,2,12,16.7,10,2,0,2,2,9,4,0
91,Wisdom Amey,Bologna,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
92,Nadiem Amiri,Leverkusen,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0
93,Ethan Ampadu,Sheffield Utd,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3
94,Sofyan Amrabat,Fiorentina,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,0
95,Jon Ander Garrido,Cádiz,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0
96,Joachim Andersen,Fulham,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1
97,Joachim Andersen,Lyon,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,0
98,Djavan Anderson,Lazio,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
99,Elliot Anderson,Newcastle Utd,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
100,Felipe Anderson,West Ham,0.0,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
101,Sebastian Andersson,Köln,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0
102,Nicolas Andrade,Udinese,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
104,Benjamin Andre,Lille,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0
105,Marcos Andre,Valladolid,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0
106,Robert Andrich,Union Berlin,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2
107,Victorien Angban,Metz,18.6,36,24,17,15,4,17,42,40.5,25,17,4,13,19,55,9,1
108,Angel,Granada,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
109,Jose Angel,Eibar,10.0,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,1
110,Miguel Angel Rubio,Valladolid,1.5,0,0,0,0,0,0,0,0.0,0,2,2,0,3,3,11,0
111,Angelino,RB Leipzig,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,0
112,Davide Angelo Ghislandi,Atalanta,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
113,Philip Ankhrah,Hellas Verona,0.1,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
114,Cristian Ansaldi,Torino,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0
115,Waldemar Anton,Stuttgart,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0
116,Michail Antonio,West Ham,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0
117,Jose Antonio Miranda,Getafe,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
118,Valentin Antov,Bologna,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0
119,Houssem Aouar,Lyon,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,0
120,Adil Aouchiche,Saint-Étienne,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0
121,Dennis Appiah,Nantes,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,0
122,Aritz Arambarri,Real Sociedad,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
123,Mauro Arambarri,Getafe,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0
124,Charles Aranguiz,Leverkusen,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0
125,Luiz Araujo,Lille,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0
126,Nestor Araujo,Celta Vigo,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2
127,Ronald Araujo,Barcelona,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1
128,Anaitz Arbilla,Eibar,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,1
130,Alphonse Areola,Fulham,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3
131,Santiago Arias,Leverkusen,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0
132,Karim Aribi,Nîmes,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,0
133,Unai Arietaleanizbeaskoa,Eibar,0.5,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0
134,Nicolo Armini,Lazio,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
135,Stuart Armstrong,Southampton,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0
136,Maximilian Arnold,Wolfsburg,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0
137,Toluwalase Arokodare,Köln,1.2,1,1,0,0,1,0,0,0.0,0,1,0,1,1,2,0,0
138,Sergio Arribas,Real Madrid,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,0
139,Kepa Arrizabalaga,Chelsea,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3
140,Tolgay Arslan,Udinese,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1
141,Kwadwo Asamoah,Cagliari,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1
142,Santiago Ascacibar,Hertha BSC,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0
143,Sergio Asenjo,Villarreal,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,2
144,Marco Asensio,Real Madrid,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,0
145,Kristoffer Askildsen,Sampdoria,1.1,0,0,0,0,0,0,0,0.0,0,2,0,2,3,3,3,0
146,Iago Aspas,Celta Vigo,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0
147,Roger Assale,Dijon,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0
148,Youcef Atal,Nice,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,0
149,Miguel Atienza,Eibar,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,0
150,Pierre-Emerick Aubameyang,Arsenal,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0
151,Emil Audero,Sampdoria,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0
152,Tommaso Augello,Sampdoria,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1
153,Jean-Kevin Augustin,Nantes,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
154,Ludwig Augustinsson,Werder Bremen,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0
156,Serge Aurier,Tottenham,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3
157,Charlie Austin,West Brom,1.5,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,0
158,Ezequiel Avila,Osasuna,2.2,6,2,3,1,2,2,4,50.0,2,1,0,1,1,7,0,0
159,Taiwo Awoniyi,Union Berlin,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,0
160,Mehmet Aydin,Schalke 04,5.6,15,7,9,6,0,4,10,40.0,6,6,1,5,6,21,16,0
161,Jordan Ayew,Crystal Palace,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0
162,Kaan Ayhan,Sassuolo,8.8,15,9,8,5,2,8,13,61.5,5,9,5,4,16,31,33,0
163,Luke Ayling,Leeds United,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5
164,Ramon Azeez,Granada,1.1,1,1,0,1,0,0,0,0.0,0,0,0,0,1,2,1,0
165,Cesar Azpilicueta,Chelsea,24.3,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,2
166,Ludovic Baal,Brest,3.3,6,5,4,1,1,2,5,40.0,3,4,1,3,5,11,5,0
167,Carlos Bacca,Villarreal,8.7,9,5,5,3,1,3,5,60.0,2,5,0,5,3,12,2,0
168,Loic Bade,Lens,29.0,57,34,47,10,0,30,55,54.5,25,43,17,26,74,131,135,2
169,Milan Badelj,Genoa,26.8,56,27,27,22,7,26,84,31.0,58,51,10,41,87,143,45,1
170,Edgar Badia,Elche,30.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,3
171,Benoit Badiashile,Monaco,31.9,24,17,15,9,0,13,28,46.4,15,21,12,9,58,82,102,4
172,Alex Baena,Villarreal,1.5,4,3,1,2,1,1,3,33.3,2,1,1,0,1,5,1,0
173,Miguel Baeza,Celta Vigo,6.0,7,6,5,2,0,5,13,38.5,8,3,0,3,3,10,2,0
174,Stephane Bahoken,Angers,18.0,9,6,1,7,1,4,12,33.3,8,9,0,9,9,18,9,0
175,Leon Bailey,Leverkusen,23.8,14,8,3,7,4,4,15,26.7,11,13,0,13,9,23,3,0
176,Eric Bailly,Manchester Utd,10.2,5,5,3,1,1,0,1,0.0,1,13,11,2,13,18,36,2
177,Stefan Bajic,Saint-Étienne,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
178,Tiemoue Bakayoko,Napoli,21.8,69,41,21,41,7,23,40,57.5,17,24,2,22,36,105,13,2
179,Mitchel Bakker,Paris S-G,18.8,38,30,15,14,9,17,26,65.4,9,22,2,20,22,60,20,0
180,Ridle Baku,Wolfsburg,29.8,50,31,20,20,10,22,53,41.5,31,54,4,50,40,90,33,1
182,Ridle Baku,Mainz 05,2.0,4,2,3,1,0,2,6,33.3,4,3,1,2,3,7,6,0
183,Dilane Bakwa,Bordeaux,0.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0
184,Fabian Balbuena,West Ham,13.3,24,12,23,1,0,14,23,60.9,9,23,6,17,25,49,63,0
185,Keita Balde,Sampdoria,13.3,9,6,2,6,1,4,10,40.0,6,10,1,9,0,9,3,0
186,George Baldock,Sheffield Utd,31.0,47,34,28,14,5,21,50,42.0,29,26,7,19,25,72,70,1
187,Gareth Bale,Tottenham,10.2,17,10,4,9,4,7,14,50.0,7,13,2,11,8,25,16,0
188,Mikel Balenziaga,Athletic Club,18.8,26,15,11,12,3,9,18,50.0,9,22,7,15,7,33,46,0
189,Leonardo Balerdi,Marseille,18.2,29,18,19,7,3,14,31,45.2,17,17,9,8,28,57,65,3
190,Fode Ballo-Toure,Monaco,7.4,21,17,9,11,1,6,13,46.2,7,7,0,7,6,27,11,1
191,Botond Balogh,Parma,1.8,9,7,9,0,0,2,5,40.0,3,4,3,1,2,11,8,0
192,Abdoulaye Bamba,Angers,15.0,27,17,19,7,1,19,28,67.9,9,7,1,6,19,46,34,0
193,Jonathan Bamba,Lille,33.2,45,23,15,19,11,24,84,28.6,60,24,2,22,24,69,15,0
194,Robson Bambu,Nice,11.6,16,11,14,2,0,11,14,78.6,3,8,7,1,10,26,57,0
195,Patrick Bamford,Leeds United,33.9,21,9,2,11,8,8,27,29.6,19,14,4,10,10,31,37,0
196,Mattia Bani,Genoa,10.2,10,5,5,5,0,5,12,41.7,7,16,11,5,27,37,44,0
197,Mattia Bani,Parma,12.7,20,11,15,4,1,4,8,50.0,4,10,6,4,33,53,50,0
198,Simon Banza,Lens,15.2,13,6,0,4,9,1,14,7.1,13,16,1,15,7,20,15,0
199,Antonin Barak,Hellas Verona,30.7,30,19,8,16,6,14,47,29.8,33,26,7,19,12,42,38,1
200,Federico Barba,Benevento,29.5,31,16,22,8,1,21,35,60.0,14,39,18,21,48,79,94,4
201,Danilo Barbosa,Nice,2.8,6,3,5,1,0,4,6,66.7,2,2,1,1,2,8,11,2
202,Barcia,Granada,1.0,1,1,1,0,0,0,0,0.0,0,1,1,0,3,4,9,0
203,Melvin Bard,Lyon,4.8,12,8,7,4,1,6,11,54.5,5,10,2,8,6,18,14,0
204,Enis Bardhi,Levante,18.7,28,12,8,16,4,10,36,27.8,26,8,2,6,21,49,14,0
205,Phil Bardsley,Burnley,3.0,6,5,4,2,0,3,6,50.0,3,3,1,2,6,12,12,0
206,Nicolo Barella,Inter,32.2,58,31,23,29,6,23,72,31.9,49,29,4,25,26,84,14,0
208,Philipp Bargfrede,Werder Bremen,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
209,Kike Barja,Osasuna,15.9,10,5,6,1,3,5,24,20.8,19,10,1,9,16,26,8,0
210,Ross Barkley,Aston Villa,17.0,6,2,2,4,0,3,15,20.0,12,9,1,8,5,11,6,1
211,Ross Barkley,Chelsea,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
212,Aymen Barkok,Eint Frankfurt,10.9,29,15,11,9,9,10,31,32.3,21,15,1,14,10,39,9,1
213,Ashley Barnes,Burnley,14.8,12,6,2,6,4,3,13,23.1,10,14,2,12,5,17,11,0
214,Harvey Barnes,Leicester City,21.6,19,9,11,3,5,5,22,22.7,17,16,3,13,8,27,11,0
215,Marc Baro,Cádiz,1.0,2,1,2,0,0,0,2,0.0,2,1,0,1,2,4,2,1
216,Antonio Barragan,Elche,24.8,28,14,21,5,2,12,21,57.1,9,22,8,14,33,61,67,1
217,Antonio Barreca,Fiorentina,0.9,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
218,Leandro Barreiro Martins,Mainz 05,25.6,58,32,19,26,13,20,50,40.0,30,34,9,25,57,115,55,0
219,Ander Barrenetxea,Real Sociedad,14.5,29,19,5,18,6,9,24,37.5,15,20,0,20,6,35,8,0
220,Jacob Barrett Laursen,Arminia,12.3,23,12,13,8,2,10,16,62.5,6,14,4,10,24,47,37,0
221,Musa Barrow,Bologna,32.5,26,10,8,10,8,10,25,40.0,15,37,2,35,11,37,15,0
222,Kyle Bartley,West Brom,28.7,27,16,14,10,3,11,23,47.8,12,50,35,15,38,65,159,1
223,Paolo Bartolomei,Spezia,3.6,6,2,3,1,2,4,7,57.1,3,1,0,1,1,7,2,0
224,Marc Bartra,Betis,18.8,27,16,18,8,1,12,22,54.5,10,19,5,14,40,67,74,3
225,Daniele Baselli,Torino,4.4,12,7,3,6,3,6,10,60.0,4,2,0,2,9,21,5,0
226,Chris Basham,Sheffield Utd,28.6,69,42,41,23,5,41,67,61.2,26,36,15,21,49,118,105,1
227,Toma Basic,Bordeaux,28.9,33,22,15,16,2,16,58,27.6,42,21,5,16,32,65,42,1
228,Alvaro Bastida,Cádiz,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
229,Alessandro Bastoni,Inter,32.5,36,22,13,21,2,17,27,63.0,10,34,16,18,40,76,75,0
230,Simone Bastoni,Spezia,16.9,50,29,26,22,2,27,52,51.9,25,19,1,18,16,66,31,0
231,Bastos,Lazio,0.7,3,1,2,0,1,3,5,60.0,2,1,0,1,0,3,3,0
232,Michy Batshuayi,Crystal Palace,8.1,5,3,1,2,2,1,9,11.1,8,5,1,4,4,9,5,0
234,Rodrigo Battaglia,Alavés,27.7,38,16,21,14,3,16,50,32.0,34,30,14,16,29,67,40,1
235,Cristian Battocchio,Brest,3.9,5,2,1,4,0,2,9,22.2,7,0,0,0,4,9,5,0
236,Oliver Baumann,Hoffenheim,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,14,0
237,Julian Baumgartlinger,Leverkusen,11.9,43,20,14,26,3,16,31,51.6,15,12,0,12,12,55,10,1
238,Christoph Baumgartner,Hoffenheim,26.3,44,31,13,24,7,14,51,27.5,37,40,8,32,24,68,24,0
239,Jon Bautista,Real Sociedad,4.1,5,3,0,2,3,0,3,0.0,3,3,1,2,2,7,4,0
240,Paul Baysse,Bordeaux,29.0,35,18,21,13,1,16,21,76.2,5,33,24,9,52,87,123,1
241,Noah Joel Sarenren Bazee,Augsburg,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
242,Ihlas Bebou,Hoffenheim,24.4,24,9,5,10,9,8,14,57.1,6,18,4,14,17,41,16,0
243,Rodrigo Becao,Udinese,30.9,59,33,36,20,3,27,49,55.1,22,48,27,21,68,127,94,2
244,Sheraldo Becker,Union Berlin,12.3,5,4,2,2,1,3,5,60.0,2,4,0,4,6,11,7,0
245,Timo Becker,Schalke 04,18.2,34,23,28,6,0,16,25,64.0,9,18,4,14,22,56,58,0
246,Jan Bednarek,Southampton,34.4,37,19,25,11,1,25,49,51.0,24,44,27,17,84,121,132,0
247,Donny van de Beek,Manchester Utd,5.8,15,10,2,11,2,7,15,46.7,8,10,1,9,6,21,7,0
248,Valon Behrami,Genoa,9.9,21,9,9,10,2,9,26,34.6,17,13,5,8,9,30,13,0
249,Brian Behrendt,Arminia,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
250,Maximilian Beier,Hoffenheim,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
251,Ishak Belfodil,Hoffenheim,6.6,3,2,0,0,3,0,2,0.0,2,1,0,1,1,4,3,0
252,Erwan Belhadji,Dijon,0.3,3,0,3,0,0,3,5,60.0,2,1,0,1,0,3,0,0
253,Haris Belkebla,Brest,30.3,69,39,32,28,9,31,66,47.0,35,26,5,21,57,126,34,0
254,Stefan Bell,Mainz 05,14.1,24,18,15,9,0,14,23,60.9,9,19,11,8,27,51,76,1
255,Karim Bellarabi,Leverkusen,8.9,12,10,3,4,5,4,17,23.5,13,12,0,12,12,24,4,0
