,Player,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
856,Moussa Djenepo,18,928,52,27.1,10.3,10,74,4,8,23,3,1.28,15,13,+2,+0.19,+0.59,17.9,12.2,+5.6,+0.55,+0.63
858,Koffi Djidji,17,851,50,24.9,9.5,9,81,5,8,15,18,1.18,10,22,-12,-1.27,-0.92,9.9,20.2,-10.2,-1.08,-0.88
859,Alexander Djiku,25,2064,83,84.9,22.9,23,88,22,2,19,1,1.52,29,24,+5,+0.22,+1.45,30.5,27.2,+3.3,+0.14,+0.46
860,Berat Djimsiti,34,2783,82,81.4,30.9,32,84,24,2,45,3,2.00,77,38,+39,+1.26,-0.29,66.1,31.6,+34.5,+1.12,+0.03
864,Matt Doherty,36,2839,79,83.0,31.5,32,85,26,4,31,1,1.64,45,31,+14,+0.44,+0.91,46.9,29.5,+17.4,+0.55,+0.76
865,Kasper Dolberg,23,1888,82,74.9,21.0,22,85,14,1,16,0,1.39,32,27,+5,+0.24,+0.52,26.1,32.7,-6.6,-0.31,-0.08
866,Keagan Dolly,6,148,25,5.9,1.6,1,95,1,5,11,4,1.17,0,2,-2,-1.22,-1.33,2.6,1.3,+1.3,+0.80,+0.83
867,Jaume Domenech,15,1324,88,38.7,14.7,14,90,14,1,64,23,1.27,19,23,-4,-0.27,-0.14,17.0,22.1,-5.1,-0.35,-0.02
869,Nicolas Dominguez,16,699,44,20.4,7.8,7,74,1,9,20,4,0.94,8,11,-3,-0.39,-0.06,8.0,10.6,-2.7,-0.34,-0.50
871,Ji Dong-won,4,102,26,3.3,1.1,1,55,0,3,16,9,1.25,0,2,-2,-1.76,-1.19,0.6,1.8,-1.2,-1.09,-0.78
872,Anastasios Donis,15,609,41,24.2,6.8,6,66,0,9,23,4,1.33,5,5,0,0.00,-0.24,8.5,6.2,+2.3,+0.33,+0.34
873,Alfredo Donnarumma,31,1684,54,49.2,18.7,20,75,9,11,17,4,0.71,19,43,-24,-1.28,-0.25,21.8,34.7,-12.9,-0.69,+0.26
876,Gabriel Dos Santos,24,2087,87,82.8,23.2,23,89,22,1,31,1,1.88,30,21,+9,+0.39,+0.60,34.4,25.1,+9.2,+0.40,+0.48
877,Mathieu Dossevi,26,1751,67,69.5,19.5,20,80,7,6,26,0,0.50,16,36,-20,-1.03,+0.84,22.2,30.4,-8.2,-0.42,+0.24
878,Bas Dost,24,1475,61,48.2,16.4,16,81,8,8,23,0,1.50,31,26,+5,+0.31,+0.65,30.9,23.4,+7.5,+0.46,+0.34
879,Abdoulaye Doucoure,37,3156,85,92.3,35.1,36,86,25,1,45,0,0.89,33,61,-28,-0.80,-0.80,45.3,52.0,-6.7,-0.19,+0.68
881,Moussa Doumbia,26,1718,66,68.2,19.1,22,75,3,4,15,0,1.50,15,13,+2,+0.10,-0.23,20.4,18.5,+1.9,+0.10,+0.07
886,Mohamed Drager,18,1455,81,47.5,16.2,16,85,10,2,47,15,0.33,17,42,-25,-1.55,-0.87,17.2,34.9,-17.7,-1.09,-0.51
887,Aleksandar Dragovic,15,1029,69,33.6,11.4,10,85,7,5,35,17,1.87,18,17,+1,+0.09,-0.62,19.9,17.0,+2.9,+0.25,+0.03
889,Julian Draxler,11,686,62,28.2,7.6,7,83,4,4,26,6,2.27,20,10,+10,+1.31,-0.80,18.3,7.7,+10.6,+1.38,-0.71
890,Dominick Drexler,27,1587,59,51.9,17.6,18,78,11,9,21,4,1.04,19,40,-21,-1.19,-1.37,23.5,30.1,-6.5,-0.37,-0.50
895,Josip Drmic,21,647,31,18.9,7.2,5,73,1,16,18,4,0.43,1,11,-10,-1.39,-0.13,7.2,10.8,-3.7,-0.51,+0.33
896,Domingos Duarte,36,3087,86,90.3,34.3,34,89,32,2,39,1,1.47,46,40,+6,+0.17,-0.10,37.8,38.9,-1.1,-0.03,-0.95
897,Leo Duarte,6,405,68,11.8,4.5,4,90,4,2,23,9,1.50,5,6,-1,-0.22,-0.76,5.3,5.6,-0.2,-0.06,-0.59
898,Oscar Duarte,8,485,61,14.2,5.4,5,85,3,3,20,18,1.50,6,13,-7,-1.30,-1.33,7.5,11.7,-4.3,-0.79,-0.47
899,Ruben Duarte,31,2663,86,77.9,29.6,30,88,28,1,29,1,1.13,32,37,-5,-0.17,+2.21,34.6,38.9,-4.3,-0.15,+1.54
902,Leo Dubois,16,1346,84,53.4,15.0,15,89,14,1,17,0,1.63,24,12,+12,+0.80,+0.57,19.4,14.3,+5.1,+0.35,-0.07
904,Ondrej Duda,10,724,72,21.2,8.0,9,79,3,1,11,3,0.70,3,9,-6,-0.75,+0.69,9.6,12.0,-2.4,-0.30,+0.61
905,Ondrej Duda,7,447,64,14.6,5.0,6,67,1,1,45,6,0.71,6,8,-2,-0.40,-0.09,7.3,8.1,-0.9,-0.17,+0.19
906,Shane Duffy,19,1238,65,36.2,13.8,12,90,12,7,23,13,1.16,13,18,-5,-0.36,+0.05,14.6,18.5,-3.9,-0.29,-0.06
908,Haris Duljevic,14,520,37,20.6,5.8,5,70,1,9,19,3,0.71,9,11,-2,-0.35,+0.24,7.5,8.5,-1.0,-0.17,+0.26
912,Paul Dummett,16,1228,77,35.9,13.6,14,82,11,2,38,3,1.38,14,20,-6,-0.44,+0.14,10.7,21.0,-10.4,-0.76,+0.05
913,Alfred Duncan,13,887,68,25.9,9.9,10,80,5,3,29,1,1.77,19,6,+13,+1.32,+1.67,17.0,11.3,+5.7,+0.57,+0.61
914,Alfred Duncan,13,843,65,24.6,9.4,10,80,4,3,15,5,1.08,19,20,-1,-0.11,-0.35,11.5,16.7,-5.3,-0.56,-0.43
917,Erik Durm,9,511,57,16.7,5.7,6,80,2,3,10,20,0.56,5,7,-2,-0.35,-0.39,7.7,7.3,+0.3,+0.06,-0.27
918,Riza Durmisi,4,160,40,6.3,1.8,2,71,0,2,9,3,1.50,1,3,-2,-1.13,-1.32,0.9,2.8,-2.0,-1.11,-0.87
919,Hugo Duro,12,378,32,11.1,4.2,4,70,0,8,12,5,1.25,3,8,-5,-1.19,-1.52,4.7,6.4,-1.7,-0.39,-0.45
920,Jean-Kevin Duverne,14,1178,84,46.7,13.1,13,90,13,1,7,6,1.36,18,18,0,0.00,+0.20,17.2,17.9,-0.7,-0.05,+0.89
921,Paulo Dybala,33,2155,65,63.0,23.9,25,77,7,8,28,2,2.39,51,22,+29,+1.21,+0.93,45.1,24.8,+20.4,+0.85,+0.44
922,Edin Dzeko,35,2854,82,83.5,31.7,31,89,27,4,25,3,1.74,60,43,+17,+0.54,-0.90,63.1,41.6,+21.5,+0.68,+0.30
923,Blerim Dzemaili,14,698,50,20.4,7.8,8,76,4,6,15,4,1.29,13,18,-5,-0.64,-0.38,9.7,13.2,-3.4,-0.44,-0.62
926,Simone Edera,13,398,31,11.6,4.4,4,67,0,9,15,13,0.85,3,12,-9,-2.04,-1.65,5.3,6.9,-1.6,-0.35,+0.08
929,Johannes Eggestein,14,510,36,16.7,5.7,4,78,1,10,20,10,0.43,5,13,-8,-1.41,-0.74,8.1,8.7,-0.6,-0.10,+0.44
931,Kingsley Ehizibue,31,2329,75,76.1,25.9,29,78,18,2,27,1,1.06,36,46,-10,-0.39,+0.60,34.9,36.3,-1.4,-0.05,+0.32
932,Albin Ekdal,32,2385,75,69.7,26.5,27,84,21,5,24,1,1.28,37,40,-3,-0.11,+1.10,34.9,33.2,+1.7,+0.07,+0.63
937,Elif Elmas,26,1134,44,33.2,12.6,12,77,4,14,15,11,2.04,25,16,+9,+0.71,+0.64,18.3,13.3,+5.0,+0.40,-0.07
939,Ahmed Elmohamady,18,1031,57,30.1,11.5,11,81,9,7,19,14,0.89,11,28,-17,-1.48,-1.14,12.4,24.5,-12.1,-1.06,-0.63
940,Aritz Elustondo,22,1510,69,44.2,16.8,17,83,13,5,21,0,1.41,27,21,+6,+0.36,+0.26,22.3,17.4,+4.9,+0.29,+0.25
941,Nico Elvedi,32,2618,82,85.6,29.1,30,85,25,2,35,0,1.94,57,34,+23,+0.79,+0.18,62.4,38.3,+24.1,+0.83,+0.43
942,Rodrigo Ely,25,2121,85,62.0,23.6,24,87,19,1,45,5,1.00,18,32,-14,-0.59,+0.17,22.9,33.4,-10.6,-0.45,+0.10
943,Adri Embarba,18,1371,76,40.1,15.2,17,79,6,1,34,0,0.61,11,18,-7,-0.46,+0.59,14.8,18.6,-3.8,-0.25,+0.13
944,Breel Embolo,28,1550,55,50.7,17.2,17,76,5,11,24,1,1.86,35,19,+16,+0.93,+0.33,35.9,22.8,+13.1,+0.76,-0.01
945,Emerson,33,2839,86,83.0,31.5,32,88,29,1,21,1,1.12,39,49,-10,-0.32,-0.01,40.1,46.0,-5.8,-0.19,-0.51
946,Renaud Emond,6,292,49,11.6,3.2,3,71,1,3,26,0,0.67,5,3,+2,+0.62,+0.82,3.1,3.4,-0.3,-0.09,-0.05
947,Alan Empereur,13,855,66,25.0,9.5,8,88,7,5,31,19,1.08,15,18,-3,-0.32,-0.28,10.8,16.6,-5.9,-0.62,-0.71
948,Youssef En-Nesyri,18,1385,77,40.5,15.4,15,87,13,3,27,0,0.61,14,27,-13,-0.84,-0.49,16.9,23.7,-6.8,-0.44,-0.62
949,Youssef En-Nesyri,18,796,44,23.3,8.8,7,81,2,11,21,1,1.78,13,9,+4,+0.45,-0.10,10.7,9.9,+0.7,+0.08,-0.48
951,Bjorn Engels,17,1447,85,42.3,16.1,15,89,14,2,57,4,0.65,20,32,-12,-0.75,-0.11,21.7,32.9,-11.2,-0.70,-0.14
952,Sergi Enrich,30,1865,62,54.5,20.7,21,79,7,9,23,1,1.03,18,28,-10,-0.48,-0.08,21.3,28.3,-6.9,-0.33,-0.10
954,Javier Eraso,20,815,41,23.8,9.1,11,61,1,9,16,13,0.90,1,11,-10,-1.10,-0.72,6.7,7.5,-0.8,-0.09,-0.01
955,Christian Eriksen,20,1097,55,32.1,12.2,10,87,6,10,22,3,1.30,20,18,+2,+0.16,-0.30,14.1,18.2,-4.1,-0.34,-0.26
956,Christian Eriksen,17,703,41,20.6,7.8,8,73,2,9,14,0,2.00,14,5,+9,+1.15,-0.04,17.1,7.0,+10.1,+1.29,+0.67
958,Gonzalo Escalante,23,1674,73,48.9,18.6,18,86,14,5,25,2,1.17,20,31,-11,-0.59,-0.28,21.0,28.6,-7.6,-0.41,-0.23
960,Sergio Escudero,11,773,70,22.6,8.6,8,81,6,3,42,20,1.55,13,11,+2,+0.23,-0.38,12.0,8.8,+3.2,+0.37,-0.11
963,Sebastiano Esposito,7,199,28,5.8,2.2,2,74,1,5,10,25,2.38,8,1,+7,+3.17,+2.10,4.8,1.9,+3.0,+1.35,+0.63
966,Alexander Esswein,7,213,30,7.0,2.4,1,45,0,6,28,4,1.00,1,5,-4,-1.69,-1.47,2.6,4.6,-1.9,-0.81,-0.51
967,Pervis Estupinan,36,2979,83,87.1,33.1,32,90,30,4,26,1,1.33,41,48,-7,-0.21,-0.01,43.4,43.9,-0.5,-0.02,-0.13
968,Oghenekaro Etebo,10,572,57,16.7,6.4,6,73,1,4,33,0,1.50,7,6,+1,+0.16,0.00,7.4,5.8,+1.6,+0.26,+0.31
970,Benat Etxebarria,11,394,36,11.5,4.4,3,75,1,8,21,7,1.36,4,3,+1,+0.23,+0.17,5.9,5.2,+0.8,+0.18,+0.42
971,Xabier Etxeita,17,1446,85,42.3,16.1,16,88,15,1,45,13,1.65,20,14,+6,+0.37,+0.37,16.8,18.3,-1.5,-0.09,-0.17
972,Antony Evans,6,156,26,5.1,1.7,2,64,0,4,7,5,0.33,2,6,-4,-2.31,-1.28,2.2,4.9,-2.7,-1.54,-0.75
974,Edu Exposito,35,2316,66,67.7,25.7,24,87,19,11,21,3,1.09,29,34,-5,-0.19,+0.78,29.6,33.8,-4.3,-0.17,+0.38
975,Valentin Eysseric,6,353,59,10.3,3.9,3,88,1,3,30,6,0.83,5,8,-3,-0.76,-0.74,6.2,4.6,+1.6,+0.42,+0.56
980,Fabinho,28,2079,74,60.8,23.1,22,89,21,6,22,2,2.46,50,26,+24,+1.04,-0.84,41.0,25.8,+15.2,+0.66,-0.41
982,Cesc Fabregas,18,930,52,36.9,10.3,12,72,2,6,11,5,1.56,22,21,+1,+0.10,+0.15,19.5,17.7,+1.8,+0.17,-0.07
986,Faycal Fajr,10,403,40,11.8,4.5,5,74,2,5,6,10,0.90,4,6,-2,-0.45,-0.69,2.8,5.6,-2.8,-0.62,-0.71
989,Filippo Falco,30,2014,67,58.9,22.4,24,75,12,6,35,2,1.00,32,43,-11,-0.49,+0.92,32.5,45.7,-13.2,-0.59,+0.54
993,Iago Falque,4,102,26,3.0,1.1,1,45,0,3,19,5,0.50,0,3,-3,-2.65,-2.13,0.9,1.9,-1.0,-0.91,-0.50
994,Iago Falque,10,519,52,15.2,5.8,6,67,1,4,30,4,1.10,8,10,-2,-0.35,+0.40,8.1,6.4,+1.7,+0.30,+0.70
997,Paolo Farago,21,1343,64,39.3,14.9,14,84,12,7,24,5,0.90,20,26,-6,-0.40,-0.49,17.0,22.9,-5.8,-0.39,+0.10
999,Mohamed Fares,8,421,53,12.3,4.7,5,66,1,3,30,3,0.63,3,9,-6,-1.28,+0.04,3.2,9.2,-6.0,-1.30,-0.64
1000,Diego Farias,18,824,46,24.1,9.2,7,68,3,11,31,1,0.78,15,19,-4,-0.44,+0.57,15.8,18.9,-3.1,-0.34,+0.62
1001,Ansu Fati,24,1027,43,30.0,11.4,11,71,1,13,19,9,2.04,27,14,+13,+1.14,-0.18,22.3,11.3,+11.0,+0.96,+0.32
1003,Andrea Favilli,20,658,33,19.2,7.3,7,64,0,13,16,13,0.70,5,11,-6,-0.82,-0.17,10.3,11.1,-0.9,-0.12,+0.22
1004,Federico Fazio,16,1213,76,35.5,13.5,14,82,10,2,33,14,1.81,29,20,+9,+0.67,-0.03,24.7,17.5,+7.2,+0.53,-0.14
1005,Aleix Febas,29,1690,58,49.4,18.8,22,70,5,7,20,9,0.97,20,32,-12,-0.64,+0.04,23.6,32.2,-8.6,-0.46,+0.26
1006,Zouhair Feddal,17,1431,84,41.8,15.9,16,87,13,1,45,8,1.05,23,30,-7,-0.44,-0.21,21.9,24.4,-2.6,-0.16,-0.11
1007,Ljubomir Fejsa,13,786,60,23.0,8.7,11,68,4,2,17,4,0.92,4,16,-12,-1.37,-0.93,6.8,14.5,-7.6,-0.88,-0.51
1008,Nabil Fekir,32,2638,82,77.1,29.3,31,84,19,1,34,0,0.94,33,49,-16,-0.55,-1.01,38.2,42.3,-4.1,-0.14,-0.18
1009,Felipe,25,2102,84,61.5,23.4,23,90,23,2,16,6,1.68,31,20,+11,+0.47,-0.42,36.8,20.8,+16.0,+0.68,+0.11
1010,Luiz Felipe,26,2024,78,59.2,22.5,24,82,17,2,29,5,2.15,48,23,+25,+1.11,+0.34,42.6,31.8,+10.9,+0.48,+0.10
1012,Joao Felix,27,1745,65,51.0,19.4,21,75,4,6,29,0,1.85,22,7,+15,+0.77,+0.29,30.6,14.9,+15.7,+0.81,+0.35
1014,Ohis Felix Uduokhai,26,1966,76,64.2,21.8,21,90,21,5,15,6,1.15,21,39,-18,-0.82,-0.82,24.0,34.8,-10.8,-0.49,-0.27
1016,Kiko Femenia,28,2237,80,65.4,24.9,26,85,20,2,18,3,0.86,23,46,-23,-0.93,-0.54,32.4,40.7,-8.3,-0.33,-0.26
1017,Zinedine Ferhat,26,2246,86,89.1,25.0,25,89,21,1,26,0,0.96,26,41,-15,-0.60,-0.60,28.4,36.9,-8.5,-0.34,+0.36
1019,Edimilson Fernandes,24,1484,62,48.5,16.5,18,78,10,6,13,3,1.08,22,32,-10,-0.61,+0.02,23.5,30.9,-7.4,-0.45,-0.21
1021,Gelson Fernandes,11,775,70,25.3,8.6,10,76,5,1,14,9,1.55,17,15,+2,+0.23,+0.35,14.8,13.2,+1.7,+0.19,-0.12
1022,Matheus Fernandes,3,166,55,4.9,1.8,2,82,1,1,2,4,1.00,1,3,-2,-1.08,-0.84,2.3,3.9,-1.5,-0.83,-0.37
1025,Carlos Fernandez,34,2201,65,64.4,24.5,21,86,15,13,30,2,1.59,39,25,+14,+0.57,+1.09,31.2,26.6,+4.7,+0.19,+0.36
1026,Federico Fernandez,32,2620,82,76.6,29.1,29,89,28,3,9,4,1.25,33,42,-9,-0.31,+0.93,30.0,51.8,-21.8,-0.75,+0.18
1027,Gabriel Fernandez,20,561,28,16.4,6.2,5,76,1,15,12,14,0.55,3,10,-7,-1.12,-0.97,6.1,7.0,-0.9,-0.15,+0.01
1028,Joaquin Fernandez,20,1659,83,48.5,18.4,19,86,16,1,27,8,1.15,16,22,-6,-0.33,-0.07,17.7,23.0,-5.3,-0.29,+0.36
1029,Fernandinho,30,2397,80,70.1,26.6,26,87,21,4,35,6,2.07,63,26,+37,+1.39,-1.25,60.0,26.9,+33.0,+1.24,-0.76
1030,Fernando,34,2659,78,77.7,29.5,30,86,27,4,19,0,1.82,41,28,+13,+0.44,-0.39,42.2,26.4,+15.8,+0.54,+0.38
1031,Juan Ferney Otero,18,1202,67,47.7,13.4,14,75,6,4,37,4,0.94,15,20,-5,-0.37,+0.58,13.6,16.6,-3.0,-0.23,+0.38
1032,Alex Ferrari,12,1005,84,29.4,11.2,11,88,10,1,37,7,1.17,11,13,-2,-0.18,+0.38,14.9,8.6,+6.3,+0.56,+0.97
1033,Facundo Ferreyra,16,574,36,16.8,6.4,5,79,1,11,16,0,0.81,5,9,-4,-0.63,+0.23,6.3,9.5,-3.2,-0.50,-0.20
1034,Jordan Ferri,16,1150,72,45.6,12.8,13,83,7,3,22,0,1.31,13,17,-4,-0.31,-0.64,16.4,17.7,-1.3,-0.10,-0.23
1036,Oliver Fink,14,675,48,22.1,7.5,8,75,2,6,13,7,0.93,9,18,-9,-1.20,-0.37,8.3,16.2,-7.9,-1.05,-0.42
1037,Alfred Finnbogason,21,966,46,31.6,10.7,10,77,3,11,18,1,0.90,12,16,-4,-0.37,+0.23,13.7,15.8,-2.0,-0.19,+0.30
1038,Roberto Firmino,38,2988,79,87.4,33.2,34,84,14,4,33,0,2.61,75,26,+49,+1.48,+0.85,62.2,31.9,+30.3,+0.91,+0.74
1040,Junior Firpo,17,1014,60,29.6,11.3,11,82,8,6,19,11,2.53,29,11,+18,+1.60,+0.48,19.8,10.9,+9.0,+0.80,+0.08
1041,John Fleck,30,2516,84,73.6,28.0,28,87,26,2,38,0,1.30,26,30,-4,-0.14,-0.54,32.0,40.6,-8.6,-0.31,-0.37
1044,Sergio Floccari,24,942,39,27.5,10.5,9,75,4,15,18,10,0.38,5,21,-16,-1.53,-0.29,10.9,16.9,-6.0,-0.57,+0.22
1045,Alessandro Florenzi,14,997,71,29.2,11.1,12,82,5,2,8,5,1.79,21,15,+6,+0.54,-0.20,20.0,14.9,+5.2,+0.47,-0.23
1046,Alessandro Florenzi,12,752,63,22.0,8.4,9,75,3,3,25,3,1.17,4,8,-4,-0.48,-0.38,6.1,9.7,-3.6,-0.44,-0.13
1047,Phil Foden,23,901,39,26.3,10.0,9,76,4,14,16,13,2.65,34,7,+27,+2.70,+1.27,21.8,9.3,+12.5,+1.25,-0.30
1048,Mamadou Fofana,20,1587,79,63.0,17.6,18,87,15,2,13,8,1.20,15,23,-8,-0.45,-0.45,17.3,23.1,-5.8,-0.33,+0.17
1049,Seko Fofana,32,2249,70,65.8,25.0,24,84,14,8,29,6,1.13,25,30,-5,-0.20,+0.49,27.5,29.1,-1.7,-0.07,+0.71
1050,Wesley Fofana,14,1215,87,48.2,13.5,13,90,13,1,45,2,1.00,16,24,-8,-0.59,-0.04,17.0,20.7,-3.8,-0.28,-0.03
1051,Youssouf Fofana,13,1008,78,41.5,11.2,12,83,9,1,16,0,1.69,17,13,+4,+0.36,+0.61,15.2,12.0,+3.2,+0.29,+0.36
1054,Lamine Fomba,20,1373,69,54.5,15.3,15,84,9,5,23,4,1.15,10,27,-17,-1.11,-1.27,12.6,23.1,-10.5,-0.69,-0.68
1058,Pablo Fornals,36,2172,60,63.5,24.1,24,79,7,12,24,1,1.08,34,35,-1,-0.04,+0.82,31.6,37.8,-6.3,-0.26,+0.39
1059,Emil Forsberg,22,1141,52,37.3,12.7,14,71,4,8,19,8,1.73,19,20,-1,-0.08,-2.19,21.4,18.7,+2.8,+0.22,-1.18
1061,Hernani Fortes,20,654,33,19.1,7.3,5,72,1,15,20,11,0.85,8,9,-1,-0.14,+0.03,11.0,12.9,-1.9,-0.26,+0.16
1063,Lyle Foster,2,62,31,2.5,0.7,1,46,0,1,16,0,0.00,0,2,-2,-2.90,-2.98,0.6,0.7,-0.1,-0.12,-0.35
1064,Timothy Fosu-Mensah,3,136,45,4.0,1.5,2,68,1,1,1,0,2.33,3,1,+2,+1.32,+0.56,2.7,1.7,+1.1,+0.72,+0.08
1066,Dimitri Foulquier,3,59,20,1.7,0.7,1,32,0,2,14,6,0.33,0,6,-6,-9.15,-8.56,0.3,3.6,-3.3,-5.02,-4.86
1067,Dimitri Foulquier,17,1119,66,32.7,12.4,12,83,10,5,24,1,1.53,15,12,+3,+0.24,+0.08,12.8,12.1,+0.7,+0.06,0.00
1068,Juan Foyth,4,68,17,2.0,0.8,1,45,0,3,8,7,1.50,0,3,-3,-3.97,-4.43,0.9,0.6,+0.2,+0.27,+0.45
1070,Raphael Framberger,18,1175,65,38.4,13.1,12,83,10,6,30,4,1.28,18,16,+2,+0.15,+1.11,16.7,19.0,-2.3,-0.18,+0.36
1071,Simon Francis,15,969,65,28.3,10.8,10,85,9,5,25,4,0.67,7,21,-14,-1.30,-0.90,10.5,20.1,-9.6,-0.89,-0.60
1072,Mike Frantz,18,350,19,11.4,3.9,3,51,0,15,13,8,1.67,9,2,+7,+1.80,+2.00,6.9,6.8,+0.1,+0.03,+0.62
1073,Ryan Fraser,28,2067,74,60.4,23.0,21,88,19,7,30,0,0.93,22,34,-12,-0.52,+0.34,26.6,38.7,-12.1,-0.53,-0.17
1074,Fred,29,2163,75,63.2,24.0,23,88,21,6,22,5,1.66,35,26,+9,+0.37,-1.13,39.1,25.4,+13.7,+0.57,-0.21
1076,Ryan Fredericks,27,2237,83,65.4,24.9,25,88,23,2,15,1,1.11,35,39,-4,-0.16,+0.52,32.8,42.0,-9.3,-0.37,+0.08
1078,Luke Freeman,11,366,33,10.7,4.1,3,73,1,8,18,13,1.27,5,5,0,0.00,0.00,5.5,4.1,+1.5,+0.36,+0.64
1079,Remo Freuler,31,2337,75,68.3,26.0,28,81,18,3,27,7,2.13,65,31,+34,+1.31,-0.02,54.5,30.2,+24.3,+0.94,-0.56
1081,Marco Friedl,27,2183,81,71.3,24.3,24,87,19,3,29,6,1.04,29,47,-18,-0.74,+0.18,27.8,37.7,-9.9,-0.41,+0.22
1083,Samuel Fridjonsson,5,192,38,6.3,2.1,2,81,1,3,10,6,0.00,1,5,-4,-1.87,-0.84,1.8,4.1,-2.3,-1.07,-0.26
1085,Christian Fuchs,11,772,70,22.6,8.6,8,90,7,3,18,5,1.82,15,10,+5,+0.58,-0.13,15.9,10.3,+5.6,+0.65,+0.28
1087,Angelo Fulgini,20,1579,79,62.7,17.5,19,82,12,1,29,2,1.35,12,17,-5,-0.28,-0.28,15.9,17.3,-1.4,-0.08,-0.30
1088,Niclas Fullkrug,8,403,50,13.2,4.5,4,78,2,4,23,0,1.50,12,7,+5,+1.12,+2.20,9.1,5.5,+3.6,+0.81,+1.47
1089,Ramiro Funes Mori,7,453,65,13.2,5.0,5,90,5,2,2,19,2.29,9,7,+2,+0.40,+0.03,6.3,5.9,+0.5,+0.09,-0.42
1092,Matteo Gabbia,9,680,76,19.9,7.6,6,87,5,3,52,28,2.00,16,8,+8,+1.06,+0.76,14.4,9.6,+4.8,+0.63,+0.21
1093,Manolo Gabbiadini,33,2035,62,59.5,22.6,24,77,10,9,20,4,1.21,32,37,-5,-0.22,+0.56,31.5,33.0,-1.5,-0.07,+0.14
1096,Mijat Gacinovic,23,1048,46,34.2,11.6,11,75,0,12,19,5,1.52,19,15,+4,+0.34,+0.57,18.0,18.5,-0.5,-0.04,-0.49
1098,Luca Gagliano,2,52,26,1.5,0.6,1,45,0,1,7,8,1.50,2,0,+2,+3.46,+3.62,0.8,1.2,-0.3,-0.59,-0.13
1099,Roberto Gagliardini,24,1797,75,52.5,20.0,21,82,11,3,27,4,2.25,48,23,+25,+1.25,+0.14,38.5,22.2,+16.3,+0.82,+0.13
1100,Riccardo Gagliolo,32,2604,81,76.1,28.9,31,84,22,1,8,3,1.34,48,41,+7,+0.24,+1.12,37.3,46.2,-8.9,-0.31,+0.46
1102,Marvin Gakpa,13,468,36,18.6,5.2,4,81,1,9,16,9,0.62,3,9,-6,-1.15,-1.07,4.5,6.3,-1.8,-0.34,+0.07
1103,Enric Gallego,14,880,63,25.7,9.8,9,83,6,5,27,0,1.57,10,12,-2,-0.20,+0.01,12.1,11.7,+0.5,+0.05,+0.06
1104,Enric Gallego,5,164,33,4.8,1.8,2,71,1,3,7,3,1.20,2,1,+1,+0.55,+0.41,1.1,1.2,-0.2,-0.10,-0.11
1106,Kevin Gameiro,29,1581,55,46.2,17.6,17,75,5,12,26,1,1.28,21,28,-7,-0.40,-0.40,20.4,26.6,-6.2,-0.35,-0.03
1107,Fran Gamez,23,1768,77,51.7,19.6,18,88,16,5,38,4,0.83,21,34,-13,-0.66,-0.01,21.5,36.1,-14.6,-0.74,-0.32
1108,Idrissa Gana Gueye,20,1653,83,68.0,18.4,19,83,16,1,73,1,2.65,47,15,+32,+1.74,-0.46,49.4,16.0,+33.4,+1.82,-0.24
1109,Ignatius Ganago,26,1239,48,49.2,13.8,12,76,4,14,23,1,1.35,19,19,0,0.00,-0.21,18.7,23.9,-5.2,-0.38,-0.17
1112,Dani Garcia,36,3029,84,88.6,33.7,33,90,32,3,24,0,1.33,39,35,+4,+0.12,+0.35,38.5,44.3,-5.8,-0.17,+0.18
1113,David Garcia,32,2793,87,81.7,31.0,31,90,31,1,3,2,1.31,38,48,-10,-0.32,-0.61,42.3,41.2,+1.0,+0.03,+0.17
1114,Eric Garcia,13,793,61,23.2,8.8,8,82,6,5,27,7,2.54,23,7,+16,+1.82,+0.07,20.9,8.0,+12.8,+1.46,-0.01
1115,Javi Garcia,8,377,47,11.0,4.2,4,85,3,4,9,9,1.00,2,6,-4,-0.95,-0.72,4.3,6.1,-1.8,-0.43,-0.38
1116,Manu Garcia,30,1967,66,57.5,21.9,22,83,16,8,19,5,1.00,25,33,-8,-0.37,+0.69,24.8,30.1,-5.3,-0.24,+0.57
1119,Raul Garcia,35,2869,82,83.9,31.9,33,86,22,2,18,0,1.46,32,25,+7,+0.22,+0.87,33.3,38.4,-5.1,-0.16,+0.21
1120,Raul Garcia,4,243,61,7.1,2.7,3,66,0,1,45,1,1.00,1,2,-1,-0.37,-0.57,0.9,3.4,-2.5,-0.93,-1.01
1121,Ruben Garcia,30,2188,73,64.0,24.3,25,82,11,5,26,0,1.27,31,38,-7,-0.29,-0.21,35.6,34.5,+1.1,+0.04,+0.11
1123,Unai Garcia,8,536,67,15.7,6.0,6,86,5,2,10,8,1.00,5,11,-6,-1.01,-0.95,6.0,9.8,-3.7,-0.63,-0.75
1124,Victor Garcia,2,88,44,2.6,1.0,1,58,0,1,30,4,0.00,2,2,0,0.00,+0.30,1.6,1.9,-0.3,-0.28,+0.20
