,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2123,Pedro Rebocho,36.0,4,0,0,18,34,1,249,40,35,0,1,0,229,44,37,54.3
2124,Arkadiusz Reca,0.5,0,0,0,1,2,0,5,3,0,0,0,0,3,1,3,25.0
2125,Recio,14.3,9,0,0,46,27,0,9,14,21,0,0,0,93,25,11,69.4
2126,Nathan Redmond,36.3,3,0,0,29,28,15,76,20,22,0,0,0,171,25,64,28.1
2127,Vasco Regini,0.9,0,0,0,3,3,0,0,0,0,0,0,0,2,2,3,40.0
2128,Sergio Reguilon,12.4,3,0,0,24,29,0,34,20,14,0,0,0,69,13,12,52.0
2129,Bobby Reid,15.8,0,0,0,5,27,11,6,3,9,0,0,0,62,10,36,21.7
2130,Pepe Reina,3.7,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
2132,Jeff Reine-Adelaide,28.4,2,0,0,31,68,3,19,19,22,1,0,0,148,17,27,38.6
2133,Karim Rekik,23.0,4,1,0,16,23,0,5,34,22,0,2,0,118,48,41,53.9
2134,Loic Remy,13.4,3,0,0,18,10,10,2,2,1,1,0,0,18,36,47,43.4
2135,Michael Rensing,32.0,1,0,0,0,4,0,0,2,1,0,0,0,31,14,1,93.3
2136,Marco Reus,25.7,3,1,0,34,31,15,39,8,22,1,1,0,83,20,26,43.5
2137,Elvis Rexhbecaj,12.7,4,0,0,12,34,0,13,14,18,0,0,0,75,19,23,45.2
2138,Diego Reyes,3.6,1,0,0,3,1,0,3,7,4,0,0,0,20,10,2,83.3
2139,Baptiste Reynet,30.0,0,1,0,1,8,0,0,1,0,0,0,1,28,9,2,81.8
2140,Simon Rhein,5.5,1,1,0,5,2,0,9,7,4,0,0,0,45,6,4,60.0
2141,Franck Ribery,13.0,3,0,0,17,19,9,28,7,7,1,0,0,70,1,8,11.1
2142,Declan Rice,33.4,4,0,0,17,7,1,3,52,60,0,0,0,287,54,41,56.8
2143,Jazz Richards,1.5,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0.0
2144,Richarlison,29.6,5,1,0,32,73,17,47,16,34,2,0,0,162,66,150,30.6
2145,Marco Richter,15.8,4,0,0,22,26,8,33,13,8,0,0,0,93,21,44,32.3
2146,Diego Rico,6.8,1,0,0,10,11,0,39,14,9,0,1,0,47,7,8,46.7
2147,Mikel Rico,2.7,0,0,0,5,3,0,4,2,2,0,0,0,19,7,7,50.0
2148,Sergio Rico,29.0,1,0,0,1,5,0,0,1,1,0,1,0,26,13,1,92.9
2149,Asier Riesgo,14.0,1,0,0,0,0,0,0,0,1,0,0,0,24,1,1,50.0
