,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
23,19,8.0,2838,3570,79.5,50746,18564,1266,1427,88.7,1246,1432,87.0,272,539,50.5,6,7.8,5.9,-1.8,75,240,56,11,264
24,26,7.0,2385,3106,76.8,45704,16743,952,1093,87.1,1119,1303,85.9,294,600,49.0,7,5.8,7.1,1.2,67,186,45,19,216
25,21,7.0,3356,4080,82.3,62338,21389,1336,1524,87.7,1552,1735,89.5,383,594,64.5,11,9.7,8.6,1.3,74,241,54,9,308
26,25,7.0,3221,4033,79.9,56844,20070,1356,1563,86.8,1557,1779,87.5,249,502,49.6,4,6.2,8.6,-2.2,52,210,56,11,253
27,28,8.0,2726,3508,77.7,47338,16933,1246,1409,88.4,1116,1323,84.4,270,540,50.0,1,6.1,5.6,-5.1,65,210,53,17,267
28,23,8.0,2743,3623,75.7,48648,19520,1300,1471,88.4,1039,1251,83.1,318,659,48.3,5,11.5,8.9,-6.5,92,219,68,17,255
29,25,8.0,3570,4354,82.0,69314,23186,1358,1521,89.3,1632,1847,88.4,509,763,66.7,12,7.0,6.3,5.0,75,257,58,11,332
30,22,7.0,2518,3332,75.6,45293,16904,1117,1308,85.4,1087,1317,82.5,253,533,47.5,4,5.3,4.9,-1.3,64,173,42,15,215
31,26,8.0,2916,3674,79.4,47438,19178,1447,1621,89.3,1105,1281,86.3,245,526,46.6,6,6.5,4.6,-0.5,58,179,55,11,248
32,23,8.0,3562,4337,82.1,63748,21063,1539,1731,88.9,1604,1807,88.8,347,596,58.2,2,5.7,5.5,-3.7,61,268,66,17,311
33,24,8.0,2046,2771,73.8,39698,16606,798,957,83.4,902,1085,83.1,284,562,50.5,9,4.0,4.3,5.0,43,143,33,11,184
34,23,9.0,2146,3152,68.1,43248,18629,906,1086,83.4,772,1063,72.6,392,806,48.6,9,5.5,6.9,3.5,69,215,55,29,242
35,22,9.0,3945,4680,84.3,67475,23269,1895,2057,92.1,1618,1802,89.8,329,589,55.9,14,12.3,12.9,1.7,94,302,83,21,324
36,26,9.0,2588,3477,74.4,49438,19899,1099,1256,87.5,1074,1306,82.2,362,715,50.6,12,7.8,8.2,4.2,72,174,52,18,216
37,20,7.0,2160,2972,72.7,45208,17926,689,884,77.9,1046,1240,84.4,378,663,57.0,6,5.8,6.0,0.2,55,130,39,12,203
38,24,8.0,2298,3182,72.2,46151,18605,865,1061,81.5,1029,1248,82.5,356,703,50.6,3,3.3,3.9,-0.3,60,185,36,15,221
39,23,7.0,2489,3284,75.8,46698,19743,1005,1175,85.5,1089,1305,83.4,324,604,53.6,8,8.5,8.8,-0.5,68,223,55,10,266
40,23,8.0,3804,4537,83.8,65617,23011,1784,1955,91.3,1484,1693,87.7,380,601,63.2,17,11.3,12.2,5.7,104,266,104,33,348
41,22,8.0,3305,4002,82.6,58853,20013,1498,1658,90.3,1390,1562,89.0,351,596,58.9,10,8.3,8.7,1.7,88,203,71,24,270
42,21,7.0,2392,3196,74.8,41315,16704,1086,1248,87.0,1006,1218,82.6,224,498,45.0,2,5.2,6.8,-3.2,65,158,51,13,252
43,23,9.0,4424,5245,84.3,70470,25987,2327,2530,92.0,1683,1906,88.3,296,547,54.1,2,5.4,6.9,-3.4,76,288,70,12,350
44,20,8.0,3804,4548,83.6,62702,21960,1880,2079,90.4,1486,1686,88.1,330,531,62.1,8,5.7,6.0,2.3,72,306,65,10,360
45,22,8.0,2716,3456,78.6,48184,17800,1129,1329,85.0,1237,1437,86.1,249,502,49.6,10,7.0,6.0,3.0,66,175,45,10,252
46,23,8.0,2681,3385,79.2,47874,17049,1137,1299,87.5,1156,1343,86.1,289,522,55.4,7,5.2,4.3,1.8,75,201,42,20,283
47,25,8.0,3431,4255,80.6,59259,21122,1514,1746,86.7,1475,1707,86.4,306,520,58.8,7,7.4,8.1,-0.4,92,350,92,25,438
48,21,7.0,4304,4905,87.7,66565,22772,2396,2566,93.4,1483,1644,90.2,278,392,70.9,18,13.5,13.4,4.5,100,336,91,6,364
49,22,8.0,4212,4937,85.3,70696,21842,2004,2203,91.0,1747,1967,88.8,325,545,59.6,7,9.2,12.9,-2.2,86,275,75,16,368
50,21,8.0,3883,4604,84.3,65576,22963,1854,2018,91.9,1638,1834,89.3,313,549,57.0,10,11.6,9.8,-1.6,97,247,78,11,353
51,27,8.0,3271,3912,83.6,57470,19883,1420,1564,90.8,1417,1616,87.7,322,532,60.5,10,5.9,6.3,4.1,52,237,55,12,295
52,20,8.0,1939,2858,67.8,37615,16760,852,1038,82.1,742,954,77.8,287,654,43.9,3,6.3,7.3,-3.3,79,185,57,23,244
53,27,8.0,3213,3952,81.3,57524,21457,1346,1550,86.8,1447,1647,87.9,314,559,56.2,3,6.2,7.3,-3.2,81,252,59,11,338
54,23,7.0,2616,3369,77.6,47157,17608,1160,1317,88.1,1131,1331,85.0,278,553,50.3,11,9.5,8.8,1.5,91,211,54,23,263
55,22,7.0,2434,3321,73.3,45429,17521,1014,1216,83.4,1053,1313,80.2,304,596,51.0,4,3.9,6.4,0.1,60,224,55,15,262
56,21,9.0,2354,3252,72.4,45083,18986,1036,1209,85.7,911,1148,79.4,341,690,49.4,9,7.0,5.7,2.0,69,181,44,16,209
57,24,8.0,4901,5553,88.3,81587,22669,2390,2546,93.9,2016,2200,91.6,359,552,65.0,13,11.1,11.8,1.9,107,373,90,11,385
58,25,8.0,3738,4526,82.6,62032,19955,1853,2069,89.6,1435,1639,87.6,325,561,57.9,7,10.7,10.4,-3.7,108,325,103,12,418
59,22,8.0,3356,4126,81.3,59836,19771,1377,1583,87.0,1580,1810,87.3,296,517,57.3,9,11.6,11.3,-2.6,96,298,81,23,391
60,28,8.0,2185,2869,76.2,44544,17034,758,905,83.8,1050,1234,85.1,330,600,55.0,5,4.0,3.1,1.0,57,179,30,9,220
61,23,8.0,3812,4447,85.7,64815,21373,1719,1885,91.2,1693,1842,91.9,295,502,58.8,11,7.0,7.2,4.0,70,243,62,17,300
62,19,8.0,3590,4427,81.1,63876,22560,1535,1742,88.1,1584,1829,86.6,359,620,57.9,15,8.1,11.7,6.9,83,298,81,9,378
63,22,7.9,2428,3148,77.1,45715,17784,931,1099,84.7,1060,1234,85.9,335,621,53.9,9,8.3,5.7,0.7,66,201,36,8,255
64,24,8.0,3826,4500,85.0,69609,20961,1603,1737,92.3,1782,1973,90.3,376,593,63.4,6,8.8,8.5,-2.8,91,246,74,19,309
65,26,8.0,2737,3464,79.0,49400,19166,1162,1309,88.8,1177,1379,85.4,296,583,50.8,7,5.2,6.2,1.8,63,215,47,13,247
66,21,8.0,4092,4774,85.7,67173,22402,2031,2177,93.3,1626,1831,88.8,320,516,62.0,10,9.4,9.0,0.6,115,304,104,20,375
67,20,8.0,3747,4496,83.3,63584,21148,1794,1989,90.2,1566,1781,87.9,316,536,59.0,13,12.0,8.4,1.0,90,235,74,13,310
68,21,8.0,3783,4450,85.0,60022,21033,1973,2156,91.5,1428,1619,88.2,247,452,54.6,7,9.7,7.2,-2.7,81,205,53,13,291
69,25,8.0,2422,3203,75.6,42912,17418,1131,1336,84.7,973,1195,81.4,257,512,50.2,7,6.3,5.4,0.7,63,173,49,7,219
70,22,9.0,2942,4005,73.5,57525,22929,1231,1443,85.3,1242,1532,81.1,425,836,50.8,5,6.2,7.9,-1.2,71,302,66,26,316
71,21,8.0,5671,6325,89.7,95495,27444,2507,2717,92.3,2656,2834,93.7,360,508,70.9,12,14.6,13.0,-2.6,118,511,103,16,518
72,22,9.0,2835,3818,74.3,54346,21807,1247,1452,85.9,1140,1379,82.7,394,780,50.5,6,7.2,6.4,-1.2,82,262,68,20,310
73,21,7.0,3417,4105,83.2,59547,19510,1490,1665,89.5,1614,1810,89.2,255,458,55.7,13,5.9,7.1,7.1,63,244,52,12,296
74,21,9.0,5118,5836,87.7,82543,26968,2730,2910,93.8,1883,2089,90.1,384,589,65.2,16,12.8,14.1,3.2,128,429,105,16,484
75,24,9.0,3748,4673,80.2,67824,22874,1559,1763,88.4,1750,2023,86.5,360,668,53.9,12,8.7,6.4,3.3,70,288,47,10,312
76,21,8.0,2852,3703,77.0,53863,19189,1070,1304,82.1,1357,1560,87.0,354,644,55.0,10,6.8,8.8,3.2,56,245,57,17,319
77,24,8.0,3905,4618,84.6,70987,23003,1521,1723,88.3,1887,2111,89.4,384,570,67.4,4,7.2,8.0,-3.2,89,273,61,13,384
78,23,8.0,3553,4328,82.1,62359,20388,1604,1769,90.7,1546,1775,87.1,325,570,57.0,15,9.5,7.2,5.5,84,219,63,14,269
79,23,8.0,2665,3491,76.3,44024,16742,1272,1457,87.3,1042,1268,82.2,228,495,46.1,3,4.1,4.0,-1.1,71,202,53,13,283
80,26,8.0,2704,3400,79.5,48418,18195,1169,1298,90.1,1156,1354,85.4,290,562,51.6,7,6.3,6.1,0.7,95,217,51,11,274
81,27,8.0,2783,3743,74.4,50267,19537,1288,1505,85.6,1094,1378,79.4,324,638,50.8,7,7.0,8.6,0.0,97,241,74,32,330
82,25,8.0,2230,3076,72.5,39487,17162,1075,1270,84.6,823,1008,81.6,258,588,43.9,2,3.7,3.5,-1.7,46,163,38,9,188
83,20,8.0,2783,3476,80.1,53080,18729,1004,1174,85.5,1386,1587,87.3,325,580,56.0,5,7.5,7.1,-2.5,50,189,42,15,265
84,22,7.0,3500,4159,84.2,60256,21339,1567,1729,90.6,1505,1682,89.5,318,518,61.4,19,12.5,10.2,6.5,87,256,64,18,306
85,23,8.0,2980,3773,79.0,52830,18871,1345,1511,89.0,1254,1480,84.7,302,570,53.0,4,4.7,4.5,-0.7,53,224,49,16,268
86,21,8.0,4235,4946,85.6,66008,22726,2259,2422,93.3,1596,1801,88.6,238,430,55.3,14,12.6,12.7,1.4,117,336,108,12,460
87,22,8.0,2946,3712,79.4,52042,19522,1262,1486,84.9,1310,1514,86.5,279,494,56.5,9,5.5,6.6,3.5,59,211,56,9,285
88,25,8.0,2547,3280,77.7,46527,18304,1087,1272,85.5,1088,1308,83.2,299,534,56.0,2,8.0,7.0,-6.0,90,241,58,31,282
89,24,7.0,2201,3010,73.1,42658,17588,829,1013,81.8,1055,1270,83.1,279,571,48.9,9,6.2,7.3,2.8,74,193,51,24,245
90,24,9.0,3060,3987,76.7,53282,18081,1411,1624,86.9,1323,1541,85.9,260,619,42.0,7,6.1,5.1,0.9,67,211,41,11,276
91,23,9.0,3618,4361,83.0,64608,25161,1736,1912,90.8,1427,1617,88.2,394,625,63.0,8,7.4,8.6,0.6,77,300,83,20,366
92,24,7.0,2418,3281,73.7,44570,18174,988,1221,80.9,1098,1336,82.2,274,548,50.0,10,9.4,10.5,0.6,71,200,58,13,246
93,19,8.0,2387,3132,76.2,41664,17016,1130,1271,88.9,887,1060,83.7,268,545,49.2,13,9.1,8.7,3.9,70,160,49,12,215
94,21,7.0,2676,3390,78.9,50941,18839,1020,1176,86.7,1263,1470,85.9,326,532,61.3,5,6.2,6.6,-1.2,62,185,50,12,279
95,21,8.0,2841,3581,79.3,47492,17383,1451,1611,90.1,1073,1256,85.4,241,514,46.9,7,7.6,6.7,-0.6,67,169,46,15,229
