,Squad,Comp,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
69,Parma,Serie A,31,38.0,13707,11696,1920,464,27,122,511,731,144,80,46,1,9920,91,345
70,Rayo Vallecano,La Liga,29,38.0,16307,14257,1979,588,39,207,783,794,186,84,73,3,12469,71,362
71,RB Leipzig,Bundesliga,23,34.0,16841,14905,1849,515,54,78,616,852,190,59,101,0,12448,87,409
72,Real Madrid,La Liga,27,38.0,24198,22147,1939,625,57,410,762,754,221,49,93,1,20625,112,390
73,Real Sociedad,La Liga,30,38.0,18547,16447,2008,604,61,199,627,848,178,78,71,5,14565,92,381
74,Reims,Ligue 1,27,38.0,15680,13708,1893,510,48,178,633,848,164,93,47,6,11567,79,327
75,Rennes,Ligue 1,28,38.0,17863,15889,1913,482,44,179,663,861,191,114,42,2,14148,61,341
76,Roma,Serie A,26,38.0,19082,17109,1923,521,45,210,855,783,228,74,105,1,15305,50,332
77,Saint-Etienne,Ligue 1,29,38.0,19107,17040,2007,524,44,178,770,857,224,72,108,4,15063,60,342
78,Sampdoria,Serie A,24,38.0,21032,19073,1889,625,44,123,641,696,168,94,45,0,17067,70,405
79,Sassuolo,Serie A,29,38.0,20009,17981,1955,621,50,143,660,737,185,62,112,3,16386,73,381
80,Schalke 04,Bundesliga,32,34.0,14474,12723,1672,442,24,101,521,734,155,24,128,1,10812,79,315
81,Sevilla,La Liga,27,38.0,18806,16760,1935,559,50,219,812,775,223,68,77,18,14555,111,427
82,Southampton,Premier League,30,38.0,15930,14072,1797,409,35,139,666,805,193,97,63,22,11463,61,349
83,SPAL,Serie A,28,38.0,17829,15788,2004,666,7,122,863,713,196,85,78,1,14255,37,397
84,Strasbourg,Ligue 1,26,38.0,18749,16765,1941,458,31,332,719,898,157,71,59,2,14722,43,381
85,Stuttgart,Bundesliga,26,34.0,15209,13362,1780,475,18,117,727,727,169,64,91,0,11198,67,346
86,Torino,Serie A,25,38.0,17064,14979,2010,621,25,187,751,803,182,59,37,3,12851,75,385
87,Tottenham,Premier League,28,38.0,23056,21115,1867,457,87,136,643,851,194,54,81,5,18808,74,445
88,Toulouse,Ligue 1,29,38.0,16989,14931,1989,531,43,110,629,822,158,61,79,4,12893,69,333
89,Udinese,Serie A,31,38.0,15218,13255,1897,511,25,153,585,725,164,55,66,1,11520,66,319
90,Valencia,La Liga,25,38.0,17639,15690,1874,579,47,218,715,722,196,61,86,14,13679,75,372
91,Valladolid,La Liga,28,38.0,16279,14209,1974,592,21,204,804,745,201,69,70,6,12015,96,364
92,Villarreal,La Liga,26,38.0,17648,15718,1835,509,48,183,618,765,168,75,64,4,13758,95,343
93,Watford,Premier League,25,38.0,16974,15065,1820,483,32,117,570,755,177,84,55,0,12550,89,348
94,Werder Bremen,Bundesliga,24,34.0,18331,16553,1738,449,31,129,676,729,168,91,66,0,14383,40,410
95,West Ham,Premier League,26,38.0,18038,16053,1914,501,75,161,631,824,188,86,82,4,13847,71,416
96,Wolfsburg,Bundesliga,25,34.0,17159,15333,1759,482,30,250,682,744,175,65,64,5,13184,67,382
97,Wolves,Premier League,21,38.0,18261,16415,1773,361,51,194,622,843,195,63,87,3,13961,73,394
