,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
13,Antonio Adán,es ESP,GK,Betis,La Liga,28.0,1987.0,35.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
14,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,Premier League,31.0,1984.0,6.9,1.0,,4.0,,,0.58,,0.25,,0.0,0.0
15,Jordan Adéoti,bj BEN,"MF,DF",Caen,Ligue 1,26.0,1989.0,19.1,0.0,,4.0,,,0.21,,0.0,,0.0,0.0
16,Claud Adjapong,it ITA,"DF,MF",Sassuolo,Serie A,17.0,1998.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
17,René Adler,de GER,GK,Hamburger SV,Bundesliga,30.0,1985.0,23.0,0.0,,0.0,,,0.0,,,,0.0,0.0
18,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,Serie A,21.0,1993.0,21.2,1.0,,3.0,,,0.14,,0.33,,0.0,0.0
19,Adrián,es ESP,GK,West Ham,Premier League,28.0,1987.0,32.0,0.0,,0.0,,,0.0,,,,0.0,0.0
20,Adriano,br BRA,DF,Barcelona,La Liga,30.0,1984.0,4.8,0.0,1.0,0.0,0.0,0.21,0.0,0.0,,,0.0,0.0
21,Luiz Adriano,br BRA,FW,Milan,Serie A,28.0,1987.0,13.3,4.0,,5.0,,,0.38,,0.6,,1.0,1.0
22,Adryan,br BRA,"MF,FW",Nantes,Ligue 1,20.0,1994.0,15.8,3.0,,14.0,,,0.89,,0.21,,0.0,0.0
23,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,34.0,1981.0,30.8,20.0,93.0,49.0,52.7,3.02,1.59,0.18,0.35,,3.0,5.0
24,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,29.0,1986.0,23.4,2.0,,8.0,,,0.34,,0.25,,0.0,0.0
26,Benik Afobe,cd COD,FW,Bournemouth,Premier League,22.0,1993.0,10.3,4.0,,5.0,,,0.48,,0.8,,0.0,0.0
27,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,37.0,1978.0,10.0,0.0,,0.0,,,0.0,,,,0.0,0.0
28,Gabby Agbonlahor,eng ENG,FW,Aston Villa,Premier League,28.0,1986.0,11.5,1.0,,6.0,,,0.52,,0.17,,0.0,0.0
29,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,28.0,1987.0,13.0,13.0,46.0,22.0,47.8,3.54,1.69,0.28,0.59,,0.0,0.0
30,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,27.0,1988.0,26.2,24.0,,52.0,,,1.98,,0.38,,4.0,5.0
31,Rodrigo Aguirre,uy URU,FW,Udinese,Serie A,20.0,1994.0,3.8,0.0,,1.0,,,0.26,,0.0,,0.0,0.0
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,24.0,1990.0,29.6,4.0,,10.0,,,0.34,,0.4,,0.0,0.0
33,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,23.0,1991.0,6.0,0.0,,0.0,,,0.0,,,,0.0,0.0
34,Stefan Aigner,de GER,"MF,FW",Eint Frankfurt,Bundesliga,27.0,1987.0,26.6,3.0,,17.0,,,0.64,,0.18,,0.0,0.0
35,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,La Liga,22.0,1993.0,11.8,0.0,6.0,1.0,16.7,0.51,0.08,0.0,0.0,,0.0,0.0
36,Albian Ajeti,ch SUI,FW,Augsburg,Bundesliga,18.0,1997.0,0.4,0.0,,0.0,,,0.0,,,,0.0,0.0
37,Arlind Ajeti,al ALB,DF,Frosinone,Serie A,21.0,1993.0,13.5,1.0,,1.0,,,0.07,,1.0,,0.0,0.0
38,Nathan Aké,nl NED,DF,Watford,Premier League,20.0,1995.0,20.8,1.0,,5.0,,,0.24,,0.2,,0.0,0.0
39,Ager Aketxe,es ESP,MF,Athletic Club,La Liga,21.0,1993.0,2.1,0.0,4.0,1.0,25.0,1.95,0.49,0.0,0.0,,0.0,0.0
40,Jean-Daniel Akpa-Akpro,ci CIV,MF,Toulouse,Ligue 1,22.0,1992.0,28.4,1.0,,5.0,,,0.18,,0.2,,0.0,0.0
41,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,23.0,1992.0,27.7,2.0,,6.0,,,0.22,,0.33,,0.0,0.0
42,Fabrizio Alastra,it ITA,GK,Palermo,Serie A,17.0,1997.0,1.6,0.0,,0.0,,,0.0,,,,0.0,0.0
43,Jordi Alba,es ESP,DF,Barcelona,La Liga,26.0,1989.0,28.8,0.0,7.0,2.0,28.6,0.24,0.07,0.0,0.0,,0.0,0.0
44,Raúl Albentosa,es ESP,DF,Málaga,La Liga,26.0,1988.0,28.4,2.0,17.0,7.0,41.2,0.6,0.25,0.12,0.29,,0.0,0.0
45,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,Serie A,24.0,1991.0,7.8,0.0,,0.0,,,0.0,,,,0.0,0.0
46,Luis Alberto,es ESP,"MF,FW",La Coruña,La Liga,22.0,1992.0,23.3,6.0,80.0,27.0,33.8,3.43,1.16,0.08,0.22,,0.0,0.0
47,Raúl Albiol,es ESP,DF,Napoli,Serie A,29.0,1985.0,36.0,1.0,,4.0,,,0.11,,0.25,,0.0,0.0
48,Miiko Albornoz,cl CHI,DF,Hannover 96,Bundesliga,24.0,1990.0,23.0,0.0,,2.0,,,0.09,,0.0,,0.0,0.0
49,Marc Albrighton,eng ENG,MF,Leicester City,Premier League,25.0,1989.0,30.5,2.0,,11.0,,,0.36,,0.18,,0.0,0.0
50,Paco Alcácer,es ESP,FW,Valencia,La Liga,21.0,1993.0,26.9,13.0,61.0,26.0,42.6,2.27,0.97,0.18,0.42,,2.0,3.0
52,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,24.0,1991.0,18.3,2.0,,12.0,,,0.66,,0.17,,0.0,0.0
53,Antolín Alcaraz,py PAR,DF,Las Palmas,La Liga,33.0,1982.0,6.0,1.0,2.0,1.0,50.0,0.33,0.17,0.5,1.0,,0.0,0.0
54,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,26.0,1989.0,38.0,4.0,,14.0,,,0.37,,0.29,,0.0,0.0
55,Alexis Alegue,fr FRA,MF,Nantes,Ligue 1,18.0,1996.0,1.1,1.0,,2.0,,,1.86,,0.5,,0.0,0.0
56,Nauzet Alemán,es ESP,MF,Las Palmas,La Liga,30.0,1985.0,2.8,0.0,3.0,0.0,0.0,1.09,0.0,0.0,,,0.0,0.0
57,Diego Alende,es ESP,DF,Celta Vigo,La Liga,17.0,1997.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
58,Romain Alessandrini,fr FRA,"MF,FW",Marseille,Ligue 1,26.0,1989.0,13.8,5.0,,19.0,,,1.37,,0.26,,0.0,0.0
59,Alex,br BRA,DF,Milan,Serie A,33.0,1982.0,23.2,3.0,,8.0,,,0.34,,0.38,,0.0,0.0
60,Alexis,es ESP,DF,Getafe,La Liga,29.0,1985.0,15.0,1.0,2.0,1.0,50.0,0.13,0.07,0.5,1.0,,0.0,0.0
61,Chaker Alhadhur,km COM,DF,Caen,Ligue 1,23.0,1991.0,8.7,0.0,,0.0,,,0.0,,,,0.0,0.0
62,Allan,br BRA,MF,Napoli,Serie A,24.0,1991.0,31.3,3.0,,7.0,,,0.22,,0.43,,0.0,0.0
63,Joe Allen,wls WAL,MF,Liverpool,Premier League,25.0,1990.0,8.2,2.0,,4.0,,,0.49,,0.5,,0.0,0.0
64,Dele Alli,eng ENG,MF,Tottenham,Premier League,19.0,1996.0,27.4,10.0,,28.0,,,1.02,,0.36,,0.0,0.0
65,Ryan Allsop,eng ENG,GK,Bournemouth,Premier League,23.0,1992.0,0.5,0.0,,0.0,,,0.0,,,,0.0,0.0
66,Hugo Almeida,pt POR,FW,Hannover 96,Bundesliga,31.0,1984.0,5.9,1.0,,3.0,,,0.51,,0.33,,0.0,0.0
67,Marcos Alonso,es ESP,"MF,DF",Fiorentina,Serie A,24.0,1990.0,26.1,3.0,,12.0,,,0.46,,0.25,,0.0,0.0
68,Xabi Alonso,es ESP,"MF,DF",Bayern Munich,Bundesliga,33.0,1981.0,21.6,0.0,,5.0,,,0.23,,0.0,,0.0,0.0
69,Batuhan Altıntaş,tr TUR,FW,Hamburger SV,Bundesliga,19.0,1996.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
70,Halil Altıntop,tr TUR,MF,Augsburg,Bundesliga,32.0,1982.0,13.3,1.0,,3.0,,,0.23,,0.33,,0.0,0.0
71,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,Serie A,27.0,1988.0,9.0,1.0,,6.0,,,0.67,,0.17,,0.0,0.0
72,Sergio Álvarez,es ESP,MF,Sporting Gijón,La Liga,23.0,1992.0,24.3,2.0,5.0,3.0,60.0,0.21,0.12,0.4,0.67,,0.0,0.0
73,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,28.0,1986.0,30.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
74,Víctor Álvarez,es ESP,"MF,DF",Espanyol,La Liga,22.0,1993.0,21.8,1.0,13.0,4.0,30.8,0.6,0.18,0.08,0.25,,0.0,0.0
75,Dani Alves,br BRA,DF,Barcelona,La Liga,32.0,1983.0,23.8,0.0,16.0,4.0,25.0,0.67,0.17,0.0,0.0,,0.0,0.0
76,Diego Alves,br BRA,GK,Valencia,La Liga,30.0,1985.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
78,Ibrahim Amadou,fr FRA,"MF,DF",Lille,Ligue 1,22.0,1993.0,18.5,1.0,,3.0,,,0.16,,0.33,,0.0,0.0
79,Morgan Amalfitano,fr FRA,"FW,MF",Lille,Ligue 1,30.0,1985.0,10.6,2.0,,9.0,,,0.85,,0.22,,0.0,0.0
80,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,20.0,1994.0,1.2,0.0,,1.0,,,0.87,,0.0,,0.0,0.0
81,Jordi Amat,id IDN,DF,Swansea City,Premier League,23.0,1992.0,5.1,0.0,,0.0,,,0.0,,,,0.0,0.0
82,Amauri,it ITA,FW,Torino,Serie A,35.0,1980.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
83,Jordan Amavi,fr FRA,DF,Aston Villa,Premier League,21.0,1994.0,9.3,0.0,,1.0,,,0.11,,0.0,,0.0,0.0
84,Antonio Amaya,es ESP,DF,Rayo Vallecano,La Liga,32.0,1983.0,11.5,1.0,3.0,2.0,66.7,0.26,0.17,0.33,0.5,,0.0,0.0
85,Jean Ambrose,ht HAI,DF,Bordeaux,Ligue 1,21.0,1993.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
86,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,Bundesliga,18.0,1996.0,16.2,4.0,,12.0,,,0.74,,0.33,,0.0,0.0
87,Nordin Amrabat,ma MAR,"MF,FW",Watford,Premier League,28.0,1987.0,5.6,0.0,,3.0,,,0.53,,0.0,,0.0,0.0
88,Nordin Amrabat,ma MAR,"MF,FW",Málaga,La Liga,28.0,1987.0,11.1,0.0,26.0,8.0,30.8,2.33,0.72,0.0,0.0,,0.0,1.0
89,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,22.0,1993.0,23.0,7.0,,14.0,,,0.61,,0.5,,0.0,0.0
90,Benjamin André,fr FRA,MF,Rennes,Ligue 1,24.0,1990.0,29.2,0.0,,7.0,,,0.24,,0.0,,0.0,0.0
91,Leon Andreasen,dk DEN,MF,Hannover 96,Bundesliga,32.0,1983.0,12.0,2.0,,8.0,,,0.67,,0.25,,0.0,0.0
92,Ionuț Andrei Radu,ro ROU,GK,Inter,Serie A,,,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
93,Marco Andreolli,it ITA,DF,Sevilla,La Liga,29.0,1986.0,6.1,0.0,3.0,0.0,0.0,0.49,0.0,0.0,,,0.0,0.0
94,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,26.0,1989.0,30.2,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
95,José Ángel Crespo,es ESP,FW,Aston Villa,Premier League,28.0,1987.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
96,José Ángel Crespo,es ESP,DF,Rayo Vallecano,La Liga,28.0,1987.0,7.9,0.0,1.0,1.0,100.0,0.13,0.13,0.0,0.0,,0.0,0.0
97,Miguel Ángel Guerrero,es ESP,FW,Sporting Gijón,La Liga,25.0,1990.0,12.1,2.0,22.0,9.0,40.9,1.82,0.75,0.09,0.22,,0.0,0.0
98,Miguel Ángel,es ESP,DF,Getafe,La Liga,19.0,1996.0,2.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
99,Marcos Angeleri,ar ARG,DF,Málaga,La Liga,32.0,1983.0,12.3,0.0,3.0,0.0,0.0,0.24,0.0,0.0,,,0.0,0.0
100,Benjamin Angoua,ci CIV,DF,Guingamp,Ligue 1,28.0,1986.0,13.8,1.0,,1.0,,,0.07,,1.0,,0.0,0.0
101,Gaël Angoula,fr FRA,DF,Angers,Ligue 1,33.0,1982.0,11.3,0.0,,0.0,,,0.0,,,,0.0,0.0
102,Victor Anichebe,ng NGA,FW,West Brom,Premier League,27.0,1988.0,4.1,0.0,,4.0,,,0.98,,0.0,,0.0,0.0
104,Vurnon Anita,cw CUW,"MF,DF",Newcastle Utd,Premier League,26.0,1989.0,23.3,1.0,,2.0,,,0.09,,0.5,,0.0,0.0
105,Cristian Ansaldi,ar ARG,"MF,DF",Genoa,Serie A,28.0,1986.0,22.3,0.0,,2.0,,,0.09,,0.0,,0.0,0.0
106,Ion Ansotegi,es ESP,DF,Eibar,La Liga,33.0,1982.0,6.0,0.0,4.0,1.0,25.0,0.66,0.17,0.0,0.0,,0.0,0.0
107,Luca Antei,it ITA,DF,Sassuolo,Serie A,23.0,1992.0,3.8,0.0,,0.0,,,0.0,,,,0.0,0.0
108,Waldemar Anton,de GER,"DF,MF",Hannover 96,Bundesliga,19.0,1996.0,6.5,1.0,,1.0,,,0.15,,1.0,,0.0,0.0
109,Luca Antonelli,it ITA,DF,Milan,Serie A,28.0,1987.0,26.0,3.0,,5.0,,,0.19,,0.6,,0.0,0.0
110,Michail Antonio,jm JAM,"MF,FW",West Ham,Premier League,25.0,1990.0,22.9,8.0,,20.0,,,0.88,,0.4,,0.0,0.0
111,José Antonio Reyes,es ESP,MF,Sevilla,La Liga,31.0,1983.0,13.1,1.0,21.0,9.0,42.9,1.6,0.69,0.05,0.11,,0.0,0.0
112,Ikechi Anya,sct SCO,"MF,DF",Watford,Premier League,27.0,1988.0,18.7,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
113,Siniša Anđelković,si SVN,DF,Palermo,Serie A,29.0,1986.0,21.2,0.0,,0.0,,,0.0,,,,0.0,0.0
114,Dennis Aogo,de GER,"DF,MF",Schalke 04,Bundesliga,28.0,1987.0,20.6,0.0,,2.0,,,0.1,,0.0,,0.0,0.0
115,Dennis Appiah,fr FRA,DF,Caen,Ligue 1,23.0,1992.0,38.0,1.0,,4.0,,,0.11,,0.25,,0.0,0.0
116,Youssef El-Arabi,ma MAR,FW,Granada,La Liga,28.0,1987.0,27.9,16.0,70.0,34.0,48.6,2.51,1.22,0.13,0.26,,7.0,7.0
117,Mauro Arambarri,uy URU,MF,Bordeaux,Ligue 1,19.0,1995.0,1.7,0.0,,0.0,,,0.0,,,,0.0,0.0
118,Charles Aránguiz,cl CHI,"MF,DF",Leverkusen,Bundesliga,26.0,1989.0,5.2,2.0,,3.0,,,0.57,,0.67,,0.0,0.0
119,Alexis Araujo,pt POR,MF,Lille,Ligue 1,18.0,1996.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
120,Sergio Araujo,ar ARG,FW,Las Palmas,La Liga,23.0,1992.0,20.2,5.0,61.0,25.0,41.0,3.02,1.24,0.08,0.2,,0.0,0.0
121,Álvaro Arbeloa,es ESP,DF,Real Madrid,La Liga,32.0,1983.0,2.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
122,Anaitz Arbilla,es ESP,DF,Espanyol,La Liga,28.0,1987.0,7.0,0.0,7.0,2.0,28.6,1.0,0.29,0.0,0.0,,0.0,0.0
123,Alphonse Areola,fr FRA,GK,Villarreal,La Liga,22.0,1993.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
124,Lorenzo Ariaudo,it ITA,DF,Empoli,Serie A,26.0,1989.0,4.7,0.0,,0.0,,,0.0,,,,0.0,0.0
125,Lorenzo Ariaudo,it ITA,DF,Sassuolo,Serie A,26.0,1989.0,2.6,0.0,,0.0,,,0.0,,,,0.0,0.0
126,Fynn Arkenberg,de GER,DF,Hannover 96,Bundesliga,19.0,1996.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
127,Giedrius Arlauskis,lt LTU,GK,Watford,Premier League,27.0,1987.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
128,Giedrius Arlauskis,lt LTU,GK,Espanyol,La Liga,27.0,1987.0,2.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
130,Sylvain Armand,fr FRA,DF,Rennes,Ligue 1,34.0,1980.0,33.2,1.0,,4.0,,,0.12,,0.25,,0.0,1.0
131,Pablo Armero,co COL,MF,Udinese,Serie A,28.0,1986.0,4.6,1.0,,1.0,,,0.22,,1.0,,0.0,0.0
132,Marko Arnautović,at AUT,"MF,FW",Stoke City,Premier League,26.0,1989.0,31.2,11.0,,22.0,,,0.71,,0.36,,3.0,3.0
133,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,21.0,1994.0,22.7,3.0,,11.0,,,0.49,,0.27,,0.0,0.0
134,Alejandro Arribas,es ESP,DF,La Coruña,La Liga,26.0,1989.0,30.4,2.0,12.0,4.0,33.3,0.4,0.13,0.17,0.5,,0.0,0.0
135,Mikel Arruabarrena,es ESP,FW,Eibar,La Liga,32.0,1983.0,0.7,1.0,1.0,1.0,100.0,1.45,1.45,1.0,1.0,,0.0,0.0
136,Ahmet Arslan,tr TUR,MF,Hamburger SV,Bundesliga,21.0,1994.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
137,Harry Arter,ie IRL,MF,Bournemouth,Premier League,25.0,1989.0,18.5,1.0,,7.0,,,0.38,,0.14,,0.0,0.0
138,Mikel Arteta,es ESP,MF,Arsenal,Premier League,33.0,1982.0,1.9,0.0,,1.0,,,0.53,,0.0,,0.0,0.0
139,Aythami Artiles,es ESP,DF,Las Palmas,La Liga,29.0,1986.0,29.3,0.0,9.0,2.0,22.2,0.31,0.07,0.0,0.0,,0.0,0.0
140,Kwadwo Asamoah,gh GHA,MF,Juventus,Serie A,26.0,1988.0,6.3,0.0,,3.0,,,0.47,,0.0,,0.0,0.0
141,Carlos Ascues,pe PER,"DF,MF",Wolfsburg,Bundesliga,23.0,1992.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
142,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,26.0,1989.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
143,Marco Asensio,es ESP,"MF,FW",Espanyol,La Liga,19.0,1996.0,31.4,4.0,60.0,22.0,36.7,1.91,0.7,0.07,0.18,,0.0,0.0
144,Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,27.0,1987.0,29.5,13.0,80.0,34.0,42.5,2.71,1.15,0.15,0.35,,1.0,1.0
145,Benoît Assou-Ekotto,cm CMR,DF,Saint-Étienne,Ligue 1,31.0,1984.0,18.9,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
146,Davide Astori,it ITA,DF,Fiorentina,Serie A,28.0,1987.0,32.2,0.0,,2.0,,,0.06,,0.0,,0.0,0.0
147,Christian Atsu,gh GHA,MF,Málaga,La Liga,23.0,1992.0,4.4,2.0,9.0,6.0,66.7,2.07,1.38,0.22,0.33,,0.0,0.0
148,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,Bundesliga,26.0,1989.0,27.4,25.0,,54.0,,,1.97,,0.41,,3.0,4.0
149,Johan Audel,mq MTQ,"MF,FW",Nantes,Ligue 1,31.0,1983.0,14.2,2.0,,11.0,,,0.77,,0.18,,0.0,0.0
150,Jean-Kévin Augustin,fr FRA,FW,Paris S-G,Ligue 1,18.0,1997.0,4.7,1.0,,5.0,,,1.06,,0.2,,0.0,0.0
151,Olivier Auriac,fr FRA,MF,Angers,Ligue 1,31.0,1983.0,4.5,0.0,,1.0,,,0.22,,0.0,,0.0,0.0
152,Serge Aurier,ci CIV,DF,Paris S-G,Ligue 1,22.0,1992.0,21.0,2.0,,4.0,,,0.19,,0.5,,0.0,0.0
153,Charlie Austin,eng ENG,FW,Southampton,Premier League,26.0,1989.0,2.3,1.0,,2.0,,,0.85,,0.5,,0.0,0.0
154,Danilo Avelar,br BRA,MF,Torino,Serie A,26.0,1989.0,3.8,0.0,,0.0,,,0.0,,,,0.0,0.0
156,Thomas Ayasse,fr FRA,"MF,DF",Troyes,Ligue 1,28.0,1987.0,11.3,1.0,,4.0,,,0.36,,0.25,,0.0,0.0
157,André Ayew,gh GHA,"MF,FW",Swansea City,Premier League,25.0,1989.0,32.5,12.0,,25.0,,,0.77,,0.48,,0.0,0.0
158,Jordan Ayew,gh GHA,FW,Aston Villa,Premier League,23.0,1991.0,26.1,7.0,,21.0,,,0.8,,0.29,,1.0,1.0
159,Kaan Ayhan,tr TUR,"DF,MF",Schalke 04,Bundesliga,20.0,1994.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
160,Kaan Ayhan,tr TUR,MF,Eint Frankfurt,Bundesliga,20.0,1994.0,0.9,0.0,,0.0,,,0.0,,,,0.0,0.0
161,Floyd Ayité,tg TOG,"FW,MF",Bastia,Ligue 1,26.0,1988.0,29.2,8.0,,19.0,,,0.65,,0.37,,1.0,1.0
162,Karim Azamoum,fr FRA,"MF,FW",Troyes,Ligue 1,25.0,1990.0,8.4,2.0,,6.0,,,0.71,,0.33,,0.0,0.0
163,César Azpilicueta,es ESP,DF,Chelsea,Premier League,25.0,1989.0,35.5,2.0,,5.0,,,0.14,,0.4,,0.0,0.0
164,Ismail Azzaoui,be BEL,FW,Wolfsburg,Bundesliga,17.0,1998.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
165,Ludovic Baal,gf GUF,"MF,DF",Rennes,Ligue 1,29.0,1986.0,16.9,0.0,,0.0,,,0.0,,,,0.0,0.0
166,Khouma Babacar,sn SEN,FW,Fiorentina,Serie A,22.0,1993.0,8.9,5.0,,11.0,,,1.23,,0.36,,1.0,1.0
167,Jean-Sylvain Babin,mq MTQ,DF,Granada,La Liga,28.0,1986.0,24.8,3.0,13.0,5.0,38.5,0.52,0.2,0.23,0.6,,0.0,0.0
168,Maxime Baca,fr FRA,DF,Guingamp,Ligue 1,32.0,1983.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
169,Carlos Bacca,co COL,FW,Milan,Serie A,28.0,1986.0,35.1,18.0,,37.0,,,1.06,,0.43,,2.0,2.0
170,Leandro Bacuna,cw CUW,"DF,MF",Aston Villa,Premier League,23.0,1991.0,26.9,1.0,,9.0,,,0.34,,0.11,,0.0,0.0
171,Milan Badelj,hr CRO,MF,Fiorentina,Serie A,26.0,1989.0,23.7,1.0,,4.0,,,0.17,,0.25,,0.0,0.0
172,Holger Badstuber,de GER,DF,Bayern Munich,Bundesliga,26.0,1989.0,5.2,0.0,,1.0,,,0.19,,0.0,,0.0,0.0
173,Raúl Baena,es ESP,MF,Rayo Vallecano,La Liga,26.0,1989.0,20.4,1.0,10.0,3.0,30.0,0.49,0.15,0.1,0.33,,0.0,0.0
174,Jean-Christophe Bahebeck,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,22.0,1993.0,9.3,1.0,,7.0,,,0.75,,0.14,,0.0,0.0
175,Farès Bahlouli,fr FRA,MF,Monaco,Ligue 1,20.0,1995.0,2.0,1.0,,2.0,,,1.0,,0.5,,0.0,0.0
176,Nabil Bahoui,se SWE,MF,Hamburger SV,Bundesliga,24.0,1991.0,2.4,0.0,,1.0,,,0.42,,0.0,,0.0,0.0
177,Mike-Steven Bähre,de GER,MF,Hannover 96,Bundesliga,19.0,1995.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
178,Daniel Baier,de GER,MF,Augsburg,Bundesliga,31.0,1984.0,25.8,1.0,,6.0,,,0.23,,0.17,,0.0,0.0
179,Eric Bailly,ci CIV,DF,Villarreal,La Liga,21.0,1994.0,22.4,0.0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,,0.0,0.0
180,Leighton Baines,eng ENG,DF,Everton,Premier League,30.0,1984.0,16.4,2.0,,3.0,,,0.18,,0.33,,1.0,1.0
182,Cédric Bakambu,cd COD,FW,Villarreal,La Liga,24.0,1991.0,20.7,12.0,48.0,28.0,58.3,2.32,1.36,0.25,0.43,,0.0,0.0
183,Djamel Bakar,km COM,FW,Montpellier,Ligue 1,26.0,1989.0,2.3,0.0,,3.0,,,1.33,,0.0,,0.0,0.0
184,Tiemoué Bakayoko,fr FRA,MF,Monaco,Ligue 1,20.0,1994.0,15.2,1.0,,5.0,,,0.33,,0.2,,0.0,0.0
185,Zakaria Bakkali,be BEL,"MF,FW",Valencia,La Liga,19.0,1996.0,6.3,1.0,13.0,2.0,15.4,2.07,0.32,0.08,0.5,,0.0,0.0
