,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
81,36,38.0,16391,14585,1749,426,38,87,613,752,157,63,65,2,12319,57,375
82,34,38.0,16501,14437,2009,456,26,107,655,922,193,116,53,0,12399,55,381
83,29,38.0,17277,15473,1761,555,49,131,647,740,143,45,75,1,13337,43,324
84,30,34.0,16987,15298,1633,450,37,188,597,711,156,57,83,0,13460,56,310
85,28,38.0,19336,17523,1733,445,36,117,610,742,172,99,42,1,15376,80,336
86,29,38.0,19672,17950,1655,404,74,165,719,664,203,113,51,0,15972,67,414
87,29,38.0,19236,17352,1810,453,38,201,660,739,201,71,113,0,15392,74,422
88,32,38.0,16193,14416,1720,477,35,128,517,650,148,79,35,0,12751,57,327
89,30,38.0,16790,14908,1831,536,37,213,564,707,186,76,52,0,13391,51,329
90,28,34.0,14418,12762,1594,378,26,46,708,763,165,78,60,0,10312,62,329
91,28,38.0,17492,15405,2007,570,39,164,925,852,226,67,88,0,13592,80,345
92,36,38.0,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365
93,32,38.0,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347
94,25,34.0,16554,14903,1586,449,39,164,514,639,109,27,53,1,12443,65,324
95,25,38.0,16357,14625,1670,347,41,162,768,722,206,129,57,1,12369,62,390
96,28,34.0,16129,14311,1768,544,38,133,568,696,153,107,38,0,12571,50,315
97,32,38.0,18294,16575,1657,430,49,149,661,663,185,61,86,2,14554,62,355
