,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
32,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,32.0,1981.0,31.0,2392.0,77.0,,26.6,26.0,,15.0,5.0,,,,,,,,
33,Ibrahim Afellay,nl NED,"FW,MF",Barcelona,La Liga,27.0,1986.0,1.0,4.0,4.0,,0.0,0.0,,,1.0,,,,,,,,
34,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,35.0,1978.0,34.0,3060.0,90.0,,34.0,34.0,,34.0,0.0,,,,,,,,
35,Michael Agazzi,it ITA,GK,Cagliari,Serie A,29.0,1984.0,11.0,990.0,90.0,,11.0,11.0,,11.0,0.0,,,,,,,,
36,Michael Agazzi,it ITA,GK,Chievo,Serie A,29.0,1984.0,14.0,1260.0,90.0,,14.0,14.0,,14.0,0.0,,,,,,,,
37,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,Premier League,26.0,1986.0,30.0,2439.0,81.0,,27.1,29.0,,22.0,1.0,,,,,,,,
38,Daniel Agger,dk DEN,DF,Liverpool,Premier League,28.0,1984.0,20.0,1421.0,71.0,,15.8,16.0,,14.0,4.0,,,,,,,,
39,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,26.0,1987.0,31.0,1942.0,63.0,,21.6,21.0,,9.0,10.0,,,,,,,,
40,Alessandro Agostini,it ITA,DF,Hellas Verona,Serie A,34.0,1979.0,25.0,1922.0,77.0,,21.4,22.0,,18.0,3.0,,,,,,,,
41,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,25.0,1988.0,23.0,1528.0,66.0,,17.0,20.0,,5.0,3.0,,,,,,,,
42,Abel Aguilar,co COL,MF,Toulouse,Ligue 1,28.0,1985.0,28.0,2452.0,88.0,,27.2,27.0,,27.0,1.0,,,,,,,,
43,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,22.0,1990.0,29.0,1864.0,64.0,,20.7,20.0,,13.0,9.0,,,,,,,,
44,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,21.0,1991.0,21.0,1890.0,90.0,,21.0,21.0,,21.0,0.0,,,,,,,,
45,Karim El Ahmadi,ma MAR,MF,Aston Villa,Premier League,28.0,1985.0,31.0,2177.0,70.0,,24.2,26.0,,11.0,5.0,,,,,,,,
46,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,Bundesliga,25.0,1987.0,28.0,2158.0,77.0,,24.0,24.0,,16.0,4.0,,,,,,,,
47,Nordine Aït Yahia,fr FRA,MF,Ajaccio,Ligue 1,21.0,1992.0,2.0,81.0,41.0,,0.9,0.0,,,2.0,,,,,,,,
48,Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,Ligue 1,24.0,1989.0,4.0,113.0,28.0,,1.3,1.0,,0.0,3.0,,,,,,,,
49,Nathan Aké,nl NED,"DF,MF",Chelsea,Premier League,18.0,1995.0,1.0,12.0,12.0,,0.1,0.0,,,1.0,,,,,,,,
50,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,Ligue 1,20.0,1992.0,22.0,1475.0,67.0,,16.4,18.0,,9.0,4.0,,,,,,,,
52,Chuba Akpom,eng ENG,"FW,MF",Arsenal,Premier League,17.0,1995.0,1.0,1.0,1.0,,0.0,0.0,,,1.0,,,,,,,,
53,David Alaba,at AUT,"DF,MF",Bayern Munich,Bundesliga,21.0,1992.0,28.0,2398.0,86.0,,26.6,26.0,,24.0,2.0,,,,,,,,
54,Jordi Alba,es ESP,"DF,MF",Barcelona,La Liga,24.0,1989.0,15.0,1240.0,83.0,,13.8,14.0,,12.0,1.0,,,,,,,,
55,Edu Albácar,es ESP,DF,Elche,La Liga,33.0,1979.0,18.0,1586.0,88.0,,17.6,18.0,,17.0,0.0,,,,,,,,
56,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,Serie A,22.0,1991.0,15.0,1211.0,81.0,,13.5,14.0,,10.0,1.0,,,,,,,,
57,Luis Alberto,es ESP,"FW,MF",Liverpool,Premier League,20.0,1992.0,9.0,144.0,16.0,,1.6,0.0,,,9.0,,,,,,,,
58,Raúl Albiol,es ESP,DF,Napoli,Serie A,27.0,1985.0,32.0,2644.0,83.0,,29.4,30.0,,28.0,2.0,,,,,,,,
59,Unai Albizua,es ESP,DF,Athletic Club,La Liga,24.0,1989.0,4.0,55.0,14.0,,0.6,0.0,,,4.0,,,,,,,,
60,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,Premier League,23.0,1989.0,19.0,973.0,51.0,,10.8,9.0,,5.0,10.0,,,,,,,,
61,Tim Albutat,de GER,MF,Freiburg,Bundesliga,20.0,1992.0,1.0,29.0,29.0,,0.3,0.0,,,1.0,,,,,,,,
62,Mads Albæk,dk DEN,MF,Reims,Ligue 1,23.0,1990.0,27.0,1620.0,60.0,,18.0,17.0,,7.0,10.0,,,,,,,,
63,Paco Alcácer,es ESP,FW,Valencia,La Liga,19.0,1993.0,23.0,1531.0,67.0,,17.0,17.0,,9.0,6.0,,,,,,,,
64,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,22.0,1991.0,16.0,1001.0,63.0,,11.1,11.0,,8.0,5.0,,,,,,,,
65,Antolín Alcaraz,py PAR,DF,Everton,Premier League,31.0,1982.0,6.0,495.0,83.0,,5.5,5.0,,5.0,1.0,,,,,,,,
66,Gabriele Aldegani,it ITA,GK,Livorno,Serie A,37.0,1976.0,1.0,8.0,8.0,,0.1,0.0,,,1.0,,,,,,,,
67,Toby Alderweireld,be BEL,DF,Atlético Madrid,La Liga,24.0,1989.0,12.0,909.0,76.0,,10.1,10.0,,10.0,2.0,,,,,,,,
68,Romain Alessandrini,fr FRA,"FW,MF",Rennes,Ligue 1,24.0,1989.0,27.0,1844.0,68.0,,20.5,21.0,,9.0,6.0,,,,,,,,
69,Alex,br BRA,DF,Paris S-G,Ligue 1,31.0,1982.0,31.0,2605.0,84.0,,28.9,30.0,,24.0,1.0,,,,,,,,
70,Marius Alexe,ro ROU,"FW,MF",Sassuolo,Serie A,23.0,1990.0,6.0,165.0,28.0,,1.8,1.0,,0.0,5.0,,,,,,,,
71,Alexis,es ESP,DF,Getafe,La Liga,27.0,1985.0,29.0,2491.0,86.0,,27.7,27.0,,25.0,2.0,,,,,,,,
72,Chaker Alhadhur,km COM,"DF,MF",Nantes,Ligue 1,21.0,1991.0,15.0,1241.0,83.0,,13.8,14.0,,12.0,1.0,,,,,,,,
73,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,Ligue 1,30.0,1983.0,27.0,2056.0,76.0,,22.8,24.0,,16.0,3.0,,,,,,,,
74,Denis Alibec,ro ROU,FW,Bologna,Serie A,22.0,1991.0,1.0,2.0,2.0,,0.0,0.0,,,1.0,,,,,,,,
75,Rachid Alioui,ma MAR,FW,Guingamp,Ligue 1,21.0,1992.0,16.0,753.0,47.0,,8.4,9.0,,2.0,7.0,,,,,,,,
76,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,Bundesliga,27.0,1986.0,29.0,1975.0,68.0,,21.9,23.0,,12.0,6.0,,,,,,,,
78,Allan,br BRA,"DF,MF",Udinese,Serie A,22.0,1991.0,33.0,2642.0,80.0,,29.4,30.0,,24.0,3.0,,,,,,,,
79,Zana Allée,fr FRA,"FW,MF",Rennes,Ligue 1,19.0,1994.0,5.0,101.0,20.0,,1.1,1.0,,0.0,4.0,,,,,,,,
80,Joe Allen,wls WAL,MF,Liverpool,Premier League,23.0,1990.0,24.0,1443.0,60.0,,16.0,15.0,,11.0,9.0,,,,,,,,
81,Sergio Almirón,ar ARG,MF,Catania,Serie A,32.0,1980.0,13.0,869.0,67.0,,9.7,11.0,,4.0,2.0,,,,,,,,
82,Marcos Alonso,es ESP,"DF,MF",Sunderland,Premier League,22.0,1990.0,16.0,1440.0,90.0,,16.0,16.0,,15.0,0.0,,,,,,,,
83,Marcos Alonso,es ESP,"DF,MF",Fiorentina,Serie A,22.0,1990.0,3.0,160.0,53.0,,1.8,1.0,,1.0,2.0,,,,,,,,
84,Xabi Alonso,es ESP,MF,Real Madrid,La Liga,31.0,1981.0,26.0,2021.0,78.0,,22.5,23.0,,18.0,3.0,,,,,,,,
85,Jozy Altidore,us USA,FW,Sunderland,Premier League,23.0,1989.0,31.0,1783.0,58.0,,19.8,19.0,,14.0,12.0,,,,,,,,
86,Halil Altıntop,tr TUR,"FW,MF",Augsburg,Bundesliga,30.0,1982.0,34.0,2695.0,79.0,,29.9,34.0,,14.0,0.0,,,,,,,,
87,Sone Aluko,ng NGA,"FW,MF",Hull City,Premier League,24.0,1989.0,17.0,933.0,55.0,,10.4,10.0,,2.0,7.0,,,,,,,,
88,Pablo Álvarez,ar ARG,DF,Catania,Serie A,29.0,1984.0,18.0,1382.0,77.0,,15.4,15.0,,12.0,3.0,,,,,,,,
89,Ricky Álvarez,ar ARG,MF,Inter,Serie A,25.0,1988.0,29.0,2110.0,73.0,,23.4,25.0,,15.0,4.0,,,,,,,,
90,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,26.0,1986.0,3.0,270.0,90.0,,3.0,3.0,,3.0,0.0,,,,,,,,
91,Víctor Álvarez,es ESP,"DF,MF",Espanyol,La Liga,20.0,1993.0,7.0,300.0,43.0,,3.3,5.0,,0.0,2.0,,,,,,,,
92,Dani Alves,br BRA,"DF,MF",Barcelona,La Liga,30.0,1983.0,27.0,2385.0,88.0,,26.5,26.0,,26.0,1.0,,,,,,,,
93,Diego Alves,br BRA,GK,Valencia,La Liga,28.0,1985.0,27.0,2280.0,84.0,,25.3,27.0,,25.0,0.0,,,,,,,,
94,Morgan Amalfitano,fr FRA,MF,West Brom,Premier League,28.0,1985.0,28.0,2140.0,76.0,,23.8,26.0,,11.0,2.0,,,,,,,,
95,Morgan Amalfitano,fr FRA,MF,Marseille,Ligue 1,28.0,1985.0,2.0,30.0,15.0,,0.3,0.0,,,2.0,,,,,,,,
96,Jordi Amat,id IDN,DF,Swansea City,Premier League,21.0,1992.0,17.0,1248.0,73.0,,13.9,13.0,,12.0,4.0,,,,,,,,
97,Amauri,it ITA,FW,Parma,Serie A,33.0,1980.0,31.0,1798.0,58.0,,20.0,20.0,,12.0,11.0,,,,,,,,
98,Jordan Amavi,fr FRA,DF,Nice,Ligue 1,19.0,1994.0,19.0,1021.0,54.0,,11.3,9.0,,8.0,10.0,,,,,,,,
99,Antonio Amaya,es ESP,DF,Betis,La Liga,30.0,1983.0,24.0,2027.0,84.0,,22.5,22.0,,20.0,2.0,,,,,,,,
100,Massimo Ambrosini,it ITA,MF,Fiorentina,Serie A,36.0,1977.0,21.0,1317.0,63.0,,14.6,16.0,,11.0,5.0,,,,,,,,
101,Marco Amelia,it ITA,GK,Milan,Serie A,31.0,1982.0,5.0,445.0,89.0,,4.9,4.0,,4.0,1.0,,,,,,,,
102,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,Premier League,21.0,1992.0,10.0,376.0,38.0,,4.2,4.0,,2.0,6.0,,,,,,,,
104,Shola Ameobi,ng NGA,FW,Newcastle Utd,Premier League,31.0,1981.0,26.0,1287.0,50.0,,14.3,14.0,,5.0,12.0,,,,,,,,
105,Fernando Amorebieta,ve VEN,DF,Fulham,Premier League,28.0,1985.0,23.0,1847.0,80.0,,20.5,20.0,,18.0,3.0,,,,,,,,
106,Nordin Amrabat,ma MAR,"FW,MF",Málaga,La Liga,26.0,1987.0,15.0,1305.0,87.0,,14.5,15.0,,10.0,0.0,,,,,,,,
107,Mohamed Amsif,ma MAR,GK,Augsburg,Bundesliga,24.0,1989.0,2.0,180.0,90.0,,2.0,2.0,,2.0,0.0,,,,,,,,
108,Luca Anania,it ITA,GK,Livorno,Serie A,33.0,1980.0,3.0,262.0,87.0,,2.9,3.0,,2.0,0.0,,,,,,,,
109,Stephan Andersen,dk DEN,GK,Betis,La Liga,31.0,1981.0,7.0,585.0,84.0,,6.5,6.0,,6.0,1.0,,,,,,,,
110,Anderson,br BRA,MF,Manchester Utd,Premier League,25.0,1988.0,4.0,154.0,39.0,,1.7,2.0,,0.0,2.0,,,,,,,,
111,Anderson,br BRA,MF,Fiorentina,Serie A,25.0,1988.0,7.0,277.0,40.0,,3.1,4.0,,0.0,3.0,,,,,,,,
112,Bobley Anderson,ci CIV,MF,Málaga,La Liga,21.0,1992.0,8.0,255.0,32.0,,2.8,1.0,,0.0,7.0,,,,,,,,
113,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,20.0,1993.0,13.0,526.0,40.0,,5.8,7.0,,0.0,6.0,,,,,,,,
114,Nícolas Andrade,br BRA,GK,Hellas Verona,Serie A,25.0,1988.0,1.0,90.0,90.0,,1.0,1.0,,,0.0,,,,,,,,
115,Benjamin André,fr FRA,"DF,MF",Ajaccio,Ligue 1,22.0,1990.0,36.0,3064.0,85.0,,34.0,35.0,,29.0,1.0,,,,,,,,
116,Leon Andreasen,dk DEN,"DF,MF",Hannover 96,Bundesliga,30.0,1983.0,31.0,2432.0,78.0,,27.0,28.0,,20.0,3.0,,,,,,,,
117,Marco Andreolli,it ITA,DF,Inter,Serie A,27.0,1986.0,4.0,206.0,52.0,,2.3,2.0,,2.0,2.0,,,,,,,,
118,Mariano Andújar,ar ARG,GK,Catania,Serie A,30.0,1983.0,24.0,2160.0,90.0,,24.0,24.0,,24.0,0.0,,,,,,,,
119,Nicolas Anelka,fr FRA,FW,West Brom,Premier League,34.0,1979.0,12.0,849.0,71.0,,9.4,11.0,,3.0,1.0,,,,,,,,
120,José Ángel Crespo,es ESP,DF,Bologna,Serie A,26.0,1987.0,10.0,545.0,55.0,,6.1,7.0,,3.0,3.0,,,,,,,,
121,José Ángel,es ESP,DF,Real Sociedad,La Liga,23.0,1989.0,22.0,1906.0,87.0,,21.2,22.0,,21.0,0.0,,,,,,,,
122,Miguel Ángel Moyá,es ESP,GK,Getafe,La Liga,29.0,1984.0,26.0,2307.0,89.0,,25.6,26.0,,25.0,0.0,,,,,,,,
123,Joan Àngel Román,es ESP,"FW,MF",Villarreal,La Liga,20.0,1993.0,2.0,90.0,45.0,,1.0,1.0,,0.0,1.0,,,,,,,,
124,Marcos Angeleri,ar ARG,DF,Málaga,La Liga,30.0,1983.0,26.0,2221.0,85.0,,24.7,25.0,,21.0,1.0,,,,,,,,
125,Martin Angha,ch SUI,DF,Nürnberg,Bundesliga,19.0,1994.0,14.0,1045.0,75.0,,11.6,11.0,,8.0,3.0,,,,,,,,
126,Benjamin Angoua,ci CIV,DF,Valenciennes,Ligue 1,26.0,1986.0,16.0,1395.0,87.0,,15.5,15.0,,15.0,1.0,,,,,,,,
127,Aldo Angoula,fr FRA,DF,Evian,Ligue 1,32.0,1981.0,20.0,1717.0,86.0,,19.1,19.0,,18.0,1.0,,,,,,,,
128,Brayan Angulo,co COL,"DF,MF",Granada,La Liga,23.0,1989.0,34.0,2938.0,86.0,,32.6,33.0,,32.0,1.0,,,,,,,,
130,Victor Anichebe,ng NGA,FW,West Brom,Premier League,25.0,1988.0,24.0,1220.0,51.0,,13.6,11.0,,4.0,13.0,,,,,,,,
131,Victor Anichebe,ng NGA,FW,Everton,Premier League,25.0,1988.0,1.0,1.0,1.0,,0.0,0.0,,,1.0,,,,,,,,
132,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,Premier League,24.0,1989.0,34.0,2457.0,72.0,,27.3,28.0,,17.0,6.0,,,,,,,,
133,Anthony Annan,gh GHA,MF,Schalke 04,Bundesliga,27.0,1986.0,3.0,32.0,11.0,,0.4,0.0,,,3.0,,,,,,,,
134,Ion Ansotegi,es ESP,DF,Real Sociedad,La Liga,31.0,1982.0,24.0,1790.0,75.0,,19.9,18.0,,16.0,6.0,,,,,,,,
135,Luca Antei,it ITA,DF,Sassuolo,Serie A,21.0,1992.0,22.0,1931.0,88.0,,21.5,22.0,,19.0,0.0,,,,,,,,
136,Luca Antonelli,it ITA,"DF,MF",Genoa,Serie A,26.0,1987.0,30.0,2576.0,86.0,,28.6,30.0,,23.0,0.0,,,,,,,,
137,Luca Antonini,it ITA,"DF,MF",Genoa,Serie A,30.0,1982.0,26.0,2147.0,83.0,,23.9,25.0,,20.0,1.0,,,,,,,,
138,José Antonio Caro,es ESP,DF,Betis,La Liga,20.0,1993.0,4.0,171.0,43.0,,1.9,1.0,,1.0,3.0,,,,,,,,
139,José Antonio Reyes,es ESP,MF,Sevilla,La Liga,29.0,1983.0,21.0,1174.0,56.0,,13.0,15.0,,3.0,6.0,,,,,,,,
140,Mikael Antonsson,se SWE,DF,Bologna,Serie A,32.0,1981.0,34.0,2955.0,87.0,,32.8,32.0,,30.0,2.0,,,,,,,,
141,Vitorino Antunes,pt POR,DF,Málaga,La Liga,26.0,1987.0,36.0,3179.0,88.0,,35.3,36.0,,32.0,0.0,,,,,,,,
142,Dennis Aogo,de GER,"DF,MF",Hamburger SV,Bundesliga,26.0,1987.0,2.0,32.0,16.0,,0.4,0.0,,,2.0,,,,,,,,
143,Dennis Aogo,de GER,"DF,MF",Schalke 04,Bundesliga,26.0,1987.0,10.0,888.0,89.0,,9.9,10.0,,9.0,0.0,,,,,,,,
144,Alberto Aquilani,it ITA,MF,Fiorentina,Serie A,29.0,1984.0,31.0,2587.0,83.0,,28.7,31.0,,19.0,0.0,,,,,,,,
145,Javier Aquino,mx MEX,"DF,FW",Villarreal,La Liga,23.0,1990.0,32.0,1848.0,58.0,,20.5,18.0,,10.0,14.0,,,,,,,,
146,Youssef El-Arabi,ma MAR,FW,Granada,La Liga,26.0,1987.0,36.0,2769.0,77.0,,30.8,34.0,,18.0,2.0,,,,,,,,
147,Juan Arango,ve VEN,MF,M'Gladbach,Bundesliga,33.0,1980.0,31.0,2587.0,83.0,,28.7,31.0,,11.0,0.0,,,,,,,,
148,Daniel Aranzubia,es ESP,GK,Atlético Madrid,La Liga,33.0,1979.0,1.0,84.0,84.0,,0.9,1.0,,0.0,0.0,,,,,,,,
149,Vinícius Araújo,br BRA,FW,Valencia,La Liga,20.0,1993.0,6.0,105.0,18.0,,1.2,0.0,,,6.0,,,,,,,,
150,Álvaro Arbeloa,es ESP,DF,Real Madrid,La Liga,30.0,1983.0,18.0,1315.0,73.0,,14.6,14.0,,11.0,4.0,,,,,,,,
151,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,La Liga,26.0,1987.0,30.0,2382.0,79.0,,26.5,26.0,,23.0,4.0,,,,,,,,
152,Matteo Ardemagni,it ITA,FW,Chievo,Serie A,26.0,1987.0,2.0,29.0,15.0,,0.3,0.0,,,2.0,,,,,,,,
153,Lorenzo Ariaudo,it ITA,DF,Cagliari,Serie A,24.0,1989.0,4.0,271.0,68.0,,3.0,3.0,,3.0,1.0,,,,,,,,
154,Lorenzo Ariaudo,it ITA,DF,Sassuolo,Serie A,24.0,1989.0,12.0,1033.0,86.0,,11.5,12.0,,10.0,0.0,,,,,,,,
156,José Ariel Núñez,py PAR,"FW,MF",Osasuna,La Liga,24.0,1988.0,6.0,252.0,42.0,,2.8,2.0,,0.0,4.0,,,,,,,,
157,Fernando Aristeguieta,ve VEN,FW,Nantes,Ligue 1,21.0,1992.0,22.0,658.0,30.0,,7.3,4.0,,2.0,18.0,,,,,,,,
158,Sylvain Armand,fr FRA,DF,Rennes,Ligue 1,32.0,1980.0,32.0,2797.0,87.0,,31.1,32.0,,31.0,0.0,,,,,,,,
159,Emiliano Armenteros,ar ARG,MF,Osasuna,La Liga,27.0,1986.0,29.0,2268.0,78.0,,25.2,27.0,,16.0,2.0,,,,,,,,
160,Pablo Armero,co COL,"DF,MF",West Ham,Premier League,26.0,1986.0,5.0,323.0,65.0,,3.6,3.0,,3.0,2.0,,,,,,,,
161,Pablo Armero,co COL,"DF,MF",Napoli,Serie A,26.0,1986.0,14.0,880.0,63.0,,9.8,9.0,,9.0,5.0,,,,,,,,
162,Adam Armstrong,eng ENG,"FW,MF",Newcastle Utd,Premier League,16.0,1997.0,4.0,34.0,9.0,,0.4,0.0,,,4.0,,,,,,,,
163,Marko Arnautović,at AUT,"FW,MF",Stoke City,Premier League,24.0,1989.0,30.0,2247.0,75.0,,25.0,27.0,,14.0,3.0,,,,,,,,
164,Marko Arnautović,at AUT,"FW,MF",Werder Bremen,Bundesliga,24.0,1989.0,2.0,89.0,45.0,,1.0,1.0,,0.0,1.0,,,,,,,,
165,John Arne Riise,no NOR,"DF,MF",Fulham,Premier League,32.0,1980.0,20.0,1488.0,74.0,,16.5,17.0,,15.0,3.0,,,,,,,,
166,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,19.0,1994.0,28.0,2239.0,80.0,,24.9,27.0,,12.0,1.0,,,,,,,,
167,Salim Arrache,dz ALG,MF,Ajaccio,Ligue 1,31.0,1982.0,7.0,274.0,39.0,,3.0,5.0,,0.0,2.0,,,,,,,,
168,Alejandro Arribas,es ESP,DF,Osasuna,La Liga,24.0,1989.0,36.0,3196.0,89.0,,35.5,36.0,,34.0,0.0,,,,,,,,
169,Álvaro Arroyo,es ESP,DF,Getafe,La Liga,25.0,1988.0,17.0,1442.0,85.0,,16.0,16.0,,13.0,1.0,,,,,,,,
170,Tolgay Arslan,de GER,MF,Hamburger SV,Bundesliga,22.0,1990.0,32.0,2471.0,77.0,,27.5,27.0,,19.0,5.0,,,,,,,,
171,Mikel Arteta,es ESP,MF,Arsenal,Premier League,31.0,1982.0,31.0,2408.0,78.0,,26.8,27.0,,23.0,4.0,,,,,,,,
172,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,Serie A,24.0,1988.0,34.0,2750.0,81.0,,30.6,32.0,,24.0,2.0,,,,,,,,
173,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,24.0,1989.0,35.0,3150.0,90.0,,35.0,35.0,,35.0,0.0,,,,,,,,
174,Iago Aspas,es ESP,"FW,MF",Liverpool,Premier League,25.0,1987.0,14.0,383.0,27.0,,4.3,5.0,,0.0,9.0,,,,,,,,
175,Oussama Assaidi,ma MAR,"FW,MF",Stoke City,Premier League,24.0,1988.0,19.0,1113.0,59.0,,12.4,12.0,,6.0,7.0,,,,,,,,
176,Davide Astori,it ITA,DF,Cagliari,Serie A,26.0,1987.0,34.0,3015.0,89.0,,33.5,34.0,,33.0,0.0,,,,,,,,
