,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
31,24,34.0,62,0,0,437,401,56,636,452,247,5,6,2,1718,588,637,48.0
32,28,38.0,67,3,0,484,372,43,710,437,329,5,7,1,2010,649,625,50.9
33,34,38.0,87,2,1,520,466,79,579,520,309,2,7,2,2013,505,643,44.0
34,31,38.0,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0
35,34,38.0,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2
36,32,38.0,91,1,0,622,520,108,732,492,269,3,7,2,2214,749,832,47.4
37,32,34.0,67,3,2,469,428,77,585,417,270,6,8,1,1743,527,513,50.7
38,30,34.0,68,4,2,442,407,49,658,431,296,4,9,2,1896,516,620,45.4
39,27,38.0,69,2,1,528,518,101,824,437,321,2,5,2,1876,580,598,49.2
40,25,38.0,61,2,1,472,426,65,702,371,286,6,7,1,1814,439,428,50.6
41,30,38.0,80,6,2,505,470,93,754,458,323,8,9,2,1941,426,378,53.0
42,28,34.0,63,1,1,422,429,57,655,429,328,4,9,0,1948,607,614,49.7
43,30,38.0,107,5,3,498,427,87,744,445,346,8,10,2,2132,539,510,51.4
44,23,38.0,61,1,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1
45,27,38.0,61,0,0,413,421,71,649,438,403,11,4,2,2111,600,590,50.4
46,27,38.0,94,7,5,541,465,49,760,508,358,11,11,3,2004,644,630,50.5
47,29,38.0,68,1,0,509,397,69,697,435,282,5,4,2,2023,455,522,46.6
48,30,34.0,58,0,0,433,335,72,674,322,282,1,2,2,2006,444,487,47.7
49,21,38.0,68,2,1,487,450,64,637,424,370,5,2,2,2216,572,558,50.6
50,28,38.0,40,0,0,396,316,65,862,347,303,4,8,0,2202,537,572,48.4
51,27,38.0,69,3,1,475,469,46,606,527,424,9,11,1,2064,507,586,46.4
52,29,38.0,66,10,3,484,439,63,710,408,346,11,7,2,2140,528,424,55.5
53,23,34.0,61,2,0,395,412,82,561,436,307,9,6,0,1914,512,488,51.2
54,31,34.0,63,1,1,500,379,57,605,500,364,4,7,1,1923,613,650,48.5
55,24,38.0,46,2,0,361,372,57,632,319,271,7,10,1,1946,479,417,53.5
56,29,38.0,64,1,0,452,400,76,640,386,311,9,4,2,2124,546,413,56.9
57,31,38.0,98,9,2,500,473,52,647,442,391,3,3,1,1898,552,534,50.8
58,27,38.0,84,4,1,516,474,50,659,572,417,6,13,1,2098,601,612,49.5
59,29,38.0,83,4,1,513,474,92,688,382,357,15,5,1,2069,567,539,51.3
60,30,38.0,78,7,2,486,470,70,746,436,432,11,5,1,2182,611,558,52.3
61,25,38.0,65,7,0,513,452,48,807,420,334,4,12,2,1876,657,643,50.5
62,25,38.0,70,4,2,514,498,54,678,464,385,8,12,1,2066,671,700,48.9
63,25,38.0,76,3,2,386,548,72,665,369,345,7,5,1,1923,414,404,50.6
64,27,38.0,65,3,2,388,420,58,652,362,268,6,5,3,1770,634,655,49.2
65,31,38.0,73,4,2,459,438,40,599,435,364,6,7,0,1965,391,419,48.3
66,33,38.0,60,5,2,424,533,50,617,501,372,6,10,0,1906,517,671,43.5
67,28,38.0,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3
68,33,38.0,79,7,3,463,431,65,695,373,385,11,2,1,2052,355,300,54.2
69,42,38.0,91,1,0,525,481,78,643,463,317,4,3,3,1803,630,474,57.1
70,25,34.0,57,0,0,435,404,81,649,353,305,9,3,0,2060,622,466,57.2
71,30,38.0,59,2,1,407,474,86,771,401,318,2,8,1,1901,444,381,53.8
72,30,38.0,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8
73,29,38.0,77,8,1,442,414,61,539,487,372,3,8,1,1936,494,578,46.1
74,32,38.0,79,5,0,502,486,34,764,361,337,3,4,1,2003,627,554,53.1
75,31,38.0,91,3,3,553,425,62,679,489,273,6,6,3,1894,428,414,50.8
76,40,38.0,76,2,0,529,490,49,779,471,428,5,9,2,2119,612,624,49.5
77,27,38.0,83,3,1,509,485,62,787,453,326,3,9,1,2048,628,597,51.3
78,28,38.0,79,4,2,494,475,57,588,426,310,12,5,1,1850,408,450,47.6
79,42,34.0,74,2,2,415,403,68,425,411,337,3,8,5,1748,519,564,47.9
80,26,38.0,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5
81,27,38.0,73,3,0,459,293,73,666,351,356,3,4,3,1802,718,798,47.4
82,29,38.0,52,3,0,428,421,76,554,401,419,4,9,1,2010,527,713,42.5
83,35,38.0,100,5,4,588,529,82,602,394,320,5,10,0,2001,537,568,48.6
84,26,38.0,58,3,1,499,412,39,713,521,396,7,8,1,2036,691,658,51.2
85,29,34.0,65,2,1,420,434,55,539,426,294,6,7,1,2053,544,452,54.6
86,29,38.0,78,4,3,577,602,59,740,444,306,6,10,0,1968,595,622,48.9
87,24,38.0,57,2,2,440,468,45,526,342,361,5,10,3,1951,618,647,48.9
88,33,38.0,65,2,1,511,522,82,703,440,294,3,14,0,1853,491,442,52.6
89,27,34.0,57,2,1,434,375,84,640,405,283,6,5,2,1977,585,669,46.7
90,30,38.0,82,5,3,459,527,90,613,391,277,6,7,2,1832,602,575,51.1
91,32,38.0,93,4,0,511,510,75,746,430,321,8,7,0,1922,628,818,43.4
92,29,38.0,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6
93,27,34.0,67,3,2,396,467,68,548,407,333,3,6,3,1738,609,582,51.1
94,30,38.0,51,4,0,404,412,75,604,435,328,4,11,3,1963,709,771,47.9
95,24,38.0,50,3,1,375,354,74,775,437,280,3,5,4,2005,738,677,52.2
96,26,34.0,58,3,1,442,379,77,643,477,363,1,5,1,2088,567,566,50.0
97,27,38.0,55,1,1,426,383,37,775,432,335,3,8,3,1899,576,596,49.1
