,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
60,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,Premier League,23.0,1989.0,19.0,9.0,973.0,10.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.37,0.37,0.0,0.37
61,Tim Albutat,de GER,MF,Freiburg,Bundesliga,20.0,1992.0,1.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Mads Albæk,dk DEN,MF,Reims,Ligue 1,23.0,1990.0,27.0,17.0,1620.0,18.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.11,0.11,0.22,0.11,0.22
63,Paco Alcácer,es ESP,FW,Valencia,La Liga,19.0,1993.0,23.0,17.0,1531.0,17.0,6.0,2.0,8.0,6.0,0.0,0.0,5.0,0.0,0.35,0.12,0.47,0.35,0.47
64,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,22.0,1991.0,16.0,11.0,1001.0,11.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.18,0.36,0.54,0.18,0.54
65,Antolín Alcaraz,py PAR,DF,Everton,Premier League,31.0,1982.0,6.0,5.0,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Gabriele Aldegani,it ITA,GK,Livorno,Serie A,37.0,1976.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Toby Alderweireld,be BEL,DF,Atlético Madrid,La Liga,24.0,1989.0,12.0,10.0,909.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
68,Romain Alessandrini,fr FRA,"FW,MF",Rennes,Ligue 1,24.0,1989.0,27.0,21.0,1844.0,20.5,6.0,5.0,11.0,5.0,1.0,1.0,2.0,0.0,0.29,0.24,0.54,0.24,0.49
69,Alex,br BRA,DF,Paris S-G,Ligue 1,31.0,1982.0,31.0,30.0,2605.0,28.9,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07
70,Marius Alexe,ro ROU,"FW,MF",Sassuolo,Serie A,23.0,1990.0,6.0,1.0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Alexis,es ESP,DF,Getafe,La Liga,27.0,1985.0,29.0,27.0,2491.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
72,Chaker Alhadhur,km COM,"DF,MF",Nantes,Ligue 1,21.0,1991.0,15.0,14.0,1241.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07
73,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,Ligue 1,30.0,1983.0,27.0,24.0,2056.0,22.8,8.0,3.0,11.0,6.0,2.0,2.0,0.0,0.0,0.35,0.13,0.48,0.26,0.39
74,Denis Alibec,ro ROU,FW,Bologna,Serie A,22.0,1991.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Rachid Alioui,ma MAR,FW,Guingamp,Ligue 1,21.0,1992.0,16.0,9.0,753.0,8.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.24,0.12,0.36,0.24,0.36
76,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,Bundesliga,27.0,1986.0,29.0,23.0,1975.0,21.9,9.0,2.0,11.0,9.0,0.0,0.0,4.0,0.0,0.41,0.09,0.5,0.41,0.5
78,Allan,br BRA,"DF,MF",Udinese,Serie A,22.0,1991.0,33.0,30.0,2642.0,29.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.07,0.07,0.0,0.07
79,Zana Allée,fr FRA,"FW,MF",Rennes,Ligue 1,19.0,1994.0,5.0,1.0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Joe Allen,wls WAL,MF,Liverpool,Premier League,23.0,1990.0,24.0,15.0,1443.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06
81,Sergio Almirón,ar ARG,MF,Catania,Serie A,32.0,1980.0,13.0,11.0,869.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1
82,Marcos Alonso,es ESP,"DF,MF",Sunderland,Premier League,22.0,1990.0,16.0,16.0,1440.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.06,0.06,0.0,0.06
83,Marcos Alonso,es ESP,"DF,MF",Fiorentina,Serie A,22.0,1990.0,3.0,1.0,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Xabi Alonso,es ESP,MF,Real Madrid,La Liga,31.0,1981.0,26.0,23.0,2021.0,22.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04
85,Jozy Altidore,us USA,FW,Sunderland,Premier League,23.0,1989.0,31.0,19.0,1783.0,19.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1
86,Halil Altıntop,tr TUR,"FW,MF",Augsburg,Bundesliga,30.0,1982.0,34.0,34.0,2695.0,29.9,10.0,3.0,13.0,10.0,0.0,0.0,1.0,0.0,0.33,0.1,0.43,0.33,0.43
87,Sone Aluko,ng NGA,"FW,MF",Hull City,Premier League,24.0,1989.0,17.0,10.0,933.0,10.4,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.1,0.29,0.39,0.1,0.39
88,Pablo Álvarez,ar ARG,DF,Catania,Serie A,29.0,1984.0,18.0,15.0,1382.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Ricky Álvarez,ar ARG,MF,Inter,Serie A,25.0,1988.0,29.0,25.0,2110.0,23.4,4.0,8.0,12.0,4.0,0.0,0.0,4.0,1.0,0.17,0.34,0.51,0.17,0.51
90,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,26.0,1986.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Víctor Álvarez,es ESP,"DF,MF",Espanyol,La Liga,20.0,1993.0,7.0,5.0,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
92,Dani Alves,br BRA,"DF,MF",Barcelona,La Liga,30.0,1983.0,27.0,26.0,2385.0,26.5,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.08,0.11,0.19,0.08,0.19
93,Diego Alves,br BRA,GK,Valencia,La Liga,28.0,1985.0,27.0,27.0,2280.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Morgan Amalfitano,fr FRA,MF,West Brom,Premier League,28.0,1985.0,28.0,26.0,2140.0,23.8,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,0.17,0.13,0.29,0.17,0.29
95,Morgan Amalfitano,fr FRA,MF,Marseille,Ligue 1,28.0,1985.0,2.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Jordi Amat,id IDN,DF,Swansea City,Premier League,21.0,1992.0,17.0,13.0,1248.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Amauri,it ITA,FW,Parma,Serie A,33.0,1980.0,31.0,20.0,1798.0,20.0,8.0,0.0,8.0,6.0,2.0,3.0,1.0,2.0,0.4,0.0,0.4,0.3,0.3
98,Jordan Amavi,fr FRA,DF,Nice,Ligue 1,19.0,1994.0,19.0,9.0,1021.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Antonio Amaya,es ESP,DF,Betis,La Liga,30.0,1983.0,24.0,22.0,2027.0,22.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.09,0.04,0.09
100,Massimo Ambrosini,it ITA,MF,Fiorentina,Serie A,36.0,1977.0,21.0,16.0,1317.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07
101,Marco Amelia,it ITA,GK,Milan,Serie A,31.0,1982.0,5.0,4.0,445.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,Premier League,21.0,1992.0,10.0,4.0,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Shola Ameobi,ng NGA,FW,Newcastle Utd,Premier League,31.0,1981.0,26.0,14.0,1287.0,14.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.14,0.0,0.14,0.14,0.14
105,Fernando Amorebieta,ve VEN,DF,Fulham,Premier League,28.0,1985.0,23.0,20.0,1847.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05
106,Nordin Amrabat,ma MAR,"FW,MF",Málaga,La Liga,26.0,1987.0,15.0,15.0,1305.0,14.5,2.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,0.14,0.34,0.48,0.07,0.41
107,Mohamed Amsif,ma MAR,GK,Augsburg,Bundesliga,24.0,1989.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Luca Anania,it ITA,GK,Livorno,Serie A,33.0,1980.0,3.0,3.0,262.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Stephan Andersen,dk DEN,GK,Betis,La Liga,31.0,1981.0,7.0,6.0,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Anderson,br BRA,MF,Manchester Utd,Premier League,25.0,1988.0,4.0,2.0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Anderson,br BRA,MF,Fiorentina,Serie A,25.0,1988.0,7.0,4.0,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Bobley Anderson,ci CIV,MF,Málaga,La Liga,21.0,1992.0,8.0,1.0,255.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35,0.35,0.0,0.35
113,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,20.0,1993.0,13.0,7.0,526.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17
114,Nícolas Andrade,br BRA,GK,Hellas Verona,Serie A,25.0,1988.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Benjamin André,fr FRA,"DF,MF",Ajaccio,Ligue 1,22.0,1990.0,36.0,35.0,3064.0,34.0,4.0,5.0,9.0,4.0,0.0,0.0,2.0,1.0,0.12,0.15,0.26,0.12,0.26
116,Leon Andreasen,dk DEN,"DF,MF",Hannover 96,Bundesliga,30.0,1983.0,31.0,28.0,2432.0,27.0,3.0,3.0,6.0,3.0,0.0,0.0,6.0,0.0,0.11,0.11,0.22,0.11,0.22
117,Marco Andreolli,it ITA,DF,Inter,Serie A,27.0,1986.0,4.0,2.0,206.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.44,0.0,0.44,0.44,0.44
118,Mariano Andújar,ar ARG,GK,Catania,Serie A,30.0,1983.0,24.0,24.0,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Nicolas Anelka,fr FRA,FW,West Brom,Premier League,34.0,1979.0,12.0,11.0,849.0,9.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
120,José Ángel Crespo,es ESP,DF,Bologna,Serie A,26.0,1987.0,10.0,7.0,545.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17
121,José Ángel,es ESP,DF,Real Sociedad,La Liga,23.0,1989.0,22.0,22.0,1906.0,21.2,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.05,0.24,0.28,0.05,0.28
122,Miguel Ángel Moyá,es ESP,GK,Getafe,La Liga,29.0,1984.0,26.0,26.0,2307.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Joan Àngel Román,es ESP,"FW,MF",Villarreal,La Liga,20.0,1993.0,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Marcos Angeleri,ar ARG,DF,Málaga,La Liga,30.0,1983.0,26.0,25.0,2221.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.04,0.04,0.0,0.04
125,Martin Angha,ch SUI,DF,Nürnberg,Bundesliga,19.0,1994.0,14.0,11.0,1045.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Benjamin Angoua,ci CIV,DF,Valenciennes,Ligue 1,26.0,1986.0,16.0,15.0,1395.0,15.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
