,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
16,Martin Adeline,fr FRA,"MF,FW",Reims,Ligue 1,17.0,2003.0,3.9,10.0,2.56,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,Bundesliga,21.0,2000.0,14.0,49.0,3.51,39.0,1.0,3.0,4.0,2.0,0.0,6.0,0.43,5.0,0.0,0.0,1.0,0.0,0.0
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,Ligue 1,21.0,2000.0,25.1,121.0,4.82,81.0,22.0,6.0,3.0,5.0,4.0,18.0,0.72,13.0,3.0,1.0,0.0,1.0,0.0
19,Michel Aebischer,ch SUI,MF,Bologna,Serie A,24.0,1997.0,4.9,10.0,2.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,Serie A,18.0,2003.0,7.4,23.0,3.1,14.0,0.0,2.0,2.0,5.0,0.0,2.0,0.27,1.0,0.0,1.0,0.0,0.0,0.0
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25.0,1996.0,18.0,32.0,1.78,25.0,3.0,2.0,0.0,2.0,0.0,3.0,0.17,2.0,0.0,1.0,0.0,0.0,0.0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Lucien Agoume,fr FRA,MF,Brest,Ligue 1,19.0,2002.0,20.8,35.0,1.69,28.0,1.0,1.0,4.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
24,Kevin Agudelo,co COL,"MF,FW",Spezia,Serie A,22.0,1998.0,13.7,39.0,2.84,21.0,0.0,6.0,4.0,4.0,4.0,3.0,0.22,1.0,0.0,0.0,0.0,0.0,2.0
26,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,25.0,1996.0,30.4,15.0,0.49,10.0,0.0,0.0,4.0,1.0,0.0,4.0,0.13,3.0,0.0,0.0,0.0,1.0,0.0
27,Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33.0,1988.0,1.7,3.0,1.78,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28.0,1993.0,23.8,32.0,1.35,25.0,3.0,1.0,1.0,2.0,0.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,21.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,Bundesliga,19.0,2002.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,22.0,1999.0,15.0,20.0,1.33,16.0,1.0,0.0,2.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,27.0,1994.0,11.2,23.0,2.06,19.0,0.0,1.0,1.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,25.0,1995.0,29.3,16.0,0.55,15.0,0.0,0.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
34,Ola Aina,ng NGA,DF,Torino,Serie A,24.0,1996.0,16.0,37.0,2.32,29.0,2.0,3.0,0.0,3.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,Premier League,20.0,2001.0,20.3,45.0,2.22,30.0,8.0,4.0,0.0,2.0,1.0,6.0,0.3,4.0,1.0,0.0,0.0,1.0,0.0
36,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,23.0,1998.0,22.2,33.0,1.5,22.0,6.0,2.0,1.0,1.0,1.0,7.0,0.32,3.0,1.0,2.0,0.0,1.0,0.0
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,27.0,1994.0,30.4,84.0,2.76,63.0,0.0,2.0,9.0,9.0,1.0,10.0,0.33,6.0,0.0,0.0,2.0,2.0,0.0
38,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,26.0,1995.0,25.1,16.0,0.64,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
39,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,28.0,1993.0,20.5,26.0,1.27,17.0,4.0,1.0,1.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
40,Marley Aké,fr FRA,"FW,MF",Juventus,Serie A,20.0,2001.0,0.9,1.0,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nathan Aké,nl NED,DF,Manchester City,Premier League,26.0,1995.0,10.3,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ilias Akhomach,es ESP,FW,Barcelona,La Liga,17.0,2004.0,1.4,9.0,6.53,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,Ligue 1,19.0,2002.0,0.6,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Paul Akouokou,ci CIV,MF,Betis,La Liga,23.0,1997.0,5.7,7.0,1.22,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,28.0,1992.0,3.5,3.0,0.86,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,Bundesliga,26.0,1995.0,17.0,32.0,1.89,23.0,1.0,3.0,3.0,2.0,0.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0
47,David Alaba,at AUT,DF,Real Madrid,La Liga,29.0,1992.0,29.4,45.0,1.53,37.0,2.0,1.0,4.0,0.0,1.0,8.0,0.27,7.0,0.0,0.0,1.0,0.0,0.0
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,Ligue 1,23.0,1998.0,1.8,4.0,2.28,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga,22.0,1999.0,15.8,28.0,1.77,14.0,12.0,1.0,0.0,0.0,1.0,2.0,0.13,0.0,2.0,0.0,0.0,0.0,0.0
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,28.0,1992.0,7.3,27.0,3.69,17.0,0.0,6.0,2.0,2.0,0.0,4.0,0.55,3.0,0.0,1.0,0.0,0.0,0.0
