,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
10,Che Adams,sct SCO,FW,Southampton,Premier League,23.0,1996.0,12.3,263.0,261.0,0.0,0.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,162.0,2.0,10.0
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,Bundesliga,20.0,1999.0,10.6,703.0,626.0,77.0,21.0,0.0,5.0,10.0,56.0,0.0,0.0,0.0,0.0,584.0,0.0,14.0
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,Bundesliga,26.0,1993.0,8.3,180.0,169.0,10.0,0.0,0.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,128.0,1.0,11.0
13,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,32.0,1987.0,0.3,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
14,Bobby Adekanye,nl NED,FW,Lazio,Serie A,20.0,1999.0,2.1,43.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
15,Claud Adjapong,it ITA,DF,Hellas Verona,Serie A,21.0,1998.0,2.6,83.0,69.0,14.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0
16,Amine Adli,fr FRA,"MF,FW",Toulouse,Ligue 1,19.0,2000.0,0.5,26.0,22.0,4.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,20.0,0.0,0.0
17,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,19.0,2000.0,11.3,571.0,530.0,38.0,17.0,6.0,2.0,39.0,2.0,19.0,12.0,6.0,0.0,448.0,3.0,8.0
18,Adrián,es ESP,GK,Liverpool,Premier League,32.0,1987.0,9.7,311.0,217.0,94.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,1.0
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,La Liga,38.0,1981.0,2.3,57.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,La Liga,22.0,1996.0,20.1,972.0,739.0,225.0,10.0,0.0,4.0,81.0,215.0,0.0,0.0,0.0,0.0,691.0,8.0,42.0
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,23.0,1996.0,23.3,1028.0,770.0,254.0,14.0,1.0,3.0,33.0,239.0,1.0,0.0,1.0,0.0,714.0,4.0,39.0
22,Lucien Agoume,fr FRA,MF,Inter,Serie A,17.0,2002.0,0.8,38.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,Serie A,20.0,1998.0,0.7,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0
24,Kevin Agudelo,co COL,"MF,FW",Genoa,Serie A,20.0,1998.0,7.4,293.0,292.0,1.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,239.0,0.0,12.0
26,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,23.0,1996.0,10.6,597.0,578.0,17.0,13.0,0.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,492.0,2.0,3.0
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,31.0,1988.0,16.1,365.0,347.0,17.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,286.0,1.0,7.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,26.0,1993.0,11.9,787.0,665.0,122.0,13.0,1.0,3.0,63.0,109.0,0.0,0.0,0.0,0.0,662.0,0.0,14.0
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,Serie A,28.0,1990.0,2.6,104.0,102.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,Ligue 1,25.0,1994.0,7.0,310.0,304.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,260.0,2.0,2.0
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,23.0,1995.0,27.8,1250.0,1203.0,47.0,37.0,1.0,7.0,1.0,10.0,0.0,0.0,0.0,0.0,1078.0,0.0,14.0
32,Ola Aina,ng NGA,DF,Torino,Serie A,22.0,1996.0,23.1,1185.0,936.0,243.0,14.0,1.0,5.0,62.0,225.0,4.0,0.0,0.0,0.0,862.0,6.0,27.0
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,Ligue 1,23.0,1996.0,6.0,406.0,400.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,350.0,2.0,6.0
34,Rayan Aït Nouri,dz ALG,DF,Angers,Ligue 1,18.0,2001.0,14.2,808.0,655.0,151.0,3.0,0.0,2.0,43.0,148.0,0.0,0.0,0.0,0.0,618.0,2.0,23.0
35,Albian Ajeti,ch SUI,FW,West Ham,Premier League,22.0,1997.0,1.5,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,25.0,1994.0,22.9,516.0,493.0,18.0,0.0,4.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,354.0,5.0,5.0
37,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,24.0,1995.0,25.7,1948.0,1871.0,74.0,43.0,2.0,20.0,2.0,31.0,0.0,0.0,0.0,0.0,1764.0,3.0,10.0
38,Marley Aké,fr FRA,"FW,MF",Marseille,Ligue 1,18.0,2001.0,1.1,28.0,26.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
39,Nathan Aké,nl NED,DF,Bournemouth,Premier League,24.0,1995.0,27.8,1238.0,1183.0,52.0,32.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,1079.0,3.0,8.0
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,Ligue 1,24.0,1995.0,6.0,209.0,204.0,5.0,3.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,169.0,0.0,6.0
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,24.0,1995.0,12.7,757.0,727.0,30.0,14.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,664.0,0.0,6.0
42,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,27.0,1992.0,27.8,2516.0,2397.0,115.0,55.0,5.0,14.0,29.0,56.0,4.0,0.0,1.0,0.0,2263.0,4.0,19.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,21.0,1998.0,15.6,798.0,601.0,196.0,13.0,0.0,4.0,29.0,183.0,0.0,0.0,0.0,0.0,648.0,1.0,20.0
44,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,26.0,1992.0,13.0,310.0,274.0,32.0,2.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,219.0,4.0,12.0
45,Jordi Alba,es ESP,DF,Barcelona,La Liga,30.0,1989.0,24.3,2149.0,1938.0,206.0,33.0,3.0,9.0,65.0,171.0,2.0,0.0,0.0,0.0,1858.0,5.0,33.0
46,Luis Alberto,es ESP,MF,Lazio,Serie A,26.0,1992.0,34.6,2296.0,1977.0,295.0,69.0,28.0,18.0,177.0,21.0,151.0,51.0,73.0,0.0,1793.0,24.0,38.0
47,Raúl Albiol,es ESP,DF,Villarreal,La Liga,33.0,1985.0,36.0,1954.0,1900.0,49.0,46.0,1.0,37.0,3.0,2.0,0.0,0.0,0.0,0.0,1635.0,5.0,8.0
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,Premier League,29.0,1989.0,9.6,499.0,464.0,35.0,2.0,3.0,5.0,69.0,23.0,10.0,1.0,6.0,1.0,339.0,0.0,14.0
49,Paco Alcácer,es ESP,FW,Villarreal,La Liga,25.0,1993.0,10.3,227.0,200.0,27.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,179.0,0.0,4.0
50,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,25.0,1993.0,5.9,111.0,93.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,81.0,0.0,0.0
52,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,28.0,1991.0,19.7,1813.0,1748.0,60.0,52.0,4.0,31.0,7.0,4.0,4.0,3.0,0.0,0.0,1632.0,5.0,20.0
53,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,28.0,1991.0,21.4,1066.0,956.0,106.0,82.0,1.0,48.0,26.0,3.0,21.0,10.0,3.0,0.0,830.0,4.0,13.0
54,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,30.0,1989.0,32.9,2009.0,1915.0,82.0,72.0,12.0,20.0,9.0,10.0,0.0,0.0,0.0,0.0,1630.0,12.0,10.0
55,Haitam Aleesami,no NOR,DF,Amiens,Ligue 1,28.0,1991.0,21.3,1195.0,955.0,238.0,24.0,1.0,3.0,44.0,211.0,3.0,0.0,2.0,0.0,906.0,2.0,19.0
56,Álex Alegría,es ESP,FW,Mallorca,La Liga,26.0,1992.0,1.2,34.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0
57,Carles Aleñá,es ESP,MF,Barcelona,La Liga,21.0,1998.0,1.9,157.0,151.0,5.0,1.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,141.0,1.0,3.0
58,Carles Aleñá,es ESP,"MF,FW",Betis,La Liga,21.0,1998.0,8.2,393.0,386.0,5.0,3.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,333.0,2.0,6.0
59,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,24.0,1995.0,10.0,330.0,221.0,108.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1.0,0.0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,20.0,1998.0,35.3,3230.0,2573.0,645.0,87.0,5.0,103.0,382.0,396.0,162.0,45.0,76.0,2.0,2278.0,12.0,69.0
61,Enrico Alfonso,it ITA,GK,Brescia,Serie A,31.0,1988.0,3.1,80.0,42.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
62,Rachid Alioui,ma MAR,FW,Angers,Ligue 1,27.0,1992.0,17.4,476.0,438.0,38.0,2.0,0.0,2.0,15.0,2.0,1.0,1.0,0.0,0.0,345.0,0.0,10.0
63,Alisson,br BRA,GK,Liverpool,Premier League,26.0,1992.0,28.3,947.0,723.0,222.0,55.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,2.0,0.0
64,Allan,br BRA,MF,Napoli,Serie A,28.0,1991.0,14.2,842.0,806.0,33.0,17.0,2.0,6.0,13.0,16.0,0.0,0.0,0.0,0.0,726.0,3.0,16.0
65,Dele Alli,eng ENG,"MF,FW",Tottenham,Premier League,23.0,1996.0,20.5,841.0,760.0,75.0,14.0,4.0,3.0,7.0,18.0,4.0,0.0,0.0,0.0,632.0,6.0,34.0
66,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,25.0,1994.0,33.6,884.0,868.0,12.0,1.0,2.0,4.0,41.0,10.0,0.0,0.0,0.0,0.0,681.0,4.0,35.0
67,Marcos Alonso,es ESP,DF,Chelsea,Premier League,28.0,1990.0,15.9,1136.0,966.0,168.0,7.0,1.0,3.0,66.0,160.0,1.0,1.0,0.0,0.0,916.0,2.0,24.0
68,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,30.0,1989.0,15.3,736.0,571.0,163.0,6.0,0.0,3.0,31.0,157.0,0.0,0.0,0.0,0.0,491.0,2.0,27.0
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,La Liga,27.0,1992.0,12.7,438.0,428.0,9.0,7.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,308.0,1.0,5.0
70,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,32.0,1986.0,2.0,54.0,31.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
71,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,24.0,1995.0,31.2,1500.0,1421.0,70.0,59.0,1.0,29.0,12.0,11.0,0.0,0.0,0.0,0.0,1164.0,9.0,8.0
72,Bruno Alves,pt POR,DF,Parma,Serie A,37.0,1981.0,29.7,1347.0,1253.0,90.0,82.0,0.0,45.0,13.0,2.0,0.0,0.0,0.0,0.0,1107.0,4.0,7.0
73,Steven Alzate,co COL,"MF,DF",Brighton,Premier League,20.0,1998.0,13.2,661.0,605.0,55.0,6.0,1.0,2.0,8.0,49.0,0.0,0.0,0.0,0.0,556.0,1.0,15.0
74,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,Premier League,26.0,1993.0,8.4,374.0,364.0,9.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,324.0,1.0,3.0
75,Ibrahim Amadou,fr FRA,MF,Leganés,La Liga,26.0,1993.0,8.6,280.0,278.0,2.0,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,222.0,0.0,6.0
76,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,29.0,1989.0,18.8,898.0,873.0,24.0,12.0,5.0,9.0,25.0,8.0,4.0,1.0,3.0,0.0,702.0,1.0,8.0
78,Amath,sn SEN,MF,Getafe,La Liga,23.0,1996.0,0.7,17.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0
79,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,25.0,1994.0,24.0,1236.0,1021.0,215.0,14.0,0.0,1.0,31.0,201.0,0.0,0.0,0.0,0.0,974.0,0.0,22.0
80,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,22.0,1997.0,6.1,191.0,190.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,7.0
81,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,21.0,1998.0,18.1,676.0,533.0,141.0,21.0,1.0,2.0,12.0,120.0,0.0,0.0,0.0,0.0,546.0,2.0,12.0
82,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,22.0,1996.0,20.6,1145.0,972.0,162.0,48.0,7.0,7.0,114.0,34.0,77.0,45.0,25.0,1.0,886.0,11.0,25.0
83,Ethan Ampadu,wls WAL,DF,RB Leipzig,Bundesliga,18.0,2000.0,0.9,83.0,81.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
84,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,Bundesliga,23.0,1996.0,5.6,104.0,100.0,4.0,2.0,1.0,3.0,14.0,1.0,1.0,0.0,1.0,0.0,60.0,0.0,8.0
85,Sofyan Amrabat,ma MAR,MF,Hellas Verona,Serie A,22.0,1996.0,32.4,1738.0,1638.0,91.0,82.0,6.0,27.0,25.0,9.0,0.0,0.0,0.0,0.0,1510.0,9.0,16.0
86,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,23.0,1996.0,17.0,1333.0,1303.0,27.0,26.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,1195.0,3.0,3.0
87,Djavan Anderson,nl NED,"FW,DF",Lazio,Serie A,24.0,1995.0,1.9,66.0,47.0,19.0,3.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0
88,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,26.0,1993.0,16.6,945.0,913.0,29.0,8.0,5.0,11.0,34.0,13.0,5.0,2.0,2.0,0.0,727.0,3.0,30.0
89,Sebastian Andersson,se SWE,FW,Union Berlin,Bundesliga,28.0,1991.0,29.8,800.0,778.0,18.0,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,463.0,4.0,26.0
90,Florin Andone,ro ROU,FW,Brighton,Premier League,26.0,1993.0,0.8,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0
91,Benjamin André,fr FRA,MF,Lille,Ligue 1,28.0,1990.0,22.8,1236.0,1208.0,21.0,19.0,1.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,965.0,7.0,28.0
92,Lorenzo Andrenacci,it ITA,GK,Brescia,Serie A,24.0,1995.0,5.9,162.0,76.0,86.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0
93,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,24.0,1994.0,28.6,1214.0,1174.0,35.0,20.0,5.0,10.0,39.0,2.0,7.0,2.0,2.0,0.0,857.0,5.0,24.0
94,Victorien Angban,ci CIV,MF,Metz,Ligue 1,22.0,1996.0,11.4,620.0,596.0,23.0,17.0,0.0,6.0,3.0,2.0,1.0,0.0,1.0,0.0,542.0,1.0,7.0
95,Miguel Ángel Guerrero,es ESP,FW,Leganés,La Liga,29.0,1990.0,8.8,194.0,178.0,15.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,145.0,1.0,2.0
96,José Ángel,es ESP,DF,Eibar,La Liga,29.0,1989.0,26.2,1498.0,1107.0,379.0,61.0,0.0,33.0,148.0,313.0,5.0,0.0,4.0,0.0,990.0,12.0,30.0
97,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,35.0,1984.0,13.0,462.0,325.0,136.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1.0,0.0
98,Angeliño,es ESP,DF,Manchester City,Premier League,22.0,1997.0,4.7,429.0,377.0,50.0,4.0,0.0,1.0,43.0,46.0,0.0,0.0,0.0,0.0,333.0,2.0,8.0
99,Angeliño,es ESP,"DF,FW",RB Leipzig,Bundesliga,22.0,1997.0,12.2,767.0,613.0,151.0,19.0,1.0,5.0,80.0,102.0,30.0,20.0,3.0,0.0,574.0,3.0,20.0
100,Faustino Anjorin,eng ENG,FW,Chelsea,Premier League,17.0,2001.0,0.2,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
101,Peter Ankersen,dk DEN,DF,Genoa,Serie A,28.0,1990.0,11.8,607.0,528.0,77.0,8.0,0.0,1.0,22.0,69.0,0.0,0.0,0.0,0.0,495.0,2.0,7.0
102,Cristian Ansaldi,ar ARG,"DF,MF",Torino,Serie A,32.0,1986.0,19.6,819.0,660.0,156.0,19.0,0.0,30.0,141.0,130.0,7.0,2.0,0.0,0.0,571.0,3.0,21.0
104,Janis Antiste,fr FRA,MF,Toulouse,Ligue 1,16.0,2002.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Michail Antonio,jm JAM,FW,West Ham,Premier League,29.0,1990.0,19.6,524.0,480.0,39.0,1.0,5.0,2.0,48.0,25.0,0.0,0.0,0.0,0.0,329.0,5.0,23.0
106,Antoñito,es ESP,"DF,MF",Valladolid,La Liga,31.0,1987.0,11.4,464.0,364.0,96.0,1.0,1.0,1.0,36.0,95.0,0.0,0.0,0.0,0.0,326.0,4.0,7.0
107,Mirko Antonucci,it ITA,"FW,MF",Roma,Serie A,20.0,1999.0,0.9,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
108,Vitorino Antunes,pt POR,MF,Getafe,La Liga,32.0,1987.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,Bundesliga,25.0,1994.0,27.4,854.0,703.0,145.0,6.0,1.0,9.0,69.0,107.0,31.0,14.0,5.0,0.0,593.0,6.0,35.0
110,Anuar,ma MAR,"MF,FW",Valladolid,La Liga,24.0,1995.0,2.1,105.0,101.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,2.0
111,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,21.0,1998.0,21.7,1082.0,1030.0,51.0,21.0,5.0,7.0,24.0,5.0,9.0,4.0,4.0,0.0,910.0,1.0,16.0
112,Adil Aouchiche,fr FRA,MF,Paris S-G,Ligue 1,17.0,2002.0,0.7,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0
113,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,27.0,1992.0,17.8,982.0,781.0,199.0,12.0,0.0,1.0,32.0,187.0,0.0,0.0,0.0,0.0,734.0,2.0,20.0
114,Mauro Arambarri,uy URU,MF,Getafe,La Liga,23.0,1995.0,34.1,947.0,899.0,42.0,27.0,0.0,26.0,45.0,0.0,13.0,1.0,2.0,1.0,621.0,6.0,25.0
115,Guilherme Arana,br BRA,DF,Atalanta,Serie A,22.0,1997.0,0.9,56.0,47.0,9.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0
116,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,30.0,1989.0,23.5,1628.0,1577.0,42.0,37.0,2.0,8.0,13.0,1.0,4.0,1.0,3.0,0.0,1385.0,9.0,21.0
117,Luiz Araújo,br BRA,"FW,MF",Lille,Ligue 1,23.0,1996.0,9.2,311.0,286.0,23.0,10.0,2.0,1.0,28.0,5.0,7.0,1.0,2.0,0.0,222.0,2.0,12.0
118,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,27.0,1991.0,32.1,1559.0,1477.0,77.0,74.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,1320.0,5.0,6.0
119,Ronald Araújo,uy URU,DF,Barcelona,La Liga,20.0,1999.0,2.6,208.0,204.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,195.0,0.0,1.0
120,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,32.0,1987.0,22.3,1215.0,1063.0,147.0,53.0,0.0,45.0,30.0,94.0,0.0,0.0,0.0,0.0,872.0,5.0,15.0
121,Alphonse Areola,fr FRA,GK,Real Madrid,La Liga,26.0,1993.0,4.0,134.0,96.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0
122,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,26.0,1993.0,3.0,58.0,43.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0
123,Santiago Arias,co COL,DF,Atlético Madrid,La Liga,27.0,1992.0,12.0,647.0,534.0,110.0,0.0,0.0,2.0,24.0,110.0,0.0,0.0,0.0,0.0,482.0,3.0,11.0
124,Nicolò Armini,it ITA,DF,Lazio,Serie A,18.0,2001.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
125,Stuart Armstrong,sct SCO,MF,Southampton,Premier League,27.0,1992.0,19.1,616.0,594.0,21.0,0.0,2.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,464.0,1.0,30.0
126,José Arnaiz,es ESP,"FW,MF",Osasuna,La Liga,24.0,1995.0,8.8,172.0,160.0,12.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,130.0,0.0,6.0
127,José Arnaiz,es ESP,MF,Leganés,La Liga,24.0,1995.0,3.7,95.0,90.0,5.0,1.0,0.0,0.0,12.0,0.0,4.0,1.0,2.0,0.0,72.0,0.0,3.0
128,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,25.0,1994.0,31.3,1550.0,1272.0,264.0,146.0,8.0,33.0,166.0,22.0,90.0,29.0,41.0,5.0,1160.0,14.0,22.0
130,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,24.0,1994.0,33.0,1095.0,839.0,251.0,52.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,896.0,5.0,1.0
131,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,Serie A,30.0,1988.0,7.1,372.0,326.0,46.0,3.0,0.0,0.0,18.0,43.0,0.0,0.0,0.0,0.0,298.0,0.0,13.0
132,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,Bundesliga,22.0,1997.0,7.0,311.0,295.0,16.0,15.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,261.0,0.0,11.0
