,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
62,Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,18.0,2002.0,12.0,287.0,391.0,73.4,7942.0,5718.0,48.0,48.0,100.0,149.0,151.0,98.7,89.0,191.0,46.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
63,Carles Aleñá,es ESP,MF,Getafe,La Liga,23.0,1998.0,25.8,683.0,869.0,78.6,11604.0,2454.0,330.0,382.0,86.4,266.0,309.0,86.1,62.0,106.0,58.5,2.0,1.3,1.4,0.7,20.0,66.0,14.0,5.0,81.0
64,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,22.0,1998.0,31.7,2039.0,2757.0,74.0,40112.0,15683.0,841.0,964.0,87.2,811.0,1048.0,77.4,344.0,636.0,54.1,12.0,12.0,13.0,0.0,90.0,245.0,85.0,25.0,267.0
65,Mohamed Ali Cho,fr FRA,FW,Angers,Ligue 1,17.0,2004.0,20.4,220.0,314.0,70.1,2951.0,510.0,132.0,159.0,83.0,63.0,92.0,68.5,9.0,21.0,42.9,1.0,2.7,2.4,-1.7,14.0,17.0,10.0,2.0,22.0
66,Alisson,br BRA,GK,Liverpool,Premier League,28.0,1992.0,36.0,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,1.0,0.2,0.0,0.8,1.0,16.0,1.0,0.0,1.0
67,Allan,br BRA,MF,Everton,Premier League,30.0,1991.0,24.3,778.0,982.0,79.2,12868.0,4192.0,356.0,405.0,87.9,337.0,402.0,83.8,57.0,102.0,55.9,2.0,0.8,1.0,1.2,15.0,103.0,20.0,3.0,130.0
68,Jim Allevinah,ga GAB,FW,Clermont Foot,Ligue 1,26.0,1995.0,16.5,416.0,545.0,76.3,6103.0,1306.0,245.0,287.0,85.4,123.0,164.0,75.0,29.0,44.0,65.9,2.0,1.9,1.4,0.1,15.0,44.0,10.0,2.0,56.0
69,Dele Alli,eng ENG,MF,Tottenham,Premier League,25.0,1996.0,7.3,177.0,228.0,77.6,2353.0,563.0,105.0,124.0,84.7,45.0,53.0,84.9,10.0,20.0,50.0,0.0,0.3,0.4,-0.3,2.0,14.0,4.0,1.0,18.0
70,Dele Alli,eng ENG,"MF,FW",Everton,Premier League,25.0,1996.0,3.8,114.0,157.0,72.6,1696.0,434.0,63.0,81.0,77.8,34.0,45.0,75.6,9.0,12.0,75.0,0.0,0.4,0.4,-0.4,7.0,10.0,3.0,1.0,13.0
71,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,27.0,1994.0,19.1,402.0,511.0,78.7,5720.0,1254.0,229.0,264.0,86.7,118.0,149.0,79.2,23.0,38.0,60.5,0.0,0.9,0.6,-0.9,16.0,26.0,5.0,0.0,46.0
72,Marcos Alonso,es ESP,DF,Chelsea,Premier League,30.0,1990.0,24.1,1142.0,1486.0,76.9,17781.0,5763.0,624.0,709.0,88.0,387.0,478.0,81.0,84.0,194.0,43.3,4.0,4.5,3.4,-0.5,43.0,67.0,34.0,15.0,93.0
73,Giorgio Altare,it ITA,DF,Cagliari,Serie A,22.0,1998.0,16.3,531.0,799.0,66.5,10947.0,4885.0,175.0,221.0,79.2,250.0,330.0,75.8,100.0,208.0,48.1,0.0,0.6,0.6,-0.6,8.0,50.0,6.0,3.0,71.0
74,Hugo Álvarez,es ESP,FW,Celta Vigo,La Liga,18.0,2003.0,0.1,1.0,3.0,33.3,12.0,0.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,26.0,1995.0,20.7,832.0,1019.0,81.6,16426.0,6655.0,290.0,322.0,90.1,436.0,484.0,90.1,98.0,180.0,54.4,0.0,0.1,0.3,-0.1,4.0,49.0,2.0,0.0,64.0
76,Dani Alves,br BRA,DF,Barcelona,La Liga,38.0,1983.0,12.2,915.0,1089.0,84.0,13852.0,4399.0,545.0,580.0,94.0,264.0,313.0,84.3,75.0,141.0,53.2,3.0,2.3,3.1,0.7,22.0,85.0,27.0,15.0,72.0
78,Steven Alzate,co COL,MF,Brighton,Premier League,22.0,1998.0,4.5,204.0,233.0,87.6,3213.0,865.0,105.0,116.0,90.5,72.0,78.0,92.3,17.0,24.0,70.8,0.0,0.2,0.2,-0.2,2.0,18.0,1.0,0.0,21.0
79,Ibrahim Amadou,fr FRA,"DF,MF",Metz,Ligue 1,28.0,1993.0,9.0,384.0,439.0,87.5,7290.0,2224.0,127.0,138.0,92.0,203.0,224.0,90.6,43.0,60.0,71.7,0.0,0.1,0.0,-0.1,3.0,10.0,0.0,0.0,21.0
80,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,La Liga,19.0,2001.0,0.9,26.0,39.0,66.7,425.0,161.0,11.0,15.0,73.3,12.0,18.0,66.7,2.0,4.0,50.0,1.0,0.1,0.0,0.9,1.0,1.0,0.0,0.0,4.0
81,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,26.0,1994.0,23.6,1399.0,1546.0,90.5,25246.0,8400.0,508.0,550.0,92.4,769.0,810.0,94.9,103.0,140.0,73.6,0.0,0.2,0.4,-0.2,4.0,71.0,1.0,0.0,62.0
82,Amath,sn SEN,"FW,MF",Mallorca,La Liga,25.0,1996.0,9.8,159.0,202.0,78.7,2044.0,508.0,89.0,107.0,83.2,44.0,54.0,81.5,7.0,8.0,87.5,1.0,0.9,0.5,0.1,6.0,11.0,5.0,1.0,19.0
83,Jordan Amavi,fr FRA,DF,Nice,Ligue 1,27.0,1994.0,4.6,269.0,319.0,84.3,4444.0,1417.0,144.0,156.0,92.3,96.0,113.0,85.0,26.0,39.0,66.7,0.0,0.1,0.1,-0.1,1.0,27.0,2.0,0.0,28.0
84,Jordan Amavi,fr FRA,"DF,FW",Marseille,Ligue 1,27.0,1994.0,1.4,74.0,86.0,86.0,1244.0,321.0,38.0,43.0,88.4,29.0,31.0,93.5,6.0,9.0,66.7,0.0,0.0,0.1,0.0,1.0,7.0,3.0,1.0,9.0
85,Wisdom Amey,it ITA,DF,Bologna,Serie A,15.0,2005.0,0.8,20.0,29.0,69.0,419.0,59.0,8.0,9.0,88.9,7.0,10.0,70.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,Kelvin Amian,fr FRA,DF,Spezia,Serie A,23.0,1998.0,29.4,887.0,1133.0,78.3,13080.0,5926.0,525.0,593.0,88.5,286.0,367.0,77.9,53.0,97.0,54.6,1.0,1.3,1.5,-0.3,12.0,53.0,7.0,2.0,64.0
87,Nadiem Amiri,de GER,"MF,FW",Genoa,Serie A,24.0,1996.0,7.6,222.0,299.0,74.2,3236.0,970.0,122.0,144.0,84.7,74.0,93.0,79.6,10.0,33.0,30.3,1.0,2.1,1.4,-1.1,20.0,16.0,9.0,1.0,33.0
88,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,24.0,1996.0,4.1,183.0,222.0,82.4,2857.0,576.0,97.0,105.0,92.4,59.0,72.0,81.9,18.0,28.0,64.3,0.0,0.3,0.4,-0.3,3.0,10.0,8.0,0.0,21.0
89,Ethan Ampadu,wls WAL,"MF,DF",Venezia,Serie A,20.0,2000.0,25.4,867.0,1165.0,74.4,15853.0,6627.0,385.0,445.0,86.5,359.0,443.0,81.0,103.0,209.0,49.3,3.0,1.6,1.5,1.4,15.0,96.0,12.0,7.0,112.0
90,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,24.0,1996.0,10.5,645.0,716.0,90.1,12507.0,3260.0,238.0,264.0,90.2,321.0,336.0,95.5,78.0,95.0,82.1,0.0,0.2,0.7,-0.2,8.0,74.0,9.0,1.0,63.0
91,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,25.0,1996.0,32.4,1911.0,2351.0,81.3,44144.0,15836.0,410.0,480.0,85.4,1138.0,1224.0,93.0,349.0,604.0,57.8,3.0,1.7,1.9,1.3,20.0,151.0,11.0,2.0,100.0
92,Felipe Anderson,br BRA,FW,Lazio,Serie A,28.0,1993.0,32.1,1118.0,1436.0,77.9,16074.0,3918.0,652.0,765.0,85.2,341.0,420.0,81.2,60.0,106.0,56.6,8.0,6.5,5.2,1.5,50.0,60.0,61.0,13.0,123.0
93,Sebastian Andersson,se SWE,FW,Köln,Bundesliga,30.0,1991.0,14.0,147.0,234.0,62.8,1595.0,243.0,108.0,149.0,72.5,22.0,38.0,57.9,2.0,4.0,50.0,1.0,1.0,0.9,0.0,12.0,5.0,7.0,1.0,14.0
94,Florin Andone,ro ROU,FW,Cádiz,La Liga,28.0,1993.0,2.0,25.0,38.0,65.8,283.0,21.0,14.0,19.0,73.7,7.0,11.0,63.6,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,3.0,2.0,0.0,0.0,2.0
95,Andrés Andrade Cedeño,pa PAN,DF,Arminia,Bundesliga,22.0,1998.0,11.6,350.0,535.0,65.4,5920.0,2921.0,164.0,214.0,76.6,144.0,212.0,67.9,32.0,69.0,46.4,0.0,0.1,0.5,-0.1,4.0,32.0,2.0,1.0,44.0
96,Benjamin André,fr FRA,MF,Lille,Ligue 1,30.0,1990.0,30.6,1404.0,1766.0,79.5,22765.0,6915.0,691.0,804.0,85.9,524.0,623.0,84.1,113.0,187.0,60.4,1.0,1.3,1.3,-0.3,15.0,145.0,12.0,2.0,178.0
97,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,Bundesliga,22.0,1998.0,3.9,133.0,166.0,80.1,1794.0,844.0,81.0,86.0,94.2,46.0,59.0,78.0,1.0,8.0,12.5,0.0,0.0,0.2,0.0,2.0,7.0,5.0,2.0,18.0
98,Robert Andrich,de GER,MF,Leverkusen,Bundesliga,26.0,1994.0,20.2,811.0,1011.0,80.2,13041.0,4189.0,384.0,444.0,86.5,331.0,400.0,82.8,54.0,91.0,59.3,2.0,1.5,1.7,0.5,12.0,88.0,9.0,0.0,100.0
99,José Ángel,es ESP,DF,Osasuna,La Liga,31.0,1989.0,12.0,590.0,785.0,75.2,12280.0,5279.0,242.0,278.0,87.1,228.0,298.0,76.5,117.0,191.0,61.3,1.0,1.5,1.8,-0.5,8.0,72.0,23.0,13.0,98.0
