,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
436,Diego,Leganés,0.1,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0
437,Justin Diehl,Stuttgart,0.3,17,16,1,0,0,0,5,0,1,1,0,0,11,0,0
438,Eric Dier,Bayern Munich,0.1,8,7,1,0,0,0,0,0,0,0,0,0,8,0,0
439,Lucas Digne,Aston Villa,1.6,72,53,19,7,1,1,6,12,0,0,0,0,52,0,5
440,Federico Dimarco,Inter,1.6,82,65,17,3,0,1,13,8,6,2,3,0,67,0,0
442,Lois Diony,Angers,0.2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0
443,Issa Diop,Fulham,2.0,96,89,7,7,0,0,0,0,0,0,0,0,76,0,1
444,Andy Diouf,Lens,1.2,59,59,0,0,1,0,1,0,0,0,0,0,45,0,1
445,Yehvann Diouf,Reims,2.0,66,45,21,10,0,0,0,0,0,0,0,0,43,0,0
446,Roman Dixon,Everton,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
447,Alvaro djalo,Athletic Club,0.6,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0
448,Djene,Getafe,2.0,48,45,2,2,0,0,0,0,0,0,0,0,37,1,0
449,Berat Djimsiti,Atalanta,2.0,107,105,2,2,0,0,0,0,0,0,0,0,97,0,0
450,Ritsu Doan,Freiburg,0.8,20,20,0,0,0,0,2,0,0,0,0,0,14,0,3
451,Dodo,Fiorentina,2.0,86,70,16,1,0,0,8,15,0,0,0,0,64,0,2
452,Danilho Doekhi,Union Berlin,1.0,28,28,0,0,0,0,0,0,0,0,0,0,21,0,1
453,Matt Doherty,Wolves,2.0,79,64,15,4,0,1,2,11,0,0,0,0,59,0,1
454,Jeremy Doku,Manchester City,1.8,72,71,1,0,1,0,4,0,1,0,0,0,61,0,2
455,Marc Domenech,Mallorca,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
456,Carlos Dominguez,Celta Vigo,2.0,158,147,11,11,0,0,0,0,0,0,0,0,141,0,0
457,Nicolas Dominguez,Nott'ham Forest,0.6,35,35,0,0,0,0,0,0,0,0,0,0,29,0,0
458,Gianluigi Donnarumma,Paris S-G,2.0,58,45,13,2,0,0,0,0,0,0,0,0,47,0,0
459,Patrick Dorgu,Lecce,2.0,52,46,6,3,0,0,2,2,1,0,0,0,40,0,2
460,Niklas Dorsch,Augsburg,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1
461,Alberto Dossena,Como,1.0,38,34,4,4,0,2,0,0,0,0,0,0,34,0,0
462,Abdoulaye Doucoure,Everton,1.3,28,23,5,0,0,0,2,0,0,0,0,0,19,0,0
463,Cheick Doucoure,Crystal Palace,0.1,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
464,Desire Doue,Paris S-G,0.3,26,26,0,0,0,0,2,0,0,0,0,0,22,0,1
