,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
203,Enis Bardhi,mk MKD,MF,Levante,La Liga,25.0,1995.0,18.7,656.0,888.0,73.9,11539.0,3260.0,303.0,342.0,88.6,236.0,306.0,77.1,83.0,155.0,53.5,2.0,1.1,1.5,0.9,21.0,63.0,27.0,10.0,117.0
204,Phil Bardsley,sct SCO,DF,Burnley,Premier League,35.0,1985.0,3.0,104.0,162.0,64.2,1713.0,640.0,50.0,56.0,89.3,41.0,63.0,65.1,11.0,30.0,36.7,0.0,0.0,0.1,0.0,0.0,6.0,4.0,2.0,10.0
205,Nicolò Barella,it ITA,MF,Inter,Serie A,23.0,1997.0,32.2,1591.0,1931.0,82.4,25100.0,8423.0,850.0,935.0,90.9,564.0,662.0,85.2,123.0,201.0,61.2,7.0,5.7,4.8,1.3,47.0,182.0,66.0,10.0,261.0
206,Philipp Bargfrede,de GER,MF,Werder Bremen,Bundesliga,31.0,1989.0,0.3,15.0,16.0,93.8,239.0,90.0,9.0,9.0,100.0,6.0,6.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
208,Kike Barja,es ESP,"MF,FW",Osasuna,La Liga,23.0,1997.0,15.9,341.0,505.0,67.5,5488.0,1535.0,175.0,212.0,82.5,116.0,168.0,69.0,31.0,62.0,50.0,3.0,2.0,1.5,1.0,16.0,16.0,21.0,9.0,55.0
209,Ross Barkley,eng ENG,MF,Aston Villa,Premier League,26.0,1993.0,17.0,640.0,795.0,80.5,10363.0,2800.0,330.0,383.0,86.2,214.0,255.0,83.9,65.0,97.0,67.0,1.0,4.2,2.4,-3.2,39.0,46.0,25.0,0.0,88.0
210,Ross Barkley,eng ENG,"FW,MF",Chelsea,Premier League,26.0,1993.0,0.5,23.0,27.0,85.2,437.0,98.0,11.0,14.0,78.6,7.0,8.0,87.5,5.0,5.0,100.0,0.0,0.1,0.0,-0.1,1.0,1.0,1.0,0.0,2.0
211,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,Bundesliga,22.0,1998.0,10.9,362.0,495.0,73.1,5510.0,1769.0,201.0,245.0,82.0,118.0,159.0,74.2,26.0,51.0,51.0,3.0,3.2,2.6,-0.2,26.0,30.0,19.0,5.0,46.0
212,Ashley Barnes,eng ENG,FW,Burnley,Premier League,30.0,1989.0,14.8,189.0,315.0,60.0,2362.0,506.0,124.0,170.0,72.9,38.0,63.0,60.3,8.0,22.0,36.4,0.0,0.8,0.8,-0.8,18.0,15.0,6.0,1.0,20.0
213,Harvey Barnes,eng ENG,"FW,MF",Leicester City,Premier League,22.0,1997.0,21.6,459.0,637.0,72.1,6331.0,1534.0,272.0,343.0,79.3,135.0,171.0,78.9,20.0,37.0,54.1,4.0,1.6,2.4,2.4,26.0,38.0,17.0,1.0,56.0
