,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
60,Alexis Alegue,fr FRA,FW,Nantes,Ligue 1,21.0,1996.0,1.0,5.0,5.0,0.1,0.1,0.0,,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,18.0,18.03,0.0,0.0,0.0,0.21,0.15
61,Iván Alejo,es ESP,MF,Getafe,La Liga,23.0,1995.0,4.0,146.0,37.0,4.3,1.6,2.0,59.0,0.0,2.0,15.0,4.0,1.0,1.0,0.0,1.0,0.62,0.29,1.1,1.2,-0.1,-0.03,-0.11
62,Carles Aleñá,es ESP,MF,Barcelona,La Liga,20.0,1998.0,17.0,637.0,37.0,18.6,7.1,6.0,78.0,1.0,11.0,15.0,10.0,2.06,16.0,8.0,8.0,1.13,-0.36,14.3,11.0,3.3,0.46,-0.42
63,Alex,es ESP,GK,Atlético Madrid,La Liga,19.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,
64,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,23.0,1995.0,25.0,2250.0,90.0,65.8,25.0,25.0,90.0,25.0,0.0,,12.0,1.04,24.0,43.0,-19.0,-0.76,0.01,29.2,37.9,-8.7,-0.35,0.4
65,Alexander,ar ARG,FW,Leganés,La Liga,29.0,1988.0,1.0,10.0,10.0,0.3,0.1,0.0,,0.0,1.0,9.0,0.0,0.0,0.0,1.0,-1.0,-9.0,-8.87,0.0,0.3,-0.3,-2.58,-2.58
66,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,19.0,1998.0,29.0,2462.0,85.0,72.0,27.4,27.0,88.0,20.0,2.0,40.0,4.0,2.69,67.0,14.0,53.0,1.94,0.62,58.8,21.2,37.6,1.38,0.69
67,Abdallah Ali Mohamed,km COM,DF,Marseille,Ligue 1,19.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,,,
68,Marco Alia,al ALB,GK,Lazio,Serie A,18.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
69,Rachid Alioui,ma MAR,FW,Nîmes,Ligue 1,26.0,1992.0,27.0,1252.0,46.0,36.6,13.9,11.0,86.0,9.0,16.0,19.0,4.0,1.52,23.0,21.0,2.0,0.14,0.27,19.7,20.0,-0.3,-0.02,0.24
70,Alisson,br BRA,GK,Liverpool,Premier League,25.0,1992.0,38.0,3420.0,90.0,100.0,38.0,38.0,90.0,38.0,0.0,,0.0,2.55,89.0,22.0,67.0,1.76,,73.7,28.8,44.9,1.18,
71,Bobby Allain,fr FRA,GK,Dijon,Ligue 1,26.0,1991.0,13.0,1170.0,90.0,34.2,13.0,13.0,90.0,13.0,0.0,,25.0,0.62,7.0,17.0,-10.0,-0.77,-0.01,10.6,20.3,-9.7,-0.75,-0.4
72,Allan,br BRA,MF,Napoli,Serie A,27.0,1991.0,33.0,2616.0,79.0,76.5,29.1,28.0,88.0,26.0,5.0,30.0,0.0,2.09,57.0,29.0,28.0,0.96,-0.16,45.8,30.5,15.3,0.53,-0.4
73,Allan,br BRA,MF,Eint Frankfurt,Bundesliga,21.0,1997.0,4.0,176.0,44.0,5.8,2.0,2.0,69.0,1.0,2.0,20.0,3.0,2.0,6.0,2.0,4.0,2.05,1.8,3.9,2.8,1.0,0.53,0.35
74,Dele Alli,eng ENG,MF,Tottenham,Premier League,22.0,1996.0,25.0,1825.0,73.0,53.4,20.3,22.0,81.0,10.0,3.0,13.0,0.0,1.72,32.0,21.0,11.0,0.54,-0.42,28.7,22.1,6.5,0.32,0.25
75,Miguel Almirón,py PAR,MF,Newcastle Utd,Premier League,24.0,1994.0,10.0,759.0,76.0,22.2,8.4,9.0,82.0,4.0,1.0,18.0,0.0,1.7,11.0,11.0,0.0,0.0,0.2,11.3,9.2,2.0,0.24,0.8
76,Julio Alonso,es ESP,DF,Betis,La Liga,19.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
78,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,La Liga,25.0,1993.0,9.0,536.0,60.0,15.7,6.0,6.0,82.0,4.0,3.0,14.0,5.0,1.11,8.0,8.0,0.0,0.0,0.28,6.2,7.3,-1.1,-0.18,0.24
79,Marcos Alonso,es ESP,DF,Chelsea,Premier League,27.0,1990.0,31.0,2759.0,89.0,80.7,30.7,31.0,89.0,29.0,0.0,,1.0,1.97,52.0,28.0,24.0,0.78,0.78,48.4,29.3,19.2,0.63,0.21
80,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,29.0,1989.0,11.0,571.0,52.0,16.7,6.3,6.0,90.0,6.0,5.0,6.0,11.0,1.0,7.0,16.0,-9.0,-1.42,-0.79,6.6,10.2,-3.5,-0.55,-0.08
81,Diego Altamirano,es ESP,FW,Betis,La Liga,21.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
82,Sergio Álvarez,es ESP,"DF,MF",Eibar,La Liga,26.0,1992.0,19.0,1069.0,56.0,31.3,11.9,12.0,84.0,9.0,7.0,9.0,17.0,1.37,7.0,14.0,-7.0,-0.59,-0.7,11.0,16.2,-5.2,-0.44,-0.98
83,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,31.0,1986.0,13.0,1170.0,90.0,34.2,13.0,13.0,90.0,13.0,0.0,,25.0,1.08,23.0,22.0,1.0,0.08,0.48,13.3,19.5,-6.2,-0.48,-0.15
84,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,23.0,1995.0,30.0,2613.0,87.0,76.4,29.0,30.0,87.0,28.0,0.0,,3.0,1.47,32.0,30.0,2.0,0.07,0.74,32.6,31.9,0.6,0.02,0.35
85,Bruno Alves,pt POR,DF,Parma,Serie A,36.0,1981.0,33.0,2922.0,89.0,85.4,32.5,33.0,89.0,31.0,0.0,,0.0,1.0,36.0,56.0,-20.0,-0.62,-0.62,34.5,57.7,-23.2,-0.71,-0.37
86,Dani Alves,br BRA,"MF,DF",Paris S-G,Ligue 1,35.0,1983.0,23.0,1622.0,71.0,47.4,18.0,19.0,82.0,12.0,4.0,18.0,0.0,2.0,45.0,22.0,23.0,1.28,-1.08,42.4,19.9,22.5,1.25,-0.19
87,Alfons Amade,de GER,MF,Hoffenheim,Bundesliga,18.0,1999.0,1.0,9.0,9.0,0.3,0.1,0.0,,0.0,1.0,8.0,1.0,0.0,0.0,2.0,-2.0,-20.0,-20.59,0.1,1.2,-1.1,-11.2,-11.92
88,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,La Liga,25.0,1993.0,17.0,762.0,45.0,22.3,8.5,7.0,79.0,4.0,10.0,21.0,10.0,1.41,9.0,14.0,-5.0,-0.59,-1.27,13.7,13.0,0.7,0.09,-0.61
89,Romain Amalfitano,fr FRA,"MF,FW",Dijon,Ligue 1,28.0,1989.0,32.0,2522.0,79.0,73.7,28.0,30.0,82.0,21.0,2.0,25.0,2.0,0.88,20.0,46.0,-26.0,-0.93,-0.63,25.9,43.2,-17.3,-0.62,-0.51
90,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,23.0,1994.0,9.0,641.0,71.0,18.7,7.1,7.0,86.0,6.0,2.0,19.0,1.0,1.44,10.0,9.0,1.0,0.14,0.08,7.0,8.2,-1.2,-0.17,-0.5
91,Jordi Amat,id IDN,DF,Rayo Vallecano,La Liga,26.0,1992.0,31.0,2763.0,89.0,80.8,30.7,31.0,89.0,30.0,0.0,,3.0,0.77,34.0,60.0,-26.0,-0.85,-0.44,38.2,48.0,-9.8,-0.32,-0.11
92,Amath,sn SEN,MF,Getafe,La Liga,22.0,1996.0,15.0,1002.0,67.0,29.3,11.1,13.0,72.0,2.0,2.0,32.0,0.0,1.4,13.0,10.0,3.0,0.27,-0.1,15.1,10.7,4.4,0.4,0.46
93,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,24.0,1994.0,28.0,2177.0,78.0,63.7,24.2,24.0,87.0,20.0,4.0,20.0,4.0,1.39,40.0,34.0,6.0,0.25,0.1,33.1,31.0,2.1,0.09,-0.28
94,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,20.0,1998.0,32.0,2880.0,90.0,84.2,32.0,32.0,90.0,32.0,0.0,,1.0,1.09,31.0,47.0,-16.0,-0.5,0.5,40.8,47.8,-7.1,-0.22,0.38
95,Nadiem Amiri,de GER,MF,Hoffenheim,Bundesliga,21.0,1996.0,13.0,754.0,58.0,24.6,8.4,10.0,69.0,2.0,3.0,22.0,4.0,1.85,22.0,8.0,14.0,1.67,1.51,22.2,9.3,12.9,1.54,1.13
96,Yanis Ammour,fr FRA,MF,Montpellier,Ligue 1,19.0,1999.0,1.0,2.0,2.0,0.1,0.0,0.0,,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.1,-0.1,-4.9,-5.12
97,Luke Amos,eng ENG,MF,Tottenham,Premier League,21.0,1997.0,1.0,3.0,3.0,0.1,0.0,0.0,,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,-0.2
98,Ethan Ampadu,wls WAL,"DF,MF",Chelsea,Premier League,17.0,2000.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,
99,Jon Ander Serantes,es ESP,GK,Leganés,La Liga,28.0,1989.0,0.0,,,,,0.0,,0.0,0.0,,8.0,,,,,,,,,,,
100,Joachim Andersen,dk DEN,DF,Sampdoria,Serie A,22.0,1996.0,32.0,2880.0,90.0,84.2,32.0,32.0,90.0,32.0,0.0,,1.0,1.5,52.0,42.0,10.0,0.31,0.48,41.3,46.2,-5.0,-0.16,-0.24
101,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,25.0,1993.0,36.0,3043.0,85.0,89.0,33.8,36.0,85.0,25.0,0.0,,0.0,1.36,48.0,49.0,-1.0,-0.03,0.45,43.5,54.6,-11.0,-0.33,0.45
102,Florin Andone,ro ROU,FW,Brighton,Premier League,25.0,1993.0,23.0,881.0,38.0,25.8,9.8,8.0,68.0,0.0,15.0,23.0,5.0,0.78,7.0,14.0,-7.0,-0.72,-0.08,8.2,14.4,-6.2,-0.63,-0.01
104,Nícolas Andrade,br BRA,GK,Udinese,Serie A,30.0,1988.0,0.0,,,,,0.0,,0.0,0.0,,38.0,,,,,,,,,,,
105,Benjamin André,fr FRA,MF,Rennes,Ligue 1,27.0,1990.0,30.0,2495.0,83.0,73.0,27.7,28.0,87.0,24.0,2.0,35.0,0.0,1.2,37.0,40.0,-3.0,-0.11,-0.69,38.5,34.2,4.3,0.16,-0.2
106,Marco Andreolli,it ITA,DF,Cagliari,Serie A,32.0,1986.0,3.0,106.0,35.0,3.1,1.2,1.0,90.0,1.0,2.0,8.0,17.0,0.33,0.0,3.0,-3.0,-2.55,-2.14,0.4,2.1,-1.8,-1.49,-0.99
107,Marco Andreolli,it ITA,DF,Chievo,Serie A,32.0,1986.0,8.0,646.0,81.0,18.9,7.2,7.0,90.0,6.0,1.0,17.0,7.0,0.25,3.0,19.0,-16.0,-2.23,-1.13,3.0,11.3,-8.3,-1.16,-0.64
108,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,29.0,1989.0,1.0,4.0,4.0,0.1,0.0,0.0,,0.0,1.0,4.0,2.0,0.0,0.0,1.0,-1.0,-22.5,-22.39,0.0,0.4,-0.4,-9.27,-9.36
109,Yhoan Andzouana,cg CGO,"DF,MF",Girona,La Liga,21.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
110,José Ángel,es ESP,DF,Eibar,La Liga,28.0,1989.0,35.0,3028.0,87.0,88.5,33.6,34.0,88.0,27.0,1.0,45.0,1.0,1.31,40.0,43.0,-3.0,-0.09,0.14,49.7,41.3,8.4,0.25,0.13
