,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
305,Davide Bertoncini,it ITA,DF,Frosinone,Serie A,24.0,1991.0,5.0,4.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Ryan Bertrand,eng ENG,"DF,MF",Southampton,Premier League,25.0,1989.0,32.0,32.0,2880.0,32.0,1.0,3.0,4.0,0.0,1.0,1.0,6.0,0.0,0.03,0.09,0.12,0.0,0.09
307,Muhamed Bešić,ba BIH,"MF,DF",Everton,Premier League,22.0,1992.0,12.0,7.0,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Vincent Bessat,fr FRA,"FW,DF",Caen,Ligue 1,29.0,1985.0,35.0,32.0,2757.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.07,0.03,0.07
309,Beto,pt POR,GK,Sevilla,La Liga,33.0,1982.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Jonathan Biabiany,fr FRA,"MF,FW",Inter,Serie A,27.0,1988.0,20.0,7.0,872.0,9.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.1,0.21,0.31,0.1,0.31
312,Matteo Bianchetti,it ITA,DF,Hellas Verona,Serie A,22.0,1993.0,23.0,17.0,1587.0,17.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06
313,Raffaele Bianco,it ITA,MF,Carpi,Serie A,27.0,1987.0,26.0,21.0,1852.0,20.6,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,0.05,0.15,0.19,0.05,0.19
314,Ermin Bičakčić,ba BIH,DF,Hoffenheim,Bundesliga,25.0,1990.0,21.0,18.0,1599.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
315,Henri Bienvenu,cm CMR,FW,Troyes,Ligue 1,27.0,1988.0,7.0,1.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Thievy Bifouma,cg CGO,"FW,MF",Granada,La Liga,23.0,1992.0,7.0,0.0,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Thievy Bifouma,cg CGO,"FW,MF",Reims,Ligue 1,23.0,1992.0,14.0,10.0,937.0,10.4,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.38,0.1,0.48,0.38,0.48
318,Pedro Bigas,es ESP,DF,Las Palmas,La Liga,24.0,1990.0,27.0,26.0,2353.0,26.1,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.11,0.0,0.11,0.11,0.11
319,Lucas Biglia,ar ARG,MF,Lazio,Serie A,29.0,1986.0,27.0,26.0,2296.0,25.5,4.0,3.0,7.0,2.0,2.0,2.0,10.0,1.0,0.16,0.12,0.27,0.08,0.2
320,Davide Biondini,it ITA,MF,Sassuolo,Serie A,32.0,1983.0,22.0,12.0,1103.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Cristiano Biraghi,it ITA,DF,Granada,La Liga,22.0,1992.0,32.0,32.0,2819.0,31.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.03,0.03,0.0,0.03
322,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,Premier League,27.0,1987.0,26.0,12.0,1278.0,14.2,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,0.35,0.07,0.42,0.35,0.42
323,Valter Birsa,si SVN,"MF,FW",Chievo,Serie A,28.0,1986.0,35.0,32.0,2365.0,26.3,6.0,7.0,13.0,4.0,2.0,3.0,4.0,0.0,0.23,0.27,0.49,0.15,0.42
324,Milan Biševac,rs SRB,DF,Lazio,Serie A,31.0,1983.0,11.0,11.0,907.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
325,Milan Biševac,rs SRB,DF,Lyon,Ligue 1,31.0,1983.0,6.0,6.0,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Luca Bittante,it ITA,DF,Empoli,Serie A,21.0,1993.0,16.0,3.0,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Leonardo Bittencourt,de GER,"MF,FW",Köln,Bundesliga,21.0,1993.0,29.0,27.0,2202.0,24.5,3.0,4.0,7.0,3.0,0.0,0.0,2.0,1.0,0.12,0.16,0.29,0.12,0.29
328,André Biyogo Poko,ga GAB,"MF,DF",Bordeaux,Ligue 1,22.0,1993.0,25.0,19.0,1878.0,20.9,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.05,0.05,0.0,0.05
329,Albano Bizzarri,ar ARG,GK,Chievo,Serie A,37.0,1977.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Leonardo Blanchard,it ITA,DF,Frosinone,Serie A,27.0,1988.0,28.0,27.0,2452.0,27.2,3.0,1.0,4.0,3.0,0.0,0.0,13.0,1.0,0.11,0.04,0.15,0.11,0.15
331,Rubén Blanco,es ESP,GK,Celta Vigo,La Liga,20.0,1995.0,8.0,8.0,688.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
332,Ludovic Blas,fr FRA,MF,Guingamp,Ligue 1,17.0,1997.0,14.0,6.0,639.0,7.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.14,0.28,0.42,0.14,0.42
333,Pablo de Blasis,ar ARG,MF,Mainz 05,Bundesliga,27.0,1988.0,26.0,18.0,1643.0,18.3,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,0.22,0.22,0.44,0.22,0.44
334,Alexis Blin,fr FRA,MF,Toulouse,Ligue 1,18.0,1996.0,24.0,15.0,1410.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Daley Blind,nl NED,DF,Manchester Utd,Premier League,25.0,1990.0,35.0,35.0,3114.0,34.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.06,0.03,0.06
336,Hiram Boateng,eng ENG,"FW,MF",Crystal Palace,Premier League,19.0,1996.0,1.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Jérôme Boateng,de GER,DF,Bayern Munich,Bundesliga,26.0,1988.0,19.0,17.0,1348.0,15.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.2,0.2,0.0,0.2
339,Kevin-Prince Boateng,gh GHA,MF,Milan,Serie A,28.0,1987.0,11.0,1.0,200.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.45,0.0,0.45,0.45,0.45
