,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
1925,Jerome Roussillon,Union Berlin,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1926,Nicolo Rovella,Lazio,10.8,20,1.84,15,3,1,0,0,1,0,0.00,0,0,0,0,0,0
1927,Jon Rowe,Marseille,4.2,14,3.32,5,1,5,3,0,0,5,1.18,2,0,1,2,0,0
1928,Amir Rrahmani,Napoli,14.0,13,0.93,10,2,0,1,0,0,3,0.21,1,1,0,1,0,0
1929,Tommaso Rubino,Fiorentina,0.1,1,11.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1930,Antonio Rudiger,Real Madrid,13.1,13,0.99,9,0,0,3,1,0,1,0.08,0,0,0,0,1,0
1931,Matteo Ruggeri,Atalanta,10.3,20,1.93,16,1,1,2,0,0,3,0.29,3,0,0,0,0,0
1932,Aitor Ruibal,Betis,6.2,21,3.39,18,1,1,1,0,0,1,0.16,1,0,0,0,0,0
1933,Abel Ruiz,Girona,7.8,7,0.90,4,0,0,2,1,0,1,0.13,0,0,0,1,0,0
1934,Ferran Ruiz,Girona,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1935,Fabian Ruiz Pena,Paris S-G,6.9,32,4.64,30,0,0,2,0,0,3,0.43,3,0,0,0,0,0
1936,Geronimo Rulli,Marseille,13.0,3,0.23,3,0,0,0,0,0,1,0.08,1,0,0,0,0,0
1937,Georginio Rutter,Brighton,8.4,33,3.93,19,0,4,7,2,1,4,0.48,2,0,1,1,0,0
1938,Julian Ryerson,Dortmund,9.5,15,1.58,13,0,2,0,0,0,2,0.21,1,0,1,0,0,0
1939,Frederik Ronnow,Union Berlin,12.0,3,0.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1940,Jose Sa,Wolves,8.0,2,0.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1941,Elias Saad,St. Pauli,3.8,19,4.99,10,0,3,3,3,0,4,1.05,1,0,2,1,0,0
1942,Youssouf Sabaly,Betis,7.2,11,1.53,10,0,1,0,0,0,1,0.14,1,0,0,0,0,0
1943,Emmanuel Sabbi,Le Havre,4.6,16,3.48,8,0,4,1,2,1,1,0.22,1,0,0,0,0,0
1944,Stefano Sabelli,Genoa,8.5,13,1.54,12,1,0,0,0,0,1,0.12,1,0,0,0,0,0
1945,Marcel Sabitzer,Dortmund,8.4,15,1.79,10,1,1,1,1,1,4,0.48,2,0,0,0,1,1
1946,Falaye Sacko,Montpellier,9.4,16,1.69,16,0,0,0,0,0,1,0.11,1,0,0,0,0,0
1947,Umar Sadiq,Real Sociedad,2.5,3,1.19,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1948,Alexis Saelemaekers,Roma,1.4,4,2.81,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1950,Alexis Saelemaekers,Milan,1.0,9,9.00,6,3,0,0,0,0,0,0.00,0,0,0,0,0,0
1951,Jorge Saenz,Leganés,5.9,6,1.02,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0
1952,Matvei Safonov,Paris S-G,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1953,Modibo Sagnan,Montpellier,10.9,6,0.55,4,0,1,0,1,0,1,0.09,1,0,0,0,0,0
1954,Richie Sagrado,Venezia,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1955,Osame Sahraoui,Lille,7.4,35,4.70,27,1,4,2,1,0,4,0.54,3,0,0,1,0,0
1956,Wesley Said,Lens,3.9,12,3.09,8,0,3,0,1,0,0,0.00,0,0,0,0,0,0
1957,Bukayo Saka,Arsenal,10.8,76,7.02,45,14,7,7,3,0,20,1.85,12,4,2,1,1,0
1958,Marco Sala,Como,2.1,4,1.94,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1959,Ibrahim Salah,Brest,3.4,11,3.28,8,0,2,1,0,0,2,0.60,1,0,0,1,0,0
1960,Mohamed Salah,Liverpool,12.6,54,4.28,37,1,7,4,3,2,8,0.63,7,0,0,1,0,0
1961,Amine Salama,Reims,2.4,6,2.48,3,0,0,2,0,1,0,0.00,0,0,0,0,0,0
1962,Kike Salas,Sevilla,6.2,4,0.65,4,0,0,0,0,0,2,0.32,2,0,0,0,0,0
1963,Manolis Saliakas,St. Pauli,8.9,19,2.13,12,3,1,2,1,0,1,0.11,1,0,0,0,0,0
1964,William Saliba,Arsenal,11.3,10,0.88,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0
1965,Mohammed Salisu,Monaco,6.1,8,1.31,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0
1966,Roland Sallai,Freiburg,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1967,Yoann Salmier,Le Havre,6.6,1,0.15,1,0,0,0,0,0,1,0.15,1,0,0,0,0,0
1968,Lazar Samardzic,Atalanta,5.0,43,8.64,26,9,3,5,0,0,5,1.00,4,0,0,1,0,0
1969,Diadie Samassekou,Hoffenheim,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1970,Mama Samba Balde,Lyon,0.4,1,2.73,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1971,Mama Samba Balde,Brest,5.6,21,3.75,15,0,1,1,2,2,2,0.36,2,0,0,0,0,0
1972,Brice Samba,Lens,13.0,4,0.31,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1973,Albert Sambi Lokonga,Sevilla,7.2,13,1.80,13,0,0,0,0,0,1,0.14,1,0,0,0,0,0
1974,Junior Sambia,Empoli,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1976,Chuky san jose,Valladolid,1.0,2,2.02,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0
1977,Antonio Sanabria,Torino,8.5,14,1.66,11,0,0,1,2,0,1,0.12,1,0,0,0,0,0
1978,Oihan Sancet,Athletic Club,8.5,25,2.93,21,0,2,1,1,0,3,0.35,2,0,0,1,0,0
1979,Antonio Sanchez,Mallorca,6.2,8,1.30,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1980,Ivan Sanchez,Valladolid,6.0,23,3.83,14,3,2,0,4,0,1,0.17,1,0,0,0,0,0
1981,Javi Sanchez,Valladolid,7.8,4,0.51,3,0,0,1,0,0,1,0.13,0,0,0,1,0,0
1982,Juanlu Sanchez,Sevilla,5.4,12,2.20,11,0,0,1,0,0,1,0.18,1,0,0,0,0,0
1983,Manu Sanchez,Alavés,11.5,16,1.40,13,1,0,1,1,0,1,0.09,1,0,0,0,0,0
1984,Robert Sanchez,Chelsea,13.0,2,0.15,1,1,0,0,0,0,1,0.08,0,1,0,0,0,0
1985,Jadon Sancho,Chelsea,4.2,17,4.02,15,0,1,0,1,0,7,1.65,6,0,0,0,1,0
1986,Philipp Sander,Gladbach,4.1,8,1.96,5,1,0,2,0,0,0,0.00,0,0,0,0,0,0
1987,Leroy Sane,Bayern Munich,3.3,18,5.49,14,0,1,0,2,1,3,0.92,2,0,0,0,0,1
1988,Arouna Sangante,Le Havre,5.8,7,1.22,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
1989,Ibrahim Sangare,Nott'ham Forest,2.4,4,1.70,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1990,Nhoa Sangui,Reims,6.4,10,1.57,9,1,0,0,0,0,3,0.47,2,1,0,0,0,0
1991,Kaishu Sano,Mainz 05,11.8,23,1.95,18,0,0,2,2,1,3,0.25,3,0,0,0,0,0
1992,Nicola Sansone,Lecce,0.6,4,6.32,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0
1993,Baptiste Santamaria,Rennes,5.3,10,1.87,8,1,0,0,1,0,2,0.37,1,0,0,0,1,0
1994,Jesus Santiago,Getafe,2.5,4,1.59,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0
1995,Andrey Santos,Strasbourg,11.7,25,2.13,18,0,1,1,1,4,2,0.17,0,0,0,0,1,1
1996,Kaua Santos,Eint Frankfurt,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1997,Tiago Santos,Lille,4.5,16,3.56,14,0,1,0,1,0,3,0.67,2,0,0,0,1,0
1998,Pablo Sarabia,Wolves,2.0,5,2.49,1,3,1,0,0,0,1,0.50,0,0,1,0,0,0
1999,Jeremy Sarmiento,Brighton,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2000,Amin Sarr,Hellas Verona,2.7,2,0.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2002,Ismaila Sarr,Crystal Palace,7.3,32,4.36,19,0,3,4,6,0,3,0.41,1,0,0,0,2,0
2003,Malang Sarr,Lens,2.3,1,0.44,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2004,Mamadou Sarr,Strasbourg,6.5,4,0.61,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2005,Martin Satriano,Lens,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2006,Teji Savanier,Montpellier,10.3,51,4.94,29,14,1,2,2,3,4,0.39,2,2,0,0,0,0
2007,Savio,Manchester City,7.0,50,7.12,35,2,6,1,5,1,5,0.71,2,0,1,0,1,1
2008,Nicolo Savona,Juventus,8.4,15,1.79,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2009,Saba Sazonov,Torino,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2010,Joe Scally,Gladbach,11.0,11,1.00,10,0,0,0,1,0,1,0.09,1,0,0,0,0,0
