,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1887,Michael Obafemi,Southampton,7.4,1,0,0,11,7,3,2,6,3,0,0,0,23,9,37,19.6
1888,Pedro Obiang,Sassuolo,18.6,10,0,0,35,20,1,6,21,31,0,2,1,94,23,26,46.9
1889,Jan Oblak,Atlético Madrid,37.7,0,0,0,0,7,0,0,1,0,0,0,0,31,1,1,50.0
1890,Rafel Obrador,Mallorca,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
1891,Lucas Ocampos,Sevilla,30.5,10,1,1,42,56,12,89,22,31,1,0,0,141,30,39,43.5
1892,Bastian Oczipka,Schalke 04,33.5,4,0,0,26,35,4,147,37,50,0,1,0,184,27,38,41.5
1893,Alvaro Odriozola,Real Madrid,3.8,3,1,1,7,4,0,6,2,2,0,0,0,13,0,6,0.0
1894,Alvaro Odriozola,Bayern Munich,1.7,0,0,0,1,1,0,13,1,2,0,0,0,5,1,4,20.0
1895,Kelvin Ofori,Düsseldorf,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3
1896,Angelo Ogbonna,West Ham,31.0,4,0,0,22,14,0,2,27,24,0,1,1,141,102,59,63.4
1898,Stefano Okaka,Udinese,26.8,10,0,0,69,66,21,7,8,11,0,0,0,70,70,96,42.2
1899,Kwasi Okyere Wriedt,Bayern Munich,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
1900,Lucas Olaza,Celta Vigo,34.9,5,0,0,27,24,1,203,31,39,1,0,0,187,34,42,44.7
1901,Oier Olazabal,Espanyol,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
1902,Christian Oliva,Cagliari,5.2,1,0,0,4,2,0,1,7,7,0,0,0,37,6,4,60.0
1903,Kiko Olivas,Valladolid,32.7,2,0,0,14,29,4,0,61,16,0,1,0,193,46,46,50.0
1904,Paulo Oliveira,Eibar,23.2,7,1,1,20,15,0,2,42,19,0,0,1,97,87,50,63.5
1905,Cauly Oliveira Souza,Paderborn 07,8.0,0,0,0,9,14,1,39,6,7,0,0,0,39,5,11,31.3
1906,Mathias Olivera,Getafe,20.8,7,1,1,32,17,3,49,23,40,0,1,0,107,71,76,48.3
1907,Maximiliano Olivera,Fiorentina,0.1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0.0
1908,Marco Olivieri,Juventus,0.3,0,0,0,3,1,0,1,0,1,0,0,0,0,1,0,100.0
1909,Dani Olmo,RB Leipzig,8.3,1,0,0,10,20,0,17,4,14,0,0,0,26,14,14,50.0
1910,Robin Olsen,Cagliari,16.9,0,1,0,0,4,0,0,0,0,0,0,0,12,3,0,100.0
