,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
19,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,Serie A,23.0,1993.0,18.6,4.0,0.0,0.0,21.0,22.0,1.0,88.0,41.0,35.0,0.0,0.0,1.0,94.0,51.0,34.0,60.0
20,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,2.0,1.0,66.7
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,36.0,1981.0,23.9,5.0,0.0,0.0,42.0,39.0,35.0,20.0,3.0,8.0,0.0,0.0,0.0,45.0,99.0,77.0,56.3
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,31.0,1986.0,1.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,
23,Benik Afobe,cd COD,FW,Bournemouth,Premier League,24.0,1993.0,6.8,0.0,0.0,0.0,9.0,13.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,17.0,22.0,38.0,36.7
24,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,21.0,1996.0,20.3,4.0,0.0,0.0,19.0,18.0,0.0,50.0,41.0,33.0,0.0,0.0,0.0,120.0,17.0,13.0,56.7
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,30.0,1987.0,2.6,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,10.0,44.4
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,29.0,1988.0,21.8,2.0,0.0,0.0,10.0,17.0,16.0,16.0,6.0,6.0,0.0,0.0,0.0,59.0,10.0,19.0,34.5
28,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,24.0,1993.0,27.3,2.0,0.0,0.0,29.0,49.0,3.0,95.0,37.0,50.0,0.0,0.0,0.0,174.0,28.0,35.0,44.4
29,Matías Aguirregaray,uy URU,DF,Las Palmas,La Liga,28.0,1989.0,12.8,3.0,0.0,0.0,19.0,21.0,1.0,19.0,24.0,20.0,0.0,0.0,0.0,87.0,14.0,17.0,45.2
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,23.0,1994.0,33.4,4.0,0.0,0.0,46.0,49.0,1.0,5.0,75.0,34.0,0.0,0.0,0.0,261.0,48.0,47.0,50.5
31,Ailton,br BRA,"DF,MF",Stuttgart,Bundesliga,22.0,1995.0,1.2,0.0,0.0,0.0,3.0,3.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,9.0,4.0,2.0,66.7
32,Youssef Aït Bennasser,ma MAR,MF,Caen,Ligue 1,21.0,1996.0,22.7,4.0,0.0,0.0,20.0,26.0,0.0,11.0,32.0,28.0,0.0,0.0,0.0,207.0,23.0,32.0,41.8
33,Arlind Ajeti,al ALB,DF,Crotone,Serie A,23.0,1993.0,14.1,7.0,0.0,0.0,19.0,6.0,0.0,0.0,34.0,23.0,0.0,1.0,0.0,75.0,20.0,27.0,42.6
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,22.0,1995.0,10.0,2.0,0.0,0.0,9.0,4.0,0.0,1.0,7.0,15.0,0.0,0.0,0.0,35.0,14.0,15.0,48.3
35,Nathan Aké,nl NED,DF,Bournemouth,Premier League,22.0,1995.0,37.3,5.0,0.0,0.0,27.0,19.0,2.0,5.0,48.0,32.0,0.0,0.0,0.0,178.0,104.0,89.0,53.9
36,Ager Aketxe,es ESP,MF,Athletic Club,La Liga,23.0,1993.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
37,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,22.0,1995.0,12.2,2.0,0.0,0.0,13.0,12.0,8.0,14.0,5.0,14.0,0.0,0.0,0.0,43.0,10.0,25.0,28.6
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,22.0,1995.0,18.8,1.0,0.0,0.0,22.0,17.0,1.0,6.0,22.0,39.0,0.0,0.0,1.0,91.0,27.0,21.0,56.3
39,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,25.0,1992.0,17.2,1.0,0.0,0.0,9.0,6.0,2.0,94.0,10.0,14.0,0.0,0.0,0.0,85.0,15.0,17.0,46.9
40,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,24.0,1992.0,17.2,4.0,1.0,0.0,40.0,41.0,14.0,3.0,4.0,10.0,1.0,0.0,0.0,38.0,47.0,92.0,33.8
41,David Alba,es ESP,DF,Getafe,La Liga,18.0,1999.0,0.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
42,Jordi Alba,es ESP,DF,Barcelona,La Liga,28.0,1989.0,30.5,7.0,0.0,0.0,35.0,21.0,16.0,46.0,68.0,42.0,0.0,0.0,0.0,189.0,15.0,21.0,41.7
43,Raúl Albentosa,es ESP,DF,La Coruña,La Liga,28.0,1988.0,19.4,5.0,0.0,0.0,15.0,14.0,1.0,2.0,26.0,6.0,0.0,1.0,0.0,73.0,39.0,18.0,68.4
44,Luis Alberto,es ESP,"FW,MF",Lazio,Serie A,24.0,1992.0,29.7,5.0,0.0,0.0,19.0,36.0,3.0,213.0,16.0,28.0,1.0,0.0,0.0,145.0,13.0,25.0,34.2
45,Raúl Albiol,es ESP,DF,Napoli,Serie A,31.0,1985.0,30.5,7.0,0.0,0.0,28.0,18.0,2.0,3.0,32.0,19.0,0.0,0.0,0.0,216.0,92.0,51.0,64.3
46,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,Bundesliga,26.0,1990.0,7.8,1.0,0.0,0.0,9.0,14.0,0.0,23.0,5.0,20.0,0.0,0.0,0.0,31.0,10.0,17.0,37.0
47,Marc Albrighton,eng ENG,"MF,FW",Leicester City,Premier League,27.0,1989.0,28.2,5.0,1.0,0.0,20.0,26.0,2.0,217.0,27.0,33.0,0.0,1.0,0.0,172.0,11.0,15.0,42.3
48,Paco Alcácer,es ESP,"MF,FW",Barcelona,La Liga,23.0,1993.0,7.7,0.0,0.0,0.0,2.0,9.0,7.0,6.0,11.0,3.0,0.0,0.0,0.0,28.0,7.0,17.0,29.2
49,Pedro Alcalá,es ESP,DF,Girona,La Liga,28.0,1989.0,7.7,4.0,0.0,0.0,11.0,3.0,2.0,4.0,14.0,5.0,0.0,0.0,0.0,26.0,19.0,11.0,63.3
50,Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,Bundesliga,26.0,1991.0,13.9,3.0,0.0,0.0,24.0,14.0,1.0,13.0,27.0,35.0,1.0,0.0,0.0,77.0,21.0,17.0,55.3
52,David Alcibiade,fr FRA,DF,Nantes,Ligue 1,25.0,1991.0,2.3,0.0,0.0,0.0,2.0,2.0,1.0,5.0,7.0,5.0,0.0,0.0,0.0,10.0,5.0,1.0,83.3
53,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,28.0,1989.0,13.1,3.0,0.0,0.0,8.0,1.0,0.0,7.0,4.0,13.0,0.0,0.0,0.0,57.0,14.0,29.0,32.6
54,Steve Aldo One,cm CMR,DF,La Coruña,La Liga,22.0,1995.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
55,Álex Alegría,es ESP,FW,Levante,La Liga,24.0,1992.0,7.0,1.0,0.0,0.0,16.0,18.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,16.0,24.0,24.0,50.0
56,Iván Alejo,es ESP,"MF,FW",Eibar,La Liga,22.0,1995.0,12.2,5.0,0.0,0.0,25.0,45.0,3.0,109.0,5.0,16.0,0.0,0.0,0.0,67.0,10.0,13.0,43.5
57,Alexander,ar ARG,"MF,FW",Leganés,La Liga,28.0,1988.0,11.8,1.0,0.0,0.0,19.0,18.0,8.0,40.0,22.0,11.0,1.0,0.0,0.0,56.0,2.0,4.0,33.3
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,18.0,1998.0,17.5,3.0,0.0,0.0,12.0,1.0,3.0,102.0,28.0,25.0,0.0,0.0,0.0,133.0,5.0,17.0,22.7
59,Alexis,es ESP,DF,Alavés,La Liga,31.0,1985.0,24.3,6.0,0.0,0.0,20.0,14.0,2.0,6.0,30.0,24.0,0.0,0.0,1.0,112.0,28.0,18.0,60.9
60,Alisson,br BRA,GK,Roma,Serie A,24.0,1992.0,37.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,7.0,0.0,100.0
61,Allan,br BRA,MF,Napoli,Serie A,26.0,1991.0,31.7,2.0,0.0,0.0,37.0,47.0,0.0,29.0,28.0,68.0,0.0,0.0,0.0,244.0,11.0,33.0,25.0
62,Joe Allen,wls WAL,MF,Stoke City,Premier League,27.0,1990.0,34.9,8.0,0.0,0.0,49.0,49.0,0.0,37.0,58.0,62.0,0.0,0.0,0.0,244.0,36.0,59.0,37.9
63,Dele Alli,eng ENG,"MF,FW",Tottenham,Premier League,21.0,1996.0,32.9,7.0,0.0,0.0,43.0,84.0,5.0,18.0,19.0,30.0,1.0,0.0,0.0,181.0,28.0,49.0,36.4
64,Júnior Alonso,py PAR,DF,Lille,Ligue 1,24.0,1993.0,30.9,3.0,0.0,0.0,34.0,9.0,0.0,7.0,56.0,31.0,0.0,0.0,1.0,219.0,91.0,43.0,67.9
65,José Alonso Lara,es ESP,MF,Sevilla,La Liga,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,Marcos Alonso,es ESP,"DF,MF",Chelsea,Premier League,26.0,1990.0,31.7,6.0,0.0,0.0,26.0,31.0,8.0,96.0,47.0,33.0,0.0,0.0,0.0,193.0,59.0,52.0,53.2
67,Ricky Álvarez,ar ARG,MF,Sampdoria,Serie A,29.0,1988.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,15.0,6.0,8.0,42.9
68,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,30.0,1986.0,16.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,1.0,83.3
69,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,22.0,1995.0,7.5,2.0,0.0,0.0,12.0,10.0,0.0,1.0,11.0,7.0,0.0,0.0,0.0,66.0,13.0,12.0,52.0
70,Dani Alves,br BRA,DF,Paris S-G,Ligue 1,34.0,1983.0,22.9,7.0,1.0,0.0,38.0,34.0,4.0,99.0,28.0,57.0,0.0,0.0,0.0,160.0,16.0,19.0,45.7
71,Ibrahim Amadou,fr FRA,"MF,DF",Lille,Ligue 1,24.0,1993.0,26.7,3.0,1.0,0.0,23.0,17.0,0.0,4.0,41.0,29.0,0.0,1.0,0.0,177.0,33.0,27.0,55.0
72,Eloi Amagat,es ESP,MF,Girona,La Liga,32.0,1985.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,Morgan Amalfitano,fr FRA,"MF,FW",Rennes,Ligue 1,32.0,1985.0,8.3,2.0,2.0,1.0,8.0,14.0,0.0,19.0,4.0,5.0,0.0,0.0,0.0,39.0,2.0,12.0,14.3
74,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,27.0,1989.0,30.0,5.0,0.0,0.0,35.0,52.0,0.0,20.0,85.0,37.0,0.0,0.0,0.0,228.0,13.0,29.0,31.0
75,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,22.0,1994.0,5.4,1.0,2.0,1.0,5.0,7.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,30.0,10.0,7.0,58.8
76,Jordi Amat,id IDN,"DF,MF",Betis,La Liga,25.0,1992.0,22.7,7.0,2.0,1.0,38.0,10.0,0.0,0.0,38.0,23.0,0.0,2.0,1.0,112.0,29.0,30.0,49.2
78,Amath,sn SEN,"MF,FW",Getafe,La Liga,21.0,1996.0,31.8,9.0,0.0,0.0,72.0,62.0,10.0,21.0,33.0,53.0,0.0,0.0,0.0,183.0,19.0,47.0,28.8
79,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,23.0,1994.0,24.4,7.0,0.0,0.0,30.0,22.0,1.0,60.0,45.0,35.0,0.0,1.0,0.0,170.0,42.0,21.0,66.7
80,Stephan Ambrosius,gh GHA,DF,Hamburger SV,Bundesliga,18.0,1998.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
81,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,19.0,1998.0,35.0,3.0,1.0,0.0,28.0,15.0,0.0,43.0,45.0,43.0,0.0,1.0,0.0,155.0,36.0,38.0,48.6
82,Nadiem Amiri,de GER,MF,Hoffenheim,Bundesliga,20.0,1996.0,19.4,4.0,0.0,0.0,42.0,38.0,3.0,49.0,17.0,26.0,0.0,0.0,0.0,106.0,6.0,14.0,30.0
83,Ethan Ampadu,wls WAL,DF,Chelsea,Premier League,16.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
84,Nordin Amrabat,ma MAR,FW,Watford,Premier League,30.0,1987.0,2.2,0.0,0.0,0.0,6.0,2.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,6.0,33.3
85,Nordin Amrabat,ma MAR,"FW,MF",Leganés,La Liga,30.0,1987.0,18.0,6.0,1.0,1.0,54.0,36.0,25.0,61.0,5.0,10.0,0.0,1.0,0.0,76.0,12.0,23.0,34.3
86,Jon Ander Serantes,es ESP,GK,Leganés,La Liga,27.0,1989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,Joachim Andersen,dk DEN,DF,Sampdoria,Serie A,21.0,1996.0,6.1,0.0,0.0,0.0,3.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,33.0,17.0,2.0,89.5
88,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,24.0,1993.0,12.9,0.0,0.0,0.0,9.0,15.0,0.0,74.0,11.0,21.0,0.0,0.0,0.0,72.0,3.0,12.0,20.0
89,Florin Andone,ro ROU,FW,La Coruña,La Liga,24.0,1993.0,18.2,6.0,0.0,0.0,59.0,19.0,17.0,17.0,3.0,7.0,0.0,0.0,0.0,50.0,32.0,70.0,31.4
90,Nícolas Andrade,br BRA,GK,Hellas Verona,Serie A,29.0,1988.0,36.0,2.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,39.0,6.0,1.0,85.7
91,Benjamin André,fr FRA,MF,Rennes,Ligue 1,26.0,1990.0,33.5,11.0,1.0,1.0,72.0,48.0,1.0,21.0,57.0,54.0,0.0,0.0,0.0,259.0,187.0,151.0,55.3
92,Marco Andreolli,it ITA,DF,Cagliari,Serie A,31.0,1986.0,20.3,5.0,0.0,0.0,29.0,8.0,0.0,4.0,30.0,17.0,0.0,0.0,0.0,58.0,45.0,27.0,62.5
93,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,28.0,1989.0,23.0,4.0,0.0,0.0,21.0,15.0,0.0,59.0,37.0,30.0,0.0,0.0,0.0,145.0,31.0,23.0,57.4
94,Miguel Ángel Guerrero,es ESP,FW,Leganés,La Liga,27.0,1990.0,16.0,3.0,0.0,0.0,36.0,23.0,13.0,1.0,9.0,5.0,0.0,0.0,0.0,37.0,42.0,41.0,50.6
95,José Ángel,es ESP,DF,Eibar,La Liga,27.0,1989.0,27.0,4.0,0.0,0.0,20.0,17.0,1.0,226.0,38.0,44.0,0.0,0.0,0.0,187.0,36.0,29.0,55.4
96,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,33.0,1984.0,8.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,22.0,2.0,0.0,100.0
97,Miguel Ángel Rubio,es ESP,DF,Getafe,La Liga,19.0,1998.0,0.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
98,Gabriele Angella,it ITA,DF,Udinese,Serie A,28.0,1989.0,9.9,3.0,0.0,0.0,18.0,4.0,0.0,2.0,21.0,13.0,0.0,3.0,0.0,56.0,30.0,13.0,69.8
99,Cristian Ansaldi,ar ARG,DF,Torino,Serie A,30.0,1986.0,20.8,6.0,2.0,1.0,26.0,36.0,0.0,78.0,20.0,33.0,1.0,1.0,0.0,121.0,5.0,13.0,27.8
100,Luca Antei,it ITA,DF,Benevento,Serie A,25.0,1992.0,6.6,1.0,1.0,0.0,10.0,7.0,0.0,1.0,26.0,14.0,0.0,0.0,0.0,28.0,7.0,4.0,63.6
101,Mirco Antenucci,it ITA,FW,SPAL,Serie A,32.0,1984.0,28.6,1.0,0.0,0.0,36.0,70.0,33.0,33.0,11.0,13.0,1.0,0.0,0.0,85.0,21.0,44.0,32.3
102,Waldemar Anton,de GER,"DF,MF",Hannover 96,Bundesliga,21.0,1996.0,25.3,1.0,0.0,0.0,20.0,30.0,0.0,8.0,39.0,49.0,0.0,1.0,0.0,154.0,73.0,46.0,61.3
104,Luca Antonelli,it ITA,"DF,FW",Milan,Serie A,30.0,1987.0,1.6,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
105,Michail Antonio,jm JAM,"FW,MF",West Ham,Premier League,27.0,1990.0,15.0,1.0,0.0,0.0,17.0,30.0,7.0,55.0,13.0,9.0,1.0,0.0,0.0,71.0,43.0,53.0,44.8
106,Mirko Antonucci,it ITA,FW,Roma,Serie A,18.0,1999.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,Vitorino Antunes,pt POR,DF,Getafe,La Liga,30.0,1987.0,31.1,14.0,0.0,0.0,50.0,36.0,1.0,149.0,58.0,44.0,0.0,0.0,0.0,172.0,18.0,23.0,43.9
108,Dennis Aogo,de GER,"MF,DF",Stuttgart,Bundesliga,30.0,1987.0,21.7,5.0,0.0,0.0,33.0,12.0,0.0,104.0,29.0,26.0,0.0,1.0,0.0,96.0,11.0,12.0,47.8
109,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,19.0,1998.0,27.0,1.0,0.0,0.0,20.0,46.0,6.0,14.0,39.0,42.0,0.0,0.0,0.0,198.0,22.0,30.0,42.3
110,Alberto Aquilani,it ITA,MF,Las Palmas,La Liga,33.0,1984.0,14.4,4.0,0.0,0.0,18.0,14.0,1.0,7.0,23.0,19.0,0.0,0.0,0.0,94.0,11.0,13.0,45.8
111,Mauro Arambarri,uy URU,MF,Getafe,La Liga,21.0,1995.0,23.6,9.0,1.0,1.0,49.0,42.0,0.0,6.0,25.0,41.0,0.0,0.0,0.0,166.0,17.0,31.0,35.4
112,Guilherme Arana,br BRA,DF,Sevilla,La Liga,20.0,1997.0,2.1,0.0,0.0,0.0,2.0,2.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,19.0,2.0,3.0,40.0
113,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,28.0,1989.0,25.6,4.0,0.0,0.0,41.0,52.0,1.0,22.0,48.0,61.0,0.0,1.0,0.0,177.0,13.0,29.0,31.0
114,Luiz Araújo,br BRA,"FW,MF",Lille,Ligue 1,21.0,1996.0,22.4,5.0,0.0,0.0,28.0,25.0,6.0,69.0,16.0,31.0,0.0,0.0,0.0,101.0,5.0,14.0,26.3
115,Sergio Araujo,ar ARG,"MF,FW",Las Palmas,La Liga,25.0,1992.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
116,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,30.0,1987.0,26.8,8.0,0.0,0.0,26.0,11.0,0.0,11.0,78.0,30.0,0.0,2.0,1.0,238.0,44.0,35.0,55.7
117,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,24.0,1993.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,7.0,0.0,100.0
118,Scott Arfield,ca CAN,"MF,FW",Burnley,Premier League,28.0,1988.0,14.8,3.0,0.0,0.0,21.0,14.0,1.0,8.0,11.0,26.0,0.0,0.0,0.0,83.0,11.0,30.0,26.8
119,Samuel Armenteros,se SWE,FW,Benevento,Serie A,27.0,1990.0,4.8,1.0,0.0,0.0,8.0,3.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,7.0,18.0,28.0
120,Yoël Armougom,fr FRA,"DF,MF",Caen,Ligue 1,19.0,1998.0,1.5,0.0,0.0,0.0,2.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,50.0
121,José Arnaiz,es ESP,MF,Barcelona,La Liga,22.0,1995.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
122,Marko Arnautović,at AUT,"FW,MF",West Ham,Premier League,28.0,1989.0,25.7,5.0,1.0,0.0,35.0,29.0,43.0,61.0,13.0,16.0,0.0,0.0,0.0,103.0,22.0,39.0,36.1
123,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,23.0,1994.0,27.3,9.0,1.0,0.0,52.0,80.0,3.0,114.0,28.0,41.0,0.0,1.0,0.0,127.0,21.0,34.0,38.2
124,Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,Bundesliga,17.0,2000.0,9.4,1.0,0.0,0.0,22.0,18.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,17.0,18.0,46.0,28.1
125,Alejandro Arribas,es ESP,DF,La Coruña,La Liga,28.0,1989.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,15.0,2.0,4.0,33.3
126,Kepa Arrizabalaga,es ESP,GK,Athletic Club,La Liga,22.0,1994.0,30.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,47.0,5.0,1.0,83.3
127,Harry Arter,ie IRL,MF,Bournemouth,Premier League,27.0,1989.0,10.7,4.0,0.0,0.0,9.0,15.0,0.0,5.0,9.0,16.0,0.0,0.0,0.0,66.0,6.0,2.0,75.0
128,Aythami Artiles,es ESP,DF,Las Palmas,La Liga,31.0,1986.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,5.0,0.0,100.0
