,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
67,Paderborn 07,Bundesliga,27.0,34.0,84.0,3.0,2.0,426.0,358.0,62.0,572.0,364.0,400.0,2.0,5.0,2.0,1797.0,462.0,564.0,45.0
68,Paris S-G,Ligue 1,31.0,27.0,50.0,1.0,1.0,333.0,291.0,57.0,520.0,255.0,295.0,5.0,0.0,1.0,1511.0,234.0,226.0,50.9
69,Parma,Serie A,25.0,38.0,81.0,1.0,0.0,519.0,467.0,60.0,597.0,394.0,348.0,4.0,11.0,0.0,1871.0,540.0,463.0,53.8
70,RB Leipzig,Bundesliga,29.0,34.0,53.0,3.0,3.0,373.0,370.0,78.0,628.0,364.0,361.0,3.0,2.0,0.0,2031.0,518.0,484.0,51.7
71,Real Madrid,La Liga,26.0,38.0,82.0,4.0,3.0,487.0,474.0,84.0,776.0,381.0,355.0,11.0,2.0,0.0,2047.0,521.0,411.0,55.9
72,Real Sociedad,La Liga,27.0,38.0,79.0,2.0,2.0,501.0,489.0,78.0,719.0,320.0,321.0,2.0,9.0,1.0,1892.0,815.0,710.0,53.4
73,Reims,Ligue 1,26.0,28.0,52.0,5.0,5.0,384.0,385.0,45.0,539.0,325.0,324.0,4.0,6.0,0.0,1478.0,427.0,503.0,45.9
74,Rennes,Ligue 1,26.0,28.0,51.0,1.0,0.0,387.0,404.0,40.0,478.0,272.0,296.0,5.0,5.0,1.0,1462.0,495.0,465.0,51.6
75,Roma,Serie A,31.0,38.0,111.0,7.0,4.0,541.0,435.0,45.0,781.0,400.0,303.0,7.0,10.0,0.0,1852.0,530.0,415.0,56.1
76,Saint-Étienne,Ligue 1,31.0,28.0,59.0,3.0,2.0,371.0,324.0,43.0,563.0,376.0,318.0,3.0,6.0,0.0,1542.0,532.0,526.0,50.3
77,Sampdoria,Serie A,31.0,38.0,111.0,7.0,5.0,562.0,459.0,63.0,814.0,397.0,356.0,10.0,9.0,4.0,1928.0,588.0,625.0,48.5
78,Sassuolo,Serie A,31.0,38.0,99.0,3.0,1.0,498.0,560.0,64.0,562.0,348.0,332.0,4.0,9.0,4.0,1812.0,341.0,385.0,47.0
79,Schalke 04,Bundesliga,29.0,34.0,64.0,2.0,1.0,400.0,380.0,81.0,472.0,407.0,361.0,1.0,6.0,2.0,1927.0,627.0,632.0,49.8
80,Sevilla,La Liga,26.0,38.0,97.0,1.0,1.0,522.0,480.0,92.0,880.0,346.0,344.0,4.0,4.0,1.0,2069.0,746.0,695.0,51.8
81,Sheffield Utd,Premier League,26.0,38.0,63.0,2.0,1.0,412.0,306.0,78.0,866.0,420.0,377.0,1.0,3.0,0.0,2041.0,946.0,886.0,51.6
82,Southampton,Premier League,25.0,38.0,55.0,4.0,1.0,450.0,388.0,58.0,690.0,425.0,416.0,4.0,4.0,1.0,2150.0,810.0,878.0,48.0
83,SPAL,Serie A,34.0,38.0,98.0,4.0,1.0,541.0,525.0,53.0,693.0,394.0,327.0,6.0,8.0,3.0,1718.0,552.0,520.0,51.5
84,Strasbourg,Ligue 1,25.0,27.0,46.0,1.0,1.0,367.0,311.0,33.0,579.0,301.0,293.0,4.0,7.0,0.0,1442.0,512.0,399.0,56.2
85,Torino,Serie A,27.0,38.0,96.0,7.0,5.0,606.0,539.0,63.0,756.0,495.0,314.0,3.0,11.0,3.0,2048.0,699.0,640.0,52.2
86,Tottenham,Premier League,29.0,38.0,84.0,3.0,1.0,423.0,424.0,66.0,641.0,381.0,415.0,4.0,7.0,2.0,2022.0,642.0,671.0,48.9
87,Toulouse,Ligue 1,30.0,28.0,48.0,5.0,1.0,396.0,295.0,30.0,534.0,320.0,346.0,4.0,5.0,1.0,1517.0,468.0,522.0,47.3
88,Udinese,Serie A,25.0,38.0,77.0,3.0,2.0,506.0,414.0,65.0,730.0,375.0,340.0,0.0,10.0,0.0,1888.0,483.0,534.0,47.5
89,Union Berlin,Bundesliga,26.0,34.0,71.0,5.0,3.0,523.0,374.0,64.0,628.0,421.0,322.0,3.0,4.0,1.0,1848.0,908.0,835.0,52.1
90,Valencia,La Liga,28.0,38.0,80.0,8.0,3.0,416.0,543.0,100.0,677.0,360.0,311.0,6.0,9.0,1.0,1778.0,553.0,601.0,47.9
91,Valladolid,La Liga,30.0,38.0,84.0,0.0,0.0,484.0,530.0,81.0,645.0,390.0,327.0,6.0,8.0,0.0,1964.0,618.0,764.0,44.7
92,Villarreal,La Liga,25.0,38.0,78.0,1.0,0.0,483.0,422.0,71.0,619.0,339.0,323.0,10.0,9.0,2.0,1894.0,536.0,622.0,46.3
93,Watford,Premier League,26.0,38.0,80.0,3.0,2.0,481.0,342.0,68.0,684.0,424.0,369.0,7.0,9.0,3.0,1996.0,823.0,802.0,50.6
94,Werder Bremen,Bundesliga,30.0,34.0,80.0,4.0,4.0,461.0,450.0,53.0,601.0,423.0,345.0,4.0,1.0,3.0,1723.0,568.0,666.0,46.0
95,West Ham,Premier League,29.0,38.0,64.0,1.0,1.0,387.0,345.0,66.0,737.0,421.0,417.0,3.0,6.0,3.0,2052.0,855.0,801.0,51.6
96,Wolfsburg,Bundesliga,26.0,34.0,71.0,4.0,2.0,490.0,399.0,72.0,651.0,377.0,363.0,3.0,5.0,0.0,1999.0,644.0,599.0,51.8
97,Wolves,Premier League,21.0,38.0,61.0,2.0,2.0,407.0,360.0,49.0,718.0,437.0,367.0,4.0,3.0,1.0,2113.0,775.0,711.0,52.2
