,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
31,29,34.0,,,3,446,429,40,471,392,465,8,5,4,1292,707,771,47.8
32,33,38.0,,,0,555,474,86,769,394,395,5,4,2,2022,561,589,48.8
33,32,38.0,130.0,5.0,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6
34,25,38.0,102.0,0.0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9
35,23,38.0,65.0,2.0,2,498,517,100,727,475,437,5,7,1,2026,610,635,49.0
36,29,34.0,,,3,499,467,61,668,367,543,3,4,1,1631,678,778,46.6
37,26,34.0,,,0,487,503,53,579,382,490,5,4,0,1502,787,681,53.6
38,32,38.0,,,4,511,404,79,665,541,459,3,8,2,1883,555,642,46.4
39,25,34.0,,,0,494,465,47,528,386,488,5,7,1,1321,665,667,49.9
40,26,34.0,,,0,506,438,78,592,345,516,5,4,2,1513,441,479,47.9
41,25,38.0,,,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6
42,22,38.0,,,0,452,395,94,1042,402,435,6,2,4,2140,538,477,53.0
43,24,38.0,,,1,432,493,79,672,421,359,5,4,2,2003,455,366,55.4
44,31,34.0,,,1,479,478,81,663,389,502,2,9,0,1593,643,649,49.8
45,32,38.0,99.0,2.0,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9
46,36,38.0,88.0,3.0,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7
47,24,38.0,,,3,435,350,97,734,494,450,9,10,2,2304,474,464,50.5
48,28,38.0,102.0,5.0,3,592,503,97,690,583,483,2,7,0,2140,653,627,51.0
49,27,38.0,,,4,364,357,92,744,414,417,6,4,2,2154,787,752,51.1
50,33,38.0,108.0,6.0,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6
51,24,34.0,,,1,451,485,58,658,390,482,4,6,0,1717,552,618,47.2
52,25,38.0,59.0,6.0,2,482,430,87,614,492,453,2,7,3,2251,485,460,51.3
53,27,38.0,,,0,344,305,70,764,379,450,3,6,0,2258,585,650,47.4
54,26,38.0,71.0,2.0,1,475,530,80,572,450,411,6,8,3,2142,573,458,55.6
55,27,34.0,,,0,398,411,73,490,384,488,5,4,1,1428,516,504,50.6
56,27,34.0,,,2,531,435,67,546,402,522,3,7,1,1512,683,657,51.0
57,37,38.0,99.0,8.0,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9
58,25,38.0,,,2,344,354,67,691,346,381,8,2,2,2104,512,418,55.1
59,27,38.0,,,0,405,422,88,753,481,369,1,1,2,2133,617,493,55.6
60,26,38.0,81.0,2.0,0,508,481,78,864,448,505,7,6,2,2246,607,571,51.5
61,36,38.0,78.0,7.0,2,532,435,56,701,511,458,2,5,2,2204,615,725,45.9
62,23,38.0,,,4,495,478,88,872,354,376,4,3,1,1954,440,500,46.8
63,32,38.0,70.0,4.0,1,508,517,73,764,497,433,8,5,1,2069,612,609,50.1
64,23,38.0,72.0,1.0,0,447,528,83,849,499,450,2,6,0,2220,633,554,53.3
65,30,38.0,63.0,6.0,5,490,409,85,789,426,510,4,4,1,2243,667,692,49.1
66,23,38.0,,,1,349,369,80,672,341,407,7,2,0,2393,375,436,46.2
67,27,38.0,,,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8
68,31,38.0,80.0,4.0,2,445,533,63,572,437,398,9,5,3,1939,388,381,50.5
69,28,38.0,65.0,6.0,4,425,493,93,682,329,435,7,5,1,2023,353,265,57.1
70,23,34.0,,,3,452,485,87,521,397,509,4,5,0,1700,638,544,54.0
71,24,38.0,65.0,4.0,2,436,517,115,904,424,470,9,4,2,2087,406,369,52.4
72,27,38.0,60.0,5.0,4,419,538,91,782,446,374,5,8,1,2038,498,467,51.6
73,28,38.0,64.0,5.0,3,479,525,89,766,415,409,7,8,2,2194,674,642,51.2
74,27,38.0,,,1,396,439,71,962,477,384,4,5,0,2201,664,471,58.5
75,30,38.0,71.0,8.0,1,510,492,90,657,401,447,10,7,1,2035,627,597,51.2
76,27,38.0,,,2,426,485,54,777,335,423,6,10,2,1997,463,545,45.9
77,28,38.0,,,4,488,556,80,793,506,375,6,3,2,2077,592,528,52.9
78,24,34.0,,,1,549,504,81,583,498,534,9,6,1,1871,558,510,52.2
79,31,38.0,97.0,3.0,2,562,493,137,657,409,535,3,8,1,2129,582,504,53.6
80,26,38.0,,,1,416,377,73,800,462,454,3,2,0,2222,687,821,45.6
81,29,38.0,,,2,479,640,91,727,527,414,5,12,4,1776,507,545,48.2
82,30,38.0,,,0,436,375,87,598,461,437,2,5,2,1832,974,774,55.7
83,25,38.0,71.0,4.0,1,523,437,76,776,515,490,7,7,0,2087,700,664,51.3
84,26,34.0,,,2,462,429,72,610,414,496,2,6,0,1477,627,694,47.5
85,26,38.0,,,0,377,400,38,694,390,417,1,6,2,1877,687,769,47.2
86,27,38.0,,,4,568,508,71,612,421,405,2,8,0,2122,614,573,51.7
87,25,38.0,,,1,384,394,88,825,380,399,3,3,1,2142,605,583,50.9
88,25,38.0,92.0,3.0,1,590,495,75,822,479,465,9,6,2,2074,748,672,52.7
89,25,38.0,76.0,7.0,2,495,388,63,689,437,410,3,5,1,2018,641,787,44.9
90,27,38.0,,,0,531,392,60,711,459,415,5,6,5,1934,539,577,48.3
91,25,38.0,103.0,5.0,4,518,548,83,605,459,492,7,5,0,2023,534,460,53.7
92,32,38.0,113.0,6.0,4,598,458,111,517,427,466,5,8,0,2021,553,533,50.9
93,29,38.0,,,1,441,381,74,713,467,432,6,6,1,2105,841,883,48.8
94,25,34.0,,,0,522,443,69,655,421,435,0,4,2,1368,636,617,50.8
95,24,38.0,,,0,440,345,79,784,470,385,0,1,2,2094,785,784,50.0
96,27,38.0,,,1,379,450,97,733,482,410,4,6,1,2017,743,771,49.1
97,29,34.0,,,5,444,499,57,556,403,430,6,9,2,1300,601,591,50.4
