,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
52,30,38.0,19787,23388,84.6,340268,116719,8987,9961,90.2,8403,9364,89.7,1780,2835,62.8,45,48.3,50.8,-3.3,422,1486,346,66,1756
53,26,34.0,14537,17978,80.9,251602,93864,6542,7467,87.6,6272,7138,87.9,1318,2354,56.0,38,37.8,39.2,0.2,357,920,250,46,1291
54,28,34.0,10773,15000,71.8,190321,80921,4904,5893,83.2,4358,5557,78.4,1175,2534,46.4,36,36.4,35.9,-0.4,317,878,255,72,1178
55,33,38.0,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,25.7,28.3,-2.7,303,806,235,64,1129
56,26,38.0,24406,27902,87.5,412596,117964,11713,12605,92.9,10158,11162,91.0,1972,2895,68.1,63,65.5,57.1,-2.5,536,2110,535,74,2421
57,29,38.0,16690,20641,80.9,280259,93084,8162,9234,88.4,6398,7436,86.0,1548,2626,58.9,46,42.5,37.1,3.5,407,1315,312,65,1568
58,27,38.0,21253,24524,86.7,361998,109449,9918,10745,92.3,8776,9635,91.1,1878,2900,64.8,40,41.1,41.7,-1.1,384,1547,336,59,1866
59,36,38.0,12069,15688,76.9,222449,84751,5120,6014,85.1,5157,6079,84.8,1430,2715,52.7,24,21.5,21.1,2.5,275,818,126,49,1015
60,28,38.0,15719,19320,81.4,283818,100443,6814,7777,87.6,6719,7647,87.9,1787,2874,62.2,39,42.8,40.4,-3.8,436,1202,371,95,1486
61,27,38.0,16300,20559,79.3,293016,105290,6964,8022,86.8,7227,8418,85.9,1702,3045,55.9,45,44.1,49.0,0.9,348,1387,393,82,1871
62,26,38.0,13951,17804,78.4,246694,95721,6234,7133,87.4,5560,6581,84.5,1585,2917,54.3,31,28.6,28.5,2.4,290,957,239,70,1282
63,26,38.0,12580,16481,76.3,232016,88021,5386,6257,86.1,5234,6315,82.9,1572,2976,52.8,37,34.7,30.4,2.3,327,1086,204,76,1330
64,27,38.0,19572,22921,85.4,313472,105507,10332,11215,92.1,6928,7820,88.6,1611,2509,64.2,46,37.1,37.0,8.9,450,1389,366,57,1665
65,29,38.0,10201,14036,72.7,188373,77685,4545,5432,83.7,3917,4880,80.3,1343,2746,48.9,23,25.8,23.3,-2.8,308,791,193,55,923
66,27,38.0,16159,19832,81.5,281750,98166,7356,8328,88.3,6858,7835,87.5,1515,2645,57.3,35,39.0,39.8,-4.0,334,1151,261,102,1474
67,28,38.0,12164,16070,75.7,217007,80065,5578,6484,86.0,4912,5949,82.6,1369,2757,49.7,16,24.3,23.7,-8.3,264,739,226,46,1031
68,29,38.0,11904,16522,72.0,228055,96276,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,22.9,27.6,0.1,297,1099,298,124,1328
69,36,38.0,23831,26660,89.4,379833,120661,12093,12973,93.2,9125,9855,92.6,1662,2239,74.2,65,55.9,56.0,9.1,433,1844,403,51,2055
70,28,38.0,12747,16933,75.3,237761,93060,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,30.7,35.8,-2.7,359,1012,267,109,1312
71,29,34.0,16163,19771,81.8,265026,97087,7780,8702,89.4,6442,7384,87.2,1269,2311,54.9,53,49.2,56.9,3.8,329,1144,376,75,1467
72,31,38.0,21373,24517,87.2,355560,112655,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,50.7,55.1,8.3,526,1694,455,57,2078
73,32,38.0,15403,19304,79.8,269268,98185,6964,7887,88.3,6383,7429,85.9,1569,2800,56.0,22,32.9,35.0,-10.9,313,1067,315,69,1462
74,35,38.0,12097,15811,76.5,222517,84221,5187,6061,85.6,5070,6048,83.8,1511,2767,54.6,27,26.0,24.3,1.0,307,878,233,76,1185
75,28,38.0,17605,21263,82.8,330949,109096,7052,8029,87.8,7902,8886,88.9,2224,3332,66.7,61,47.1,45.8,13.9,426,1287,367,89,1737
76,29,38.0,15221,18828,80.8,286185,100442,6118,7018,87.2,6937,7898,87.8,1874,3044,61.6,31,46.3,38.3,-15.3,434,1200,332,70,1587
77,39,38.0,13880,17876,77.6,248220,88275,6137,7086,86.6,5607,6671,84.1,1593,2972,53.6,25,26.2,26.2,-1.2,312,1058,200,62,1400
78,42,38.0,10680,14461,73.9,195791,85345,4826,5745,84.0,4093,5155,79.4,1387,2552,54.3,19,24.8,25.1,-5.8,305,841,222,99,1031
79,34,38.0,12901,17022,75.8,235384,91587,5582,6565,85.0,5317,6436,82.6,1566,2904,53.9,29,26.2,27.6,2.8,295,921,266,89,1187
80,29,38.0,17027,20327,83.8,290090,104090,8123,8959,90.7,6598,7443,88.6,1724,2681,64.3,39,39.0,33.8,0.0,431,1178,316,55,1507
81,33,38.0,18327,22234,82.4,341688,109518,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7,40,32.5,34.6,7.5,342,1207,305,112,1596
82,25,38.0,12505,16941,73.8,211003,80089,6089,7173,84.9,4893,6093,80.3,1112,2591,42.9,26,32.5,28.7,-6.5,353,1016,249,58,1326
83,30,38.0,11650,15503,75.1,210448,83575,5218,6112,85.4,4666,5591,83.5,1421,2833,50.2,25,27.9,22.7,-2.9,280,827,209,60,999
84,26,38.0,14576,18653,78.1,269517,97463,6112,7060,86.6,6190,7296,84.8,1856,3259,56.9,40,39.6,41.9,0.4,348,1184,334,108,1589
85,34,34.0,13753,17353,79.3,244827,91553,6094,7015,86.9,5735,6674,85.9,1484,2611,56.8,31,33.1,37.8,-2.1,337,976,239,60,1269
86,31,38.0,13943,18082,77.1,249442,87682,6255,7220,86.6,5904,6933,85.2,1434,2885,49.7,27,36.3,31.3,-9.3,364,1153,271,95,1320
87,25,38.0,17204,20696,83.1,283871,93464,8270,9143,90.5,6856,7812,87.8,1376,2371,58.0,50,47.0,41.3,3.0,379,1172,338,81,1459
88,35,38.0,13093,16828,77.8,232760,90537,6026,6920,87.1,5156,6130,84.1,1466,2726,53.8,23,27.0,27.0,-4.0,285,937,216,85,1216
89,29,38.0,11650,15251,76.4,201058,80592,5511,6357,86.7,4617,5570,82.9,1128,2322,48.6,36,36.6,29.9,-0.6,375,905,280,54,1226
90,28,34.0,10673,14818,72.0,204003,82846,4154,5080,81.8,4744,5871,80.8,1458,2914,50.0,33,31.5,31.7,1.5,299,815,248,111,1123
91,34,38.0,9627,13777,69.9,187440,77723,3923,4782,82.0,3835,4951,77.5,1506,3098,48.6,30,25.4,27.4,4.6,288,900,256,75,1202
92,39,38.0,11575,15320,75.6,214514,84877,4947,5783,85.5,4826,5800,83.2,1487,2780,53.5,23,26.4,23.4,-3.4,250,802,215,77,1088
93,29,38.0,16679,20401,81.8,294002,103203,7388,8290,89.1,7135,8109,88.0,1669,2743,60.8,51,50.9,49.9,0.1,363,1278,349,66,1698
94,30,38.0,10423,14640,71.2,193942,80054,4505,5496,82.0,4270,5325,80.2,1330,2903,45.8,26,32.5,22.4,-6.5,298,834,213,70,1070
95,25,38.0,14326,18378,78.0,251152,89191,6627,7493,88.4,5789,6856,84.4,1479,2906,50.9,46,37.4,32.4,8.6,320,1106,271,87,1449
96,30,34.0,12596,16439,76.6,238876,90051,4894,5882,83.2,5811,6785,85.6,1568,2774,56.5,25,33.8,38.8,-8.8,295,862,253,69,1220
97,26,38.0,15253,19103,79.8,275607,92814,6533,7415,88.1,6610,7664,86.2,1718,3005,57.2,22,26.4,23.4,-4.4,294,1096,212,57,1283
