,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
78,24,46.6,34.0,19580,1765,5983,10154,3721,623,19570,740,315,42.6,424,57.3,10235,62491,32100,776,497,168,394,290,12034,1230
79,31,54.3,38.0,24591,2087,7217,11662,5987,949,24586,661,392,59.3,269,40.7,14721,72222,38333,817,592,257,499,430,16249,1805
80,26,51.3,38.0,23169,2056,6325,11460,5644,700,23166,531,379,71.4,151,28.4,13356,68599,36430,694,517,137,495,379,14215,1592
81,29,44.7,38.0,19987,2351,6947,9135,4159,504,19982,531,313,58.9,218,41.1,10038,64533,34759,704,473,94,471,358,12090,1200
82,30,41.4,38.0,18935,2513,6385,8544,4268,596,18932,507,325,64.1,182,35.9,9409,51906,25144,477,403,108,532,403,9994,1123
83,25,49.1,38.0,21120,2068,6908,9914,4565,628,21113,634,380,59.9,253,39.9,11625,64793,34272,658,514,103,612,397,12676,1277
84,26,46.6,34.0,19754,2049,6717,9177,4056,531,19751,539,237,44.0,302,56.0,9531,47175,23778,474,372,104,315,274,12052,1017
85,26,45.3,38.0,21278,2441,7047,9908,4554,536,21277,523,318,60.8,205,39.2,10613,62008,31717,596,451,111,503,439,13108,1174
86,27,51.1,38.0,22686,2421,7343,10682,4921,685,22684,677,418,61.7,259,38.3,13329,73629,35861,703,535,149,579,478,14467,1405
87,25,61.8,38.0,27821,2080,7157,13466,7466,949,27818,719,436,60.6,281,39.1,14767,80757,42259,862,642,180,534,460,19147,2228
88,25,45.7,38.0,19949,2014,6033,9255,4919,645,19938,682,392,57.5,290,42.5,10978,60752,32174,667,451,130,582,402,11258,1455
89,25,42.6,38.0,20604,2283,7268,8954,4605,533,20601,568,311,54.8,257,45.2,10688,60803,31385,564,413,108,558,393,11937,1325
90,27,44.7,38.0,20946,2246,6770,10047,4379,601,20939,543,313,57.6,230,42.4,11683,63285,31430,605,509,127,493,376,12630,1351
91,25,48.6,38.0,22179,2141,7061,10314,5068,746,22171,699,428,61.2,271,38.8,13199,71066,36726,739,516,188,539,475,14202,1549
92,32,50.4,38.0,22941,2292,7613,10767,4789,691,22936,575,328,57.0,247,43.0,12496,66374,34220,719,486,181,464,393,14905,1442
93,29,49.7,38.0,21692,2087,6318,10225,5377,783,21686,565,332,58.8,233,41.2,11811,58427,29594,647,479,162,547,410,12635,1429
94,25,47.4,34.0,19545,1914,5873,9449,4407,617,19545,477,204,42.8,273,57.2,8428,51353,26628,572,339,137,317,341,11946,1459
95,24,40.7,38.0,19184,2302,6698,8221,4468,586,19183,527,321,60.9,205,38.9,9820,54221,26753,507,390,89,532,446,10384,1093
96,27,45.2,38.0,20454,2265,6198,9854,4647,591,20450,642,423,65.9,218,34.0,10086,60796,27961,523,438,106,503,389,11655,1162
97,29,49.3,34.0,19900,2209,6822,9481,3783,456,19894,451,220,48.8,231,51.2,9421,51639,25172,502,334,89,366,383,12757,1290
