,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
55,Alexis Alegue,FRA,MF,Nantes,fr Ligue 1,18.0,1996.0,1.1,1.0,,2.0,,,1.86,,0.5,,0.0,0.0
56,Nauzet Alemán,ESP,MF,Las Palmas,es La Liga,30.0,1985.0,2.8,0.0,3.0,0.0,0.0,1.09,0.0,0.0,,,0.0,0.0
57,Diego Alende,ESP,DF,Celta Vigo,es La Liga,17.0,1997.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
58,Romain Alessandrini,FRA,"MF,FW",Marseille,fr Ligue 1,26.0,1989.0,13.8,5.0,,19.0,,,1.37,,0.26,,0.0,0.0
59,Alex,BRA,DF,Milan,it Serie A,33.0,1982.0,23.2,3.0,,8.0,,,0.34,,0.38,,0.0,0.0
60,Alexis,ESP,DF,Getafe,es La Liga,29.0,1985.0,15.0,1.0,2.0,1.0,50.0,0.13,0.07,0.5,1.0,,0.0,0.0
61,Chaker Alhadhur,COM,DF,Caen,fr Ligue 1,23.0,1991.0,8.7,0.0,,0.0,,,0.0,,,,0.0,0.0
62,Allan,BRA,MF,Napoli,it Serie A,24.0,1991.0,31.3,3.0,,7.0,,,0.22,,0.43,,0.0,0.0
63,Joe Allen,GB-WLS,MF,Liverpool,eng Premier League,25.0,1990.0,8.2,2.0,,4.0,,,0.49,,0.5,,0.0,0.0
64,Dele Alli,GBR,MF,Tottenham,eng Premier League,19.0,1996.0,27.4,10.0,,28.0,,,1.02,,0.36,,0.0,0.0
65,Ryan Allsop,GBR,GK,Bournemouth,eng Premier League,23.0,1992.0,0.5,0.0,,0.0,,,0.0,,,,0.0,0.0
66,Hugo Almeida,PRT,FW,Hannover 96,de Bundesliga,31.0,1984.0,5.9,1.0,,3.0,,,0.51,,0.33,,0.0,0.0
67,Marcos Alonso,ESP,"MF,DF",Fiorentina,it Serie A,24.0,1990.0,26.1,3.0,,12.0,,,0.46,,0.25,,0.0,0.0
68,Xabi Alonso,ESP,"MF,DF",Bayern Munich,de Bundesliga,33.0,1981.0,21.6,0.0,,5.0,,,0.23,,0.0,,0.0,0.0
69,Batuhan Altıntaş,TUR,FW,Hamburger SV,de Bundesliga,19.0,1996.0,0.3,0.0,,0.0,,,0.0,,,,0.0,0.0
70,Halil Altıntop,TUR,MF,Augsburg,de Bundesliga,32.0,1982.0,13.3,1.0,,3.0,,,0.23,,0.33,,0.0,0.0
71,Ricky Álvarez,ARG,"MF,FW",Sampdoria,it Serie A,27.0,1988.0,9.0,1.0,,6.0,,,0.67,,0.17,,0.0,0.0
72,Sergio Álvarez,ESP,MF,Sporting Gijón,es La Liga,23.0,1992.0,24.3,2.0,5.0,3.0,60.0,0.21,0.12,0.4,0.67,,0.0,0.0
73,Sergio Álvarez,ESP,GK,Celta Vigo,es La Liga,28.0,1986.0,30.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
74,Víctor Álvarez,ESP,"MF,DF",Espanyol,es La Liga,22.0,1993.0,21.8,1.0,13.0,4.0,30.8,0.6,0.18,0.08,0.25,,0.0,0.0
75,Dani Alves,BRA,DF,Barcelona,es La Liga,32.0,1983.0,23.8,0.0,16.0,4.0,25.0,0.67,0.17,0.0,0.0,,0.0,0.0
76,Diego Alves,BRA,GK,Valencia,es La Liga,30.0,1985.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
78,Ibrahim Amadou,FRA,"MF,DF",Lille,fr Ligue 1,22.0,1993.0,18.5,1.0,,3.0,,,0.16,,0.33,,0.0,0.0
79,Morgan Amalfitano,FRA,"FW,MF",Lille,fr Ligue 1,30.0,1985.0,10.6,2.0,,9.0,,,0.85,,0.22,,0.0,0.0
80,Daniel Amartey,GHA,DF,Leicester City,eng Premier League,20.0,1994.0,1.2,0.0,,1.0,,,0.87,,0.0,,0.0,0.0
81,Jordi Amat,ESP,DF,Swansea City,eng Premier League,23.0,1992.0,5.1,0.0,,0.0,,,0.0,,,,0.0,0.0
82,Amauri,ITA,FW,Torino,it Serie A,35.0,1980.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
83,Jordan Amavi,FRA,DF,Aston Villa,eng Premier League,21.0,1994.0,9.3,0.0,,1.0,,,0.11,,0.0,,0.0,0.0
84,Antonio Amaya,ESP,DF,Rayo Vallecano,es La Liga,32.0,1983.0,11.5,1.0,3.0,2.0,66.7,0.26,0.17,0.33,0.5,,0.0,0.0
85,Jean Ambrose,HTI,DF,Bordeaux,fr Ligue 1,21.0,1993.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
86,Nadiem Amiri,DEU,"MF,FW",Hoffenheim,de Bundesliga,18.0,1996.0,16.2,4.0,,12.0,,,0.74,,0.33,,0.0,0.0
87,Nordin Amrabat,MAR,"MF,FW",Watford,eng Premier League,28.0,1987.0,5.6,0.0,,3.0,,,0.53,,0.0,,0.0,0.0
88,Nordin Amrabat,MAR,"MF,FW",Málaga,es La Liga,28.0,1987.0,11.1,0.0,26.0,8.0,30.8,2.33,0.72,0.0,0.0,,0.0,1.0
89,Felipe Anderson,BRA,"FW,MF",Lazio,it Serie A,22.0,1993.0,23.0,7.0,,14.0,,,0.61,,0.5,,0.0,0.0
90,Benjamin André,FRA,MF,Rennes,fr Ligue 1,24.0,1990.0,29.2,0.0,,7.0,,,0.24,,0.0,,0.0,0.0
91,Leon Andreasen,DNK,MF,Hannover 96,de Bundesliga,32.0,1983.0,12.0,2.0,,8.0,,,0.67,,0.25,,0.0,0.0
92,Ionuț Andrei Radu,ROU,GK,Inter,it Serie A,,,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
93,Marco Andreolli,ITA,DF,Sevilla,es La Liga,29.0,1986.0,6.1,0.0,3.0,0.0,0.0,0.49,0.0,0.0,,,0.0,0.0
94,Yoann Andreu,FRA,DF,Angers,fr Ligue 1,26.0,1989.0,30.2,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
95,José Ángel Crespo,ESP,FW,Aston Villa,eng Premier League,28.0,1987.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
96,José Ángel Crespo,ESP,DF,Rayo Vallecano,es La Liga,28.0,1987.0,7.9,0.0,1.0,1.0,100.0,0.13,0.13,0.0,0.0,,0.0,0.0
97,Miguel Ángel Guerrero,ESP,FW,Sporting Gijón,es La Liga,25.0,1990.0,12.1,2.0,22.0,9.0,40.9,1.82,0.75,0.09,0.22,,0.0,0.0
98,Miguel Ángel,ESP,DF,Getafe,es La Liga,19.0,1996.0,2.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0
99,Marcos Angeleri,ARG,DF,Málaga,es La Liga,32.0,1983.0,12.3,0.0,3.0,0.0,0.0,0.24,0.0,0.0,,,0.0,0.0
100,Benjamin Angoua,CIV,DF,Guingamp,fr Ligue 1,28.0,1986.0,13.8,1.0,,1.0,,,0.07,,1.0,,0.0,0.0
101,Gaël Angoula,FRA,DF,Angers,fr Ligue 1,33.0,1982.0,11.3,0.0,,0.0,,,0.0,,,,0.0,0.0
102,Victor Anichebe,NGA,FW,West Brom,eng Premier League,27.0,1988.0,4.1,0.0,,4.0,,,0.98,,0.0,,0.0,0.0
104,Vurnon Anita,CUW,"MF,DF",Newcastle Utd,eng Premier League,26.0,1989.0,23.3,1.0,,2.0,,,0.09,,0.5,,0.0,0.0
105,Cristian Ansaldi,ARG,"MF,DF",Genoa,it Serie A,28.0,1986.0,22.3,0.0,,2.0,,,0.09,,0.0,,0.0,0.0
106,Ion Ansotegi,ESP,DF,Eibar,es La Liga,33.0,1982.0,6.0,0.0,4.0,1.0,25.0,0.66,0.17,0.0,0.0,,0.0,0.0
107,Luca Antei,ITA,DF,Sassuolo,it Serie A,23.0,1992.0,3.8,0.0,,0.0,,,0.0,,,,0.0,0.0
108,Waldemar Anton,DEU,"DF,MF",Hannover 96,de Bundesliga,19.0,1996.0,6.5,1.0,,1.0,,,0.15,,1.0,,0.0,0.0
109,Luca Antonelli,ITA,DF,Milan,it Serie A,28.0,1987.0,26.0,3.0,,5.0,,,0.19,,0.6,,0.0,0.0
110,Michail Antonio,JAM,"MF,FW",West Ham,eng Premier League,25.0,1990.0,22.9,8.0,,20.0,,,0.88,,0.4,,0.0,0.0
111,José Antonio Reyes,ESP,MF,Sevilla,es La Liga,31.0,1983.0,13.1,1.0,21.0,9.0,42.9,1.6,0.69,0.05,0.11,,0.0,0.0
