,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
113,Bernd Leno,DEU,GK,Leverkusen,de Bundesliga,24.0,1992.0,34.0,34.0,3060.0,34.0,55.0,1.62,160.0,105.0,67.5,11.0,8.0,15.0,6.0,17.6,3.0,3.0,0.0,0.0,0.0
114,Benjamin Leroy,FRA,GK,Dijon,fr Ligue 1,27.0,1989.0,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,1.0,
115,Alexandre Letellier,FRA,GK,Angers,fr Ligue 1,25.0,1990.0,6.0,6.0,540.0,6.0,9.0,1.5,26.0,17.0,65.4,1.0,1.0,4.0,1.0,16.7,0.0,0.0,0.0,0.0,
116,Luca Lezzerini,ITA,GK,Fiorentina,it Serie A,21.0,1995.0,1.0,0.0,51.0,0.6,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
117,Heinz Lindner,AUT,GK,Eint Frankfurt,de Bundesliga,26.0,1990.0,2.0,1.0,175.0,1.9,3.0,1.54,9.0,6.0,66.7,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,
118,Raúl Lizoain,ESP,GK,Las Palmas,es La Liga,25.0,1991.0,13.0,13.0,1170.0,13.0,27.0,2.08,57.0,34.0,59.6,3.0,4.0,6.0,3.0,23.1,4.0,4.0,0.0,0.0,0.0
119,Hugo Lloris,FRA,GK,Tottenham,eng Premier League,29.0,1986.0,34.0,34.0,3004.0,33.4,24.0,0.72,101.0,77.0,77.2,24.0,5.0,4.0,15.0,44.1,1.0,1.0,0.0,0.0,0.0
120,Anthony Lopes,PRT,GK,Lyon,fr Ligue 1,25.0,1990.0,37.0,37.0,3330.0,37.0,46.0,1.24,141.0,95.0,70.9,19.0,4.0,13.0,12.0,32.4,6.0,5.0,1.0,0.0,16.7
121,Diego López,ESP,GK,Espanyol,es La Liga,34.0,1981.0,35.0,35.0,3113.0,34.6,38.0,1.1,153.0,117.0,76.5,15.0,9.0,11.0,11.0,31.4,2.0,2.0,0.0,0.0,0.0
122,Jonas Lössl,DNK,GK,Mainz 05,de Bundesliga,27.0,1989.0,27.0,27.0,2430.0,27.0,46.0,1.7,134.0,88.0,67.9,8.0,5.0,14.0,5.0,18.5,4.0,3.0,1.0,0.0,25.0
123,Andreas Luthe,DEU,GK,Augsburg,de Bundesliga,29.0,1987.0,2.0,2.0,180.0,2.0,1.0,0.5,14.0,13.0,92.9,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,
124,Germán Lux,ARG,GK,La Coruña,es La Liga,34.0,1982.0,25.0,25.0,2205.0,24.5,38.0,1.55,111.0,75.0,67.6,5.0,7.0,13.0,6.0,24.0,2.0,2.0,0.0,0.0,0.0
125,Mike Maignan,FRA,GK,Lille,fr Ligue 1,21.0,1995.0,7.0,6.0,566.0,6.3,7.0,1.11,28.0,21.0,75.0,3.0,0.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,
126,Anthony Maisonnial,FRA,GK,Saint-Étienne,fr Ligue 1,18.0,1998.0,2.0,1.0,168.0,1.9,2.0,1.07,12.0,10.0,83.3,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,
127,Steve Mandanda,FRA,GK,Crystal Palace,eng Premier League,31.0,1985.0,9.0,9.0,810.0,9.0,17.0,1.89,43.0,26.0,60.5,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
128,Vito Mannone,ITA,GK,Sunderland,eng Premier League,28.0,1988.0,9.0,9.0,810.0,9.0,19.0,2.11,59.0,40.0,71.2,1.0,2.0,6.0,2.0,22.2,2.0,2.0,0.0,0.0,0.0
