,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Ismael Aaneba,Strasbourg,0.1,3,1,3,0,0,0,3,0,0,0.0,0,0.0,1,3,1,0,0,0,0,0,1,0
1,Patrick van Aanholt,Crystal Palace,19.7,1353,61,420,612,329,37,1353,22,10,45.5,12,54.5,728,3406,1622,38,29,9,24,6,800,87
2,Issah Abbas,Mainz 05,0.2,16,0,5,4,7,1,16,1,1,100.0,0,0.0,11,50,37,1,1,0,0,0,8,1
3,Yunis Abdelhamid,Reims,32.1,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3
4,Sabit Abdulai,Getafe,0.7,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2
5,Mehdi Abeid,Nantes,14.7,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352,32,23,3,23,10,561,16
6,Laurent Abergel,Lorient,32.9,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1288,35
7,Charles Abi,Saint-Étienne,10.1,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48
8,Matthis Abline,Rennes,0.0,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0,0,0,0,1,0
9,Pape Abou Cisse,Saint-Étienne,14.0,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307,2,2,1,9,0,463,1
10,David Abraham,Eint Frankfurt,13.6,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21
11,Tammy Abraham,Chelsea,11.6,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266,12,5,8,33,7,239,66
12,Amir Abrashi,Freiburg,0.7,30,3,12,14,4,0,30,0,0,0.0,0,0.0,18,102,47,1,2,1,1,1,16,1
13,Gennaro Acampora,Spezia,4.9,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444,15,14,1,12,12,206,19
14,Francesco Acerbi,Lazio,31.3,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938,41,42,2,21,10,1565,46
15,Ragnar Ache,Eint Frankfurt,1.1,53,1,2,27,25,10,53,0,0,0.0,0,0.0,17,109,34,3,4,1,7,2,36,12
16,Marcos Acuna,Sevilla,25.9,2019,61,661,878,502,30,2019,61,41,67.2,20,32.8,1103,5721,3242,65,50,12,40,29,1330,133
17,Che Adams,Southampton,29.6,926,24,98,403,439,97,926,50,28,56.0,22,44.0,516,2336,900,32,28,13,88,44,713,149
18,Tyler Adams,RB Leipzig,20.6,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70
19,Sargis Adamyan,Hoffenheim,5.3,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58
20,Tosin Adarabioyo,Fulham,32.8,2272,398,1310,900,67,35,2272,14,11,78.6,3,21.4,1337,5844,3132,5,5,0,12,5,1522,3
21,Bobby Adekanye,Cádiz,0.4,18,1,2,5,11,3,18,1,1,100.0,0,0.0,13,103,68,4,3,0,3,0,11,4
22,Yacine Adli,Bordeaux,26.9,1920,40,348,1217,390,25,1920,79,50,63.3,29,36.7,1179,5988,3121,54,50,10,42,41,1422,48
23,Andrea Adorante,Parma,0.1,2,0,0,2,0,0,2,0,0,0.0,0,0.0,2,9,0,0,0,0,0,2,1,0
24,Adrian,Liverpool,3.0,110,99,110,0,0,0,110,0,0,0.0,0,0.0,52,259,79,0,0,0,0,0,47,0
26,Martin Agirregabiria,Alavés,17.3,888,41,314,418,164,9,888,6,2,33.3,4,66.7,380,1426,691,11,11,2,14,4,424,36
27,Lucien Agoume,Spezia,8.9,563,26,165,338,68,1,563,8,6,75.0,2,25.0,308,1391,569,6,6,1,9,8,368,7
28,Felix Agu,Werder Bremen,7.8,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345,7,4,1,21,7,191,33
29,Kevin Agudelo,Spezia,15.1,544,2,58,233,271,56,544,76,44,57.9,32,42.1,325,2764,1424,50,35,24,35,25,357,82
30,Nayef Aguerd,Rennes,35.0,3016,241,1281,1679,75,38,3016,11,9,81.8,2,18.2,1885,7924,4548,14,16,1,11,10,2257,2
31,Sergio Aguero,Manchester City,6.2,234,0,5,99,131,45,232,13,8,61.5,5,38.5,155,769,330,12,10,3,15,11,191,39
32,Ruben Aguilar,Monaco,24.7,1876,53,371,890,633,58,1876,29,12,41.4,17,58.6,944,5100,2717,74,52,4,40,14,1171,231
33,Naouirou Ahamada,Stuttgart,2.8,154,4,32,104,22,2,154,12,11,91.7,1,8.3,108,760,344,8,2,2,6,5,117,3
