Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Abdoulaye Bamba,189,CIV,DF,Angers,fr Ligue 1,29.0,1990.0,7.0,6.0,554.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.03,0.03,0.0,0.03
Jonathan Bamba,190,FRA,"FW,MF",Lille,fr Ligue 1,23.0,1996.0,26.0,22.0,1937.0,21.5,1.0,4.0,0.0,1.0,3.0,1.0,0.0,0.05,0.19,0.23,0.0,0.19,5.6,3.3,2.7,5.9,0.26,0.12,0.39,0.15,0.28
Éver Banega,191,ARG,MF,Sevilla,es La Liga,31.0,1988.0,33.0,28.0,2475.0,27.5,3.0,7.0,1.0,2.0,2.0,10.0,0.0,0.11,0.25,0.36,0.04,0.29,3.2,1.6,6.1,7.7,0.11,0.22,0.34,0.06,0.28
Mattia Bani,192,ITA,DF,Bologna,it Serie A,25.0,1993.0,27.0,26.0,2207.0,24.5,4.0,0.0,4.0,0.0,0.0,13.0,1.0,0.16,0.0,0.16,0.16,0.16,3.7,3.7,0.1,3.8,0.15,0.0,0.15,0.15,0.15
Antonín Barák,193,CZE,"MF,FW",Udinese,it Serie A,24.0,1994.0,8.0,1.0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.05,0.08,0.13,0.05,0.13
Federico Barba,195,ITA,DF,Valladolid,es La Liga,25.0,1993.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Danilo Barbosa,196,BRA,"DF,MF",Nice,fr Ligue 1,23.0,1996.0,16.0,12.0,1122.0,12.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.8,0.04,0.03,0.07,0.04,0.07
Melvin Bard,197,FRA,DF,Lyon,fr Ligue 1,18.0,2000.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
Enis Bardhi,198,MKD,MF,Levante,es La Liga,24.0,1995.0,30.0,23.0,2114.0,23.5,7.0,2.0,7.0,0.0,0.0,5.0,0.0,0.3,0.09,0.38,0.3,0.38,5.1,5.1,3.5,8.7,0.22,0.15,0.37,0.22,0.37
Phil Bardsley,199,SYC,DF,Burnley,eng Premier League,34.0,1985.0,21.0,21.0,1890.0,21.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,0.3,0.3,1.4,1.7,0.02,0.07,0.08,0.02,0.08
Nicolò Barella,200,ITA,MF,Inter,it Serie A,22.0,1997.0,27.0,23.0,2013.0,22.4,1.0,4.0,1.0,0.0,0.0,11.0,0.0,0.04,0.18,0.22,0.04,0.22,2.1,2.1,1.7,3.7,0.09,0.07,0.17,0.09,0.17
Philipp Bargfrede,201,DEU,MF,Werder Bremen,de Bundesliga,30.0,1989.0,15.0,6.0,586.0,6.5,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.02,0.05,0.04,0.05
Antonino Barillà,202,ITA,MF,Parma,it Serie A,31.0,1988.0,26.0,20.0,1688.0,18.8,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.11,0.16,0.05,0.16,1.6,1.6,2.0,3.6,0.09,0.1,0.19,0.09,0.19
Kike Barja,203,ESP,"MF,FW",Osasuna,es La Liga,22.0,1997.0,8.0,4.0,313.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.7,0.7,1.1,1.8,0.2,0.32,0.52,0.2,0.52
