,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
49,2,38,38,3420,38.0,48,1.26,151,105,72.2,14,13,11,10,26.3,6,6,0,0,0.0
50,2,38,38,3420,38.0,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,0,
51,2,38,38,3420,38.0,63,1.66,148,88,60.8,8,12,18,11,28.9,6,5,0,1,0.0
52,2,38,38,3418,38.0,51,1.34,173,124,74.6,17,11,10,9,23.7,8,7,1,0,12.5
53,2,34,34,3060,34.0,61,1.79,185,122,68.6,12,9,13,5,14.7,5,3,2,0,40.0
54,2,34,34,3060,34.0,45,1.32,125,80,68.0,13,7,14,10,29.4,6,5,1,0,16.7
55,4,38,38,3420,38.0,63,1.66,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25.0
56,2,38,38,3420,38.0,26,0.68,85,59,70.6,29,6,3,21,55.3,1,1,0,0,0.0
57,1,38,38,3420,38.0,57,1.5,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0
58,2,38,38,3420,38.0,38,1.0,112,75,69.6,21,8,9,15,39.5,4,4,0,0,0.0
59,2,38,38,3417,38.0,69,1.82,178,111,64.0,6,13,19,8,21.1,5,5,0,0,0.0
60,2,38,38,3420,38.0,31,0.82,125,95,78.4,26,8,4,18,47.4,5,4,1,0,20.0
61,1,38,38,3420,38.0,40,1.05,141,104,77.3,20,9,9,11,28.9,9,8,0,1,0.0
62,2,38,38,3420,38.0,61,1.61,215,154,74.0,12,7,19,10,26.3,6,5,1,0,16.7
63,1,38,38,3420,38.0,48,1.26,155,105,71.6,15,10,13,8,21.1,7,4,3,0,42.9
64,3,38,38,3420,38.0,31,0.82,136,106,77.9,24,7,7,16,42.1,1,1,0,0,0.0
65,3,38,38,3420,38.0,62,1.63,165,104,65.5,13,10,15,8,21.1,6,5,1,0,16.7
66,2,38,38,3420,38.0,36,0.95,146,109,78.1,20,7,11,14,36.8,5,4,1,0,20.0
67,2,38,38,3420,38.0,84,2.21,222,139,66.2,5,7,26,6,15.8,12,9,1,2,10.0
68,2,38,38,3420,38.0,51,1.34,151,99,68.9,12,11,15,12,31.6,7,4,3,0,42.9
69,4,38,38,3417,38.0,36,0.95,142,107,76.8,26,8,4,13,34.2,3,3,0,0,0.0
70,2,38,38,3417,38.0,50,1.32,163,112,73.6,11,9,18,9,23.7,9,7,2,0,22.2
71,3,34,34,3060,34.0,37,1.09,115,79,70.4,17,7,10,10,29.4,3,3,0,0,0.0
72,2,38,38,3420,38.0,31,0.82,129,97,78.3,26,8,4,16,42.1,5,3,2,0,40.0
73,2,38,38,3420,38.0,37,0.97,127,89,74.8,17,11,10,20,52.6,6,5,1,0,16.7
74,1,38,38,3420,38.0,44,1.16,161,116,75.8,11,13,14,11,28.9,7,5,1,1,16.7
75,3,38,38,3420,38.0,40,1.05,106,66,67.0,20,6,12,14,36.8,6,5,1,0,16.7
76,1,38,38,3420,38.0,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0,16.7
77,3,38,38,3417,38.0,77,2.03,189,116,63.5,7,11,20,4,10.5,8,8,0,0,0.0
78,3,38,38,3420,38.0,78,2.05,221,144,67.4,7,10,21,2,5.3,8,6,1,1,14.3
79,3,38,38,3420,38.0,63,1.66,185,123,67.6,10,6,22,7,18.4,4,3,1,0,25.0
80,3,38,38,3420,38.0,66,1.74,177,111,67.2,13,11,14,3,7.9,9,8,1,0,11.1
81,3,38,38,3420,38.0,30,0.79,121,90,76.9,18,16,4,17,44.7,4,2,1,1,33.3
82,3,38,38,3420,38.0,67,1.76,183,118,64.5,9,13,16,8,21.1,2,2,0,0,0.0
83,3,38,38,3420,38.0,71,1.87,208,139,70.7,10,6,22,7,18.4,13,10,1,2,9.1
84,2,38,38,3420,38.0,43,1.13,131,89,70.2,17,12,9,14,36.8,4,4,0,0,0.0
85,2,34,34,3060,34.0,59,1.74,163,105,66.3,7,12,15,4,11.8,4,4,0,0,0.0
86,3,38,38,3420,38.0,41,1.08,124,81,74.2,13,11,14,9,23.7,11,9,2,0,18.2
87,1,38,38,3420,38.0,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0.0
88,2,38,38,3420,38.0,53,1.39,159,108,73.0,9,11,18,9,23.7,10,10,0,0,0.0
89,2,38,38,3420,38.0,58,1.53,162,105,67.3,11,14,13,8,21.1,7,5,0,2,0.0
90,2,34,34,3060,34.0,44,1.29,122,82,65.6,16,9,9,8,23.5,2,2,0,0,0.0
91,3,38,38,3420,38.0,53,1.39,163,112,71.8,11,15,12,12,31.6,8,7,1,0,12.5
92,3,38,38,3420,38.0,69,1.82,228,161,74.6,6,9,23,4,10.5,12,11,0,1,0.0
93,2,38,38,3420,38.0,37,0.97,128,91,74.2,16,11,11,14,36.8,5,4,1,0,20.0
94,2,38,38,3420,38.0,77,2.03,188,113,62.2,6,5,27,4,10.5,7,6,1,0,14.3
95,2,38,38,3420,38.0,51,1.34,165,113,70.3,16,8,14,8,21.1,6,2,3,1,60.0
96,2,34,34,3060,34.0,54,1.59,156,101,67.9,12,6,16,11,32.4,7,4,2,1,33.3
97,2,38,38,3420,38.0,43,1.13,167,125,79.6,15,6,17,11,28.9,10,9,0,1,0.0
