,Squad,Comp,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
61,Milan,Serie A,28.0,38.0,0.0,9.0,9.0,519.0,518.0,98.0,799.0,411.0,487.0,10.0,10.0,2.0
62,Monaco,Ligue 1,29.0,38.0,0.0,1.0,1.0,465.0,449.0,84.0,949.0,534.0,525.0,11.0,5.0,0.0
63,Montpellier,Ligue 1,32.0,38.0,0.0,2.0,2.0,401.0,455.0,66.0,821.0,595.0,467.0,1.0,8.0,2.0
64,Nancy,Ligue 1,27.0,38.0,0.0,1.0,1.0,499.0,459.0,127.0,685.0,659.0,525.0,1.0,9.0,2.0
65,Nantes,Ligue 1,27.0,38.0,0.0,1.0,1.0,543.0,395.0,108.0,814.0,524.0,642.0,4.0,9.0,1.0
66,Napoli,Serie A,26.0,38.0,0.0,0.0,0.0,376.0,430.0,85.0,790.0,442.0,487.0,6.0,7.0,1.0
67,Nice,Ligue 1,27.0,38.0,0.0,1.0,1.0,424.0,572.0,75.0,411.0,434.0,472.0,8.0,5.0,1.0
68,Osasuna,La Liga,35.0,38.0,99.0,3.0,1.0,574.0,415.0,76.0,648.0,677.0,545.0,5.0,10.0,3.0
69,Palermo,Serie A,30.0,38.0,0.0,6.0,6.0,568.0,534.0,87.0,665.0,657.0,494.0,1.0,6.0,1.0
70,Paris S-G,Ligue 1,28.0,38.0,0.0,1.0,1.0,404.0,409.0,129.0,909.0,521.0,478.0,10.0,3.0,1.0
71,Pescara,Serie A,34.0,38.0,0.0,3.0,3.0,551.0,537.0,117.0,661.0,549.0,512.0,7.0,6.0,1.0
72,RB Leipzig,Bundesliga,23.0,34.0,0.0,1.0,1.0,508.0,471.0,120.0,429.0,770.0,582.0,4.0,5.0,1.0
73,Real Madrid,La Liga,24.0,38.0,76.0,2.0,0.0,434.0,544.0,137.0,857.0,517.0,572.0,5.0,4.0,1.0
74,Real Sociedad,La Liga,27.0,38.0,84.0,6.0,5.0,536.0,589.0,84.0,829.0,603.0,456.0,7.0,7.0,2.0
75,Rennes,Ligue 1,31.0,38.0,,,1.0,460.0,418.0,80.0,672.0,499.0,523.0,3.0,4.0,1.0
76,Roma,Serie A,22.0,38.0,0.0,0.0,0.0,461.0,488.0,88.0,916.0,622.0,526.0,12.0,4.0,0.0
77,Saint-Étienne,Ligue 1,34.0,38.0,,,2.0,484.0,449.0,95.0,761.0,641.0,502.0,6.0,4.0,0.0
78,Sampdoria,Serie A,24.0,38.0,0.0,1.0,1.0,511.0,502.0,81.0,782.0,468.0,511.0,6.0,8.0,0.0
79,Sassuolo,Serie A,28.0,38.0,0.0,0.0,0.0,517.0,541.0,75.0,751.0,590.0,534.0,8.0,9.0,1.0
80,Schalke 04,Bundesliga,29.0,34.0,0.0,0.0,0.0,494.0,441.0,96.0,566.0,805.0,450.0,4.0,10.0,1.0
81,Sevilla,La Liga,28.0,38.0,107.0,4.0,2.0,589.0,524.0,126.0,661.0,522.0,521.0,5.0,5.0,1.0
82,Southampton,Premier League,26.0,38.0,0.0,1.0,1.0,426.0,415.0,75.0,960.0,539.0,507.0,5.0,9.0,0.0
83,Sporting Gijón,La Liga,29.0,38.0,114.0,4.0,2.0,574.0,498.0,78.0,676.0,552.0,517.0,7.0,9.0,2.0
84,Stoke City,Premier League,26.0,38.0,0.0,1.0,1.0,434.0,440.0,87.0,725.0,528.0,489.0,5.0,2.0,5.0
85,Sunderland,Premier League,31.0,38.0,0.0,3.0,3.0,437.0,392.0,80.0,633.0,574.0,495.0,3.0,4.0,2.0
86,Swansea City,Premier League,27.0,38.0,0.0,0.0,0.0,399.0,425.0,50.0,867.0,471.0,481.0,3.0,10.0,5.0
87,Torino,Serie A,29.0,38.0,0.0,3.0,3.0,581.0,497.0,91.0,750.0,594.0,508.0,10.0,7.0,1.0
88,Tottenham,Premier League,24.0,38.0,0.0,0.0,0.0,431.0,463.0,74.0,763.0,331.0,512.0,9.0,2.0,1.0
89,Toulouse,Ligue 1,30.0,38.0,,,1.0,558.0,470.0,47.0,639.0,554.0,536.0,9.0,9.0,0.0
90,Udinese,Serie A,29.0,38.0,0.0,0.0,0.0,481.0,516.0,42.0,853.0,526.0,507.0,3.0,9.0,2.0
91,Valencia,La Liga,31.0,38.0,111.0,6.0,3.0,556.0,569.0,90.0,668.0,628.0,621.0,5.0,13.0,2.0
92,Villarreal,La Liga,27.0,38.0,90.0,4.0,1.0,523.0,500.0,84.0,514.0,567.0,505.0,7.0,6.0,0.0
93,Watford,Premier League,33.0,38.0,0.0,3.0,3.0,514.0,417.0,63.0,696.0,532.0,468.0,3.0,4.0,2.0
94,Werder Bremen,Bundesliga,31.0,34.0,0.0,0.0,0.0,452.0,515.0,58.0,371.0,718.0,438.0,6.0,11.0,1.0
95,West Brom,Premier League,23.0,38.0,0.0,0.0,0.0,448.0,343.0,61.0,770.0,564.0,441.0,0.0,3.0,1.0
96,West Ham,Premier League,29.0,38.0,0.0,4.0,4.0,408.0,461.0,80.0,759.0,634.0,452.0,4.0,8.0,0.0
97,Wolfsburg,Bundesliga,31.0,34.0,0.0,2.0,2.0,498.0,486.0,61.0,548.0,701.0,438.0,3.0,5.0,1.0
